Mot;Occurrence
would;40
you;1161
watch;6
it;492
hey;36
we;273
really;55
need;41
to;507
get;110
navarro;11
a;368
hospital;3
yeah;72
well;59
see;65
one;68
around;10
here;145
ok;119
all;131
right;109
point;7
could;23
please;67
just;200
the;601
road;6
wanna;19
drive;2
no;194
i;1354
m;203
sayin;2
re;185
always;10
give;23
rest;5
tell;68
me;292
exactly;7
what;354
is;216
that;358
doing;33
and;285
why;63
this;182
seems;4
like;81
bad;39
version;1
of;234
deliverance;1
didn;48
t;383
take;49
interstate;1
an;39
answer;3
do;161
because;25
turning;1
into;21
some;43
kind;16
wilderness;1
vision;1
quest;1
ve;56
been;42
through;12
stay;19
off;28
main;1
roads;1
last;16
thing;38
want;81
attract;1
attention;1
end;5
up;105
with;106
cop;6
looking;8
our;42
stuff;5
was;147
come;108
on;182
damn;20
wait;24
screwed;2
think;66
guys;18
s;569
coughing;1
lot;13
blood;11
let;63
gear;2
out;131
truck;5
so;126
are;143
gonna;76
about;79
mean;33
will;35
happens;7
if;70
he;230
dies;3
not;119
die;11
never;35
thought;14
anyone;9
hurt;14
when;49
play;12
in;193
big;20
leagues;1
gotta;24
chances;4
fine;24
couldn;12
have;128
taken;6
stuck;2
highways;1
or;33
rented;2
puddle;1
jumper;1
flown;1
real;7
question;2
did;77
even;24
bother;1
letting;2
first;14
place;18
lucky;5
be;135
luck;4
d;42
hate;2
misfortune;1
going;69
there;110
hello;24
second;8
anybody;7
nice;12
creepy;1
annoy;1
cause;15
your;177
brother;37
love;33
half;4
made;10
deal;6
difference;3
between;3
making;9
closing;1
minute;8
home;20
my;173
problem;12
anymore;4
enough;10
done;16
fixing;1
problems;3
yup;1
got;94
look;57
told;37
her;44
stop;24
touching;1
him;99
but;117
she;85
wouldn;7
listen;23
away;20
from;39
said;42
step;1
dying;2
good;38
girl;6
back;59
us;54
favor;4
drop;3
freeze;2
lemon;23
relax;2
sister;7
virginia;5
very;16
diego;6
help;62
had;37
trouble;2
drove;1
over;39
something;53
tore;1
bottom;1
gutted;1
trowel;1
use;9
phone;9
how;79
car;11
care;13
much;16
for;130
bonds;2
modern;1
society;1
saying;21
those;11
hippy;1
grow;1
own;12
vegetables;1
smoke;1
weed;1
free;2
places;2
nothing;18
friend;8
shape;2
travel;1
welcome;4
spend;3
night;18
thanks;15
appreciate;1
blankets;1
prepare;1
guest;2
rooms;1
little;27
barn;5
reverend;5
injured;2
lay;1
were;21
riding;1
river;2
bar;2
ran;2
low;1
hanging;2
branch;1
broke;5
his;45
chest;2
time;40
year;11
lookin;1
thrills;1
sure;36
know;170
people;33
lived;5
long;17
ourselves;2
graveyard;1
looks;6
pretty;17
full;3
who;57
themselves;2
life;20
easy;6
put;15
hands;6
where;54
california;2
read;5
books;1
they;108
say;54
sun;1
shines;1
most;3
ocean;2
day;20
must;14
impressive;1
seen;15
outside;6
these;16
walls;1
movie;2
neighbor;3
house;38
somewhere;3
should;20
go;127
inside;21
food;2
leave;15
while;16
fill;4
stomachs;1
nervous;4
hovering;1
work;16
besides;2
stew;4
best;9
eaten;2
hot;2
anything;26
way;27
boyfriend;3
guy;19
seriously;2
am;29
um;6
don;171
remote;2
gets;7
lonely;3
at;70
came;17
along;4
then;30
style;2
ready;10
ride;3
bitch;7
smells;2
name;22
which;4
short;1
lemuel;4
sucks;4
grandfather;2
father;19
technically;1
third;2
easier;2
meat;4
beef;1
lamb;2
rabbit;1
squirrel;1
tara;11
doesn;15
speak;4
can;123
now;82
ll;89
finish;5
oh;85
liked;3
hearing;1
has;20
lost;14
believe;14
wondering;5
survive;2
without;8
electricity;2
flat;1
screen;1
madden;1
any;19
dial;1
amish;1
sleeping;3
yes;21
herbs;1
drowsy;1
medicine;1
eat;23
later;9
wakes;1
find;19
awake;3
morte;1
somebody;9
down;37
chelsea;3
hell;30
killing;2
save;4
sorry;45
too;14
late;11
talking;12
infirmary;1
killed;15
dead;12
more;19
kerosene;1
lanterns;1
promises;1
cold;9
anywhere;8
funny;5
story;1
actually;9
sexy;1
uh;11
both;5
idea;8
whatever;10
kingdom;1
allow;1
live;10
presence;1
bask;1
warmth;1
light;4
receive;1
spirit;5
cleanse;1
body;8
soul;1
deliver;1
evil;1
hear;34
thank;15
god;47
swear;6
tar;1
remember;11
feed;3
everything;19
feel;11
feet;5
joke;1
