Mot;Occurrence
i;5861
over;100
here;439
please;99
help;121
me;854
someone;65
demetri;86
no;347
more;124
good;199
days;29
morning;32
los;22
angeles;22
it;1826
s;2200
and;1142
looks;27
like;287
gonna;372
be;641
another;72
beautiful;8
day;120
we;1190
re;753
looking;51
at;352
light;11
clouds;2
highs;1
in;1149
the;3080
mid;1
70s;1
today;70
keep;60
that;1453
umbrella;1
handy;1
because;138
ve;352
got;269
a;1979
chance;24
of;1209
sprinkles;1
later;24
you;4006
crappy;3
husband;9
hate;17
too;113
babe;15
don;558
t;1337
forget;16
to;2379
look;133
garage;8
door;12
acting;6
up;284
again;86
already;51
forgotten;1
bye;26
just;457
m;745
squirrel;1
doesn;79
mean;90
acorns;1
smells;2
go;275
my;630
princess;2
te;1
ayudo;1
hey;62
hector;1
buenos;2
dias;1
nicole;26
sorry;153
late;32
worry;17
olivia;51
working;50
shift;8
hospital;43
tonight;48
can;551
stay;46
an;220
extra;6
hour;18
or;191
two;100
problem;28
studying;2
do;536
saint;3
this;934
is;946
bryce;17
know;647
what;1118
weren;16
around;58
yesterday;14
better;69
have;637
damn;32
reason;35
why;245
call;124
immediately;2
worried;29
about;470
missed;4
calls;12
dr;74
benford;96
daughter;29
tracy;46
was;823
pounds;2
but;540
when;199
marines;2
shipped;1
her;266
body;11
back;214
from;270
afghanistan;18
remains;6
they;441
weighed;1
only;112
knew;48
all;497
dna;2
d;227
left;33
so;394
took;35
drink;17
night;54
amanda;1
yet;49
yeah;133
talking;78
really;145
kind;77
weird;20
she;347
told;81
never;115
heard;40
your;625
sponsor;7
one;286
who;255
supposed;70
riding;1
not;537
other;71
way;130
right;391
getting;51
come;232
on;727
aaron;24
cool;16
nurses;3
freak;3
out;381
man;146
date;23
giving;11
friggin;2
enema;1
how;282
thing;151
wrong;42
thought;80
charlie;73
asleep;10
which;56
love;70
as;210
soon;29
done;51
get;410
well;105
stop;59
work;96
then;149
subject;3
first;82
dance;5
zoey;22
picks;1
corniest;1
songs;1
time;193
islands;3
stream;3
old;25
kenny;1
rogers;2
dolly;1
parton;1
duet;1
okay;183
used;31
sing;2
did;250
karaoke;2
were;320
drunk;4
put;72
with;462
dating;1
friends;24
will;181
there;422
family;39
cannot;6
live;36
down;132
care;47
any;111
riveted;1
fascinated;1
want;306
say;133
marry;11
odds;4
are;470
against;12
anyway;16
thank;84
still;95
married;10
surprised;6
didn;197
leave;41
long;42
ago;39
buddy;13
guys;62
even;114
remember;74
he;600
holy;4
terror;2
terrible;6
twos;1
year;19
lucky;6
girl;24
kidding;13
penis;2
gotta;73
them;141
showtime;1
khalid;3
omar;3
unknown;3
female;2
going;177
mobile;1
black;24
u;3
v;6
point;39
should;78
hit;22
seconds;26
fbi;65
janis;62
hawk;16
wedeck;38
suspects;4
move;53
three;46
weeks;24
finally;10
interesting;10
mark;174
putting;14
speaker;2
unidentified;5
caucasian;4
woman;35
e;23
mailing;3
pictures;10
now;353
part;48
sweetheart;10
digital;5
forensics;16
run;31
by;116
c;14
made;68
us;232
some;185
backup;3
fleeing;1
west;4
6th;19
escalade;1
license;3
plate;5
queen;9
robin;1
young;10
need;233
l;20
p;21
air;9
support;8
drop;11
car;32
calm;13
shut;33
laughing;1
before;94
happened;91
lost;27
consciousness;26
blacked;16
sir;19
try;39
think;238
driving;11
aside;6
excuse;27
him;289
could;176
blow;8
trust;36
office;71
see;246
if;368
tell;190
hell;76
somebody;23
moving;6
hold;23
doctor;17
ll;263
crap;9
had;193
bad;63
dream;7
dreamt;1
our;217
suv;1
thinkin;1
hear;34
hands;19
planning;8
attack;10
take;143
easy;13
suitcase;1
set;19
off;91
answer;19
somewhere;21
else;56
storm;1
horses;1
scared;23
does;71
dirty;7
bomb;7
maybe;108
involved;14
cops;2
big;56
mess;6
until;32
emergency;5
services;9
arrive;2
whoever;17
ain;1
comin;2
radio;2
guy;95
san;8
diego;1
dealing;10
same;66
than;86
sit;26
shoot;12
through;84
listen;48
seattle;3
close;25
miles;7
make;132
foot;9
nothing;85
check;30
watch;13
son;45
