Mot,Occurrence
i,7618
you,5985
s,5064
a,4534
the,4447
to,3472
on,3284
est,3115
je,2926
it,2845
de,2771
il,2456
t,2456
vous,2338
le,2325
pas,2321
we,2297
that,2220
he,1820
and,1810
la,1744
me,1712
c,1706
what,1651
à,1639
que,1629
un,1596
l,1568
m,1567
tu,1560
in,1400
et,1387
re,1369
okay,1333
of,1310
ce,1265
d,1247
this,1236
ne,1226
no,1219
ça,1219
les,1212
is,1169
en,1126
know,1095
do,1095
qu,1024
une,1019
right,1018
got,997
just,975
get,962
can,961
go,949
j,923
don,917
your,909
was,874
all,867
they,842
not,838
there,836
for,836
pour,827
here,811
him,799
ai,787
n,779
y,773
my,750
out,737
let,736
yeah,734
bien,729
with,716
be,708
elle,699
she,692
have,686
up,679
so,670
are,656
va,655
gonna,653
des,635
moi,626
but,617
one,603
ils,599
her,595
about,561
non,554
as,549
dans,545
nous,544
tout,537
qui,537
là,517
mais,511
down,505
need,499
ll,496
spike,494
like,492
now,492
at,488
if,487
si,487
avec,467
want,462
était,448
sam,445
faire,444
how,443
come,442
oui,440
suis,439
see,438
good,437
going,434
jules,419
te,412
ok,410
ve,406
his,403
au,401
du,397
quoi,396
back,396
se,395
sais,394
fait,391
mon,374
ed,372
sur,370
être,359
plus,357
peut,353
votre,349
son,344
dit,343
where,341
us,332
think,331
lui,330
boss,328
time,326
tell,322
ici,320
take,318
parker,315
où,314
hey,312
way,312
please,306
who,303
well,302
toi,300
wordy,300
copy,299
veux,298
from,296
guys,282
font,282
guy,281
juste,281
oh,279
police,273
why,273
team,273
sont,270
allez,267
when,266
them,264
look,262
did,261
avez,258
man,255
peux,253
doing,252
comment,251
an,249
talk,248
or,243
didn,242
two,239
rien,236
stay,235
something,234
help,232
comme,232
sorry,231
sa,228
chose,218
vais,217
reçu,217
were,215
dire,215
besoin,215
bon,215
minutes,214
keep,214
then,214
been,213
could,213
say,212
ont,208
greg,208
make,208
par,207
uh,207
merci,207
our,206
off,205
gun,204
alors,204
put,203
pourquoi,201
ou,200
gotta,198
arme,195
quand,195
eddie,195
some,193
call,193
had,193
ma,192
move,189
over,186
anything,186
said,183
es,177
temps,176
voir,175
parler,175
êtes,174
give,174
any,172
très,167
little,166
mean,165
still,165
through,164
by,164
faut,164
quelque,163
dois,161
fais,159
ton,159
deux,159
really,158
vas,158
thing,158
maintenant,158
more,157
maybe,157
place,156
été,156
aller,156
name,153
plaît,152
will,152
doit,148
stop,148
first,147
avoir,147
am,146
cette,146
subject,145
away,145
équipe,145
autre,144
sure,144
encore,143
home,143
thank,141
yes,141
never,140
hear,140
toujours,140
accord,138
work,137
ces,137
nothing,137
color,136
would,136
car,135
phone,135
into,133
personne,132
gars,132
everything,130
sergent,128
too,128
vu,128
femme,128
people,128
avait,127
three,126
has,126
chef,125
veut,124
dis,124
aider,124
wanna,124
done,123
shot,123
désolé,123
tous,122
long,122
these,122
ans,122
leur,121
compris,121
vraiment,121
hold,120
passe,120
hands,120
savez,120
years,119
jamais,119
kid,119
listen,118
only,117
sortir,117
today,117
jack,116
because,116
monde,115
même,114
quelqu,114
find,113
voulez,113
door,112
told,112
plan,111
reste,110
sru,110
avant,110
kids,109
depuis,109
sir,109
looking,108
trying,108
talking,108
ses,108
com,107
wanted,107
mr,106
those,106
other,105
enfants,103
notre,103
après,103
coming,103
last,103
else,101
sierra,101
air,101
vois,100
day,100
job,100
vos,100
aussi,100
before,99
clear,99
peu,99
haley,99
doesn,98
fine,98
again,98
faites,97
lot,97
very,96
room,96
night,96
around,96
arrive,96
lou,95
floor,95
wife,94
kill,94
père,94
happened,94
pat,93
vie,93
eu,93
aux,93
their,93
bravo,93
bas,93
thanks,93
allons,92
should,92
patron,91
lewis,91
every,91
left,90
beaucoup,90
winnie,90
em,90
eyes,89
donc,89
after,88
maison,88
getting,88
life,88
mains,87
passé,87
chez,87
sécurité,86
understand,86
sûr,86
pense,86
partir,86
terre,85
saying,85
remember,85
nice,85
pouvez,85
homme,84
ago,84
buddy,84
brother,84
cause,84
fille,83
nom,83
danny,83
god,83
much,83
ta,83
trois,82
chance,82
family,82
mike,82
mec,82
sans,81
déjà,81
hurt,81
dale,80
fois,80
hell,80
kevin,80
sarge,80
malone,79
baby,79
alpha,79
savoir,79
great,79
always,79
sujet,79
ydy,78
ryan,78
position,78
hui,78
sergeant,77
even,77
dad,77
aujourd,77
mom,77
leave,77
restez,77
laissez,76
money,76
care,76
dites,76
type,76
sait,76
porte,76
cops,75
vrai,75
rj,75
safe,75
frère,75
prendre,75
parle,75
h,75
viens,75
charles,75
wants,75
does,74
better,74
voiture,74
