Mot;Occurrence
vous;2338
savez;120
pourquoi;201
nous;544
sommes;27
tous;122
là;517
c;1688
est;3115
pour;826
aider;124
comprenez;23
mais;511
d;1023
abord;26
devez;57
poser;13
votre;349
arme;195
traduisez;7
posez;44
ostavi;10
pistolj;10
voulons;7
juste;281
restez;77
calme;66
smiri;5
se;390
sierra;45
change;10
les;1211
canaux;4
changés;1
one;20
reçu;217
allez;267
prêt;45
scorpio;17
eddie;73
hé;66
j;918
ai;786
vu;127
ça;1219
je;2926
dois;161
y;742
aller;156
mon;372
chauffeur;4
ne;1224
comprends;55
pas;2321
tu;1560
le;2319
savais;35
dis;124
à;1639
tes;55
parents;33
que;1629
aurais;39
voulu;19
vraiment;121
n;759
choix;44
un;1595
truc;39
barney;2
sa;227
retraite;10
jakub;1
et;1387
dorota;1
viennent;19
papa;40
voulait;54
peu;99
t;471
exhiber;1
quartet;1
de;2763
clark;16
va;655
jouer;11
anniversaires;2
produisent;1
chaque;53
année;17
fait;391
une;1019
arrive;93
qu;1024
fois;80
peux;253
rater;4
ce;1265
ils;599
vont;65
faire;444
te;403
dégommer;1
avec;467
des;635
cartouches;2
en;1117
caoutchouc;6
ed;115
monde;115
s;606
écrouler;1
si;487
toi;300
potes;6
manquez;2
quelques;38
pompes;2
prépare;8
7h00;1
bon;215
prendrai;7
bus;6
soph;5
tout;537
sera;58
même;114
ceux;19
du;397
vieux;13
temps;176
comme;232
la;1742
famille;68
bonne;52
a;1816
plus;352
fiston;16
ou;195
veux;298
dise;13
mes;73
seras;8
leur;121
40ème;2
anniversaire;5
officier;40
wordsworth;11
dire;215
ses;108
garder;15
sens;35
l;1560
humour;1
when;7
constabulary;1
duties;1
to;16
be;5
done;2
policeman;1
job;10
is;7
not;4
happy;2
ok;389
on;1836
compris;121
prochain;7
arrêt;4
st;6
catherine;5
station;13
alors;204
quoi;396
penses;30
dit;343
me;377
perdre;35
bremler;2
tenu;3
distance;10
rolie;8
brass;1
laissé;19
tester;2
nouveau;31
oh;55
ouais;71
as;329
pensé;9
cette;146
double;13
gâchette;2
elle;699
enrayée;1
autant;12
prier;1
grosse;8
cible;24
beau;11
flingue;21
casse;5
aucune;40
classe;2
