Mot;Occurrence
do;1095
you;5956
know;1092
why;273
we;2290
re;1366
all;864
here;808
it;2839
s;4458
about;559
helping;8
understand;85
help;232
but;607
first;137
have;683
to;3456
put;203
the;4421
gun;204
down;503
give;168
me;1335
uh;205
ostavi;10
pistolj;10
want;462
just;970
gimme;12
calm;52
smiri;5
se;5
keep;214
sierra;56
switch;9
channels;5
switching;5
one;583
copy;299
come;442
on;1448
go;946
ahead;41
scorpio;16
eddie;122
hey;308
i;5868
saw;73
that;2212
gotta;198
my;746
ride;9
don;915
t;1985
knew;52
this;1235
tell;322
your;899
folks;21
wish;17
could;212
really;158
a;2718
choice;45
thing;158
for;833
barney;2
his;403
retirement;5
jakub;1
and;1787
dorota;1
are;655
flying;10
in;1391
dad;77
wanted;107
show;55
off;205
little;164
clark;20
quartet;1
gonna;653
play;28
anniversaries;1
happen;42
every;90
year;44
what;1649
they;841
is;1162
happens;33
once;33
not;834
something;234
can;955
miss;20
demote;1
rubber;7
bullets;9
ed;257
world;39
end;44
if;487
buddies;9
skip;1
few;53
pushups;1
pack;4
up;676
seven;26
okay;1332
ll;492
take;318
bus;8
be;703
right;1018
there;833
soph;7
everybody;61
even;77
some;193
of;1305
old;57
timers;2
like;489
family;82
good;436
later;29
kiddo;4
or;241
so;659
parents;32
missing;27
their;93
fortieth;1
officer;58
wordsworth;18
her;595
ah;17
em;90
remember;85
gilbert;1
sullivan;1
when;259
constabulary;1
duties;1
done;121
policeman;4
job;90
happy;25
got;996
papa;1
next;55
station;25
st;10
catherine;5
d;224
think;327
told;112
them;264
waste;4
time;326
bremler;2
didn;242
live;40
specs;2
rolie;8
brass;3
let;735
him;799
test;4
drive;20
new;51
oh;224
yeah;734
did;261
double;16
trigger;20
pssh;1
she;692
jam;2
away;144
better;73
pray;1
fat;9
target;23
mean;165
sweet;6
looking;108
piece;22
sass;1
no;1218
class;11
well;302
match;7
brawn;1
brain;10
pain;9
face;22
walls;9
need;496
cleaned;2
sorry;231
sarge;80
get;962
stuck;6
huh;70
nothing;136
who;303
won;59
daily;1
special;15
bread;1
butter;1
drug;20
squad;11
bust;4
jamestown;1
whose;7
score;4
naismith;4
he;1816
said;183
was;870
big;74
last;103
two;237
kids;109
couple;37
joints;1
day;98
christmas;4
wouldn;60
now;491
would;136
babycakes;7
how;442
frickin;4
shag;1
carpet;1
been;213
picking;16
out;736
treads;1
morning;64
price;15
love;67
spike;320
make;208
breakfast;6
say;211
goodbye;6
girlfriend;10
briefing;11
room;96
five;54
minutes;117
spikie;1
party;21
tonight;44
thought;61
were;214
doing;252
am;146
supposed;37
maybe;157
picture;13
law;12
40th;1
anniversary;2
c;18
mon;2
m;1166
saying;85
pay;25
cop;52
retires;1
week;33
ya;33
home;143
comes;46
marta;1
r;15
y;31
martha;9
please;306
talk;248
stay;235
from;292
everything;130
call;193
police;153
again;98
with;716
back;395
work;136
short;15
any;172
incoming;3
ve;404
narc;1
warrant;14
detective;5
exhilarating;1
electrifying;1
details;4
which;49
will;148
learn;9
en;9
route;13
ninja;1
teams;3
alpha;43
wordy;190
lou;69
man;253
ram;5
head;64
bravo;50
boss;301
six;33
dds;1
flashbangs;7
lew;11
less;32
lethal;34
shall;2
negotiate;6
should;92
arise;1
snipers;6
jules;255
mr;89
lane;25
absolutely;22
spread;4
wealth;1
leave;77
alone;57
hand;41
way;311
shut;50
people;128
hear;138
touch;34
only;116
someone;71
where;339
going;434
came;72
as;220
telling;45
warned;3
font;266
color;133
ffff00;53
bbs;47
ydy;69
com;93
proudly;41
presents;42
sync;39
ö;2
ê;3
µ;2
â;35
ßçèâèâ;20
flashpoint;31
season01;11
episode01;2
suspect;12
flagged;5
seen;45
fleeing;1
vicinity;5
exiting;2
york;21
male;27
white;28
40s;1
blue;15
jacket;3
heavy;7
set;46
ten;40
sixty;4
four;48
repeat;14
drop;56
weapon;39
move;188
code;21
hundred;7
plaza;6
north;35
square;10
immediate;17
backup;13
extreme;5
caution;6
bystanders;1
hostage;57
rangefinders;3
check;59
bipods;1
night;93
great;79
hunh;2
battery;6
packs;5
loaded;6
yup;10
happened;94
snuggle;1
front;43
tv;12
sitting;13
wanna;124
finish;18
drywall;3
team;248
saddle;1
suit;14
change;24
plans;19
game;23
showtime;1
baby;79
guy;281
carrying;7
luger;2
victim;20
critical;7
female;16
onscreen;1
at;488
civilians;15
careful;18
over;185
mornin;1
break;31
rush;3
hour;38
business;27
district;4
place;111
packed;3
means;30
high;34
building;61
counter;7
west;36
too;126
east;31
gives;11
us;331
maximum;6
coverage;2
runnin;3
both;50
losing;16
else;100
crazy;36
damn;20
unit;63
city;22
chill;7
sayin;3
