Mot,Occurrence
i,4898
est,4049
you,3757
je,3452
a,3136
de,2894
c,2758
s,2727
pas,2587
the,2421
tu,2318
que,2082
t,2063
on,2052
it,2041
un,2003
le,1909
la,1847
to,1557
that,1547
et,1521
vous,1507
j,1506
ça,1498
il,1474
bret,1428
à,1399
l,1278
d,1276
ce,1269
les,1265
oh,1249
une,1208
non,1144
ai,1114
yeah,1099
en,1096
me,1092
m,1052
oui,1005
and,985
of,981
qu,977
ne,944
we,914
what,898
no,895
des,860
jemaine,850
pour,776
as,736
mais,730
just,716
is,711
n,703
in,683
bien,664
ouais,661
re,657
qui,634
moi,623
do,622
murray,618
du,611
suis,585
plus,583
dans,575
fait,563
si,562
my,556
not,555
don,553
was,549
faire,548
te,545
have,544
he,541
well,541
avec,538
y,538
elle,536
your,535
nous,526
this,522
ve,504
know,504
like,501
tout,500
quoi,480
all,474
okay,468
there,451
got,444
are,444
était,444
for,442
mon,437
bon,427
with,427
be,422
toi,414
but,412
can,410
so,408
au,406
about,394
là,385
right,382
go,382
they,380
veux,374
good,373
comme,367
être,362
get,359
se,356
sais,354
accord,350
merci,349
ils,346
sur,344
one,341
es,328
vraiment,326
dit,326
here,326
out,321
va,320
guys,319
hey,319
alors,314
peux,309
salut,305
think,299
yes,295
lui,294
quand,284
deux,284
ok,281
ll,281
she,278
fais,268
dire,268
ton,265
really,265
new,258
groupe,258
up,258
cool,258
at,256
peu,255
mel,252
see,250
peut,247
if,245
want,244
sont,244
ah,242
how,232
look,231
him,229
cette,225
vais,225
gonna,222
did,221
pourquoi,220
où,214
some,213
super,212
now,212
comment,209
très,209
vrai,208
trop,207
aussi,205
parce,201
rien,194
ici,191
come,186
man,185
band,183
from,182
could,179
were,178
ma,176
même,175
when,175
aller,174
mes,174
who,173
crois,171
faut,169
her,167
ta,166
aime,166
temps,165
nouvelle,163
juste,162
gars,160
étais,159
too,159
them,159
allez,158
two,156
would,156
time,156
let,155
avez,154
chose,153
soir,153
say,153
going,153
us,152
uh,152
dis,152
ont,151
autre,151
avoir,151
hé,150
vois,149
ou,149
love,149
par,148
désolé,147
why,146
jamais,146
