Mot;Occurrence
mec;77
en;791
nouvelle;128
zélande;82
je;2434
me;677
tapais;2
plein;19
de;2047
filles;41
qui;463
ben;39
sarah;3
fitzpatrick;9
michelle;6
claire;6
la;1340
liste;23
est;2856
longue;5
y;393
a;1926
qu;689
elles;60
ça;1036
fait;397
un;1387
nombre;6
à;1008
chiffres;4
pas;1794
du;426
tout;340
trois;63
le;1384
problème;65
c;1882
que;1461
sors;14
avec;385
des;605
fais;184
parler;49
mais;503
celles;8
dont;14
tu;1639
parles;23
sont;192
canons;2
bien;471
plus;413
te;376
là;280
bas;55
vrai;146
parle;49
beaucoup;88
sortir;38
très;139
cool;155
t;1320
arrêtes;9
d;869
oui;735
taper;2
super;132
doit;34
être;260
dave;72
habite;6
ici;134
fête;73
ok;188
besoin;93
carte;34
on;1343
côté;25
s;1620
su;14
sub;4
subt;4
subti;4
subtit;4
subtitl;4
subtitle;101
ak;2
aka;2
akaz;2
akaza;2
akazab;40
b;53
bi;2
bir;2
bird;21
birdy;2
birdyb;2
birdybe;2
birdyben;35
j;1050
ju;47
l;912
led;4
ledj;2
ledje;41
kazab;2
azab;2
zab;2
ab;2
irdyben;2
rdyben;2
dyben;2
yben;2
n;510
u;42
edje;2
dje;2
e;11
w;20
f;7
r;9
episode;4
1x01;1
sally;94
salut;209
une;842
pure;2
soirée;30
superbes;4
décorations;1
va;224
les;917
gars;118
veux;247
faire;380
salop;1
vous;1103
pourriez;10
dégager;2
essaie;20
avoir;104
air;93
seul;38
pourquoi;156
nanas;8
adorent;6
psychologique;3
et;1069
pour;557
eugene;4
il;1043
sait;34
ce;929
dirait;36
attends;31
mecs;23
allez;105
prendre;69
samossa;1
avez;123
goûté;1
aux;63
i;2997
gulab;3
jamuns;3
ils;260
déchirent;1
voulais;37
dire;174
après;52
ou;103
semaines;7
trouvent;2
chiant;5
sais;242
si;390
vu;86
se;243
connaît;6
peine;4
peux;217
bret;915
sûr;83
combien;62
temps;116
minutes;43
regarde;52
partout;10
dans;423
pièce;19
es;237
belle;30
toute;40
entière;3
quand;198
rue;29
dépend;8
parie;6
carrément;4
top;36
belles;40
ai;783
chez;71
mon;332
pote;19
suis;407
dit;229
elle;387
fout;7
comment;150
pu;32
inviter;4
canon;15
comme;254
joué;16
légende;3
lui;190
demande;9
prévu;13
brancher;1
dis;104
moi;424
dérange;15
même;121
viendra;2
vais;148
vois;103
seule;18
près;27
chaîne;6
stéréo;2
baisse;9
fond;11
lumière;17
jette;2
eau;23
tellement;24
pourrais;57
serveuse;2
hôtesse;2
années;17
mannequin;7
mi;3
puis;35
conclus;2
mes;129
danse;22
h;7
toi;276
sept;8
autres;33
autour;9
sur;248
piste;12
rapproche;3
allons;29
nous;392
prenons;5
taxi;13
cab;4
paierai;1
kebab;12
reviens;16
partager;2
fille;50
jamais;105
manger;22
partirait;1
lover;2
canapé;6
non;751
ne;662
prenne;3
notre;66
no;485
o;4
arbre;3
call;37
girl;20
luxe;2
devras;4
sans;52
doute;9
garder;14
ton;192
job;26
actuel;1
entre;27
passer;29
côtés;3
habitude;15
mieux;41
rangé;1
éteins;4
bon;260
laisse;28
devrais;45
aller;121
sûre;6
alors;206
allume;3
appelle;49
passé;57
raté;3
quelque;77
chose;106
voyais;6
rien;129
dansé;4
été;66
galant;2
acheté;17
payé;17
moitié;20
aurais;46
dû;47
payer;30
course;16
as;496
couche;3
vendredi;18
crois;120
savoir;25
où;153
merdé;2
hier;20
soir;98
ah;139
voulu;8
partir;25
allumé;6
pense;88
trouvé;33
bizarre;82
aussi;137
parce;135
sortait;2
ensemble;55
avant;29
truc;77
sens;21
peut;173
avis;10
surtout;16
sorti;7
genre;31
six;17
mois;13
vraiment;237
envie;17
voir;108
ex;15
surprise;7
par;105
interférer;1
pensez;13
récupère;1
immeuble;5
crétins;1
voulez;44
essayer;10
tournez;1
marche;21
réunion;46
groupe;175
jemaine;520
visiblement;1
êtes;98
dois;78
faut;110
note;14
donc;39
murray;374
présent;49
terrible;50
saviez;3
étais;116
invité;11
savais;36
savait;4
merci;236
article;4
fan;46
club;13
proposition;3
agrandir;1
américain;3
quel;46
mel;166
juste;115
facile;27
fans;48
seront;4
savent;4
direct;4
aura;14
personne;67
amplifier;1
choses;47
plaît;45
sonne;7
pensé;20
plans;6
concerts;19
venais;1
lâche;4
baskets;6
manager;41
valides;1
canyon;5
autre;99
point;39
exclamation;3
soit;27
utile;3
concert;80
aquarium;6
mal;65
compris;24
eu;55
typo;2
manquait;1
mot;8
électrogène;2
cherchaient;2
leur;56
envoyé;11
démo;2
ont;106
aimé;9
pensent;7
au;274
guichet;1
quoi;332
positif;7
idées;8
clip;6
allais;24
prendrai;7
midi;6
souci;2
argent;54
helen;7
hewitt;29
accord;237
samedi;11
matin;13
dingue;23
trop;141
drôle;9
adore;22
humour;3
escaliers;1
m;657
liss;1
jogging;6
jeudi;17
votre;69
pendant;38
heures;23
attendre;14
heure;51
mat;3
viré;15
quelle;35
annulé;3
nul;8
cons;4
poissons;15
étaient;29
magnifiques;3
reproduisaient;1
période;1
accouplement;1
veuille;1
détails;5
intéressant;4
certaines;6
espèces;2
deux;201
partenaires;3
venez;15
prenait;2
pris;47
amuse;3
traîne;5
génial;32
gâteau;14
change;4
isabella;3
dégage;4
vingt;1
dollars;33
donne;38
télé;11
idiot;13
essaye;12
vendre;13
magnifique;6
amusés;3
était;311
désolé;110
venu;18
grave;16
plutôt;21
sortiez;2
sortie;6
passe;50
angleterre;2
peu;170
importe;25
carre;1
total;2
meilleur;18
habites;4
trouve;23
states;2
cas;10
réfléchir;3
membre;10
passée;2
présente;7
conseil;5
triangle;3
amoureux;16
fleetwood;3
mac;3
quatre;31
carré;2
conclut;1
rappelez;1
meilleurs;4
époque;3
rumeurs;2
vérité;5
caméras;2
budget;12
rentrer;16
comptes;2
dépenser;3
copie;1
mettre;50
débrouillé;1
grand;34
action;7
bonne;105
caméra;4
téléphone;25
prennent;3
clips;1
utilise;5
prend;9
bonnes;11
images;1
sérieux;28
censé;10
ces;93
trucs;13
boutons;2
fonctions;1
robot;11
tétons;4
touche;14
recommençons;1
ressemble;31
daft;6
punk;8
voulait;23
ressembler;3
robots;20
futur;14
bizarrement;1
aie;3
électronique;5
rentre;10
cou;1
voilà;77
lointain;9
année;13
monde;66
changé;7
depuis;32
révolte;1
robotique;2
milieu;9
tristesse;4
existe;11
affirmatif;9
place;40
moins;25
discussion;2
rhétorique;1
quelques;24
amis;60
sorte;10
boogie;18
sortes;2
danses;2
enfin;28
dirige;2
humains;22
morts;32
utilisé;10
gaz;7
toxique;2
empoisonner;2
leurs;23
culs;1
devait;9
vérifier;6
puisse;12
marrer;2
cogné;1
mort;20
penses;26
arrivera;5
sauras;6
unique;4
certains;10
chance;37
uniques;3
cinq;22
dimanche;4
lundi;11
tard;47
bye;32
appartement;6
seuls;6
bosse;11
projet;5
secret;14
casque;7
tes;86
cheveux;29
avance;6
corps;26
demain;26
nuit;57
lustres;1
prêt;8
ailleurs;16
devais;10
aider;18
porte;34
tous;100
jours;19
libres;1
dérangerait;3
traîner;2
serait;52
dîner;16
tenir;8
chandelle;2
sera;40
potes;9
aime;114
aimes;32
aimait;2
guillemets;1
sois;17
content;20
rendez;32
justement;2
vaut;8
parte;2
reste;61
toujours;64
commandé;5
aurai;3
canard;9
ruiné;2
pourras;3
ramener;6
maison;29
ravi;6
ramènes;2
ramène;7
vas;56
sort;39
aimais;7
parlé;21
parfois;25
cherches;3
devant;22
yeux;24
dug;2
mariés;2
raconter;1
promis;6
prendrais;3
pervers;2
montré;6
photo;61
lèvres;8
portefeuille;6
cousins;6
appeler;14
ta;121
mère;27
devriez;12
évident;4
accro;1
clair;9
avait;68
emmerder;3
bientôt;18
disais;17
pourrait;45
part;49
week;14
end;12
lieu;6
alliez;1
romantique;3
cher;13
occupée;2
moment;58
jus;7
coulé;1
chemisier;2
devrait;42
arrêter;11
graisseux;1
faudra;6
emmener;4
pressing;2
oublie;13
break;25
instant;11
