Mot,Occurrence
i,29297
you,16831
s,9706
je,9401
a,9115
the,8043
to,7950
est,7761
t,7351
de,7005
it,6788
tu,6489
that,6402
pas,5995
on,5906
que,5629
and,5303
c,5132
le,4864
m,4458
et,4418
me,4347
à,4261
what,3994
ça,3974
la,3757
il,3613
un,3585
j,3368
ce,3368
we,3246
this,3184
vous,3182
is,3175
of,3091
know,3040
en,2991
l,2876
in,2834
just,2791
d,2777
re,2753
all,2560
les,2507
don,2503
pour,2451
he,2431
une,2407
qu,2366
right,2331
do,2325
for,2255
gonna,2203
go,2173
not,2170
ai,2159
your,2131
be,2101
my,2063
get,2040
y,2008
can,1941
bien,1923
have,1900
ne,1860
are,1842
here,1832
as,1827
about,1824
te,1772
no,1725
va,1717
up,1691
so,1678
with,1647
got,1645
coach,1630
like,1606
out,1568
sais,1554
good,1548
there,1527
moi,1470
yeah,1458
was,1446
suis,1422
mais,1389
si,1370
let,1362
but,1340
des,1333
ll,1321
quoi,1299
toi,1282
tout,1273
n,1256
how,1255
qui,1250
think,1219
oh,1208
faire,1193
veux,1184
come,1183
non,1164
avec,1149
plus,1136
at,1127
là,1123
now,1121
dans,1106
du,1097
hey,1090
fait,1083
au,1072
elle,1063
être,1060
want,1056
she,1045
okay,1034
if,1021
well,1017
one,1006
mon,988
they,986
him,957
se,923
es,922
sur,919
see,888
nous,862
était,856
oui,855
comme,846
really,842
ok,832
dire,818
juste,811
need,811
merci,809
look,808
peux,805
allez,795
some,792
ma,786
going,775
matt,766
back,764
ve,755
bon,745
doing,742
panthers,740
tell,736
mean,727
cette,725
ils,724
ouais,724
ton,723
dillon,721
vais,719
comment,713
man,693
ici,676
time,675
vas,651
football,646
tim,643
fais,642
her,640
vraiment,637
lui,637
did,636
down,630
why,620
riggins,620
sorry,619
rien,617
something,615
been,608
saracen,597
take,596
peut,595
thank,581
who,578
little,575
over,574
smash,573
dit,565
talk,561
or,555
alors,549
taylor,544
pourquoi,542
son,541
ta,541
game,534
say,532
accord,529
make,517
wanna,510
an,508
aller,503
yes,502
great,490
chose,487
team,477
would,474
voir,472
lyla,470
from,467
when,467
off,466
thing,465
où,464
could,463
cause,461
his,461
très,456
love,455
night,452
tyra,441
jason,440
temps,439
gotta,438
didn,437
par,426
match,423
avoir,422
our,417
us,412
même,412
quand,409
will,408
then,404
way,403
where,403
besoin,402
pos,402
parler,398
aussi,397
équipe,397
dois,395
am,393
aime,392
sont,392
has,390
ou,388
too,388
peu,385
buddy,382
play,382
uh,379
honey,378
school,378
pense,376
mère,375
salut,373
had,370
baby,369
sure,365
because,365
donc,365
faut,362
julie,360
ces,360
dad,359
hell,358
much,357
were,355
voilà,355
even,354
viens,354
hé,353
listen,353
deux,352
maybe,351
job,350
autre,345
parce,343
give,338
soir,335
passe,335
anything,335
dis,334
car,334
by,334
tous,330
big,326
fine,326
désolé,326
landry,324
work,323
tes,321
said,320
vois,318
sir,317
should,317
maintenant,317
nice,315
more,315
lot,315
garrity,314
two,313
gars,312
home,309
ont,309
mec,306
sûr,305
bonne,303
please,300
quelque,300
père,298
these,298
votre,297
avez,295
any,293
crois,289
call,287
guys,285
jamais,284
street,279
put,277
encore,276
mom,275
help,273
écoute,273
first,269
into,269
god,269
trying,267
notre,267
day,266
around,266
everything,265
again,265
understand,265
mes,265
em,263
them,263
feel,261
talking,260
ball,260
thanks,259
ready,258
kind,257
grand,256
ever,256
chérie,255
williams,255
keep,252
place,252
quarterback,252
mal,252
real,251
house,250
texas,250
sa,248
toujours,248
étais,247
people,247
never,247
fille,246
été,246
beaucoup,245
other,245
sans,241
monde,241
fois,241
very,241
prendre,240
done,240
touchdown,239
maison,238
stop,237
vu,237
voulais,235
care,234
girl,234
wait,233
chez,233
tonight,233
damn,231
chéri,229
thought,229
coming,228
super,227
life,227
pretty,226
long,224
veut,224
last,223
those,222
second,221
jouer,221
avais,221
year,221
nothing,221
monsieur,220
personne,220
dieu,216
money,215
toute,214
guy,214
billy,213
sera,212
bye,212
better,211
start,211
chance,211
leur,210
new,210
doit,209
boy,208
field,208
question,208
vie,208
away,207
vrai,207
moment,207
state,206
aux,205
hi,205
friday,205
left,205
hit,205
trop,204
week,204
getting,202
avant,201
êtes,201
problème,200
things,199
important,199
than,199
air,197
only,197
kid,196
every,196
hear,196
actually,195
whole,195
boulot,193
laisse,193
après,192
part,192
mieux,192
quelqu,191
next,191
does,190
désolée,190
passer,190
parle,188
wanted,187
doesn,187
regarde,186
papa,186
déjà,185
serait,183
before,182
minute,182
terrain,182
mccoy,181
soit,181
tard,181
wrong,181
passé,180
point,179
guess,179
saying,179
end,179
um,179
family,178
today,177
thinking,177
best,176
bonjour,176
else,176
ask,175
prends,174
arrête,174
told,174
venir,173
truc,173
hein,173
cool,172
being,172
www,171
always,171
might,170
arrive,170
choses,170
depuis,170
alright,167
hut,167
mr,167
quel,167
win,167
prêt,167
happened,167
eu,165
minutes,165
everybody,165
petit,163
deal,163
together,163
still,162
famille,161
hard,160
made,160
eric,160
yourself,159
bring,159
maman,159
aider,158
stay,158
parents,157
ans,157
probably,156
later,156
bit,155
through,155
attends,154
problem,154
pourrait,153
ain,153
bad,153
leave,152
reste,152
école,151
three,151
believe,151
run,150
raison,149
after,148
comprends,148
looking,148
ass,148
high,147
fun,147
demain,147
practice,145
try,144
tomorrow,144
sois,143
pensais,143
watch,143
jour,143
savoir,142
heard,142
voiture,141
excuse,141
gracie,141
argent,141
aurais,140
another,139
happen,139
tami,139
idée,138
avait,138
huh,138
tête,138
stuff,137
their,137
brian,137
vendredi,137
head,137
won,137
idea,136
bébé,136
compris,136
supposed,136
break,136
quelques,135
lions,135
savez,135
devrais,135
came,134
college,133
penses,133
allons,132
find,132
balle,131
shut,131
vince,131
rester,130
years,129
nuit,129
old,129
move,129
pourrais,128
east,128
jusqu,128
room,128
face,128
panther,128
fini,127
plaît,127
town,127
set,126
bas,126
écoutez,125
grandma,125
folks,125
having,124
hold,124
looks,123
vont,123
austin,123
luke,123
pass,123
ses,123
isn,123
appreciate,122
course,122
taking,121
gets,121
line,121
semaine,120
connais,120
année,120
eh,120
entre,120
devrait,119
sous,119
lose,119
seconde,119
coup,118
foot,118
sens,117
gentlemen,117
gens,117
miss,116
voodoo,116
parti,116
morning,116
nos,115
importe,115
tant,115
went,115
genre,114
six,114
own,114
whatever,114
cours,113
telling,113
girls,113
entendu,113
sit,113
cet,113
remember,113
dû,113
show,112
running,112
dinner,111
making,111
meet,111
appelle,111
homme,110
nouveau,110
faites,110
friend,110
full,110
moins,109
voit,109
kinda,109
lycée,109
playing,109
partir,109
stupid,109
ballon,109
plan,108
which,108
situation,108
top,108
puis,108
sortir,108
laisser,108
seen,108
though,107
aimerais,107
autres,107
working,107
seul,106
entraînement,106
euh,105
daughter,105
messieurs,105
ensemble,105
welcome,105
idiot,105
petite,104
wasn,104
gagner,104
mettre,104
mac,104
clear,104
fiston,103
funny,103
eyes,102
plutôt,102
boys,102
worry,102
yards,102
fous,102
seule,101
tmu,101
turn,101
partie,100
walk,100
tiens,100
combien,100
called,100
open,99
mindy,99
exactly,99
fils,99
chaque,99
hate,99
ah,99
dont,98
throw,98
side,98
amis,98
hui,98
aujourd,98
parles,98
couple,97
voulez,97
seriously,97
pris,96
matter,96
enough,96
late,96
vos,96
pick,96
suite,96
half,96
ville,95
means,95
cas,95
soirée,95
name,95
sérieux,94
friends,94
trois,94
since,94
filles,94
coeur,94
somebody,94
able,94
change,93
hello,93
demande,93
contre,93
jeu,93
serious,93
kids,93
dehors,93
assez,92
myself,92
mother,92
femme,92
mind,92
season,92
côté,92
wouldn,91
yet,91
lost,91
playoffs,91
party,91
joueurs,91
joe,90
aucun,90
travail,90
mead,90
attention,90
eat,90
toutes,90
porte,89
date,89
rentre,88
blue,88
jours,88
ca,88
belle,88
vient,88
histoire,88
fac,88
saison,87
star,87
days,87
aide,87
journée,87
défense,87
ju,87
propos,87
génial,86
while,86
marche,86
check,86
sait,86
arnett,86
everyone,85
savais,85
wants,85
état,85
goes,85
aura,85
quelle,84
net,84
mme,84
sors,84
snap,84
dernière,84
doin,84
meilleur,84
proud,83
took,83
someone,83
haven,83
parlé,83
pouvez,82
saw,82
anymore,82
instant,81
madame,81
mama,81
cafferty,81
crazy,81
hope,81
beautiful,81
joué,81
five,81
ride,81
howard,80
aurait,80
red,80
without,80
points,80
ira,80
espère,80
possible,80
lights,80
either,80
asking,80
rentrer,80
hurt,80
ligne,80
jd,80
use,79
vite,79
hand,79
mrs,79
jeune,79
parfait,79
main,78
father,78
donne,78
essaie,78
cash,78
offense,78
hot,78
rally,78
kidding,78
sounds,78
sort,78
garçon,78
donner,77
comes,77
inside,77
daddy,77
ahead,77
dur,77
hands,77
different,77
world,77
qb,77
dessus,76
few,76
seulement,76
enfin,76
door,76
ya,76
demander,76
may,76
heure,75
manger,75
decision,75
com,75
serai,75
weeks,75
conversation,75
lord,75
happy,75
under,74
trucs,74
venu,74
sympa,74
avons,74
series,74
easy,74
times,74
dirait,74
lance,74
compte,74
hearts,74
simple,74
dance,74
anyone,74
mets,74
soon,73
pay,73
pendant,73
outside,73
inquiète,73
ferme,73
joue,73
font,73
young,73
penser,73
four,72
anybody,72
babe,72
takes,72
live,72
adore,72
prochaine,72
club,72
zone,72
players,72
pensé,72
drive,72
aucune,72
meeting,72
tomber,71
ait,71
both,71
ten,71
façon,71
rest,71
many,71
tatom,71
trouver,71
décision,71
person,70
matthew,70
devant,70
ami,70
front,70
arriver,70
used,70
until,70
wade,70
fact,70
prend,70
nouvelle,69
revoir,69
droite,69
gillessilb,69
sommes,69
cela,69
needs,69
première,69
loin,69
already,69
reviens,69
says,69
cul,69
same,69
defense,69
regarder,68
crap,68
nom,68
class,68
started,68
regardez,68
perdu,68
bout,68
arrêter,68
commence,68
dîner,68
phone,68
gentil,68
vers,68
hmm,67
semble,67
shot,67
heart,67
sweetie,67
gros,67
sister,67
dallas,67
premier,67
most,67
yeux,66
occupe,66
neuf,66
step,66
ago,66
semaines,66
gone,66
gauche,66
soeur,66
middle,66
fête,66
finish,66
mort,66
peur,66
devoir,66
chercher,66
attaque,66
apprécie,65
knows,65
forget,65
fin,65
met,65
h,65
ni,64
commencer,64
longtemps,64
fast,64
hier,64
reason,64
stupide,64
aren,64
such,64
brother,64
questions,64
celui,64
trouve,64
tellement,63
merde,63
grave,63
exactement,63
mistake,63
aimes,63
each,63
pu,63
perfect,62
drôle,62
feeling,62
frère,62
games,62
pro,62
mois,62
train,61
retour,61
erreur,61
jules,61
makes,61
pouvoir,60
confiance,60
seems,60
true,60
close,60
principal,60
tour,60
wife,60
number,60
nobody,60
position,60
west,60
knew,60
hang,60
plait,59
once,59
sorte,59
anyway,59
ferai,59
prêts,59
glad,59
victoire,59
beau,58
cannot,58
action,58
content,58
calme,58
respect,58
realize,58
pensez,58
envie,58
dites,58
herc,58
trust,57
least,57
gosse,57
voudrais,57
droit,57
plein,57
between,57
catch,57
yours,57
voici,57
beer,57
dream,57
south,57
alone,57
pardon,57
entendre,57
seigneur,56
venue,56
matchs,56
finir,56
bus,56
matin,56
found,56
problèmes,56
read,56
courant,56
choix,56
plaisir,56
westerby,56
white,56
starting,56
ladies,56
grande,56
business,56
far,56
appelé,56
garde,56
seras,55
attendez,55
trouble,55
girlfriend,55
darksh,55
also,55
fera,55
black,55
bed,55
water,54
doute,54
gun,54
retard,54
busy,54
arrivé,54
copine,54
mcgill,54
must,54
strip,54
calling,54
perdre,54
sweet,54
elles,54
fort,54
shouldn,54
