Mot;Occurrence
captured;2
by;332
raceman;28
www;54
forom;29
com;41
good;1547
morning;115
west;38
texas;142
slammin;4
sammy;24
mead;49
comin;13
at;1127
you;16801
with;1645
panther;103
football;462
radio;21
am;385
on;2647
your;2127
dial;2
it;6765
s;8718
monday;11
and;5259
we;3240
all;2550
know;3031
what;3983
that;6390
means;93
only;192
four;70
days;83
till;32
friday;171
night;417
the;7975
our;414
dillon;385
panthers;336
bring;154
hammer;2
down;589
westerby;29
mustangs;5
who;574
wants;85
to;7929
talk;561
i;20209
m;3276
ears;8
hey;1073
this;3179
is;3172
susan;7
from;467
south;35
bain;1
new;190
coach;885
uh;378
taylor;290
right;2304
eric;112
well;1017
he;2429
got;1635
himself;29
a;6336
lot;312
of;3077
pressure;40
now;1121
there;1525
lots;12
expectations;8
him;957
heck;16
going;774
news;34
crew;4
following;5
around;266
every;193
step;65
preseason;1
does;187
think;1214
mack;5
brown;20
no;1715
ll;1314
tell;736
don;2481
t;4635
anybody;72
but;1305
let;1360
me;2911
something;613
has;388
stepped;9
into;269
number;60
one;973
team;415
in;2816
have;1891
followin;1
agree;26
added;2
lettin;2
how;1252
important;86
us;411
here;1831
want;1053
add;7
my;2050
voice;19
okay;1029
grandma;125
made;157
two;309
tuna;1
fish;9
sandwiches;6
put;277
medicine;3
green;20
gatorade;4
sandwich;13
then;403
just;2788
eat;90
other;243
when;463
get;2031
home;308
practice;144
be;2098
hungry;34
after;147
ol;11
yeah;1456
adore;3
y;319
gonna;2201
those;222
signs;4
say;529
landry;170
clarke;23
utterly;1
useless;5
state;198
jerk;9
d;594
probably;156
too;387
jason;224
street;150
pass;121
completion;2
rate;3
not;2168
nationally;1
are;1838
even;353
play;374
nope;10
seriously;97
some;791
kind;257
big;314
misdirected;1
daddy;76
love;453
thing;465
ain;150
can;1906
keep;250
driving;32
humiliation;1
for;2245
either;80
re;2746
an;466
insomniac;1
up;1683
anyway;59
doing;741
favor;39
should;316
thanking;1
was;1435
mean;727
matt;399
wasn;104
nice;314
gotta;438
little;570
brother;64
players;72
em;261
minute;108
move;129
tim;336
they;980
kick;49
off;459
yup;2
forget;64
mother;92
twice;17
player;45
ever;253
man;673
life;226
isn;123
maxim;1
magazine;4
supposed;136
waste;16
time;671
out;1556
evening;16
having;124
family;178
dinner;111
tonight;231
entire;45
together;163
rally;48
rehearsal;3
she;1042
rehearsing;1
far;55
her;638
tongue;4
mouth;33
nip;1
baby;367
doin;84
tommy;2
hayskins;1
nbc;1
sports;21
welcome;105
feel;260
head;136
many;71
years;129
six;85
yourself;158
quarterback;137
boy;197
very;241
proud;83
been;606
yes;501
sir;317
through;153
pee;14
wee;7
qb;41
coaching;24
since;94
freshman;17
jv;8
so;1671
awhile;2
coincidence;3
finally;21
job;315
final;14
season;91
high;142
school;378
career;15
fortunate;2
blessed;3
spend;35
first;246
year;221
young;72
talent;15
moral;3
strength;16
hut;96
like;1602
field;194
next;191
saturday;34
bend;5
really;839
words;31
describle;1
experience;19
sounds;78
terrific;2
ready;257
done;238
mrs;73
ve;754
scouting;4
quarterbacks;7
notre;6
dame;6
son;225
may;74
best;173
seen;107
expect;29
produces;1
go;2151
undefeated;4
shattering;1
records;5
taking;121
these;297
unimaginable;1
highs;1
champions;18
brian;71
win;166
pasadena;2
national;21
championship;39
heisman;3
known;28
uple;1
ago;66
father;78
passed;15
away;207
able;94
look;806
about;1819
wanna;508
ask;174
questions;33
answer;36
shift;13
gears;1
racism;4
squad;8
experienced;4
anything;335
fade;3
blinders;4
moving;42
things;199
do;2318
saudi;1
arabia;1
or;544
sweden;1
czech;1
dude;49
could;462
santa;1
claus;1
still;162
won;137
name;95
riggins;318
fullback;12
more;315
aggressive;5
find;130
appealing;1
hurt;79
people;244
pull;30
each;63
extremely;9
saracen;306
take;595
trash;14
yellow;7
sheet;2
accidentally;1
threw;27
h;13
ut;17
ball;256
steve;3
inappropriate;8
smell;16
alcohol;10
breath;13
drinking;23
pick;93
today;177
hell;358
clear;77
five;79
group;10
men;23
coming;228
try;144
destroy;4
same;69
use;79
everything;261
tired;34
seein;4
ttle;1
extra;29
responsibilit;1
bit;155
responsibility;16
course;85
comes;77
territory;7
expected;11
somewhere;29
else;174
attempt;1
front;69
fathers;3
brothers;11
sisters;5
come;1181
making;111
weak;10
hate;99
guy;210
person;70
fumbles;6
fumble;14
shows;18
half;95
drunk;34
show;107
business;51
games;62
rig;24
leave;149
stuff;137
game;530
where;402
pretty;224
much;356
everybody;165
eats;2
aztec;2
burger;16
day;264
leading;2
oh;843
endorsement;3
professional;7
doesn;187
any;293
endorsements;3
way;402
nike;2
adidas;2
conflict;1
interest;13
smash;295
skills;8
room;127
reebok;1
ma;106
macs;1
whoppers;1
coke;6
pepsi;1
whole;195
world;77
bust;7
paris;1
hilton;2
marriage;8
running;95
hotel;14
chains;5
daughter;105
rule;6
aware;15
english;20
class;68
were;348
ah;27
wonderin;1
if;1016
maybe;351
lunch;23
moby;2
dick;3
actually;195
technically;8
barely;12
never;247
plays;41
hold;124
points;27
sometimes;48
held;9
last;220
kinda;109
backup;6
problem;154
see;886
handling;3
enormous;2
illustrated;3
as;506
saying;178
handles;1
interesting;23
competitive;3
alone;56
hard;159
pressed;1
remember;112
damn;231
whore;4
bite;13
babe;71
lookin;15
fast;62
run;149
counters;8
heard;142
ugly;10
rumor;8
had;370
certain;8
car;186
dealership;10
opening;17
tomorrow;141
shoot;42
did;635
alaska;1
relaxed;2
lifestyle;2
under;71
advisement;1
startin;3
town;114
tune;3
guitar;4
smashed;2
demonic;1
crossword;2
puzzle;3
across;16
letters;7
satan;3
horns;4
word;50
cause;391
owin;1
mom;275
whenever;17
gets;121
within;5
feet;47
recruiter;5
stop;223
eight;30
bliss;1
starts;20
being;171
random;4
serenity;1
quality;4
dire;2
shortness;1
supply;1
matter;96
thinking;177
starting;56
christian;21
speed;23
metal;15
band;23
matthew;39
need;811
friend;109
funny;103
mr;135
true;60
throw;98
yard;47
touchdown;122
three;149
different;76
receivers;11
must;52
kiss;11
superhuman;1
powers;12
demolish;1
buildings;1
hurl;1
fireballs;1
lyla;242
garrity;165
than;198
almost;31
alright;167
listen;353
large;10
bright;10
nestled;1
quiet;23
cul;1
de;6
sac;1
bedrooms;4
pool;19
his;460
closets;6
relent;1
sayin;15
darling;10
perfect;62
metaphor;3
cold;25
black;43
sea;4
representing;2
its;27
uncertainties;1
dad;359
magical;3
white;48
whale;2
holy;10
grail;1
boat;6
whalers;1
coaches;24
williams;131
queequeg;1
hulking;1
african;1
zulu;1
harpoon;1
hurling;1
killer;4
make;514
ahab;1
absolutely;50
captain;19
hunter;2
hunted;1
mm;49
hmm;64
driven;2
catch;50
uncatchable;1
sure;365
mine;37
order;26
dna;5
test;25
hear;196
over;573
line;119
capture;5
hers;4
whoo;10
ooh;11
leonard;1
mind;89
getting;202
listening;21
worrying;6
nothing;221
better;211
worry;102
boys;102
looking;148
back;747
fastest;2
bitch;45
long;196
particularly;1
heavy;5
tall;12
follow;24
height;5
defense;68
dillard;1
oliver;2
defensive;16
ends;14
give;338
them;263
counts;5
footbalgame;1
dead;38
serious;93
excuses;6
lonely;5
place;127
drill;7
will;404
thanks;259
feelin;6
fine;326
enjoy;40
few;76
introductions;1
mayor;17
lucy;2
rodell;8
thank;580
openin;1
beautiful;80
automobile;1
owned;2
operated;2
buddy;214
congratulations;49
extend;3
special;42
staff;10
gentlemen;117
join;19
fellows;4
stage;2
ladies;56
quick;50
wife;60
most;67
talking;259
house;249
trouble;51
second;205
said;320
everyone;83
privilege;6
standing;13
part;81
mighty;6
tradition;15
speak;30
trainer;6
honored;4
fully;5
prepared;15
represent;9
beloved;3
community;9
until;69
loses;3
extreme;7
cry;9
scream;5
diabolical;2
tom;3
cruise;8
scientological;1
whoop;1
ass;148
c;23
mon;6
rings;11
air;26
noise;4
hi;205
great;490
fantastic;22
tami;79
book;40
club;39
beginning;13
wednesday;15
meeting;70
wine;15
gossip;1
would;474
fun;145
wait;233
aren;64
cutest;3
ya;76
bye;166
awful;27
excuse;93
space;12
huh;137
pete;5
luck;42
watching;43
offense;73
money;215
boss;14
goes;84
wrl;1
lets;8
call;287
takes;72
fly;15
why;620
manners;3
knock;17
kicking;12
their;134
hoping;16
carpet;5
bomb;1
understand;265
chew;2
spit;8
excellent;12
early;31
sabbath;2
obviously;30
confused;14
blitz;9
sexual;8
couple;88
times;73
didn;430
cars;37
lights;45
concerned;16
working;105
blitzed;2
older;10
woman;37
tyra;232
meetin;1
bad;152
litt;2
old;127
milk;12
oughta;10
milkshake;1
once;59
before;181
smile;19
girlfriend;55
ly;3
sorry;619
shouldn;54
happened;167
snuck;1
cameras;2
started;68
flashing;1
smiling;4
favorite;20
usc;4
roll;26
angel;7
eyes;70
bored;7
deer;6
headlights;1
worried;36
steppin;1
plate;18
hillary;1
relations;2
girl;219
chillin;2
top;44
picking;18
diamonds;4
clouds;1
conversation;49
cool;100
shut;131
face;76
while;85
again;264
guys;285
meaning;7
god;268
bling;1
soft;5
scared;25
bell;11
championships;7
focus;33
learning;7
exact;5
learn;27
solid;8
understanding;8
varsity;8
thinkin;8
cowboys;4
roger;3
staubach;1
troy;2
aikman;1
happens;49
peyton;4
manning;4
appreciate;122
pray;17
sr;1
loves;35
art;32
heaven;7
hallowed;3
thy;9
kingdom;6
earth;7
saw;82
bathroom;19
tellin;7
saved;10
marriages;1
oprah;12
dr;16
phil;16
combined;1
peaceful;2
offer;33
kill;28
hope;81
rely;2
throwing;24
coast;3
plannin;1
figure;49
work;323
correct;10
miss;108
hanging;35
ten;66
nfl;11
mil;1
paycheck;8
mmm;10
own;113
ourselves;12
hunting;15
ranch;11
stocked;2
hello;92
rigs;14
living;41
land;8
caretaker;1
streeter;2
whether;17
friends;91
forever;37
yo;30
touch;52
felt;39
electricity;2
fire;37
question;88
buildup;1
hype;2
offensive;12
backfield;7
eye;39
tailback;12
nobody;60
summer;12
beat;49
feed;17
dogs;10
lock;11
daughters;4
turn;99
sit;113
expectation;3
lately;20
expecting;15
quite;30
winning;19
seeing;47
lightly;2
because;363
promise;53
execute;3
full;79
hearts;45
lose;91
deserve;30
earned;11
underway;1
left;195
side;94
breaks;19
another;139
tackle;26
gain;4
start;210
strong;21
wide;27
flip;12
counter;12
superstar;3
chance;80
pound;3
along;24
hand;76
tries;5
kid;196
bounces;2
outside;72
cornerback;2
barracuda;3
yards;24
pulled;19
runs;19
manny;2
stretch;8
thought;229
drops;26
straight;40
eugene;1
open;97
middle;66
respond;4
easy;73
drive;70
coy;1
awnee;1
brings;13
kickoff;4
near;15
called;100
misdirection;2
always;170
campbell;3
end;111
zone;37
scores;8
scrimmaging;1
wow;31
fooled;1
already;67
quarter;30
chaps;4
giving;43
handle;36
block;35
looks;123
finds;6
tony;4
golia;1
dives;3
