Mot;Occurrence
great;128
l;2638
ll;255
just;353
change;9
the;1114
film;8
know;340
m;585
not;323
supposed;13
to;1074
but;306
do;387
and;528
so;404
excited;12
what;560
s;1371
going;63
on;270
monica;55
pregnant;50
ls;60
that;723
why;150
you;2548
had;87
get;219
married;37
ah;1
slow;3
swimmers;1
re;471
did;164
tell;112
anybody;8
was;357
no;383
be;368
right;190
back;71
shoot;4
bloody;1
soldier;1
gotta;45
before;39
party;31
don;333
t;930
have;346
any;39
other;34
clothes;6
find;25
anything;44
doesn;26
say;114
died;6
tragically;1
in;340
france;3
let;132
see;146
bride;6
groom;3
bridesmaids;3
cause;3
we;557
found;11
your;307
test;5
trash;2
lf;79
it;920
because;80
am;70
are;282
talking;35
about;227
with;312
child;16
didn;112
day;42
told;35
people;60
does;34
this;478
look;104
like;224
a;1211
moment;5
remember;26
who;104
father;33
can;277
he;275
famous;3
oh;341
my;424
god;150
is;476
come;116
us;74
okay;305
lt;368
james;6
brolin;4
barbra;1
streisand;1
husband;13
never;46
said;74
me;457
one;149
after;23
chandler;68
how;235
thank;66
for;300
doing;73
disagree;1
sneaky;1
smile;3
ladies;2
by;67
way;62
could;100
only;31
think;157
of;389
two;54
names;7
him;114
ed;3
begley;2
jr;2
then;72
remembered;1
gay;9
really;175
very;38
much;62
gives;5
pleasure;4
introduce;1
mr;6
mrs;15
bing;17
go;203
got;159
present;9
won;37
put;45
hand;11
pocket;2
ve;116
been;65
taking;15
dancing;3
lessons;3
wanted;32
memorable;1
sweet;24
will;81
join;2
our;77
first;72
dance;12
as;78
wife;23
these;32
new;35
shoes;5
all;211
slippery;1
able;6
well;148
good;165
news;8
anyone;12
looking;32
ready;33
talk;67
now;122
something;61
else;27
haven;24
yet;17
should;64
fair;8
tag;5
sorry;113
stop;34
ross;166
joey;106
telling;8
until;13
at;179
least;8
lord;2
either;17
or;99
bathrobe;1
more;64
important;12
being;17
here;223
today;24
even;28
pretend;7
listening;1
met;14
brother;6
hi;97
mona;32
from;72
her;210
restaurant;8
hello;28
beautiful;20
name;39
always;20
kind;28
hated;3
lisa;2
klegglachen;3
botanist;1
she;280
dead;8
once;9
hottie;1
plant;1
world;18
knew;16
linda;1
table;14
too;105
there;206
someone;29
likes;3
yes;81
guess;31
molly;1
gilbert;1
bumped;2
up;176
take;92
place;25
six;13
martin;1
better;37
bend;3
arms;2
straight;4
ahead;4
time;99
ass;18
into;26
date;47
has;52
arrived;1
want;162
meet;26
dennis;7
phillips;3
congratulations;10
thanks;31
dear;9
old;16
friend;45
fantastic;4
lover;2
bravo;1
pleasing;1
mother;23
missed;8
ceremony;3
auditions;2
directing;1
broadway;2
show;25
believe;48
admired;1
work;50
years;26
excuse;18
myself;20
drink;6
funny;18
story;16
ha;4
seats;4
dinner;11
served;1
thought;45
were;108
nine;4
when;89
showed;3
held;2
which;22
misleading;2
if;119
mom;23
give;65
résumé;1
would;105
done;26
television;2
theater;2
radio;1
ugly;4
size;3
wear;20
eleven;1
giving;14
problem;24
borrow;2
boots;21
where;59
left;18
them;69
those;32
aren;13
fine;47
small;9
feet;13
rest;10
phoebe;67
huge;12
sure;86
big;44
wedding;27
course;20
nothing;36
ln;24
age;3
dumb;3
sometimes;5
everything;37
little;77
guys;55
gets;11
through;17
maybe;68
they;154
tools;2
definitely;4
having;42
baby;184
gonna;208
raise;6
own;15
brave;1
hope;10
realizes;1
hard;24
hasn;5
lot;40
handle;4
financially;1
realize;4
next;22
thinking;24
poor;3
knocked;1
champagne;3
french;3
off;47
phone;7
some;74
singer;1
d;121
leave;24
rachel;136
bother;2
feel;51
make;62
decisions;3
away;25
took;22
three;27
times;9
peed;2
stick;4
many;8
ways;3
saying;13
freak;6
out;205
again;38
home;18
run;4
wait;69
minute;27
gave;19
peeing;1
register;2
chair;2
dr;21
geller;12
wasn;18
farting;1
game;23
later;19
lady;16
unless;3
