Mot,Occurrence
i,14254
you,6671
a,6562
the,6233
to,4704
de,4684
s,4606
est,4037
je,4002
it,3535
vous,3480
that,3280
il,3151
le,3134
on,3118
pas,2899
t,2830
que,2691
un,2627
of,2595
la,2524
l,2476
à,2388
and,2201
me,2167
is,2135
c,2113
we,2085
what,2069
in,2002
he,2001
ça,1913
et,1892
m,1891
d,1872
les,1836
this,1746
une,1720
was,1662
ce,1630
en,1614
ne,1595
j,1569
tu,1532
have,1381
qu,1364
des,1359
ai,1296
n,1264
pour,1221
walter,1173
for,1145
can,1119
re,1107
know,1092
but,1084
be,1068
do,1065
qui,1046
no,1016
mais,1011
not,994
they,967
dans,966
your,965
there,939
are,928
don,925
y,911
so,902
with,902
my,890
as,858
just,857
du,792
him,775
était,764
elle,763
here,741
all,740
si,730
agent,728
bien,722
peter,722
if,706
moi,698
she,689
ils,669
at,654
nous,644
être,643
fait,643
get,639
his,631
son,623
think,621
one,618
quoi,614
how,608
plus,607
like,604
dunham,601
from,591
sur,580
her,579
avec,579
need,578
right,577
out,573
ve,567
au,563
ll,548
about,546
did,539
va,538
non,517
suis,515
tout,513
were,506
où,505
peut,500
mon,495
now,494
là,488
avez,485
an,482
well,481
votre,478
would,473
se,472
okay,470
who,469
up,458
got,457
see,449
chose,448
been,446
sais,445
bishop,435
dr,435
where,434
olivia,434
faire,433
comme,432
go,431
back,426
sont,420
lui,418
when,409
something,408
ont,407
why,405
ici,402
comment,398
them,393
dit,393
été,392
could,389
oui,387
time,380
will,365
had,363
quand,359
want,357
pourquoi,355
then,352
autre,351
oh,349
gonna,349
yes,347
te,345
some,344
yeah,344
ces,344
cette,344
any,339
good,327
quelque,325
rien,323
merci,323
or,317
même,317
these,316
come,316
our,311
us,310
par,310
take,303
tell,302
man,291
going,289
let,286
sa,282
avoir,281
people,278
peux,275
look,273
bon,271
vu,269
didn,268
by,268
please,267
has,266
ma,265
sure,265
bell,261
ou,261
dire,259
sûr,256
voir,255
vais,254
more,252
help,245
down,243
thank,243
make,241
which,240
anything,236
êtes,236
two,236
other,235
avait,230
alors,229
way,227
find,224
say,222
before,222
deux,222
should,222
veux,221
car,221
said,219
aussi,217
into,216
work,216
encore,216
only,215
b,215
over,214
quelqu,213
temps,212
ses,212
avant,209
jamais,208
dois,208
may,207
too,207
très,206
doit,205
john,205
crois,205
uh,204
hey,203
besoin,203
possible,203
tous,202
toi,201
last,199
fbi,198
homme,196
remember,195
jones,195
maybe,195
juste,194
doing,193
toujours,193
never,193
really,192
william,192
call,187
notre,185
déjà,184
sorry,181
their,180
first,180
donc,180
mean,177
even,177
happened,176
someone,176
charlie,176
found,175
much,175
broyles,175
ton,173
because,173
font,173
still,171
es,171
père,170
pense,170
maintenant,169
must,169
thing,169
course,169
allez,168
vraiment,168
après,167
nothing,167
stop,166
off,165
told,164
name,163
mr,162
fois,161
those,161
parler,160
eu,159
understand,159
part,159
very,157
believe,157
years,156
pourrait,155
father,154
massive,153
faut,152
things,152
pu,151
trouvé,151
ago,150
am,150
might,149
three,149
peu,149
aller,148
ans,147
through,147
leur,146
looking,146
étais,145
avais,144
guy,144
long,144
savoir,143
gens,143
able,143
does,142
minutes,142
astrid,141
depuis,140
new,139
femme,139
another,139
again,138
doesn,137
aider,137
cet,137
autres,137
monde,136
everything,135
lab,134
mes,134
aurait,133
than,133
pouvez,132
god,131
question,129
thought,128
little,128
faites,128
mort,128
else,128
chaque,127
after,127
vie,127
épisode,127
give,126
vos,126
personne,126
night,125
sans,125
fils,124
choses,124
soit,123
always,123
case,123
place,123
dites,122
same,121
hello,121
quel,120
sir,120
moment,120
claire,119
put,119
nom,119
aux,118
yet,117
dynamic,117
_,116
corps,116
brain,116
side,115
mind,115
scott,115
trouver,114
arrive,114
sait,114
trying,114
fais,113
wrong,113
talk,113
keep,112
dû,111
appelle,111
wasn,111
idea,111
fine,110
wait,110
air,110
sous,109
saw,109
made,109
accord,107
life,107
seen,107
ta,106
being,105
dieu,105
important,104
entre,104
liv,104
aucun,104
point,104
kind,103
trop,103
cause,103
came,103
whatever,102
bonne,102
dead,102
questions,102
killed,102
ever,102
home,101
working,101
nina,101
lisa,101
used,101
wanted,101
passé,100
excuse,100
away,100
six,100
voulez,100
peur,99
sang,99
arrivé,99
semaine,99
fringe,98
cerveau,98
saying,98
ask,97
raison,97
boston,97
around,97
body,97
hear,96
plaît,96
world,96
hours,96
newton,96
head,96
rusk,96
savez,96
passe,95
won,95
color,94
isn,94
puis,94
actually,94
thanks,94
dont,94
mère,93
voiture,93
mal,93
information,93
toutes,93
devrait,92
veut,92
voilà,92
took,92
seul,92
hell,91
day,91
chance,91
sharp,90
far,90
côté,90
nos,90
travail,90
already,90
suspect,90
knew,89
idée,89
liaison,89
comprends,89
heures,88
done,88
trois,88
coming,88
pris,88
vient,87
once,86
hôpital,86
avons,86
left,85
went,85
hold,85
called,85
labo,85
listen,84
dis,84
sera,84
every,84
seule,84
own,84
wouldn,84
hospital,84
découvrir,84
vois,83
désolé,83
police,83
better,82
stay,82
try,82
parlé,82
both,82
monsieur,81
quelques,81
old,81
also,81
job,81
mother,80
enough,80
francis,80
devez,80
pouvoir,80
reste,80
fille,80
exactly,79
blood,79
serait,79
celui,79
nick,79
elles,79
beaucoup,78
suppose,78
bad,78
mieux,78
phone,77
tuer,77
worked,77
died,77
few,77
virus,77
quite,77
kill,77
agents,77
aide,77
building,76
woman,76
toute,76
moins,76
bonjour,76
house,75
cortexiphan,75
haven,75
accident,75
anyone,75
science,75
second,75
friend,74
vas,74
prendre,74
assez,74
until,74
nuit,74
souviens,74
boy,74
étaient,74
clear,73
porte,73
street,73
couldn,73
ready,73
team,73
love,73
york,72
human,72
quelle,72
test,72
tête,72
news,72
saison,71
vrai,71
cas,71
truc,71
together,71
affaire,71
vers,71
move,71
type,70
heard,70
ella,70
jusqu,69
young,69
signal,69
maison,68
tyler,68
aucune,68
mois,68
bas,67
loeb,67
retrouvez,67
check,67
problème,67
ami,66
dernière,66
girl,66
most,66
leurs,66
open,66
désolée,66
sortir,65
under,65
next,65
leave,65
regarde,65
sens,65
importe,65
care,65
personnes,65
many,65
combien,65
says,65
happening,64
problem,64
four,64
imagine,64
while,64
chez,64
aime,64
farnsworth,64
looks,63
attention,63
number,63
wife,63
seems,63
eux,62
perhaps,62
cela,62
without,62
énigmes,62
tué,62
inside,62
excusez,62
partie,62
happen,62
live,62
thinking,62
between,61
genre,61
person,61
minute,61
feel,61
universe,61
viens,61
gone,61
voulais,61
door,61
control,60
yourself,60
device,60
ben,60
endroit,60
voyez,60
guess,60
heure,60
morning,60
vite,60
talking,59
parce,59
hi,59
arme,59
contact,59
best,58
h,58
façon,58
heart,58
patients,58
impossible,58
show,58
means,58
pensez,58
aurais,58
dirait,57
f,57
ni,57
gars,57
demander,57
great,57
use,57
die,57
pendant,57
outside,56
sort,56
enfant,56
garçon,56
lot,56
attendez,56
machine,56
partir,55
nouveau,55
sense,55
months,55
connais,55
bureau,55
kid,55
either,55
room,55
semble,55
getting,55
makes,55
death,54
simple,54
somebody,54
meet,54
années,54
arrêter,54
allons,54
um,54
soon,53
pardon,53
regardez,53
state,53
guys,53
esprit,53
normal,53
matter,53
tried,53
telling,52
sécurité,52
started,52
big,52
enfants,52
victims,52
victime,52
pourrais,52
afraid,52
turn,52
fact,52
arriver,52
passer,52
greg,52
sound,52
cherche,51
secret,51
met,51
voulait,51
donné,51
laissez,51
miss,51
gave,51
sleep,51
souvenirs,51
incident,51
tant,51
bus,51
attends,50
ok,50
étiez,50
sûrement,50
belly,50
jour,50
petite,50
doctor,50
victim,50
truth,50
arrête,50
year,50
chercher,50
hurt,50
capable,50
image,50
soir,50
docteur,50
supposed,49
rester,49
since,49
parti,49
peck,49
office,49
rest,49
théorie,49
longtemps,49
message,49
train,49
safe,49
wanna,49
première,49
énergie,49
reason,49
rapport,49
hier,49
hicks,49
memories,49
taken,49
mourir,48
theory,48
face,48
bring,48
run,48
hope,48
sorte,48
red,48
myself,48
exactement,48
least,48
vont,48
dimension,48
each,48
asked,47
