Mot;Occurrence
i;3055
le;3134
capitaine;13
a;2720
allumé;4
signal;35
des;1359
ceintures;4
de;4662
sécurité;52
assurez;3
vous;3478
que;2691
vos;126
sont;420
bien;722
attachées;1
je;4002
ne;1595
parle;45
pas;2899
allemand;2
viens;61
denver;1
c;2090
est;4037
juste;194
un;2627
orage;1
électrique;12
mon;495
ami;66
sais;445
chewing;3
gum;3
non;511
merci;323
pilote;9
automatique;1
engagé;6
la;2515
team;27
liaison;57
présente;12
saison;48
épisode;85
transcript;1
ydy;1
forom;1
traduction;3
arcueil;8
kaddrik;6
marie1003;8
petitegégé;7
synchronisation;2
code47;3
olaola;5
relecture;2
caya;3
retrouvez;46
nous;623
chaque;106
semaine;74
pour;1199
découvrir;63
les;1815
énigmes;41
on;1898
www;18
u;18
sub;17
net;18
bon;249
oh;31
dieu;105
quoi;614
ce;1630
lit;15
fait;643
du;792
bruit;11
tu;1532
crois;205
peut;500
continuer;9
faire;433
ça;1913
se;472
cacher;10
ainsi;18
département;14
n;1260
grand;40
fan;3
liaisons;2
au;563
bureau;44
séminaire;2
sur;580
politique;3
était;764
sans;125
fin;36
pouvais;21
m;756
arrêter;54
te;345
regarder;26
j;1566
ai;1296
dû;111
bouger;5
ma;255
chaise;1
charlie;75
sait;114
il;3151
rien;323
si;730
s;643
savait;30
serais;15
transférée;5
coup;32
fil;15
qui;1046
décider;2
pouvons;6
ou;261
vivre;23
dans;966
même;317
ville;27
inacceptable;4
mais;1011
préambule;1
à;2384
conclusion;2
t;508
aime;64
olivia;185
dunham;257
oui;387
monsieur;81
sûr;256
arrive;109
incident;25
logan;4
vol;34
international;2
en;1611
chemin;14
agent;334
scott;53
aéroport;13
boston;46
va;534
laisser;46
fbi;98
prendre;74
choses;124
main;38
avion;34
vient;87
hambourg;7
avec;579
passagers;14
tour;18
perdu;39
contact;26
heures;88
après;167
décollage;2
ils;669
croyaient;1
une;1720
interférence;5
entrés;4
notre;185
espace;15
aérien;3
silence;6
radio;16
navy;7
alors;229
envoyé;30
deux;222
f;10
escorter;1
ont;407
vu;257
taches;1
fenêtres;6
aucun;104
