Mot;Occurrence
the;6213
captain;16
has;266
turned;36
on;1220
fasten;1
seatbelt;2
sign;33
please;267
make;241
sure;265
your;964
seatbelts;3
are;928
securely;1
fastened;1
i;11199
don;916
t;2322
speak;44
german;10
m;1135
from;590
denver;2
my;890
friend;74
it;3535
s;3963
just;857
an;464
electrical;18
storm;10
understand;159
here;741
gum;5
no;1014
uh;204
thank;243
you;6670
a6;15
auto;3
pilot;8
engage;2
font;56
color;48
ffff00;12
http;6
sfile;4
ydy;4
com;18
proudly;2
presents;5
sync;8
ßçèâèâ;2
fringe;57
season01;1
episode01;1
oh;318
god;131
what;2068
this;1746
bed;16
is;2135
loud;5
think;621
we;2083
can;1119
keep;112
doing;193
sneaking;2
around;97
department;25
not;993
a;3842
massive;82
fan;7
of;2590
office;48
romance;1
policy;5
seminar;2
was;1662
endless;2
wasn;111
kept;31
finding;11
myself;48
staring;3
at;654
actually;94
had;363
to;4701
move;71
chair;7
stop;153
well;481
charlie;101
knows;36
he;2000
doesn;137
know;1092
does;142
if;705
knew;89
would;473
be;1068
transferred;13
idea;111
somebody;54
making;47
call;187
whether;14
or;314
and;2200
get;639
live;62
in;1992
same;120
city;21
that;3280
unacceptable;4
me;1508
anyway;31
all;738
preamble;1
kicker;1
which;238
love;73
olivia;249
dunham;344
yes;347
sir;120
course;168
way;227
incident;26
logan;5
international;4
flight;37
his;630
agent;394
scott;62
airport;14
boston;51
re;1107
gonna;349
let;286
fbi;100
take;303
lead;29
got;457
out;573
hamburg;7
passengers;14
towers;1
lost;46
contact;33
three;149
hours;96
they;967
thought;128
might;149
have;1381
been;446
interference;5
entered;3
our;311
airspace;1
radio;20
silent;4
navy;9
then;352
scrambles;1
two;230
f;47
18s;1
for;1145
escort;5
reported;13
stains;1
windows;7
signs;16
life;107
aboard;3
jet;3
white;25
house;75
approved;4
cdc;17
request;12
opened;13
until;74
arrive;5
who;469
flying;8
plane;37
one;617
first;177
airports;1
with;900
pearl;2
autopilot;1
system;38
landed;6
itself;22
right;576
time;379
unlike;15
every;84
ve;567
ever;102
taken;48
assure;15
d;326
happy;32
treat;7
asamily;1
too;207
good;327
old;79
ntsb;2
like;603
cops;6
francis;41
whatever;102
hell;91
mcneary;1
saw;109
through;147
window;26
made;109
him;775
throw;5
up;456
front;34
whole;31
unit;14
excuse;90
so;902
going;289
some;344
sort;45
accident;31
tarmac;1
closed;10
nothing;167
need;578
worry;32
about;546
along;19
ll;548
do;1065
thanks;94
although;24
joint;6
task;11
force;15
reporting;2
homeland;10
security;45
special;46
charge;14
broyles;93
c;23
sent;35
results;15
standard;8
level;26
four;60
hazmat;1
suits;4
required;7
go;431
members;4
each;48
agency;11
starting;19
line;29
as;491
follows;3
cia;9
baronoff;1
john;117
everyone;29
else;128
stand;30
by;268
okay;470
people;278
interagency;3
liaison;32
gotta;39
kind;103
powdered;2
sugar;7
glazed;1
donut;1
job;68
effectively;5
information;81
