Mot;Occurrence
i;1136
on;103
the;541
count;1
of;248
three;14
you;451
will;33
awake;1
feeling;4
refreshed;1
as;61
if;58
futurama;1
had;20
never;28
been;25
cancelled;1
by;35
idiots;4
then;33
brought;6
back;33
bigger;2
one;82
two;21
professor;26
my;157
fry;41
fro;2
is;179
all;82
frizzy;2
well;24
that;231
s;387
also;16
m;144
covered;2
with;72
severe;2
burns;3
so;85
what;132
it;305
why;35
those;19
things;15
mean;19
don;55
t;168
remember;10
nope;2
nothing;12
like;73
when;20
passed;2
out;58
in;193
college;2
except;2
no;72
drew;1
magic;1
marker;1
penises;1
forehead;1
suppose;4
for;112
best;5
considering;1
unbearable;1
horrors;1
ve;49
endured;1
let;44
speak;4
again;23
began;2
a;386
few;3
days;4
ago;9
we;186
were;28
interstellar;1
fugitives;1
run;5
from;37
law;1
fire;6
weapons;1
and;233
open;2
hailing;1
frequency;1
victory;1
yodel;1
leela;65
kissed;1
good;39
bye;5
tender;2
display;1
tonguesmanship;1
plunged;1
into;23
massive;1
wormhole;2
to;358
be;80
seen;4
yeah;12
re;107
sweet;10
coincidence;1
port;1
au;2
prince;1
at;57
earth;38
course;5
was;77
panama;1
central;3
channel;2
shipping;1
how;46
humorous;1
yes;15
sort;4
comedy;1
now;60
get;42
lost;13
power;4
forward;11
gameboy;1
mario;1
not;100
responding;2
brace;2
emergency;3
landing;3
roger;2
activate;1
safety;2
spheres;2
mine;6
has;16
air;6
conditioning;1
yet;11
thanks;13
trusty;1
sphere;14
surblibed;1
only;31
tribial;1
brain;3
dablage;1
others;1
right;38
here;54
behind;2
this;145
horror;1
cloth;1
are;67
they;39
dead;19
much;13
worse;2
move;8
over;16
god;22
prepare;3
rebirth;1
wrong;10
switch;2
come;26
stem;7
cells;6
work;13
your;97
astounding;1
scientific;1
nonsense;2
fetal;1
aren;2
controversial;1
time;63
but;107
nowadays;2
shut;13
up;80
besides;2
these;24
adult;2
harvested;1
perfectly;1
healthy;1
adults;3
whom;1
killed;5
their;11
hermes;7
conrad;1
dripping;4
placenta;1
thing;22
casual;1
friday;1
amy;25
wong;4
baby;6
soft;2
indeed;5
dr;4
zoidberg;4
friend;7
me;113
cut;8
off;16
umbilical;1
cord;1
rest;6
business;3
body;7
mind;4
bender;43
working;4
dyin;1
need;25
mouth;1
ass;15
resuscitation;1
die;13
happy;10
knowing;4
fell;2
his;26
supply;2
shot;3
he;55
flatlining;1
can;92
keep;13
him;17
alive;8
possibly;5
felt;2
energetic;1
because;11
doomsday;6
device;7
shoved;1
puts;1
gigawatts;1
ten;6
times;4
recommended;1
who;29
warranty;1
sakes;1
dancing;1
whooping;1
must;11
burn;2
energy;6
fast;1
its;10
produced;1
or;25
build;5
critical;3
levels;1
do;66
stop;23
partying;5
single;6
second;7
ll;65
explode;2
kill;10
everyone;17
fireball;1
melted;1
gears;1
splatter;1
bowels;2
sounds;3
party;17
speaking;3
splattered;1
cook;2
romantic;1
dinner;7
tonight;8
where;23
she;30
okay;26
hasn;3
acknowledged;1
offer;3
something;18
poking;2
stick;3
poke;1
harder;4
damn;9
hard;9
sorry;20
afraid;5
an;37
irreversible;1
coma;4
soul;1
mate;1
gone;6
should;13
go;31
living;5
pain;1
slowly;1
fades;1
love;25
forever;3
forget;4
sound;2
her;31
voice;1
moist;1
touch;1
eyeball;1
lips;2
still;20
hung;2
name;14
already;7
maybe;20
always;8
bot;1
workshop;3
start;4
least;10
distract;1
some;36
reason;1
jelly;2
beans;1
sure;21
honey;2
live;6
sick;4
fantasy;1
without;11
our;57
help;14
security;2
tapes;3
record;6
everything;6
planet;17
express;2
including;1
ship;17
shower;1
urinals;1
stopped;1
elusive;1
bathroom;1
burglar;2
just;72
trying;5
feed;3
family;4
computer;3
analyze;1
extract;1
personality;2
profile;2
turanga;2
analyzing;2
checking;2
ebay;1
bid;1
analyses;1
complete;2
nuzzling;1
attributes;1
transfer;2
shoe;1
size;1
etcetera;1
survived;1
crash;3
people;15
house;3
say;34
wonderful;2
last;18
dying;3
explosion;3
am;21
flesh;4
more;25
than;13
ever;16
better;15
tell;11
anyway;3
done;9
gonna;23
hit;7
showers;1
nibbler;9
give;15
mama;4
hug;4
bad;9
doing;10
pooper;1
doodle;3
really;20
robot;28
have;103
memories;2
opinion;2
gazelles;1
majestic;1
emotions;2
confused;1
hurt;2
swear;2
didn;14
know;44
would;14
happen;5
truly;4
wait;25
spank;1
said;16
truth;4
feelings;2
automaton;1
machine;20
sufficient;1
complexity;1
legitimately;1
achieve;3
consciousness;1
agree;1
figure;2
until;8
friends;4
listen;3
disco;1
dummies;1
flunked;1
knowledge;3
dance;3
news;8
going;23
make;21
final;6
attempt;1
awaken;1
after;10
there;60
hope;13
hopes;2
frankly;1
brainless;1
mound;1
scabs;1
pus;1
hear;9
see;31
wake;10
traditional;2
medicine;1
failed;1
refuse;1
note;3
declare;1
patient;2
legally;1
specialty;1
states;1
event;2
fed;1
wild;1
cyclophage;1
highly;4
endangered;1
creature;1
eats;1
cyclopses;1
yup;1
donor;1
card;8
says;7
beast;1
approacheth;1
beat;4
y;3
dancin;1
jig;1
feet;7
think;21
want;25
quiet;3
hell;10
shutting;1
oh;18
care;6
nice;12
possible;6
believe;10
wore;1
tank;1
top;6
funeral;1
got;24
aboard;2
room;3
captains;1
chair;4
d;27
taken;1
spin;1
class;2
instead;4
lounging;1
around;8
crazy;4
looking;8
exact;1
duplicate;2
myself;5
could;30
sad;3
too;29
freaky;2
please;13
upset;1
cheering;1
hate;7
crunk;1
badunkadunk;1
does;10
date;3
away;5
loved;3
cause;12
real;7
thought;13
obviously;4
usual;1
thinking;3
stand;3
either;3
probably;6
copy;5
long;20
robo;1
jealous;4
type;1
slut;1
clops;1
missy;1
somebody;1
take;18
gun;2
shoot;6
human;16
told;7
