Mot,Occurrence
i,9664
you,9283
the,5184
a,5092
s,4783
to,4537
t,3895
it,3656
je,3174
that,3140
and,3033
on,2694
de,2655
est,2608
me,2445
m,2326
tu,2205
what,2122
my,2105
pas,2092
of,2041
in,1961
c,1842
que,1827
know,1702
le,1700
et,1661
is,1606
we,1572
your,1547
un,1524
la,1509
this,1493
re,1482
j,1472
gary,1467
à,1456
for,1421
have,1378
ok,1368
all,1343
just,1342
don,1299
with,1248
was,1225
right,1164
d,1152
ça,1145
do,1081
like,1062
no,1050
l,1029
so,1029
are,1022
ai,1021
be,1020
not,1017
but,1009
out,991
les,952
il,944
can,938
une,931
he,919
en,914
ce,909
pour,904
get,902
here,891
she,874
as,833
allison,824
go,816
up,804
yeah,803
at,801
gonna,788
qu,786
vous,773
got,746
there,730
about,725
if,703
want,673
look,662
hey,662
mon,650
her,623
des,612
mais,605
ll,603
how,594
avec,578
one,567
si,564
moi,554
really,549
well,545
why,544
elle,541
they,538
would,536
suis,525
good,524
quoi,521
come,519
dans,518
think,517
let,510
bien,504
te,499
ne,487
did,483
louise,481
dad,478
sais,474
y,474
qui,471
when,470
time,454
oh,448
going,433
du,426
non,426
fait,425
now,423
toi,419
back,408
mean,406
faire,402
plus,399
see,396
were,394
tom,390
était,384
didn,384
guys,376
had,376
him,372
his,368
au,365
veux,365
tout,361
va,361
sorry,359
tell,353
great,352
way,345
comme,343
son,341
ve,341
es,337
over,336
ton,335
sur,325
could,323
because,323
an,319
être,318
take,317
ma,310
then,307
man,305
guy,305
who,303
from,301
oui,300
se,299
some,297
something,296
n,294
say,293
thing,293
little,292
tommy,289
kids,284
là,283
peux,278
quand,278
doing,275
house,269
dit,269
been,269
pourquoi,267
where,264
dire,259
am,255
vais,249
said,246
make,244
our,244
by,243
or,234
off,233
need,231
should,231
put,230
them,230
lui,229
vraiment,227
never,226
accord,225
fais,224
too,224
down,220
god,217
yes,216
love,216
thank,214
ex,213
alors,212
will,209
even,205
talk,205
team,202
brooks,200
us,199
only,195
ici,195
vanessa,194
ta,193
ils,193
mitch,193
merci,192
first,188
into,187
big,187
dois,185
où,185
night,183
comment,183
avoir,182
cause,182
wait,181
sure,180
thought,179
super,178
mom,178
juste,176
more,175
anything,174
please,172
new,171
lot,171
has,171
peut,170
walter,170
krandall,169
hi,169
very,169
other,169
school,169
parce,168
bon,167
kind,167
très,166
chose,164
day,162
help,161
people,161
things,160
nous,160
dieu,159
still,159
rien,159
much,158
told,158
call,157
maybe,156
enfants,156
papa,156
car,155
any,155
give,154
allez,154
thanks,152
addicts,150
subs,150
getting,150
dennis,149
doesn,149
before,148
mes,148
cette,148
fun,146
étais,146
ever,146
sasha,145
long,144
show,144
stuff,144
place,143
work,143
home,143
those,142
wrong,142
wife,141
nice,140
than,140
last,139
même,138
these,138
désolé,138
sont,138
gosh,137
life,136
every,135
fois,135
cool,134
their,134
two,133
ou,133
jamais,132
trop,131
again,130
away,129
aller,127
pretty,127
mec,127
around,127
better,126
keep,126
crois,125
curtis,125
aussi,124
voir,124
avais,123
made,123
second,123
chez,122
père,122
voilà,122
par,122
listen,121
divorce,121
together,121
always,121
room,120
nothing,119
actually,119
talking,119
honey,118
date,118
tes,116
peu,116
after,116
air,115
miss,115
temps,114
everything,113
girl,113
leave,112
through,112
trying,112
femme,112
faut,111
vas,111
gotta,111
tous,111
married,110
votre,110
job,109
stop,109
fine,108
old,108
years,108
looking,108
being,107
believe,107
minute,106
salut,106
whole,106
having,105
radio,105
wanted,105
truc,104
done,104
friends,103
remember,103
toujours,103
notre,103
name,102
ready,101
went,101
concert,100
sûr,100
quelque,100
uh,100
wasn,100
ces,100
start,100
avant,100
hot,100
probably,100
find,99
dis,99
hear,98
next,98
autre,98
soir,97
wouldn,97
été,96
crazy,96
course,95
does,95
isn,95
aime,94
parler,94
après,94
besoin,94
friend,94
today,93
écoute,92
tonight,92
bar,92
try,92
took,92
ont,92
bad,91
feel,91
deux,90
already,90
left,90
another,90
beaucoup,89
stay,89
sa,89
regarde,87
passe,87
eu,87
avez,86
excuse,86
party,86
bring,86
mal,85
encore,85
maintenant,85
sub,85
knew,85
vu,85
hé,85
beer,84
voulais,84
play,84
veto,84
dû,84
used,84
minutes,84
coming,83
plummer,83
yourself,83
brother,83
quelqu,82
attends,82
happened,82
maison,82
called,81
paint,81
moment,81
hand,81
woman,80
head,80
fille,80
vie,80
déjà,80
avait,79
vois,79
aurais,79
real,79
year,79
bed,78
sex,78
table,78
ask,78
best,77
same,77
veut,77
mind,76
sit,76
thanksgiving,76
école,76
idea,76
supposed,76
guess,76
boat,76
own,75
ans,75
êtes,75
viens,75
part,75
deal,75
someone,75
face,75
end,75
point,75
enough,74
tomorrow,74
won,74
both,74
playing,74
morning,74
pick,74
mieux,73
care,73
important,72
eh,72
game,72
meet,72
which,71
font,71
laisse,71
came,71
ball,70
taylor,70
use,70
divorced,70
appelle,70
golf,70
making,70
hold,70
week,69
looks,69
doit,69
amazing,69
sera,68
hell,68
front,68
aux,68
many,68
taking,68
soit,68
ronnie,67
raison,67
high,67
open,67
might,67
while,67
hard,67
ensemble,67
vrai,66
couple,66
grand,66
bonne,66
ses,65
leur,64
happy,64
entre,64
worry,64
prendre,64
stupid,64
turn,64
hit,64
found,64
chance,64
dr,64
totally,63
question,63
myself,63
sans,63
girlfriend,62
class,62
passé,62
once,62
door,62
until,62
trucs,62
since,62
bye,62
happen,61
depuis,61
petit,61
everybody,61
pool,61
petite,61
each,61
choses,61
chercher,60
génial,60
saying,60
monde,60
fils,60
gore,60
voiture,59
perfect,59
attention,59
couldn,58
dinner,58
else,58
painting,58
fête,58
break,58
van,58
kid,58
maman,58
pendant,57
funny,57
donc,57
may,57
beth,57
ouais,57
set,56
boulot,56
arrive,56
st,56
phone,56
half,56
sortir,56
money,56
saw,56
pense,56
