Mot;Occurrence
s;334
il;944
te;499
plaît;35
laisse;71
moi;554
le;1698
voir;124
tu;2205
l;1016
as;570
déjà;80
vu;81
oui;300
mais;605
jamais;132
à;1456
la;1495
lumière;4
je;3172
lui;229
montrerai;3
beaucoup;89
de;2648
respect;2
promets;11
j;1471
avais;123
ans;75
quand;278
ai;1021
eu;87
d;895
accord;225
génial;60
un;1520
crâne;1
rose;6
c;1819
est;2608
tendance;3
et;1661
féminin;3
ferme;13
ça;1145
fait;425
salope;4
sais;474
t;1102
es;337
pas;2092
une;929
vraiment;227
passé;62
nuit;29
avec;578
mec;127
engagé;6
pour;904
peindre;15
mon;650
appart;5
plus;380
toi;419
pute;5
au;365
revoir;22
non;422
reste;41
allez;154
plaisante;3
cette;148
énorme;5
maison;82
bord;6
du;424
lac;3
que;1827
peins;3
n;288
y;470
dirais;9
passer;50
week;28
end;25
là;283
bas;44
veux;365
m;487
emmener;27
en;914
dû;84
être;318
excellente;6
tant;45
aurais;79
regardé;8
vidéo;18
serai;10
sûr;100
était;384
quoi;521
ma;298
porte;41
entrée;6
a;1017
quelqu;82
espère;30
salut;106
papa;154
on;988
quelques;27
trucs;62
aurai;12
dire;259
avoir;182
propre;15
entreprise;11
peinture;30
tout;361
ce;909
charme;4
enfantin;1
enfants;156
gary;332
coucou;6
ex;74
femme;112
dépasse;1
minutes;37
demie;2
sur;325
temps;114
qui;471
peut;170
nazie;1
pourquoi;267
rien;159
dit;269
allais;37
dès;19
qu;786
aurait;41
arrêté;15
faire;402
amour;19
si;564
menti;3
mens;2
suis;525
menteur;1
téléphone;14
vanessa;54
désolé;138
divorcé;24
depuis;61
mois;25
personne;54
séparation;3
trop;131
beau;23
voulais;84
peur;43
comme;343
petit;61
détail;1
famille;24
étais;146
désarticulée;2
moment;64
cru;9
cassé;8
ne;487
aime;94
juste;176
me;528
plaindre;3
fiston;11
puce;2
où;185
maman;58
dans;518
cuisine;18
merci;192
nouvelle;36
photo;19
al;23
gore;27
mur;9
côté;33
lit;41
flippant;3
louise;162
allison;230
fais;222
ton;333
frigo;7
bières;19
pot;4
sauce;8
ranch;1
presque;21
les;952
sont;138
ils;193
mardis;2
jeudis;2
autres;35
ends;2
semaines;18
juillet;2
ok;251
alterne;1
anniversaires;1
vacances;6
importantes;3
mots;14
affilés;1
essaye;7
suivre;6
dernier;18
mien;17
veut;77
échange;6
faisait;23
purification;1
jus;7
heures;38
respecté;1
probablement;4
mes;148
affamés;1
nourrir;3
parent;2
marrant;20
jetez;2
vos;31
livres;4
balancez;1
votre;110
brosse;2
dents;7
vous;773
êtes;75
maintenant;85
flippante;1
chérie;56
soit;68
chaque;28
centimètre;1
ta;193
chambre;41
couverte;1
photos;26
ou;131
gandhi;4
dieu;159
entourage;1
che;1
guevera;1
connais;35
nom;44
acteur;2
content;15
aies;14
béguin;2
âge;11
père;122
critique;3
sait;25
tom;130
relations;10
saines;1
magnifiques;4
dis;99
des;612
choses;61
divorce;40
ont;92
chances;3
lutter;5
leurs;22
propres;1
chapitre;3
entier;3
régles;2
parfait;29
livre;21
dr;21
krandall;51
nous;160
donné;24
lire;11
même;138
ouvert;9
besoin;94
version;3
audio;2
assise;6
canapé;25
parce;168
mieux;73
vont;30
bien;504
remarqué;12
tommy;75
filles;36
raison;67
elles;48
prétendent;1
aimer;11
prennent;1
toutes;26
tes;116
affaires;28
écoute;92
aimera;1
sera;68
prêt;36
avons;13
encouragé;1
se;297
amies;12
second;3
life;2
jeu;23
geek;1
société;1
ligne;7
endroit;27
rencontre;6
membre;1
congrès;1
amusez;2
arrivé;15
menteuse;2
mensonge;2
prend;12
ginkgo;1
apprécierai;1
testes;1
capsule;2
avant;100
coucher;16
eau;20
savais;40
i;166
unmarried;1
1x01;1
pilot;1
vf;25
by;5
charliea;1
sixe;1
tactactac;15
akazab;14
sub;36
way;19
fr;18
hé;85
pote;13
tiens;17
donc;57
plutôt;32
cool;46
avait;79
tel;3
dehors;21
mère;54
pouvais;16
rencontrer;21
appelle;70
in;5
world;3
peux;278
tonnes;3
rencontré;12
fille;80
école;76
elle;541
danielle;16
rencontres;6
monde;60
pourrais;46
ramener;10
aller;127
pourriez;9
étudier;5
parler;94
inviter;6
ici;195
va;361
attendre;17
emballe;1
emballerais;1
inquiéter;2
dois;185
boulot;56
rends;9
service;18
surveille;3
ur;46
donner;26
genkgo;1
soir;97
prends;37
dennis;41
propriétaire;8
passée;3
aujourd;39
hui;39
quel;37
son;186
sa;88
voiture;59
matin;32
devant;41
sorti;9
ensemble;67
hier;24
pense;56
effrayé;3
voudra;3
jackpot;3
pouvait;19
viens;75
divorcer;6
libre;15
signes;3
première;23
équipe;51
montre;11
équipement;2
cherche;9
relation;24
long;19
terme;4
peu;116
sexy;31
tatoué;1
décrire;2
paco;1
sérieux;16
prendre;64
couleur;2
origine;3
attention;34
touchez;1
auriez;4
pu;35
propos;12
dernière;34
parle;54
grande;16
bon;167
décidés;1
selon;5
certaines;2
règles;10
genre;27
combien;38
sortir;56
enfreindre;2
battu;6
certains;5
records;2
personnels;2
deux;90
record;5
ouais;57
apprécie;12
vrai;66
donne;27
autre;98
chance;39
aimerai;1
comment;181
tourner;6
sujet;14
vais;247
occuper;10
voit;20
tard;37
semble;4
mauvaise;11
idée;40
habituer;4
frapper;16
obligé;8
sonner;3
venu;27
quelque;100
chose;158
très;166
important;29
dispute;6
rencard;12
intéressée;3
charmant;4
personnes;14
gens;40
allument;1
pendant;57
demandant;2
fois;135
air;66
perdu;24
ces;100
arrivera;9
bientôt;11
lorsque;1
fasse;11
toute;49
histoire;33
sortiras;2
ferai;17
ensuite;13
marier;11
fiancée;6
lutté;1
trouver;27
moyen;15
annoncer;3
finallement;1
aux;68
porter;14
vas;111
vois;79
notre;103
aussi;124
h;36
maries;3
conseiller;4
conjugal;5
fou;18
gars;32
toujours;103
couvert;4
poils;7
chat;6
miettes;2
col;3
alors;212
cou;6
sensible;2
intelligent;10
sens;37
jeune;14
cinquantaine;1
général;2
disent;4
félicitations;15
mariage;36
sauver;9
oh;79
règle;6
contre;32
loi;9
grandis;2
répond;2
stupides;10
forcera;1
page;5
allons;48
semblant;9
rivaliser;1
triste;11
rivalise;1
mariée;12
gagné;18
récompense;2
vélo;6
pare;6
vent;3
aides;8
ranger;6
courses;4
frère;37
étudie;2
vivante;3
joué;20
mignonne;2
dégradant;1
juge;4
apparances;1
soyons;5
honnête;13
canon;6
fils;60
compagnie;4
plein;29
mille;2
cap;1
tain;1
pipeau;1
echantée;1
commandé;4
pizza;13
avez;86
faim;19
criez;1
question;29
aide;28
truc;104
couloir;5
emprunte;1
lourd;2
revient;12
suite;31
penser;22
oublié;30
aimes;18
ses;65
cheveux;14
mentir;7
appelé;22
urgence;12
f;2
b;6
demandé;22
emmené;9
opération;2
top;8
secrète;1
appellé;2
dégonflé;2
retourne;4
amie;40
sérieusement;7
sinon;6
serait;51
gosse;8
falloir;6
sent;8
attrapent;1
apporter;5
bière;39
serveuse;4
cas;20
apporte;4
shot;1
tequila;2
fera;21
barmaid;2
bonjour;37
compris;27
mis;36
courant;15
petite;61
indiscrétion;1
énerve;2
couchiez;1
ayez;1
journal;7
rêves;8
corrobore;1
colère;16
cela;6
venger;2
demande;19
dessus;35
couverture;3
demain;53
trouverez;1
thérapeutique;1
aimerais;23
point;18
vue;11
scientifique;4
dur;32
croire;25
walter;42
arrête;42
frappes;1
entrer;18
chez;122
sois;43
mesquin;1
laissé;22
mot;20
débile;10
disant;3
venait;5
raclée;3
battiez;1
testostérone;1
rage;1
donnez;7
bague;6
doigt;9
voici;15
livreur;3
frappera;1
mignon;13
avouer;4
homme;53
vie;80
parker;9
doit;69
utiliser;7
salle;20
bain;11
étage;5
crois;125
ait;18
entre;64
ancien;7
nouveau;31
fiancé;10
charmé;2
vieux;24
oiseaux;3
ami;37
douté;1
disais;18
voyais;3
vient;38
apprend;1
encore;85
formidables;1
puis;54
permettre;5
dont;28
devriez;12
domaine;2
proposais;1
arbitrer;1
conversation;8
charmante;1
compagne;1
hors;7
celle;29
ci;2
comprennez;1
difficile;14
célibataire;8
conditions;2
rôles;1
exigeant;1
