Mot;Occurrence
please;107
let;332
me;1225
see;256
it;2385
you;5940
ve;227
already;51
seen;34
yeah;538
but;655
never;148
in;1272
the;3432
light;13
i;6220
ll;404
show;114
a;2680
great;224
pile;4
of;1295
respect;9
promise;15
was;790
eighteen;1
when;306
got;490
alright;4
okay;20
awesome;27
pink;1
skull;1
that;2040
s;2905
edgy;2
and;1962
feminine;1
oh;292
shut;13
up;511
slutty;4
know;1114
are;636
not;662
slut;2
really;362
just;895
spent;13
night;117
with;795
man;220
hired;6
to;2944
paint;48
my;1357
condo;11
would;331
make;163
more;119
whore;1
goodbye;1
no;682
stay;55
come;326
on;1107
m;1210
kidding;37
listen;87
have;872
this;1005
enormous;2
lake;5
house;152
painting;37
for;940
guy;209
while;45
he;600
is;1043
out;636
town;16
how;405
like;694
spend;15
rest;28
week;25
end;31
there;469
only;131
one;364
wanna;37
take;209
away;81
must;20
been;173
pretty;82
amazing;41
until;39
check;31
video;22
tape;8
from;191
last;83
won;48
t;1782
sure;113
what;1365
front;41
door;37
somebody;32
here;558
hope;34
hi;110
dad;292
few;26
things;105
probably;66
should;148
told;103
aside;6
owning;1
own;48
business;23
all;862
boying;1
charm;5
two;73
kids;188
gary;722
hello;38
an;214
ex;75
wife;78
we;1015
re;944
half;39
minute;48
into;123
time;296
who;207
might;45
be;663
nazi;3
why;339
didn;249
tell;239
gonna;518
very;108
next;62
weren;15
having;68
sex;49
lied;2
don;824
lie;12
liar;5
phone;43
vanessa;70
sorry;238
divorced;39
three;7
months;16
haven;23
anyone;20
since;41
split;10
were;250
too;142
good;341
true;19
want;426
scare;4
tiny;24
little;195
detail;2
about;477
family;31
double;6
jointed;2
at;520
point;37
thought;121
had;253
broken;10
well;353
complain;1
son;101
sweetie;21
where;166
mummy;2
she;566
kitchen;17
thanks;93
another;64
picture;19
al;27
gore;30
put;144
wall;11
bed;43
creepy;3
louise;208
allison;360
doing;169
your;976
refrigerator;6
beers;12
bottle;12
ranch;2
dressing;11
running;18
low;14
beer;53
get;592
them;140
every;83
tuesday;4
thursday;3
other;103
weeks;17
month;12
july;2
alternate;3
bithdays;1
major;2
holidays;4
lot;109
words;16
row;7
try;56
follow;15
following;3
kept;16
which;46
suppose;3
mine;30
doesn;103
mean;265
automatically;1
switch;13
twelve;1
hours;34
juice;5
cleanse;1
knew;51
honor;6
starving;1
tend;2
feed;7
if;456
makes;34
fun;95
parent;2
hey;452
throw;16
books;9
rid;4
toothbrushes;1
daddy;28
now;282
says;30
honey;78
inch;4
bedroom;13
covered;10
pictures;14
either;32
or;158
mahatma;1
gandhi;4
thank;140
god;140
entourage;1
che;1
guevera;1
actor;1
name;73
glad;21
crush;5
closer;4
age;10
father;28
isn;52
criticizing;3
knows;26
both;47
tom;182
gonning;1
lots;14
healthy;4
wonderfull;1
relationship;32
mum;3
do;722
say;191
stuff;91
because;203
children;20
divorce;45
likely;2
struggle;1
their;88
entire;14
chapter;5
rules;14
perfect;39
book;26
dr;23
krandall;59
gave;29
us;122
read;31
even;136
opened;6
yours;17
audio;3
version;3
sitting;23
couch;26
agreed;13
best;47
they;345
noticed;14
tommy;135
scared;11
death;8
girls;24
affraid;1
pretend;13
then;198
look;432
will;142
ready;63
encouraged;1
him;249
female;5
friends;63
second;81
life;86
dorky;1
computer;4
game;48
online;5
society;1
safe;14
place;71
meet;45
teens;2
maybe;103
congress;1
bye;36
did;303
felt;14
saying;40
takes;6
ginkgo;2
before;99
appreciate;17
quizz;1
capsule;1
right;767
plenty;5
water;19
unmarried;3
1x01;1
pilot;1
transcript;1
charliea;2
synchro;1
sixe;1
pal;9
cool;59
anything;112
kid;48
outside;22
telling;22
can;611
called;54
world;36
tons;2
girl;72
ever;94
school;122
her;393
danielle;18
same;49
so;680
hear;60
bring;51
over;221
room;65
guys;243
study;7
talk;138
invite;6
expects;1
tap;2
tapping;1
fourteen;1
years;70
old;67
worry;42
go;529
job;73
favor;21
keep;82
eye;15
sister;23
give;100
tonight;61
dennis;54
has;109
owner;6
by;161
today;58
saw;35
car;79
ago;27
morning;46
hooked;4
think;344
off;154
wants;30
again;82
jackpot;4
wanted;73
thing;198
free;24
agent;1
sign;24
first;120
team;100
shows;8
facilities;1
looking;66
long;84
term;5
some;198
someone;51
sexy;13
tatoo;1
described;1
paco;1
serious;19
took;56
fabric;2
color;24
help;109
yourself;51
carefull;1
touch;7
could;223
yesterday;10
big;115
fine;69
am;160
decided;12
couple;36
