Mot,Occurrence
i,33567
you,25486
a,16874
s,16091
je,15979
to,15445
the,15065
est,13932
de,12749
it,11886
que,11412
that,11363
t,11355
vous,10075
pas,9808
il,9363
me,8990
and,8484
he,7917
c,7663
le,7233
tu,7106
ce,6892
what,6850
la,6706
et,6674
ne,6621
m,6384
à,6337
was,6263
qu,6109
on,6082
un,5788
know,5753
l,5613
of,5395
is,5355
j,5331
she,5312
d,5136
ça,5006
elle,5004
in,4839
this,4661
just,4621
en,4520
ai,4499
n,4476
les,4318
my,4082
have,4030
don,4000
do,3853
but,3843
so,3828
une,3805
for,3788
can,3747
no,3730
we,3658
pour,3599
not,3569
her,3534
re,3361
qui,3351
mais,3233
ok,3193
your,3184
be,3085
they,3042
there,2977
all,2914
are,2909
about,2891
with,2852
était,2830
him,2785
like,2754
moi,2584
yeah,2577
oh,2532
right,2521
here,2515
si,2504
non,2448
y,2418
suis,2406
dans,2393
des,2391
if,2388
tout,2303
bien,2290
as,2238
sais,2221
out,2195
well,2173
how,2149
why,2115
think,2105
did,2095
être,2090
get,2042
lui,2011
avec,1968
fait,1967
at,1858
là,1840
who,1816
mon,1805
oui,1805
ils,1795
go,1769
see,1745
tell,1733
one,1722
faire,1711
melinda,1700
plus,1695
his,1693
want,1686
dit,1663
nous,1615
really,1614
up,1612
now,1611
quoi,1556
didn,1552
dire,1521
son,1512
look,1506
comme,1502
ll,1498
te,1493
peut,1485
when,1476
mean,1455
were,1448
du,1432
could,1421
pourquoi,1419
come,1412
se,1406
au,1394
something,1388
va,1382
had,1364
sur,1347
would,1331
chose,1326
them,1325
got,1295
from,1295
or,1268
ghost,1264
avez,1259
ma,1235
gonna,1230
maybe,1229
alors,1217
ve,1199
sorry,1179
time,1179
going,1175
help,1172
hey,1168
peux,1166
been,1161
back,1147
toi,1144
vraiment,1140
veux,1125
good,1095
because,1095
never,1090
votre,1089
then,1069
let,1068
said,1062
jim,1062
some,1060
ici,1060
quand,1055
où,1036
quelque,1024
cette,1020
where,1016
juste,1007
comment,1002
too,998
an,982
rien,981
avait,980
voir,960
sont,951
talk,938
jamais,937
over,916
ou,882
es,871
need,861
sa,855
say,853
même,836
way,835
uh,833
mort,833
people,814
avoir,813
even,806
êtes,804
parce,799
sure,798
little,796
us,787
aussi,775
please,772
toujours,771
thing,770
find,766
will,764
happened,764
make,757
thought,757
ont,753
père,750
anything,749
maintenant,745
très,741
told,734
take,734
autre,732
things,730
much,728
more,722
wait,720
dead,708
vu,707
fantôme,700
parler,693
mère,693
by,691
died,687
ces,681
étais,666
should,664
vais,664
still,661
par,661
pense,656
love,654
font,652
wanted,645
été,644
merci,644
accord,644
veut,641
feel,636
night,635
tous,633
mom,633
any,630
guy,629
saw,628
quelqu,623
dois,619
yes,609
ned,609
only,606
trying,601
has,601
temps,600
into,600
besoin,598
crois,595
ton,588
remember,587
doesn,587
avais,587
everything,585
away,585
aller,585
doing,583
encore,581
these,579
peu,575
before,575
aider,571
bon,570
knew,569
um,561
always,554
ouais,547
deux,547
am,545
choses,541
eu,537
vie,528
dad,528
believe,526
stop,525
other,522
does,521
down,521
personne,521
house,520
passé,520
someone,512
off,509
avant,506
savoir,505
maison,502
ever,501
again,496
allez,495
life,495
name,494
after,491
wasn,489
fois,486
day,483
ã,481
home,479
minute,477
last,475
savez,472
place,471
cause,467
nothing,465
man,462
first,461
gordon,458
leur,456
very,455
kind,454
après,453
call,452
vrai,449
talking,449
thank,447
ghosts,447
those,446
wants,444
fais,443
father,442
our,440
ses,439
accident,436
keep,436
lot,434
ta,432
than,432
eli,428
désolée,423
eh,420
depuis,417
part,416
hear,413
family,412
found,410
chance,408
made,405
mes,404
gens,404
their,402
fille,401
girl,401
light,399
plaît,399
ca,396
leave,394
beaucoup,393
trop,392
great,391
long,389
work,389
car,389
might,388
donc,387
else,385
couldn,384
mother,381
understand,380
femme,379
give,377
vas,377
mal,377
thanks,376
moment,376
being,376
dites,374
god,374
voulais,370
vois,370
went,368
wrong,367
guess,366
dis,366
bad,365
voulez,364
came,363
sam,360
maman,360
better,358
actually,355
peur,355
sûr,353
around,353
déjà,353
fantômes,352
soit,350
hurt,347
fine,345
