Mot;Occurrence
i;14556
previously;24
on;1736
ghost;816
whisperer;51
melinda;480
there;1635
s;7770
a;5416
door;104
in;2616
the;8439
archives;16
that;6324
leads;10
to;8025
tunnels;21
wait;464
minute;186
are;1544
you;13281
saying;158
what;3820
think;1161
re;1809
let;587
have;2051
baby;126
oh;933
god;247
love;275
weird;135
six;13
of;2969
us;476
but;2332
only;337
five;20
shadows;74
ok;1546
promise;78
me;3148
something;724
anything;427
no;2086
matter;86
how;1103
long;199
it;6364
takes;24
we;2137
never;531
stop;280
trying;319
get;1106
pregnant;38
even;478
after;300
keep;251
check;126
fine;180
print;4
wedding;33
vows;2
come;662
do;1962
delia;117
noticed;15
didn;893
t;5283
any;405
wine;13
with;1549
dinner;39
tonight;53
don;2061
she;3053
did;1241
maybe;688
should;345
tell;773
her;2033
is;2876
your;1843
best;111
friend;206
huh;104
just;2479
such;70
letdown;1
know;3004
every;177
time;583
doesn;319
happen;120
want;910
down;284
too;515
hey;594
gonna;539
ve;659
been;647
months;57
clancy;16
yeah;1563
right;1332
ll;736
be;1570
minutes;56
multiple;1
victim;15
fire;65
at;1029
rockland;33
university;37
one;930
office;58
buildings;2
they;1711
which;178
building;41
jim;322
honey;116
m;2117
go;939
commander;1
excuse;91
seen;174
rick;36
payne;36
professor;58
got;724
has;341
anyone;161
usually;57
when;794
standing;19
front;41
mirror;23
more;404
than;203
mean;987
ask;159
around;205
hear;232
so;2183
why;1209
hell;89
answer;45
phone;120
talked;74
telephone;5
an;506
hour;44
ago;146
inside;63
my;2098
home;267
would;734
make;394
was;3566
paddles;1
ready;111
shadow;6
thing;415
thought;411
bad;210
omen;2
number;55
up;881
here;1323
called;155
done;143
charging;5
happened;439
clear;50
again;258
try;130
nothing;277
give;198
see;875
life;259
yes;264
him;1454
he;4309
responsive;3
his;1061
blood;79
pressure;9
man;224
please;454
help;653
out;1237
congratulations;10
saving;12
guy;366
nice;135
job;106
well;1252
hi;196
this;2405
going;664
ever;260
since;165
regained;2
consciousness;8
who;1111
name;252
eli;248
james;34
psychology;6
therapy;26
practice;13
burned;14
eyes;86
swelling;1
from;785
smoke;10
lived;52
grandview;97
and;4679
caught;27
like;1412
horrifically;1
then;656
gordon;67
uh;457
sorry;568
if;1373
fiona;32
meet;88
met;97
before;337
odd;12
way;445
psych;9
department;24
gambler;1
anonymous;8
girl;216
electric;1
shock;19
study;13
those;267
electrodes;1
were;883
not;1914
supposed;126
understand;210
can;1857
talk;449
them;755
ghosts;299
work;204
hospital;125
definitely;33
post;13
trauma;3
counseling;5
protocol;3
told;413
really;812
better;163
died;422
couldn;228
bring;74
back;576
where;530
dead;274
talking;259
font;196
color;103
4096d1;13
¾;2
öä;8
½ö¹;2
ñ;2
ï;3
½;2
á;2
ñï½ûóãóúéìòµóãí¾;2
ææàãðü;6
é;10
òë;3
ð;6
ô;3
ê;3
¼äöá;3
ëõ;1
http;13
www;78
ragbear;7
com;88
s04e01;1
another;136
brought;69
mom;413
gabriel;25
all;1560
others;31
different;98
about;1578
for;2004
same;187
reasons;19
am;258
guessing;21
wishing;10
wouldn;166
ned;231
into;369
wish;98
knew;283
participate;1
speaking;16
some;587
strange;75
foreign;1
language;5
words;31
adds;1
gibberish;1
patients;21
together;142
revived;4
doing;290
p;48
