Mot,Occurrence
i,26644
you,16305
je,12030
a,9539
de,9342
tu,9237
s,9151
to,9107
est,8881
que,8663
the,8135
pas,7614
t,7583
it,6393
and,5673
me,5624
et,5523
à,5389
le,5189
m,4944
c,4875
la,4766
that,4693
ne,4670
on,4618
ce,4308
j,4219
un,4100
l,4003
il,3919
d,3745
pour,3467
of,3332
ça,3320
is,3284
what,3280
ai,3251
n,3249
qu,3224
en,3204
my,2972
une,2950
for,2769
in,2694
we,2693
les,2681
know,2669
as,2638
this,2637
your,2569
vous,2493
mais,2413
just,2405
have,2400
not,2394
oh,2381
but,2361
so,2291
no,2283
was,2266
with,2232
elle,2220
be,2194
re,2166
suis,2151
don,2115
avec,2064
si,2038
blair,1994
moi,1973
serena,1960
do,1950
te,1926
he,1907
she,1889
can,1873
are,1865
bien,1835
être,1663
about,1660
non,1657
qui,1636
des,1632
well,1628
y,1617
tout,1544
like,1531
mon,1513
her,1502
sais,1492
toi,1480
plus,1476
yeah,1471
fait,1460
if,1459
all,1452
chuck,1447
nous,1376
dans,1351
here,1334
at,1333
ll,1306
out,1287
dan,1279
au,1274
était,1263
get,1222
uh,1220
nate,1205
right,1201
es,1157
faire,1155
veux,1147
okay,1133
go,1129
want,1112
hey,1105
ma,1096
up,1087
think,1082
there,1082
du,1064
quoi,1060
ton,1056
one,1034
jenny,1024
dire,1014
comme,1005
how,995
sur,984
se,982
dit,980
now,956
gonna,949
peut,926
ve,910
peux,910
lui,906
really,904
vraiment,898
him,892
girl,890
who,880
did,875
là,866
va,864
juste,842
alors,839
why,827
oui,818
didn,815
good,808
chose,804
see,798
they,792
tell,789
sorry,776
when,774
pourquoi,773
would,770
come,755
back,750
quand,744
ta,735
ici,731
were,729
cette,724
merci,724
son,707
from,697
or,691
lily,688
même,682
time,680
dois,680
look,678
been,673
going,669
avoir,667
need,666
an,664
rien,664
ouais,653
vais,650
let,648
vanessa,641
père,633
ou,632
will,623
gossip,621
got,615
say,609
love,606
mean,602
had,602
um,601
où,601
something,594
then,581
jamais,579
mère,579
voir,574
quelque,573
some,569
fais,563
his,563
dad,559
bass,558
could,555
maintenant,545
aller,541
should,533
humphrey,533
rufus,528
ils,527
make,525
us,524
soir,523
aussi,522
sont,516
never,516
take,515
toujours,512
way,511
comment,511
été,508
our,508
besoin,504
étais,502
because,502
too,499
bon,498
thought,495
mom,494
doing,493
sure,489
even,487
talk,487
where,486
thank,484
only,481
little,478
avais,465
pense,463
parler,462
temps,456
more,449
parce,449
new,448
ok,445
thing,444
eh,444
yes,444
has,441
wait,441
maybe,438
autre,437
désolée,425
told,423
over,422
please,417
fois,416
peu,412
sa,405
night,405
mes,401
b,400
last,398
by,393
am,393
sûr,393
much,392
waldorf,389
par,386
said,386
moment,385
quelqu,384
actually,384
accord,381
call,379
encore,373
tous,368
vas,367
aime,366
dis,363
still,362
avant,361
into,359
votre,356
voulais,356
très,355
them,355
notre,352
tes,351
find,349
than,347
van,344
party,342
anything,341
yale,339
people,337
fille,336
eu,333
pensais,333
donc,333
crois,331
après,330
der,329
passé,328
everything,326
off,324
monde,322
things,321
tonight,320
personne,319
first,319
great,318
deux,314
font,314
désolé,314
doesn,314
believe,313
family,310
school,309
ces,308
vu,308
wanted,307
papa,307
viens,307
vie,306
famille,306
attends,305
nothing,304
god,302
help,302
someone,301
before,299
eleanor,298
parents,297
depuis,297
excuse,297
away,296
choses,295
soit,295
o,294
again,294
mother,293
chance,292
ont,291
aurais,289
two,287
home,286
place,286
devrais,285
part,285
after,284
dieu,283
other,279
ever,277
sans,276
eric,274
father,273
seule,273
life,272
veut,272
give,271
plaît,270
bart,270
avait,268
friends,266
mieux,264
avez,264
ensemble,263
cause,261
déjà,261
hi,260
savoir,260
always,260
ses,259
man,258
chez,258
best,257
