Mot;Occurrence
i;4300
bonjour;168
résidents;2
de;9329
l;3952
upper;93
east;101
side;81
ici;731
gossip;313
girl;322
et;5520
j;4124
ai;3251
les;2679
plus;1450
énormes;4
nouvelles;77
possibles;5
une;2950
mes;399
nombreuses;5
sources;4
melanie91;2
nous;1376
a;3561
envoyé;64
ça;3319
repérée;27
à;5384
grand;178
central;18
sacs;17
la;4748
main;56
serena;940
van;156
der;149
woodsen;130
fait;1459
déjà;261
un;4097
an;67
que;8661
notre;351
bimbo;3
mystérieusement;2
disparu;16
pour;3462
pensionnat;16
tout;1544
aussi;522
soudainement;4
revoici;2
vous;2490
ne;4668
me;1853
croyez;10
pas;7612
regardez;17
par;384
mêmes;28
heureusement;41
preuve;25
merci;718
photo;78
mel;1
dan;625
jenny;507
salut;244
papa;306
êtes;212
enfin;126
là;866
bienvenue;35
c;4816
était;1263
comment;511
ce;4305
week;43
end;44
votre;356
mère;579
super;117
elle;2209
va;863
bien;1835
comme;1004
aurais;289
jamais;579
dû;202
quitter;32
manhattan;91
ou;630
plutôt;124
faire;1155
pause;16
dans;1351
mon;1513
mariage;114
est;8877
meilleure;131
idée;161
eue;14
tu;9235
sais;1492
quoi;1060
je;12029
meurs;9
faim;38
rentrons;8
maison;179
cuisine;20
salade;4
grecque;2
peu;412
mozzarella;1
di;3
bufala;1
ouais;653
vais;650
repéré;23
jeune;67
homme;130
seul;149
il;3918
n;3144
arrive;161
croire;141
amour;99
sa;403
vie;306
revenue;37
si;2038
seulement;125
savait;33
qui;1635
mais;2412
le;5179
monde;322
connaît;50
parle;170
devinez;5
blair;956
waldorf;200
pense;463
sûr;393
sont;515
meilleures;16
amies;68
on;2603
toujours;512
pensé;147
petit;240
ami;183
nate;583
avait;268
faible;12
dois;680
dessiner;4
robe;144
cette;723
femme;134
veux;1147
porter;45
créations;6
dis;362
moi;1972
puissions;3
au;1270
moins;240
ajuster;2
convenablement;2
maman;243
m;1728
en;3196
souviendrai;4
soirée;225
ma;1088
pub;10
alors;839
as;1877
réfléchi;10
université;43
eh;442
sors;48
dartmouth;30
oui;817
tari;1
d;3002
éloges;2
envers;20
aimerais;117
voir;574
ouest;4
peut;926
être;1663
u;60
s;1424
voudrait;33
assez;133
loin;75
premier;113
choix;97
excusez;98
capitaine;26
peux;910
t;2098
emprunter;16
prie;49
excuser;86
instant;43
nathaniel;41
te;1922
dirait;157
prendre;228
coup;101
air;148
frais;6
quand;744
reviendrai;2
revient;15
qu;3224
se;978
passe;246
maintenant;545
disais;42
vouloir;64
attendre;99
mieux;264
vaut;60
sceller;1
affaire;48
avec;2064
b;179
horloge;3
tourne;14
croirez;8
y;1487
sur;984
quelqu;384
vu;308
sortir;187
du;1059
train;66
cool;55
commençait;1
devenir;51
monotone;2
aime;366
archibald;91
depuis;297
toi;1479
école;196
embrasse;10
non;1648
entendu;124
ta;732
dire;1014
aller;541
lui;906
carrément;12
enceinte;32
réinsertion;1
engage;2
dit;980
oublie;49
fiche;19
soit;295
murakami;1
jurait;1
canapé;16
bon;494
chérie;76
où;601
ils;527
ont;290
encore;372
laissé;102
discutons;3
accord;378
voudrais;56
quelques;192
uns;10
tes;351
amis;207
vas;367
viens;307
mettre;121
table;59
gardé;10
place;114
côté;75
quelque;573
part;166
sens;122
très;354
voulais;356
juste;842
passer;176
vois;215
demain;175
donc;333
suppose;95
retour;105
savais;193
arrivait;3
avoir;667
surprise;73
quitté;22
fête;247
secondes;14
même;682
pris;145
cocktail;9
citron;2
mauvaise;56
fille;336
vraiment;898
devenue;25
sage;4
partie;193
rôle;27
pouvez;66
entrer;70
visites;4
finies;5
suis;2151
famille;306
frère;90
pourquoi;773
envoyez;3
tous;366
détails;15
secret;56
révèlerai;1
gros;42
bisous;12
font;159
color;52
yellow;43
épisode;65
1x01;2
pilot;2
capture;19
www;84
ragbear;18
com;34
sous;146
titre;41
a²s;36
team;100
all;27
about;27
subs;26
fr;26
connu;13
eric;130
été;508
ur;90
horrible;28
contente;86
doit;254
beaucoup;249
rumeurs;13
raison;240
ton;1054
aucune;96
elles;170
veut;272
chéri;20
dorme;1
son;601
propre;70
lit;43
possible;57
pyjama;17
allais;116
justement;34
demander;88
docteur;12
pouvais;101
emmener;37
déjeuner;89
venir;184
chercher;92
croissant;3
bout;28
rue;27
laisse;175
deviner;18
raconté;21
allé;29
papy;2
rhode;6
island;10
tante;7
carole;3
miami;10
caches;11
tente;11
suicider;7
peur;131
perdre;78
année;158
étais;502
dieu;283
sait;178
père;633
question;82
piège;9
car;122
nôtre;5
top;8
des;1629
groupes;6
oubliés;3
années;82
regarde;105
numéro;40
fier;22
moyen;71
oublié;73
souvient;5
intéresserait;3
groupe;29
lis;14
nanas;1
pc;2
hier;143
soir;522
lire;44
rolling;5
stones;1
rejeter;4
dessus;57
lincoln;11
hawk;10
travailles;9
baiser;32
lèvres;17
invitée;45
truc;154
prends;97
mal;191
surpris;34
invité;55
cours;72
art;53
calligraphie;1
faisais;36
toutes;156
invitations;11
honnête;50
ateliers;1
clandestins;2
devraient;10
exemple;13
lieu;34
divagations;1
anticapitalistes;1
oh;734
mis;48
privée;19
éducation;5
devrait;153
loosers;1
mangent;2
seuls;36
invités;33
aux;207
fêtes;32
convient;12
bonne;236
jugement;11
devrais;285
amuser;18
enfants;107
habitiez;1
palace;23
rénove;1
nouveau;115
connais;145
cassé;14
casse;8
fais;563
semblais;1
contrariée;6
changer;71
retard;86
es;1156
écoute;172
amie;201
choses;295
doivent;22
trop;250
sexy;29
chose;788
telle;31
perfection;5
besoin;504
transgressée;1
profondément;4
perturbé;1
pourtant;16
avais;465
chance;184
copine;53
sortez;12
ensemble;263
maternelle;5
avez;264
conclu;6
conclure;5
uniformes;2
identiques;3
indice;8
marrant;19
gars;45
voulez;74
déjeune;3
beau;68
encadrer;1
joli;20
travail;95
voilà;102
tienne;25
promis;50
cherchées;1
toute;235
cantine;1
appelle;181
samedi;18
jusqu;149
heures;102
pensait;45
complet;6
utilisé;26
vrai;236
désolée;425
plein;41
façon;129
veuilles;24
attende;2
reste;157
yaourt;8
allez;222
penses;193
pourrait;184
adorerais;42
attendra;3
étapes;2
rencontre;21
lutte;4
pouvoir;96
entre;210
trouverai;15
sûrement;59
min;6
réapparaître;4
redevienne;4
avant;360
libérer;7
allait;87
rendre;60
sans;275
battre;18
deux;314
belles;7
peuvent;50
trouver;166
solution;15
rien;664
combat;7
chattes;1
celui;61
ci;49
classique;9
myspace;1
postes;3
ces;308
informations;8
ligne;34
épargne;3
arbres;2
blog;2
musiciens;2
lâchaient;1
leur;173
prenaient;1
leurs;79
guitares;1
industrie;7
musique;18
porterait;3
parles;107
vraie;48
relique;1
fiston;7
message;98
aide;132
urgence;22
avenue;14
revenir;46
esprit;24
libre;29
raisons;25
laquelle;49
épris;1
base;6
flyers;2
agrafeuses;1
vieille;22
débrouillerais;1
parlé;153
infirmière;1
kidnappe;1
boutiques;4
chez;258
bendel;16
heure;129
eu;324
sale;16
journée;83
pilules;9
tests;5
rorschach;1
gelée;2
verte;2
trouves;20
attends;304
croyais;66
mode;40
allée;46
genre;83
bal;108
allergique;4
grands;16
magasins;11
jolie;21
jen;20
dommage;37
vaille;3
loyer;6
coudre;10
style;26
voici;72
styliste;14
acheteur;3
personnel;14
baisers;1
sorte;67
parlant;28
tiens;85
pendant;156
demande;97
serait;192
noir;16
campagne;20
piquer;2
viagra;1
paxil;1
coucher;24
point;170
exécuté;1
mec;188
chuck;731
pote;17
soudain;10
problème;158
aucun;70
impression;35
planifiée;2
avance;27
finir;38
nos;158
parents;158
pensée;7
sombre;8
choisir;41
heureux;63
calme;47
socrate;1
droit;62
fond;31
investissement;20
hamptons;15
problèmes;74
drogue;27
bonheur;21
semble;149
menu;5
fume;1
conclus;3
divorce;10
quittée;3
autre;437
perdu;91
kilos;2
lifter;1
paupières;1
doute;36
ni;70
appelé;128
écrit;33
temps;456
commencer;61
appeler;108
venue;79
entendre;56
partait;9
connecticut;6
partir;183
éloigner;15
plaît;270
confiance;116
arrangeons;1
vue;69
katy;1
is;11
comprends;168
enlever;15
parce;449
appartient;8
manques;15
redeviennent;4
danser;15
tables;9
bungalow;1
bains;12
minuit;22
familles;14
raté;18
classiques;4
dépressions;1
eleanor;149
tragédie;6
aurait;133
pu;166
drôle;31
aimé;42
retrouver;66
prévu;52
spécial;26
retenir;8
repérées;2
hôtel;123
discutant;1
ouvert;21
soif;4
conquis;2
moment;296
invisible;2
déplacer;3
vite;70
réglée;2
déduit;1
fini;162
salué;1
anniversaire;81
3ème;6
pourrais;150
seule;273
personne;319
quasi;2
sympa;47
connaissait;8
apprécierait;1
déçue;5
clinquant;1
glamour;3
humphrey;273
habite;10
exactement;97
probablement;70
assise;8
bar;50
siroter;3
martinis;5
triste;20
travailler;40
tard;194
galerie;34
argent;171
dîner;120
manger;52
indien;3
ok;433
tant;148
commandé;8
bougez;2
plait;19
adore;83
ville;118
devoir;81
viennent;28
acheter;41
sert;21
mineurs;1
verre;63
serviront;1
porcs;1
grossière;2
aimes;85
filles;169
parlent;12
préfère;39
humour;7
subtil;4
manqué;46
rapprochons;1
enlevons;1
vêtements;42
admirons;1
mangeait;1
morceau;6
bu;16
estomac;8
vide;15
occasion;34
spéciale;11
dirais;50
fromage;9
grillé;2
huile;2
truffes;4
adores;9
savoir;260
aie;17
relations;16
alfonso;2
crack;1
fermons;1
tôt;77
tellement;113
cherches;19
remercier;32
idées;18
sandwich;7
arrivera;25
découvre;18
dernière;175
shepherd;4
crois;331
dépêche;10
censés;5
couple;29
voulait;88
payer;35
première;122
qualité;9
auraient;9
prévenir;12
amener;21
boisson;6
montrer;67
arrête;119
yeux;48
contrôles;2
embrassés;3
élégant;8
ressembles;5
admettre;24
essaie;80
préférais;5
su;58
dégage;9
lâche;23
désolé;314
avaient;18
construit;3
pont;4
venu;89
écrouler;2
séchez;1
vos;102
savez;74
essayé;86
fils;106
prochaine;78
fois;416
joyeux;40
matin;134
passé;328
grosse;35
dispute;15
conseil;50
excuse;84
faute;58
fleurs;20
bijou;3
colère;28
marche;72
rompu;41
géniale;21
faut;164
entends;22
suite;108
apprête;3
compagnie;26
publique;15
courtise;2
mois;80
aurai;26
aider;169
abandonnes;1
difficiles;5
affaires;86
dépend;11
mlle;83
v;62
regardé;12
client;9
faisiez;5
pardon;55
écoutez;13
prince;37
charmant;18
trouvé;115
chaussure;5
cendrillon;6
accusé;5
obsédé;3
pieds;21
faites;85
arrêtez;14
connaissez;21
propos;93
souviens;103
portable;23
devine;10
invitation;30
nuit;158
organise;13
reçu;35
projets;17
ravi;56
rencontrer;107
mme;40
concert;25
stone;4
cités;1
grande;46
fan;35
parfaite;39
annoncer;7
garder;70
passes;12
sortirais;8
pire;83
mecs;28
accepté;27
blessée;10
réparer;9
derrière;48
revoir;94
parler;462
sera;223
existait;4
parlons;14
furieuse;19
réagi;2
excessivement;3
sûre;147
éprouves;1
quelle;99
vient;164
limousine;27
parfait;111
lily;333
uvres;2
meubles;2
concerts;3
géniaux;6
rancard;11
étaient;63
forcés;3
croiser;8
petite;163
île;10
astuce;3
utiliser;39
alison;29
apprends;13
utilises;7
rêves;24
particulier;11
récurrent;2
bus;9
nine;1
inch;1
nails;1
chaussures;33
boucles;1
oreilles;3
trent;3
reznor;2
arrivé;85
réchauffer;2
décennies;1
passées;6
passée;28
layne;1
perry;2
rock;7
stars;7
millionnaires;1
malin;5
lessivé;1
minable;3
prétendue;1
arrangements;2
multiples;1
divorces;1
entretenir;3
dehors;49
rufus;252
idem;1
belle;71
tourner;14
sermon;2
donne;94
celle;91
importe;146
seras;47
mince;8
heureuse;75
présent;15
fasses;23
imagine;51
mets;33
crème;7
cheveux;50
pointes;1
sèches;2
nouvelle;173
fraîches;1
aies;104
connaissance;12
garçon;88
ticket;6
cercle;5
fermé;12
victime;4
soirées;13
habillée;4
honnêtement;40
apparence;4
rencontres;8
présenter;35
monte;16
scène;44
légèrement;5
surestimé;3
trajet;9
accorder;5
profitez;4
emmènes;6
rendez;72
habiller;11
allons;111
endroit;89
discuter;14
quel;189
fou;39
grave;23
reprenons;1
début;42
reprendre;7
prenons;8
coupe;8
champagne;22
demandé;147
penser;85
pensais;333
techniquement;4
proposé;13
sensible;4
âme;12
torturée;3
superficiel;2
sms;16
réellement;23
stp;4
meilleur;88
plan;102
tour;40
cherche;44
disait;29
foutue;1
porte;76
courage;11
manque;31
virer;14
nulle;20
essayons;5
étage;21
aura;62
haut;52
écharpe;9
stop;14
espèce;8
putain;5
arrivent;15
ailleurs;37
combien;81
classe;42
touche;16
finie;16
salope;29
ira;51
ramène;7
second;22
puisses;19
frappé;8
parlera;20
taxi;24
remontre;2
espère;174
trad;32
florian;26
droo;3
relecture;36
synchro;44
faisant;16
sortie;41
héroïque;5
lundi;18
adorez;2
dites;43
contraire;19
habitants;9
unique;73
source;53
scandaleuse;18
élites;3
page;22
accueil;7
préférée;16
mystérieuse;5
absence;14
gare;10
copain;76
croit;15
rumeur;28
parlait;26
laissera;6
oublier;43
puis;100
outsider;3
enfance;8
revenu;14
ceux;46
gosses;5
cavalier;34
mystère;10
apparition;3
faite;28
remarquer;6
rester;127
meurt;5
envie;61
ensuite;30
1x02;2
the;52
wild;3
brunch;36
red;8
parie;18
demandez;9
vérité;125
gaspiller;3
dormir;24
réelle;9
dimanche;7
journal;6
café;66
brouiller;1
uf;4
siders;24
paresse;1
assorti;1
code;11
vestimentaire;2
centaine;6
proches;22
ennemis;3
bart;143
bass;282
annuel;7
fondation;3
hé;195
levée;4
vérifies;2
assure;20
rentrés;6
après;330
sois;170
brossé;1
dents;9
stupide;36
gens;210
ordinaire;7
sauf;51
agit;29
irait;14
fin;85
mauvais;59
descends;6
raccompagne;1
commotion;1
cérébrale;1
saurais;13
wellisburg;1
signe;19
essayait;9
timide;2
déteste;55
histoire;144
détesté;3
attendu;22
ado;8
rdv;6
finis;8
rencard;60
mienne;28
ruinée;4
dignité;7
apprécie;50
proposer;10
tenue;6
douche;15
bref;12
dont;122
intelligent;16
arranger;40
bas;145
approche;15
dorota;117
ferait;42
aujourd;142
hui;143
voudras;4
feriez;9
venais;23
allô;47
coucou;9
réveillé;6
debout;17
prend;43
serré;3
saute;6
endormi;3
ah;48
ferme;14
certains;42
essaient;1
forces;5
alarme;2
9h;1
10h;2
mesdames;18
pourriez;22
ramener;11
dès;57
eau;24
glace;17
semblerait;27
suffit;37
soyez;20
sûres;2
dirai;32
engagées;1
gamin;8
éclaté;3
jouer;78
nom;116
choperais;1
tuerais;1
tues;2
étrangler;2
moque;7
signature;4
mort;75
intimidante;4
connard;3
cogné;3
nez;8
brisé;17
clairement;25
dégaine;1
seconde;67
ouaip;4
gaufres;19
excellent;12
bonnes;32
hotel;5
lobby;1
donnez;10
chambre;96
dors;3
discute;4
bye;43
appel;41
supprimé;4
prêtes;7
seront;36
arrivés;4
pourrons;7
servir;28
michel;2
trouve;62
simple;39
défaisais;1
cartons;3
vivre;42
lequel;6
vit;22
décidé;50
aimais;41
couleur;10
murs;4
irais;10
ressemble;40
amusée;9
allés;13
plaisir;63
difficile;58
penseront;3
cacher;33
garde;34
clinique;1
différent;38
rigole;7
attendez;36
venez;27
manquer;19
longue;24
jour;178
six;20
asseoir;26
serai;67
rater;7
voyons;14
béguin;3
formez;2
dexter;3
occuper;51
queue;5
sentais;9
reviendriez;1
agréables;1
agréable;16
messieurs;12
cafés;2
audrey;65
appelée;14
croissants;1
diamants;5
tradition;22
traditions;16
efforts;12
apprenne;7
couché;60
appris;50
devait;60
perds;14
croirais;4
pute;11
menteuse;7
approches;4
visite;26
fut;11
courte;6
apparemment;64
vengeance;14
mange;12
froid;26
aperçue;2
stylos;2
utilisés;3
entendue;6
cas;98
vanter;5
ses;259
conquêtes;1
victimes;8
préparer;39
jolies;5
hortensias;2
longtemps;81
tombe;32
tatoue;1
brooklyn;84
lil;28
warped;1
enlevé;5
tatouages;2
forme;14
gentil;43
époque;21
chaque;85
sorti;45
fiers;6
assis;11
hall;24
vivons;1
expressos;1
allongé;2
avoue;5
retombes;1
amoureuse;21
catégorie;1
salaires;1
shirts;3
col;4
horribles;11
blagues;3
hideuses;1
goût;25
derniers;31
jours;76
ans;164
malencontreux;1
destin;22
sérieux;56
marié;12
forbes;1
pourra;30
compliment;3
sérieuse;23
inquiète;76
influence;7
écarte;4
priorités;2
quartier;12
trottoir;4
ordures;5
ozarks;2
vexer;6
classes;6
commencé;38
défends;5
larbin;1
casser;9
gueule;12
peine;63
terminé;44
cocard;2
magnifique;60
banale;4
collection;20
stella;2
mccartney;2
modèle;13
berdgorf;1
intention;13
bergdorf;2
poupées;3
géniales;3
poupée;4
chou;6
appelait;6
cédric;6
doudou;3
trouveras;13
parleront;2
manière;28
décider;19
pâtés;2
maisons;2
tenais;9
glorieuse;1
demandais;28
matinée;12
forcément;10
cet;140
ordre;21
abord;66
aille;34
av;2
laisser;166
mourir;26
inhumain;1
vis;19
toit;19
selon;18
règles;33
coute;1
blague;9
semblent;6
sacré;9
appétit;7
destruction;1
ainsi;16
chanson;19
cadeau;45
remerciement;6
hors;36
prix;38
appartement;43
remplie;7
conçue;1
douée;12
portes;22
robes;22
farmers;1
market;1
âgée;5
come;3
back;3
compétences;2
matière;5
toilettes;28
caviar;2
beluga;2
génial;135
charles;57
cravate;15
noire;9
créée;1
changes;4
prétexte;6
open;2
réembaucher;1
statues;1
presque;66
nues;3
faveur;20
scotch;4
midi;24
écouter;28
expliquer;59
rejoins;11
éclipse;5
dix;16
minutes;52
superbe;14
charmante;6
paris;40
drame;5
atelier;9
dramatique;11
exposé;3
entreprise;13
plaisante;10
resservir;2
reviens;82
géré;4
avions;20
discuté;6
autour;31
trente;4
timothy;1
good;1
société;53
propose;6
stages;2
intéressants;1
distance;6
inquiètes;9
hasard;9
attirer;8
attention;83
clé;6
futur;26
honoré;6
dépucelage;1
dégoutant;3
coincée;11
attrape;3
finissez;2
rapport;15
détaillé;2
offre;24
repérés;8
chauds;3
bouillants;1
couloirs;4
finalement;41
attend;54
étincelles;5
envolent;3
trois;75
devais;65
jure;18
parlerais;2
compter;20
passionnante;1
discussion;13
retourner;33
rapide;16
sexe;24
importante;25
romantique;41
nouvel;22
adorerait;6
blesser;14
réalisé;47
planète;1
voie;17
harem;2
dépensières;1
mannequins;4
discussions;3
prennent;10
cachiez;1
espionner;3
conversations;6
privées;4
cachais;3
cherchais;26
intérieur;26
attendait;6
deuxième;17
parlez;23
attendais;51
manquait;3
courant;60
regrette;8
prétendre;16
gentille;21
