Mot;Occurrence
font;155
color;90
4096d1;48
Ύ;10
φδ;46
½φΉ;10
ρ;11
ο;82
½;10
α;15
ρο½ϋσγσϊιμςµσγνΎ;10
http;24
www;75
ragbear;23
com;46
gossip;308
girl;568
µϊς;6
ΌΎµϊ1Ό;1
ζζΰγπό;30
ι;75
κ;18
Όδφα;16
Ίμ;1
µβπό;1
κψ;2
μμκΉ;6
i;22344
hey;923
upper;90
east;97
siders;25
here;1334
and;5659
have;2398
the;8083
biggest;21
news;67
ever;276
one;1032
of;3312
my;2970
many;73
sources;4
melanie91;2
sends;6
us;522
this;2635
spotted;76
at;1333
grand;13
central;17
bags;17
in;2684
hand;46
serena;1020
van;188
der;180
woodsen;118
was;2265
it;6390
only;477
a;5978
year;224
ago;88
our;508
mysteriously;2
disappeared;10
for;2768
boarding;26
school;304
just;2404
as;761
suddenly;17
she;1889
s;7727
back;747
don;2109
t;5485
believe;312
me;3771
see;798
yourselves;7
lucky;57
sent;57
proof;19
thanks;248
photo;39
mel;1
service;38
to;9096
new;354
jersey;5
dan;654
jenny;517
over;422
dad;555
you;16285
made;222
welcome;76
how;993
your;2567
weekend;45
mom;494
fine;242
good;807
uh;1164
like;1530
maybe;438
never;516
should;533
ve;909
left;226
manhattan;82
or;676
taking;114
time;680
out;1284
from;696
marriage;29
best;257
idea;180
h;34
know;2668
what;3275
am;391
m;3216
starving;9
ae;1
care;205
about;1633
young;62
folks;8
let;647
go;1128
home;284
cooking;8
caprese;2
salad;3
little;451
mozzarella;1
di;5
bufala;1
yeah;1469
gonna;949
make;525
guys;240
lonely;44
boy;90
can;1872
love;596
his;563
life;271
has;439
returned;19
if;1458
knew;180
who;880
he;1906
but;2329
everyone;191
knows;119
is;3273
talking;245
wonder;38
blair;1038
waldorf;189
thinks;42
sure;479
they;790
re;2166
b;221
f;36
we;2693
always;260
thought;493
boyfriend;134
nate;622
had;602
thing;444
lovin;1
that;4692
want;1108
somethin;5
need;666
baby;54
come;752
share;37
world;127
design;6
dress;144
woman;84
wear;50
designs;11
tell;789
so;2291
least;149
get;1221
properly;6
fitted;4
keep;207
mind;149
great;318
party;338
advertisement;1
started;58
thinking;134
abllege;1
well;1628
actually;384
dartmouth;29
man;252
yes;444
spoken;18
d;743
check;88
w;58
u;124
c;59
