Mot,Occurrence
i,18597
you,13553
a,9945
the,9447
je,8854
de,8688
s,8643
to,8411
est,8013
t,7659
pas,6487
on,6399
it,6341
tu,5826
que,5495
c,5316
and,5254
la,5095
le,5046
et,4824
that,4753
à,4501
me,4385
m,4166
un,4118
j,4099
we,3857
of,3846
les,3600
l,3321
d,3306
ça,3274
pour,3221
en,3066
is,3048
what,3016
ai,2890
in,2861
une,2844
for,2760
ce,2684
this,2678
il,2565
re,2513
my,2484
des,2353
have,2347
as,2327
with,2319
qu,2315
not,2276
so,2272
just,2225
your,2184
be,2124
know,2041
vous,2001
can,1983
was,1968
but,1937
avec,1915
mais,1915
are,1874
do,1871
ne,1822
don,1761
about,1735
si,1684
like,1661
no,1608
all,1599
être,1593
qui,1589
suis,1569
elle,1559
he,1520
plus,1515
moi,1494
she,1478
get,1372
te,1370
out,1366
n,1350
du,1349
dans,1334
y,1321
up,1318
right,1305
if,1252
fait,1251
mon,1238
toi,1203
bien,1198
think,1177
faire,1155
at,1131
es,1123
go,1112
au,1106
quoi,1105
ll,1095
one,1078
non,1076
nous,1074
sais,1072
était,1057
tout,1055
here,1054
comme,1026
there,1024
casey,1024
want,1007
her,997
how,992
really,987
they,981
veux,977
ve,933
peut,902
evan,899
cappie,879
va,878
now,875
ok,870
gonna,868
sur,847
our,842
who,842
good,818
se,813
why,807
peux,805
ton,804
yeah,804
rusty,789
let,786
did,778
pourquoi,742
him,742
us,738
an,732
ma,711
vraiment,709
got,705
dit,705
là,703
or,702
when,699
zbz,695
guys,684
need,684
back,682
some,680
could,678
because,674
well,669
see,666
time,661
dire,658
come,656
going,646
from,645
quand,639
would,636
house,634
ils,624
didn,620
were,616
rebecca,606
lui,602
too,599
sorry,597
avoir,593
juste,591
little,587
sont,585
alors,578
ou,575
cette,574
should,561
merci,554
more,551
then,547
way,542
omega,536
maybe,535
been,534
frannie,533
dois,532
même,528
look,525
aussi,525
vais,524
ta,515
bon,511
had,508
kappa,508
make,505
will,502
mean,481
fais,481
rien,481
notre,480
maison,478
peu,476
comment,472
great,470
où,467
toujours,465
dale,464
something,463
ici,461
say,458
chose,453
oui,452
tell,447
thought,446
two,437
son,433
mes,431
love,429
take,427
last,427
over,427
par,425
by,425
first,421
ont,420
even,420
trop,417
never,417
donc,414
sure,411
night,409
crois,406
them,404
besoin,403
his,399
jamais,398
off,397
guy,396
temps,395
très,394
down,394
doing,392
thing,389
étais,387
oh,386
where,385
autre,384
chi,382
tau,376
week,376
much,372
deux,370
maintenant,370
still,368
soir,368
été,365
voir,363
party,360
has,357
talk,353
big,351
into,351
parler,348
aller,348
parce,347
super,346
which,345
said,345
hey,342
only,340
wait,340
thanks,338
encore,333
tous,330
après,329
fête,324
am,323
other,322
fun,322
kt,322
monde,321
ouais,320
