Mot;Occurrence
i;1694
seriessub;40
com;53
présente;13
une;2843
nouvelle;80
série;13
abc;1
family;1
créée;4
par;425
patrick;16
sean;1
smith;3
transcript;10
swsub;12
synchro;9
b;25
m;1250
ni;58
traduction;10
merla;4
et;4821
coke;32
a;3169
doodle;7
do;3
relecture;11
le;5042
wak;4
salut;187
je;8852
suis;1569
rusty;352
cartwright;135
en;3062
première;135
année;213
la;5089
fac;79
plutôt;97
excitant;20
hein;86
demain;139
soir;368
nous;1074
allons;104
accueillir;3
plus;1478
de;8668
filles;288
pour;3218
rush;80
période;11
où;467
les;3600
1ere;2
postulent;1
fraternités;71
avoir;592
tous;330
styles;1
sommes;76
meilleures;37
donc;414
bien;1197
sûr;307
n;1338
accepterons;1
pas;6485
moins;185
maintenant;370
que;5495
pouvez;57
vous;2001
me;1461
dire;656
à;4500
propos;95
ashleigh;145
rien;481
qu;2315
regardant;5
personne;220
il;2563
y;1291
choses;162
remarque;11
tout;1054
suite;39
premièrement;2
tache;6
droite;17
son;401
chemisier;1
theory;1
on;4111
déduit;1
elle;1554
est;8012
débraillée;1
deuxièmement;3
sa;233
jupe;4
marc;3
jacobs;3
paraît;17
neuve;1
mais;1915
c;5282
collection;3
l;3283
an;46
passé;209
présume;3
acheté;24
dans;1334
braderie;1
bas;97
prix;20
troisièmement;1
ses;199
chaussures;17
prada;2
elles;207
soient;18
jolies;9
sont;585
trop;417
grandes;18
pieds;18
sûrement;80
un;4112
prêt;74
d;2628
amie;94
qui;1589
goût;19
argent;142
quatrièmement;1
cernes;1
sous;125
yeux;65
aime;272
faire;1155
fête;324
probablement;31
encore;333
bourrée;17
nuit;168
dernière;147
fait;1250
vrai;283
merci;552
mesdames;10
ce;2684
quand;639
parlerez;1
aux;280
candidates;3
ne;1822
parlez;14
alcool;63
drogue;8
ou;573
sexe;68
si;1683
posent;1
des;2353
questions;38
réputation;22
soutenir;18
mentez;3
rappelez;13
fiche;22
idiote;7
grosse;47
fille;281
pièce;29
votre;253
mission;21
rendre;58
chaque;102
passe;165
cette;573
porte;97
prête;63
tuer;36
être;1593
meilleure;111
clair;42
pourquoi;742
pause;26
peut;902
pourrait;198
aller;348
