Mot,Occurrence
i,45726
you,34000
a,26479
s,23504
je,21351
the,19770
to,18580
est,17829
t,17712
de,17157
it,14826
pas,14778
vous,13659
and,12812
que,12464
le,11587
on,11434
m,11373
et,10970
c,10767
me,10461
tu,10344
that,10207
la,9462
un,9245
ne,8779
l,8703
il,8639
d,8446
n,8272
à,8030
we,7616
is,7533
ce,7388
in,7115
of,7019
what,6933
j,6887
une,6823
re,6224
not,6059
she,5898
en,5839
he,5792
ai,5752
qu,5736
ça,5703
my,5602
this,5527
have,5525
les,5374
can,5263
no,5248
dr,5237
know,5210
do,5167
elle,5148
pour,5141
your,5108
o,5016
don,4919
for,4884
just,4827
be,4806
e,4463
with,4376
y,4337
oh,4241
was,4237
so,4145
suis,4072
but,4043
are,4038
her,3925
des,3817
okay,3656
bien,3614
get,3595
mais,3414
non,3384
as,3370
si,3317
all,3252
qui,3205
if,3146
moi,3125
avec,3109
there,3050
right,3034
like,3011
gonna,2994
here,2923
dans,2883
about,2798
want,2778
faire,2741
go,2677
up,2674
être,2665
va,2655
out,2647
fait,2647
r,2612
plus,2612
mon,2551
ll,2465
uh,2420
him,2397
tout,2391
du,2386
yeah,2352
good,2310
now,2292
need,2286
they,2276
at,2257
how,2237
think,2161
nous,2145
sais,2143
h,2140
one,2092
well,2092
an,2072
au,2026
ve,2018
his,1962
quoi,1960
te,1948
peux,1940
était,1929
veux,1925
lui,1890
oui,1887
se,1876
did,1841
peut,1783
got,1765
avez,1759
juste,1718
son,1713
dire,1697
là,1682
meredith,1681
votre,1670
ma,1662
comme,1659
when,1637
or,1610
sur,1609
ok,1597
see,1597
toi,1594
alors,1567
patient,1542
time,1540
back,1534
surgery,1528
u,1520
grey,1515
dit,1511
es,1507
could,1506
ils,1506
let,1488
tell,1487
quand,1475
really,1468
why,1464
besoin,1438
because,1429
take,1422
vais,1419
didn,1402
look,1400
bailey,1387
who,1347
had,1341
come,1339
am,1302
sorry,1266
would,1265
burke,1248
izzie,1243
vraiment,1241
been,1239
mean,1239
george,1230
rien,1221
will,1213
ou,1212
êtes,1209
ici,1209
sont,1199
hey,1198
chose,1198
from,1196
going,1193
then,1185
parce,1182
were,1178
shepherd,1173
some,1163
pourquoi,1144
très,1140
maintenant,1136
make,1134
comment,1113
g,1094
avoir,1086
derek,1085
yang,1080
fine,1064
should,1057
ca,1048
cette,1047
yes,1044
doing,1043
malley,1042
has,1026
bon,1024
w,1009
say,1009
allez,1005
more,1000
sa,998
too,992
something,990
thing,988
over,967
people,959
day,956
même,952
cristina,945
chief,928
baby,924
dois,922
temps,922
karev,921
voir,909
ton,902
talk,892
way,890
life,889
alex,882
never,881
them,881
aller,879
still,879
um,878
little,876
off,872
even,863
down,857
vie,848
us,840
please,839
any,839
autre,828
god,828
merci,825
quelque,815
fais,811
stevens,810
jamais,810
chef,807
today,807
où,804
our,803
p,799
b,793
par,786
toujours,785
peu,781
aussi,779
man,777
anything,776
doesn,766
said,764
parler,758
stop,757
étais,755
sure,746
guy,743
where,742
love,741
maybe,731
give,730
two,728
tous,727
cause,721
heart,717
opération,712
thank,712
thought,708
encore,704
quelqu,701
deux,699
help,697
wait,696
mr,689
much,683
by,683
accord,681
pense,681
sloan,680
very,679
work,678
avant,677
ouais,672
before,661
call,657
better,650
personne,649
femme,644
into,643
fois,642
donc,638
ont,636
bébé,630
été,630
vas,626
veut,624
ta,623
f,621
hui,621
mes,620
aujourd,620
moment,614
faut,613
v,609
mère,606
chance,602
ses,602
k,601
only,600
pouvez,599
nothing,588
than,583
other,582
ans,580
aime,580
dieu,579
feel,572
best,571
again,569
hospital,569
eu,568
does,563
which,562
doit,560
patients,559
désolée,558
keep,555
everything,555
home,553
won,548
dis,547
bad,545
find,540
trying,540
point,540
great,534
first,534
told,530
mal,529
put,529
trop,528
euh,526
crois,523
beaucoup,522
long,520
après,520
avais,517
lot,512
talking,511
things,509
someone,508
voulez,508
avait,507
done,505
new,501
air,497
last,496
vos,494
move,494
sans,491
wrong,490
through,486
mieux,477
care,476
savez,475
every,470
away,469
mother,468
after,468
ces,468
try,465
père,463
hôpital,463
job,463
ready,460
chirurgie,459
font,459
addison,458
notre,457
vu,456
being,455
passe,454
wife,452
place,450
depuis,449
bonne,449
doctor,448
blood,448
car,447
night,446
monde,446
pourrait,443
prendre,443
cet,442
toute,440
around,439
sang,439
husband,438
faites,436
getting,436
wasn,436
room,435
fille,433
sir,433
three,432
having,430
pendant,429
ever,428
coeur,428
wanted,426
dad,426
left,425
homme,424
cancer,423
désolé,422
isn,422
face,422
morning,417
leave,417
choses,417
mark,417
denny,416
nice,416
always,415
years,415
die,415
actually,414
big,414
made,412
gens,412
woman,411
mort,410
richard,407
girl,406
vrai,406
cas,403
savoir,403
sex,399
arrive,398
part,397
kind,396
happened,394
hahn,394
gotta,394
déjà,393
vois,390
supposed,389
dead,389
passé,387
hell,386
ask,386
aux,384
leur,382
old,378
might,378
guys,377
mom,375
stay,375
parents,374
start,373
soit,373
minute,373
another,371
their,370
hear,369
year,367
brain,366
sera,366
hand,365
mourir,365
minutes,364
jour,362
pain,362
hold,362
looking,361
needs,361
voulais,361
these,361
surgeon,361
parle,359
moins,359
friend,356
sûr,356
problème,354
together,354
petit,352
those,352
bloc,348
chez,348
saying,346
mari,345
callie,345
seule,345
excuse,344
married,343
happy,342
raison,342
coming,341
pretty,340
possible,339
passer,337
tes,336
hi,335
intern,335
aider,333
until,333
cut,331
torres,331
arrête,331
understand,330
op,330
believe,329
else,329
autres,328
monsieur,327
sortir,326
enough,325
seattle,325
person,325
aurais,324
head,323
entre,323
trauma,322
own,321
tumor,321
quel,317
while,316
maison,316
reste,316
came,316
com,315
quelques,314
salle,314
family,313
hours,313
devrait,311
www,310
live,309
damn,309
open,309
type,308
friends,307
opérer,307
devrais,305
test,305
hard,304
went,304
travail,304
chirurgien,303
hé,303
sous,302
shut,302
journée,301
remember,300
whatever,300
rester,297
case,296
yet,296
pourrais,295
may,292
looks,292
haven,292
avons,289
thanks,289
next,289
fini,289
name,288
tumeur,288
pensais,287
viens,287
truc,287
wants,285
pu,282
seen,281
bonjour,280
laisser,279
nuit,279
voilà,279
without,278
dites,278
yourself,278
importe,278
father,278
heard,276
whole,275
sait,275
course,274
assez,273
interne,272
important,272
jusqu,270
peur,270
already,270
devez,269
page,269
most,268
idea,268
famille,268
ensemble,267
save,266
lexie,266
jours,265
partir,265
knew,264
once,263
probably,263
soir,262
tête,262
aide,262
happen,261
donner,261
days,261
salut,260
mrs,260
regarde,259
main,259
wouldn,259
both,259
resident,256
anatomy,256
couple,254
hunt,254
petite,254
anymore,253
kid,252
problem,252
check,251
ah,250
partie,249
trois,249
question,249
change,249
means,248
docteur,248
serait,247
use,245
heures,244
trouver,244
makes,243
ass,243
run,243
hurt,241
waiting,241
heure,240
toutes,240
working,240
couldn,240
laisse,240
gets,239
sometimes,239
nouveau,239
took,239
ami,238
ago,238
plaît,237
crap,237
alone,237
hein,236
train,234
amis,233
super,233
cerveau,233
clear,233
plait,232
hands,232
mois,231
taking,230
boulot,230
somebody,230
dû,229
tant,229
sauver,228
lost,228
attends,227
genre,227
called,227
bleeding,227
elles,226
five,225
pris,224
making,224
mind,224
preston,223
allons,223
end,223
dernière,223
stable,222
crazy,222
sens,222
mme,222
death,221
since,221
least,221
seul,220
eh,220
guess,220
pensez,220
donne,220
mm,219
post,219
merde,219
chest,219
attendez,218
em,218
maman,218
second,217
sleep,217
joe,217
bed,217
few,216
huh,216
anyone,216
pressure,215
myself,215
demande,215
meilleur,214
arrêter,214
stupid,214
kill,213
reason,212
venir,211
saw,211
tests,210
gone,210
idée,209
internes,209
accident,208
mettre,208
scrub,208
interns,208
thinking,208
combien,208
grand,208
mec,207
aurait,207
mariage,207
cardio,206
nos,206
droit,206
questions,206
matin,206
tellement,205
hate,204
doctors,203
essayer,203
entendu,203
telling,202
hmm,201
soon,201
watch,201
surgical,201
house,201
enfants,201
amie,200
under,200
attendre,200
montgomery,199
bas,199
body,199
west,199
dont,199
comprends,198
real,198
plan,198
pregnant,198
listen,198
ur,197
chercher,197
died,197
douleur,196
week,196
demandé,195
met,195
exactly,195
enfant,194
asked,194
matter,194
meet,193
same,193
pression,192
shouldn,192
feeling,192
vient,191
color,190
line,189
wedding,189
ensuite,189
service,189
mercy,189
parlé,189
corps,188
savais,188
webber,188
aucun,188
vivre,188
almost,187
found,187
show,187
mine,187
regarder,187
rest,187
dessus,187
tard,186
pick,186
appelle,186
sommes,185
mains,185
either,185
everyone,185
sign,184
papa,183
essaie,183
meilleure,183
pouvoir,183
code,182
daughter,182
puis,181
fils,181
table,181
side,181
used,181
x,180
tomorrow,180
says,180
months,180
aura,180
longtemps,179
surgeries,179
coup,179
aucune,179
bras,179
stuff,179
chaque,178
penses,178
gave,178
hope,178
normal,177
médecin,177
scared,177
patiente,177
tube,176
kids,176
scalpel,176
each,176
prête,175
cool,175
contre,175
nom,175
walk,174
laissez,174
miranda,174
close,174
demander,173
board,173
sick,173
enfin,172
vite,172
deal,172
seriously,171
grace,171
aren,171
four,170
late,170
able,170
regardez,170
asking,170
tried,169
worry,169
