Mot;Occurrence
dans;2180
la;7170
saison;30
précédente;2
de;12687
grey;550
s;1997
anatomy;77
tu;7565
dois;677
partir;199
je;15855
suis;3077
en;4434
retard;61
vraiment;896
au;1538
revoir;75
derek;342
ouais;356
il;6476
y;2208
a;5827
un;6992
mois;164
vous;10289
étiez;96
fac;25
médecine;82
apprenant;1
auprès;21
médecins;87
aujourd;468
hui;468
êtes;935
les;4088
des;2815
internes;163
bidasses;1
personne;470
le;8786
bas;140
chaîne;6
chirurgicale;16
c;7009
est;13035
comme;1244
sucrerie;2
mais;2555
avec;2271
sang;333
tellement;151
meilleur;158
et;8342
dr;1819
shepherd;445
là;1139
qui;2395
ici;924
sentiment;17
qu;4191
n;4136
aucune;127
idée;156
ce;5449
train;145
faire;2022
arrête;256
me;2437
regarder;132
ça;3882
comment;794
si;2453
m;1908
avais;401
vu;336
nue;22
ne;6560
pas;11113
choisie;12
pour;3861
opérations;82
parce;899
que;9162
couche;57
mon;1903
patron;28
ai;4342
intégré;2
j;5201
une;5141
mère;429
célèbre;8
crois;348
avoir;796
été;488
médecin;127
bien;2568
george;342
and;11
izzie;408
pouvez;472
emménager;19
maison;230
alors;1135
as;1603
laissé;88
tomber;90
bouteille;14
tequila;13
surtout;32
marrant;38
réveil;8
ca;951
dérangerait;3
bouger;72
cette;752
voiture;110
prochaine;50
fois;476
vois;285
favoriser;2
meredith;482
importe;227
quelle;81
façon;133
ferai;61
sorte;58
elle;3788
remette;3
plus;1873
pieds;22
salle;229
d;4287
op;156
durant;20
savez;336
votre;1264
supérieur;13
faites;318
peur;219
devrais;221
savoir;284
richard;108
nous;1633
promis;30
poste;33
chef;597
tous;551
deux;479
reste;233
proche;21
tes;230
amis;175
encore;524
ennemis;1
salut;119
mannequin;2
ange;9
démoniaque;6
es;1096
l;5396
ennemi;4
t;1711
juste;1233
compétition;13
on;4884
besoin;1121
définition;7
autres;239
options;17
tumeur;245
presse;12
nerf;26
optique;4
syphilis;12
sais;1558
pu;207
arriver;102
toi;1171
alex;295
refilé;2
certaines;40
personnes;116
appeleraient;1
relation;50
moi;2337
oh;976
dieu;422
craques;2
lui;1406
fait;1958
super;157
déménage;11
new;20
york;17
à;5905
seattle;98
bonjour;189
addison;113
devez;190
être;1952
femme;478
mari;265
bon;751
chirurgien;238
penser;114
émotions;8
sont;882
banir;1
rangez;1
soigneusement;1
côté;127
entrez;14
chambre;127
propre;77
stérile;9
où;598
procédure;65
simple;69
couper;62
suturer;10
fermer;36
impression;48
déjà;291
déja;2
venu;78
avant;512
était;1456
très;842
passé;288
connais;108
regard;20
peut;1341
choses;304
soit;262
mène;5
enfer;33
petit;272
ami;187
lequel;36
parfois;111
confronté;2
blessure;70
guérira;4
copain;34
problème;258
gros;96
propose;4
offrir;21
celui;86
ci;36
incision;33
déchire;9
ses;439
points;44
suture;42
fais;589
ta;442
coiffure;2
différente;16
beaucoup;375
différentes;18
ils;1149
longs;3
aime;475
russell;10
crowe;2
parti;95
laissant;5
tout;1687
ton;676
vie;645
manhattan;6
maintenant;828
copine;49
semble;77
gentille;41
glace;22
sur;1203
laquelle;55
fine;7
jeune;71
subjuguée;1
neuro;32
cherchais;22
non;2491
anti;13
venue;49
essayer;156
récupérer;36
peux;1500
oublier;26
traversé;20
pays;31
te;1406
montrer;40
nos;153
photos;10
mariage;142
ennivrer;1
mettre;149
lit;125
réaliser;9
vivre;141
sans;368
relax;6
boulot;169
dirige;9
cas;291
avez;1331
admis;16
semaine;88
dernière;170
après;372
indications;1
savait;30
venais;11
demandé;134
venir;156
avait;377
dit;1158
hmm;25
eh;124
surprise;27
cheveux;85
toujours;585
eu;426
faible;42
laisse;158
voir;679
lacérations;9
enflement;1
normal;56
frappé;8
type;166
poids;18
plume;1
aurais;227
retourner;62
seconde;64
voulu;53
pourquoi;821
plaisantes;12
prévoie;1
carrière;48
chirugie;1
plastique;29
toute;314
permettre;8
blesser;21
ces;349
bébés;38
quelqu;509
o;396
malley;329
frappe;13
ma;1179
soeur;49
donc;497
battre;70
par;607
ouvrez;21
champagne;7
pote;17
finalement;20
méritait;5
foutu;27
terre;35
seul;168
coup;138
poing;3
dû;150
veux;1385
parler;579
allez;742
mérité;12
bière;19
jouons;1
jeu;41
dont;156
nulle;40
vais;1029
gagner;43
gagne;20
jouer;69
même;726
commencer;89
marié;49
goutte;10
narines;1
gagnerais;1
gagnes;4
entendu;154
obstiné;1
adultère;10
menteur;10
rien;864
pourrais;216
dire;1208
battrait;1
enceinte;79
joe;75
va;1918
okay;71
allongez;2
appelé;94
brancards;2
asseyez;14
calmez;18
doit;413
emmener;46
hôpital;350
passer;229
examens;42
mec;150
effondré;7
bar;29
quel;226
point;178
sol;23
sale;39
pouls;72
radial;1
mineure;3
contusion;5
du;1788
crâne;31
couches;28
quoi;1440
tel;25
choc;34
droit;140
action;7
correction;6
attrapé;6
se;1360
savais;150
couchais;5
oubliez;20
autre;620
rue;24
traverser;14
devrait;227
occupe;105
détails;11
vas;452
arrive;287
aux;283
enceintes;3
équipe;100
vaginale;1
ou;917
pouponner;1
douée;34
chirurgie;371
question;98
sortir;230
truc;209
espérer;20
débarrasser;12
regarde;203
revenue;19
soir;206
rencard;21
mcrêve;5
plutôt;100
mcmarié;1
mcquoi;1
aller;658
devoir;107
opéré;27
opération;497
oui;1404
difficile;86
artère;67
basilaire;2
gonflée;4
ballon;11
saignements;15
sub;1
arachnoïdien;1
anévrisme;27
taille;24
balle;72
golf;5
possible;143
doigts;56
magiques;3
sous;214
hypothermie;13
hypo;1
aimerais;94
abord;43
infos;9
antécédents;8
patient;519
résultats;101
angio;12
cérabrale;1
ivre;19
mcbatard;1
son;1188
parle;237
reconnu;3
attends;163
voilà;185
pense;527
suivre;26
moins;260
