Mot;Occurrence
ouais;115
je;6570
suis;1010
désolée;107
me;1310
sens;152
pas;6976
trop;252
chaude;5
tu;2678
éternues;1
peux;471
faire;944
ça;3454
au;936
ciné;2
oui;364
et;3784
serai;29
dans;1293
un;4987
bon;312
fauteuil;11
pour;2652
m;958
évanouir;6
épuisée;3
dave;5
i;2002
on;3228
va;974
être;1337
en;2467
retard;45
l;3864
épisode;33
ne;2943
passe;126
jamais;305
sur;873
grand;66
écran;9
c;4447
est;7449
la;4901
version;12
pré;5
lucasienne;1
sais;528
cette;313
merde;42
avec;1146
greedo;1
vas;138
y;1207
sans;390
moi;904
comment;380
adores;2
star;12
wars;3
n;2234
ce;2465
ben;16
depuis;233
quand;510
juste;455
avant;312
que;4504
prétende;3
le;5749
contraire;35
voulais;148
sympa;36
d;2495
accord;145
j;2739
irai;15
seul;171
bébé;90
désolé;229
aussi;440
vaseuse;1
arrive;77
à;3615
penser;67
restera;7
maison;76
non;940
devrais;82
aller;227
t;922
as;697
senti;10
quelque;284
chose;453
comme;645
quoi;646
tremblement;3
de;7497
terre;28
new;27
jersey;10
oh;78
mon;828
dieu;162
crois;156
hallucine;4
appelle;71
les;3131
secours;9
transcript;10
swsub;7
com;44
synchro;36
bluedoc;6
akazab;8
une;3554
femme;227
ans;286
conduite;2
gaz;13
a;4121
explosé;9
sous;324
son;1133
immeuble;13
sortie;27
des;1981
débris;7
après;237
six;42
heures;104
deux;414
interventions;2
fractures;3
multiples;6
brûlures;8
pense;259
os;35
cassés;3
sont;593
résultat;14
chute;27
sa;651
tête;172
fièvre;110
seule;111
victime;10
mettez;92
antipyrétiques;3
déjà;254
fait;1158
elle;2345
toujours;318
conscience;20
fluctuante;3
charger;5
du;1312
cas;290
ai;2173
équipe;115
engagez;6
avez;1153
vous;7809
reçu;13
quelqu;260
conduit;10
acheter;20
voiture;59
couche;19
mariage;76
engager;14
entretien;18
dix;45
minutes;76
si;1806
aime;209
coucher;32
eux;77
rien;785
ces;210
dernières;13
semaines;60
concert;4
terminé;14
quel;130
monde;167
tordu;5
maîtrise;4
technique;7
arpège;1
mains;52
eddie;19
van;6
halen;1
compte;82
prenez;68
ou;855
passerez;2
mois;138
prochain;19
aider;130
équipes;5
changer;67
pansements;2
fais;254
diagnostic;116
ici;386
fin;45
journée;41
partez;24
semaine;75
entendu;40
marchera;19
il;4434
résout;2
patiente;135
guérit;8
preuve;42
qu;2497
besoin;349
résoudra;2
vite;91
pourquoi;806
prouverai;2
avis;56
falloir;23
argument;14
plus;1304
convaincant;2
aviez;127
promis;18
amélioration;8
antibiotiques;44
allez;375
parlez;72
imaginez;7
toit;3
cagibi;1
s;1096
effondre;9
votre;1178
cireuse;5
préférée;5
qui;1491
commence;51
surchauffer;1
aurais;141
peut;1115
système;69
électrique;14
sauté;8
intérieur;13
pendant;108
effondrement;5
intéressant;77
trauma;27
crânien;15
entraînant;2
dérèglement;1
hypothalamique;2
sort;43
irm;110
aurait;281
vu;251
faut;302
mériter;9
vos;330
trucs;47
fuyant;1
par;471
trous;7
mettent;6
bazar;2
lacérations;3
entrées;2
infections;19
bactéries;12
auraient;20
réagi;11
aux;294
haut;37
virus;10
parasites;12
champignons;16
possible;66
lupus;22
ma;550
mère;168
maladie;144
auto;51
immune;35
vais;355
test;187
infection;137
concorde;5
mieux;322
anamnèse;3
serait;193
bienvenue;10
nous;585
amène;14
pire;76
partie;82
boulot;162
se;736
carer;1
famille;66
parle;114
toutes;75
mais;1495
doit;347
savoir;199
ni;234
ferme;37
voyage;26
nulle;26
part;107
notez;4
dr;231
dossier;67
dit;659
était;1006
malade;125
rhume;8
lien;31
soit;305
souvent;43
inconsciente;2
trouvée;14
disputés;4
veux;541
dites;183
bien;1044
même;408
sûr;249
soigner;54
frimeur;1
gentil;46
gens;206
où;383
savez;166
point;67
rire;13
enfants;84
contagieux;9
encore;320
trouver;142
lequel;33
bouillir;3
cerveau;221
epa;1
occupé;29
clean;21
veut;298
dire;539
pèlerinage;1
château;1
blackberry;1
bradbury;3
leur;167
demande;61
leurs;57
clés;19
gros;47
caillou;1
entrerai;2
effraction;5
principes;7
peu;267
monnaie;3
ferai;31
moins;262
restaurant;11
celui;101
devais;28
emmener;6
manger;37
ci;19
casanier;1
prem;1
pizza;6
froide;6
avait;315
air;173
facile;43
youtube;1
te;506
arrêter;82
raison;356
solution;23
remplacer;16
aide;96
moque;11
toi;354
pauvre;7
handicapé;2
laisse;77
plaît;74
voir;275
chambre;66
moisissure;9
intéressante;15
rebord;2
fenêtre;10
prendre;152
moment;94
occupe;33
salle;49
bain;24
journal;11
intime;5
secret;34
existe;15
autres;250
réduction;1
détergent;1
es;366
fauché;1
prêter;4
argent;67
dois;244
voudrais;27
infliger;3
liste;21
ses;478
ébats;1
sexuels;7
garçons;2
filles;32
appareil;9
vibrant;1
lirais;1
résumerais;1
défilé;1
banalités;1
mal;292
sortir;107
lit;59
cafard;2
trois;137
parade;3
petits;19
bonheurs;2
sors;27
eau;62
cherche;32
échantillonner;1
clichés;2
pleine;19
forme;26
déprimée;5
cachets;16
font;84
donne;78
seuls;21
urgences;56
savaient;2
imao;5
ils;671
lui;938
ont;439
donné;95
démérol;1
méchante;5
combinaison;5
donc;455
convainques;1
gamin;23
copine;42
docteur;82
planque;4
vie;388
secrète;8
longtemps;53
patient;359
retourné;3
regarder;52
convaincre;17
importe;101
voyait;6
psychiatre;7
saurais;5
traitement;145
mme;16
signez;11
consentement;22
puisse;38
commencer;31
dialyse;21
antidépresseurs;10
comprends;34
arrêtez;49
cachez;11
concierge;7
plutôt;72
pipelette;1
house;703
taisez;7
navrée;6
façon;84
dont;54
géré;3
ceci;13
tout;854
impardonnable;2
sauf;121
