Mot;Occurrence
yeah;334
i;14354
said;361
m;2258
sorry;392
just;1601
not;2745
feeling;78
too;407
hot;50
you;13446
re;2674
sneezing;2
can;1999
do;1788
that;4197
in;2874
a;6914
movie;14
theater;3
and;3746
will;385
be;2221
nice;185
soft;11
chair;11
when;658
collapse;14
exhausted;4
dave;5
come;373
on;1965
we;3130
gonna;1077
late;80
episode;31
four;115
never;373
comes;42
to;7524
the;9377
big;144
screen;25
this;1911
is;2919
pre;7
lucas;29
ized;1
version;16
remember;85
none;47
of;3283
greedo;1
shooting;9
first;200
crap;60
go;725
without;186
me;2321
what;2370
are;1520
talking;167
about;1192
love;212
star;19
wars;3
don;1791
t;5309
ben;7
since;145
before;289
started;117
pretending;21
loved;40
it;6417
was;1983
trying;214
supportive;6
fine;298
ll;986
alone;75
baby;108
so;1361
woozy;1
hardly;18
think;984
hang;41
out;1307
at;834
home;212
no;1814
should;491
did;732
feel;260
something;565
like;945
there;1220
an;1058
earthquake;2
new;248
jersey;12
oh;189
god;227
hallucinating;15
call;228
transcript;13
swsub;7
com;53
sync;8
bluedoc;8
akazab;9
year;138
old;189
female;17
gas;16
main;7
exploded;4
under;72
her;2150
building;27
she;2270
pulled;16
rubble;5
after;199
six;97
hours;151
two;406
surgeries;3
for;2145
multiple;21
fractures;2
burns;7
thinking;103
broken;35
bones;12
response;18
falling;12
head;166
fever;112
s;8104
only;422
victim;7
whose;19
body;127
temperature;14
put;232
antipyretics;4
already;201
have;2097
holding;34
fluctuating;3
consciousness;7
take;450
case;220
team;157
hire;40
even;327
interviewed;3
anybody;43
test;319
drive;28
car;76
buy;50
sex;104
get;1291
married;57
based;31
ten;90
minute;44
interview;14
if;1786
having;128
with;1750
them;438
ve;845
spent;32
last;238
weeks;69
doing;352
absolutely;37
nothing;362
concert;3
over;336
twisted;2
universe;13
does;303
mastering;1
eddie;23
van;6
halen;1
handed;7
arpeggio;1
technique;4
count;38
as;624
or;963
spend;49
next;155
month;29
helping;27
change;125
bandages;2
diagnose;16
by;500
end;89
day;203
away;199
week;97
done;167
work;346
he;2980
solves;1
cure;46
girl;68
prove;72
doesn;524
need;802
solve;15
fast;54
why;1027
because;749
needs;139
him;1243
wanna;149
his;1356
mind;110
more;531
convincing;5
argument;27
promised;11
non;29
responsive;4
antibiotics;48
yes;254
imagine;16
roof;9
storage;5
closet;8
collapses;4
your;2481
favorite;17
floor;32
buffer;5
which;520
then;509
starts;21
overheating;1
would;716
okay;484
maybe;392
electrical;14
works;56
got;862
banged;3
up;1190
from;677
stuff;129
interesting;115
brain;360
damage;89
leading;12
hypothalamic;2
dysregulation;3
brought;59
covered;16
all;996
mri;99
d;818
seen;84
gotta;136
earn;9
fiver;1
leaked;1
holes;11
messing;3
lacerations;2
leave;134
portals;1
infection;149
bacterial;13
responded;3
high;88
viral;14
parasites;14
fungus;23
possible;64
lupus;21
my;1790
grandma;6
has;465
autoimmune;51
run;166
panel;14
fits;46
best;138
complete;16
history;69
helpful;17
leads;20
worst;22
part;97
job;244
dealing;16
family;73
talked;31
every;209
couple;45
but;1482
know;1358
better;405
than;366
farms;2
travel;23
anywhere;37
weird;41
dr;253
farm;4
file;46
says;90
sick;174
collapsed;18
figured;58
cold;68
related;15
being;242
often;23
unconscious;4
found;137
been;566
fighting;20
want;948
tell;554
sure;350
make;522
showoff;1
oughta;1
nicer;8
people;465
where;364
going;410
how;857
laughter;1
little;265
children;34
infectious;3
fungi;2
find;327
one;937
making;124
bubble;15
epa;1
us;432
they;1027
say;365
clean;99
means;409
pilgrimage;1
castle;2
blackberry;1
name;116
bradbury;3
ask;144
keys;19
large;17
rock;12
somewhere;47
breaking;17
somebody;49
house;897
principles;4
some;519
loose;7
here;871
less;108
restaurant;12
were;648
taking;119
lunch;36
homier;1
dibs;2
pizza;7
looked;31
easier;41
youtube;1
arrested;7
company;31
right;888
solution;6
replace;15
ever;157
help;257
patronize;1
poor;12
cripple;5
let;430
check;137
bedroom;15
mold;10
windowsill;2
while;128
cover;44
bathroom;32
had;622
secret;49
diary;5
any;432
other;405
kind;101
sale;3
liquid;5
tide;1
broke;37
lend;4
tiny;17
bit;45
money;95
owe;25
wouldn;238
position;30
basically;23
list;41
sexual;22
encounters;1
boys;7
girls;27
vibrating;1
appliances;1
quoting;1
summarizing;1
parade;3
sad;15
banalities;2
bed;62
blue;19
three;234
months;121
ago;166
turns;31
into;361
happy;155
starting;40
turn;61
corner;6
looking;138
stop;239
swabbing;2
clich;1
getting;192
healthier;5
depressed;21
aren;143
pills;45
antidepressants;6
cause;356
their;202
own;136
er;27
didn;731
mao;4
inhibitors;6
gave;121
demerol;2
nasty;8
combo;1
convince;20
kid;136
girlfriend;59
doctor;213
stash;6
life;382
patient;620
took;112
swing;4
watch;63
mother;86
actually;253
anyone;120
total;15
seeing;53
psychiatrist;8
drugs;176
mrs;14
please;152
sign;88
form;16
start;230
dialysis;22
understand;56
forms;15
saying;136
telling;84
janitor;5
significantly;3
blabbermouth;1
shut;91
am;234
very;140
handled;6
completely;72
unforgivable;1
except;74
filter;8
blood;386
save;86
wasn;247
miserable;71
around;176
february;1
12th;1
either;198
thinks;75
jerk;48
neither;42
suggests;8
directing;1
medical;116
treatment;131
daughter;42
these;144
medically;19
probably;134
hiding;47
purse;9
thought;295
rude;8
searching;6
tons;5
fight;34
mean;335
proves;25
hand;119
half;70
country;28
symptoms;160
perfectly;23
ring;16
finger;12
decisions;15
well;345
enough;198
anymore;70
really;429
risk;52
wellheknows;1
idiot;110
listen;46
