Mot,Occurrence
i,30054
a,15804
you,12993
t,12054
s,11883
the,9146
je,8913
est,8142
to,8033
de,8022
e,7393
it,6972
c,6881
l,6330
on,5998
d,5854
pas,5835
tu,5785
m,5655
and,5510
that,5405
n,5333
le,5311
que,4955
un,4756
et,4679
la,4675
o,4674
à,4286
me,3869
j,3846
of,3737
ça,3515
we,3378
y,3216
in,3203
what,3177
is,3169
this,3147
une,3034
ce,3025
h,3000
il,2868
en,2818
r,2789
my,2742
les,2705
ted,2696
u,2641
ai,2587
re,2564
oh,2498
vous,2488
just,2417
ne,2401
so,2400
was,2380
pour,2328
qu,2233
no,2195
not,2164
for,2138
have,2112
but,2095
f,2001
know,1984
your,1979
with,1952
mais,1915
as,1894
do,1888
don,1881
marshall,1842
g,1784
lily,1760
elle,1759
be,1740
are,1719
des,1703
barney,1687
she,1679
robin,1643
all,1633
can,1591
like,1577
avec,1569
suis,1536
si,1530
he,1493
mon,1485
up,1464
out,1455
moi,1442
dans,1435
right,1419
fait,1407
qui,1402
get,1397
était,1389
w,1373
there,1367
non,1340
about,1339
plus,1327
okay,1322
du,1309
au,1307
at,1302
quoi,1300
bien,1281
yeah,1279
one,1247
her,1246
go,1215
going,1190
tout,1149
here,1126
te,1123
p,1115
être,1097
faire,1084
k,1081
got,1076
how,1070
want,1067
va,1067
sais,1062
if,1052
ll,975
now,972
sur,972
well,967
es,966
really,965
hey,934
think,908
veux,908
toi,878
comme,878
se,863
ve,858
they,846
b,831
ma,831
là,817
did,809
oui,801
dire,780
gonna,766
vraiment,761
why,750
when,744
good,737
look,737
back,735
guys,731
who,728
cette,723
had,720
let,716
come,712
time,706
peux,702
new,701
an,699
see,680
nous,671
peut,667
quand,666
love,666
ton,664
vais,659
pourquoi,645
alors,643
would,637
say,629
dit,624
some,615
jamais,594
been,590
then,589
were,581
juste,577
him,568
great,565
from,563
way,558
never,554
sorry,551
lui,550
sont,550
mean,549
bon,548
tell,545
son,537
ils,533
didn,531
night,531
or,531
two,530
guy,530
god,527
thing,525
où,509
little,508
us,507
comment,507
deux,498
même,497
because,496
should,490
could,489
super,486
rien,486
wait,478
something,475
ouais,473
too,473
fais,471
make,471
our,468
girl,468
avoir,468
yes,454
am,448
even,439
dois,438
aime,437
by,435
will,432
ici,432
v,429
merci,429
take,428
need,426
uh,423
ou,423
ta,422
where,419
dieu,418
first,418
over,413
soir,409
only,405
aussi,405
fois,404
his,403
mes,403
off,399
man,396
chose,394
très,394
par,388
ever,385
tous,382
them,380
fille,377
still,375
accord,372
étais,372
toujours,371
more,371
call,370
salut,370
day,366
down,365
maybe,363
doing,360
bar,359
autre,358
parce,357
temps,353
peu,351
ces,351
maintenant,350
dis,347
aller,345
work,343
allez,343
avais,342
life,337
said,336
last,334
ans,334
encore,333
again,331
trop,330
moment,330
place,328
vie,325
vas,320
big,319
has,318
votre,318
notre,314
été,313
sûr,313
kids,313
best,313
voir,307
mec,304
donc,302
other,298
three,298
into,298
désolé,297
people,294
baby,293
avait,293
any,291
monde,291
thought,290
truc,289
