Mot;Occurrence
i;5082
les;1617
enfants;165
il;1612
y;857
a;1974
plus;787
d;1378
une;1760
histoire;129
sur;610
ma;490
rencontre;17
avec;1028
votre;176
mère;109
vous;1346
connaissez;15
la;2692
version;11
courte;3
celle;65
le;3194
parapluie;3
jaune;12
mais;1096
en;1571
grande;35
du;817
comment;301
je;4841
suis;851
devenu;21
ce;1550
qu;1241
fallait;14
avant;164
de;4567
rencontrer;26
cette;434
commence;42
là;536
daire;3
légendaire;6
trop;226
content;24
que;2658
tu;3080
sois;60
nouveau;101
célibataire;25
on;2148
va;587
conquérir;2
new;143
york;86
city;5
j;2280
ai;1533
déjà;122
collègue;6
liste;49
pour;1379
toi;534
son;283
sein;7
droit;40
est;4719
gros;67
gauche;15
certains;14
voient;3
côté;59
à;2380
moitié;19
vide;8
soutif;1
moi;871
vois;134
plein;52
sais;571
pas;3373
robin;451
et;2821
avons;29
rompu;18
semaines;42
prêt;52
quand;399
seras;20
c;3428
était;833
bonne;129
question;54
après;191
rupture;41
besoin;128
temps;201
se;457
reprendre;3
partie;54
argentine;8
retrouvé;9
routine;4
laissé;40
pousser;8
barbe;7
ted;596
mosby;75
costume;46
concours;8
miss;3
nassau;1
fera;21
passer;55
des;1063
juges;1
oui;316
nos;81
ventes;2
sont;314
vendre;19
repeint;1
l;1912
appartement;29
ligne;16
arrivée;9
un;2957
kilomètres;1
féminin;1
filles;109
sueur;3
endorphines;1
au;776
plafond;10
ne;844
rêvant;1
s;596
allonger;3
vérité;30
allais;35
vraiment;382
bien;687
acrobates;1
femmes;55
montréal;3
hyper;2
souples;2
cirque;2
pine;1
air;118
ouais;124
allez;168
parlé;43
rentrée;7
hier;56
soir;204
voici;52
gael;19
hola;1
accord;136
the;33
legen;20
dary;20
team;24
http;16
nosvospersos;16
blogspot;16
com;36
arrive;97
croire;60
séparés;9
façon;39
très;209
amicale;3
tout;676
elle;1004
revient;13
vacances;10
type;88
savez;82
fait;872
gagner;21
ça;2108
vieil;6
inventeur;1
passé;151
notre;174
21e;1
président;5
chester;1
arthur;22
essaie;36
dire;431
toujours;227
gagnant;6
perdant;4
dans;836
compétition;6
course;9
ballon;5
jours;76
femme;133
sûr;207
sinon;13
expliquer;16
quoi;790
nom;85
pardon;45
gaïl;1
kyle;2
girl;7
prononce;2
ga;1
el;2
veut;142
joie;8
vis;20
vie;171
amenant;1
énergie;7
bonheur;9
aux;113
autres;75
particulièrement;1
ceux;21
qui;867
moins;88
chanceux;5
donc;202
gayle;2
quel;95
nul;42
vais;362
ton;380
pays;26
débile;28
séduire;7
mon;774
accent;6
sexy;69
dit;379
propriétaire;5
boîte;29
nuit;99
persan;1
masseur;3
massage;9
relié;2
peux;436
toucher;12
vos;60
pieds;15
nettoie;2
reins;1
lobes;1
ralentit;1
rythme;2
cardiaque;1
utilisé;13
eau;25
chaude;3
faire;617
pisser;5
carrière;28
tellement;72
américain;10
comme;525
idée;67
vivre;46
surf;3
amour;85
parfois;59
même;275
serait;80
possible;36
sérieux;70
glousse;1
dis;198
impossible;26
peut;384
coucher;64
planche;5
demandes;13
créé;5
tous;246
véhicules;3
terriens;1
aquatiques;1
aériens;1
lesquels;1
ces;226
couché;67
n;690
p;15
atteindre;3
faut;148
juste;302
bobsleigh;1
navette;5
appollo;1
obtenir;5
dernière;86
faudrait;3
cambrioler;1
smithsonian;1
conversation;20
jamais;352
eu;184
lieu;23
t;1447
es;581
sans;139
sortons;2
truc;227
amusez;7
rencart;5
centième;1
fois;257
désolée;80
avait;165
silence;11
puis;108
endormis;1
plage;8
comptant;1
étoiles;4
voulez;41
dîner;44
nous;389
trouves;18
incroyablement;8
canon;41
difficile;20
être;619
aussi;244
entre;101
eux;36
épousent;1
canons;6
si;915
fais;286
quelques;59
chanceuses;1
lily;409
meilleur;99
ami;101
soyons;8
carrés;1
regarde;121
regard;25
direct;11
tandis;3
marshall;390
faisaient;4
leur;125
mieux;98
haïr;3
salut;117
m;635
pris;79
part;57
assurer;7
voulait;34
certes;1
pire;57
veux;496
ok;161
merde;50
supporte;5
soit;77
gagne;14
hein;93
longtemps;54
discours;6
encouragement;4
pause;11
te;641
montrer;18
quelqu;132
bon;295
trouvera;4
ou;244
deux;266
cas;41
échec;5
quatre;45
briser;5
glace;21
urgence;4
staten;5
island;8
aurais;94
douze;2
garçon;15
réapprendre;1
amy;4
barney;424
retour;25
haut;33
tope;14
bizarre;100
pourquoi;360
parce;165
sortais;8
trouve;40
copain;25
vrai;152
tais;8
oh;153
dieu;223
espère;42
déteste;53
voir;182
tendue;2
passée;15
agi;2
adultes;8
chose;185
dûment;1
accrédité;1
légalement;1
certifié;1
par;210
quelconque;1
entité;1
gouvernementale;1
me;759
entraîné;2
ans;203
institut;1
buenos;1
aires;1
carte;17
stratifiée;2
couverte;2
plastifiée;1
gère;1
cassons;1
mort;53
ici;232
as;764
raison;109
emmerde;1
exactement;60
planing;1
serré;4
entièrement;3
planifié;1
soirée;79
alerte;2
spoiler;1
dernier;45
arrêt;11
after;3
aveugle;4
train;30
aidé;10
jette;8
fille;208
super;221
car;129
avoir;279
excuses;12
acceptées;2
allons;74
costard;6
souvenir;14
excuse;23
fortuite;1
début;18
ainsi;22
parlera;4
plan;44
suivre;7
cocher;1
h;84
habiller;2
pauvre;14
ennuyer;2
gens;91
cools;2
casse;12
intello;2
beau;24
travail;40
tommy;1
lee;3
comprends;51
copilote;19
lien;4
sacré;8
fort;34
ils;326
font;29
encore;183
poulet;13
paraît;10
peu;211
tendu;4
eh;30
devine;14
lavé;3
mains;24
porte;72
anciennes;3
émotions;10
cou;5
épaules;2
choses;84
auraient;2
dû;85
disparaître;2
années;56
pardonne;7
maman;51
meilleurs;23
amis;137
boulot;131
gars;115
faisais;23
flattais;1
pouvoir;43
rabaisser;4
minutes;66
tard;86
portais;5
soutien;5
gorge;6
passait;9
cool;60
dangereuse;1
trouvé;53
copine;34
payé;16
boire;31
quelque;101
sorte;12
connus;7
ennuis;5
tailleur;4
laisser;54
place;42
entrejambe;3
énorme;25
vagin;5
folle;30
chez;141
merci;203
non;571
courtney;1
love;1
spa;3
plutôt;68
sympa;50
joli;27
jouer;46
vrais;6
tes;127
tatouages;1
devrais;85
faux;54
look;6
classique;12
propre;19
lui;325
démodé;1
saison;10
grillée;2
pense;135
encre;3
propos;25
prête;21
maintenant;186
vas;162
choisir;15
camp;2
tatouage;9
serais;27
tyler;14
papa;30
étaient;45
censés;2
hamptons;2
courez;2
étais;227
nourrice;1
idiots;12
virent;1
injuste;6
laisserais;3
garder;22
invente;7
sortir;89
mères;4
célibataires;7
rentre;15
fantastique;10
jambes;15
dois;261
lever;6
ta;232
jambe;6
voilà;173
tatouer;3
emprunter;5
mauvais;31
chemin;15
route;17
prends;55
programme;4
parler;114
blog;9
baiser;14
dessous;13
devrait;85
marqué;3
gagné;33
flammes;2
remontant;1
vers;45
épaule;5
feu;20
devenir;24
légen;2
attends;158
dont;44
souviens;64
lendemain;26
matin;53
réveillé;8
seul;70
rencontré;28
incroyable;42
nana;22
failli;8
inquiétez;4
sensas;1
rien;273
catalogue;2
redoute;5
emmène;8
goden;1
retrievers;1
canoë;1
appelle;90
dessus;78
urgent;2
soyez;10
témoins;1
reparlerai;1
admettons;1
papillons;1
décollent;1
cul;23
plat;8
fondue;1
sait;65
remet;6
ses;103
retourne;10
voulais;82
excuser;18
constater;1
amusé;2
baby;5
sitter;4
pensais;79
avais;176
voler;12
propres;9
ailes;5
présent;5
depuis;141
grandi;8
développé;1
cocon;5
sorti;30
majestueux;1
zut;5
sort;30
été;196
biologie;2
papillon;14
pote;51
mince;16
mal;121
cher;29
tatou;9
pouffe;7
attrape;5
plaque;3
immatriculation;1
panama;1
soudainement;3
souvenu;1
grand;72
viens;112
casser;11
steeve;4
chiant;3
genre;76
marions;2
quelle;57
fiotte;1
crois;154
ex;57
peuvent;18
appelles;16
appelait;9
marrant;43
enlever;12
soda;4
pommade;1
huile;6
espagnole;1
étrange;7
sens;62
évanouir;1
remets;7
gradouble;1
4e;7
superbe;14
apprends;7
ressentir;4
nourriture;7
mangue;3
suffit;19
désolés;5
arrivera;14
signifiait;1
agréable;4
regarder;35
abord;34
reviennes;1
aura;31
surprenantes;1
déclarations;2
douce;9
chanson;28
rock;7
embrasser;6
craint;10
revenu;2
fâché;12
contre;56
cassé;16
continue;24
basta;1
polie;1
cris;2
irrationnels;1
normal;13
crier;16
irrationnellement;1
pendant;100
moment;124
devoir;25
rester;44
supporter;8
