Mot,Occurrence
i,18236
you,16392
a,10156
je,9955
to,9432
vous,9195
de,8406
s,7873
that,7641
the,7520
est,7451
que,7328
it,7097
t,6778
pas,6621
me,6591
and,6023
c,4855
à,4821
et,4739
il,4712
m,4440
j,4309
le,4168
on,4121
la,4110
tu,3989
what,3964
un,3942
ça,3698
of,3641
ce,3623
was,3527
l,3522
en,3519
he,3486
d,3458
ai,3300
qu,3262
ne,3091
in,3041
elle,3033
she,2836
une,2726
my,2584
is,2462
know,2462
pour,2451
this,2380
for,2375
your,2359
do,2321
so,2302
n,2272
don,2255
about,2179
not,2168
with,2156
les,2100
just,2030
mais,1998
re,1991
like,1991
have,1972
but,1912
était,1876
we,1864
qui,1811
her,1806
si,1688
suis,1664
avec,1650
be,1626
think,1623
can,1584
être,1558
moi,1512
dit,1509
as,1508
des,1472
no,1444
tout,1434
comme,1360
him,1352
at,1349
avez,1330
dans,1328
fait,1322
if,1278
plus,1263
lui,1255
there,1250
how,1245
they,1245
all,1238
mon,1235
are,1234
votre,1232
y,1179
bien,1171
did,1159
want,1153
when,1092
ve,1085
out,1060
really,1052
peut,1051
non,1044
why,1041
up,1040
here,1015
said,996
du,990
sais,985
had,958
were,949
au,933
se,933
quand,930
quoi,926
pourquoi,924
would,897
get,896
dire,895
paul,894
didn,878
là,873
père,870
te,851
tell,827
ma,818
who,816
son,815
veux,813
go,808
or,805
his,802
say,795
time,792
sur,791
because,790
an,788
faire,783
right,772
been,771
ils,765
rien,755
comment,748
from,746
maybe,736
même,728
well,719
cette,711
mean,706
laura,697
something,693
ou,691
vraiment,687
now,687
one,685
oui,675
then,669
ll,664
talk,663
back,659
see,652
okay,652
feel,644
chose,614
got,614
étais,610
êtes,607
avait,603
come,600
could,591
father,573
toi,572
sa,572
alors,571
some,551
parler,546
avoir,541
autre,540
par,540
week,536
mère,536
them,532
très,527
yeah,517
nous,512
way,510
jamais,502
never,495
going,492
peux,492
good,491
alex,482
over,479
va,478
let,477
kate,476
été,472
told,472
où,470
avais,470
gonna,459
wanted,459
make,456
thought,453
es,452
parce,447
mes,446
look,445
patients,435
patient,435
ton,434
sont,431
voir,430
take,423
vie,415
semaine,415
even,414
donc,414
fois,413
juste,410
temps,409
pense,409
where,401
need,401
ici,394
life,388
last,387
too,386
aussi,385
après,384
trying,382
ans,381
toujours,379
into,379
mother,378
little,377
quelque,376
crois,374
peu,373
yes,372
amy,372
jake,370
dad,369
other,367
deux,367
thing,367
ta,364
sure,364
voulez,363
should,362
things,359
everything,356
by,355
more,354
home,353
very,353
chez,352
people,352
before,347
off,345
yourself,344
vais,340
happened,339
anything,338
sorry,337
came,335
oliver,335
sûr,334
bon,334
doesn,333
tous,329
avant,328
voulais,328
love,328
gina,328
ont,326
ses,326
does,325
ces,321
away,320
quelqu,319
remember,316
us,314
has,309
actually,307
talking,307
eu,304
déjà,304
therapy,303
pensez,302
femme,300
encore,299
our,298
car,296
depuis,294
after,294
sans,293
parents,293
always,293
any,293
kind,291
felt,290
went,290
myself,289
besoin,289
aller,289
passé,288
thérapie,288
saying,288
wasn,287
vos,285
first,281
merci,279
man,279
rosie,277
place,275
am,274
sophie,273
these,273
couldn,273
call,271
still,270
much,268
again,268
nothing,267
two,267
leur,263
part,260
parlé,260
understand,258
accord,257
choses,256
mal,256
years,256
isn,255
ever,253
stop,253
down,252
their,251
made,250
dites,249
maintenant,249
day,248
long,246
doing,245
help,244
dis,244
cause,243
air,243
savoir,240
night,240
savez,239
fine,239
monde,239
left,238
moment,238
dû,238
vrai,238
only,237
important,236
dernière,235
dois,234
work,234
will,234
pendant,233
fais,233
parle,232
vu,230
andrew,228
tes,225
fucking,225
around,224
peur,223
problème,222
else,222
might,222
anyway,221
guy,221
being,220
notre,219
course,218
old,218
trop,217
than,216
school,216
mieux,215
oh,215
personne,214
couple,213
fuck,211
allez,209
toute,208
maison,207
quel,206
those,206
therapist,206
please,206
give,205
leave,204
veut,203
séance,203
mort,201
mom,201
through,200
both,200
enfants,200
