Mot;Occurrence
saison;35
épisode;45
synchro;36
by;4
akazab;10
kasius;14
vf;22
ouazo;28
zelda;26
travis;16
canario825;16
merci;279
à;4821
benj;20
et;4739
guilamu;4
pour;2449
leurs;95
suggestions;2
je;9955
vous;9195
l;3521
avais;470
dit;1509
quoi;926
que;7325
regretteriez;2
de;8401
m;1936
avoir;541
encouragée;6
pleurer;43
ne;3091
regrette;9
pas;6621
attendiez;12
ça;3698
savez;239
c;4834
est;7451
décevant;2
pensais;121
me;2474
sentir;58
mieux;215
libérée;4
ce;3623
serait;176
plus;1246
drôle;32
n;2266
le;4167
cas;177
non;1036
horrible;34
sais;985
si;1688
j;4309
arriverai;5
parler;546
paul;330
aurais;189
dû;238
venir;175
annuler;15
suis;1664
désolée;117
va;478
aller;289
oui;675
asseyez;11
restée;24
assise;24
au;933
parc;6
pendant;233
heures;51
ici;394
voulais;328
la;4107
séance;203
mais;1998
étais;610
sûre;77
pouvoir;105
rentrer;45
seule;134
ai;3300
pris;163
un;3938
taxi;28
ma;818
voiture;105
chez;352
moi;1511
enfin;133
crois;374
ouais;53
il;4710
fait;1322
froid;18
frapper;17
votre;1232
porte;105
quémander;2
pull;4
quand;930
ou;691
h;150
souviens;131
faisait;120
encore;299
nuit;131
attendais;29
lever;21
du;988
soleil;11
jamais;502
attendu;15
aussi;385
longtemps;125
se;933
lève;8
sauf;54
en;3519
classe;23
verte;2
cm2;2
sorti;32
mon;1235
portable;16
regardé;50
les;2100
minutes;69
défiler;4
semblaient;5
des;1472
stupide;39
mourir;51
dans;1328
rue;25
comme;1360
animal;8
devant;85
son;696
thérapeute;173
navrée;4
bien;1171
contraire;44
qu;3262
arrivé;179
hier;64
soir;95
qui;1811
plutôt;128
version;9
longue;15
grandes;5
lignes;4
parce;447
conclusion;21
très;527
simple;55
vie;415
foutue;6
feriez;17
raconter;45
quitté;27
andrew;112
y;1176
a;3911
eu;304
une;2726
grosse;26
dispute;27
pleurs;4
cris;4
tout;1434
tralala;4
moment;159
appelé;92
alona;6
on;2351
sorties;6
prendre;172
verre;25
bu;18
quelques;124
verres;5
état;39
normal;32
même;728
êtes;607
là;873
croyez;90
seriez;21
choqué;12
connaître;29
celle;47
chose;583
affreuse;3
sens;171
mal;256
veux;813
vomir;15
d;2639
importance;25
comment;739
vomi;4
vais;340
sur;790
tapis;10
vaut;21
rien;755
parlons;23
vrai;238
problème;222
sait;130
pourquoi;924
appelle;84
peut;1051
être;1558
inquiet;39
rentrée;27
cette;711
aurait;167
commencer;44
alors;571
type;85
club;17
oh;14
dieu;154
portait;16
pantalon;6
velours;4
bcbg;2
sûrement;59
républicain;2
sors;33
instant;65
lui;1255
dire;895
peux;492
concentrer;7
juste;410
laura;332
attendre;74
donné;74
ultimatum;21
marie;20
sépare;13
veut;203
réponse;58
deux;367
jours;84
sinon;40
part;133
aime;189
croit;40
sincèrement;10
déjà;304
ans;381
par;537
intermittence;10
s;1223
soudain;25
mis;85
énerver;16
parlé;260
était;1876
purement;2
théorique;2
reste;135
ensemble;137
soudainement;11
sans;293
raison;138
regardait;22
télé;33
attrape;3
télécommande;3
éteint;12
retourne;24
vers;55
larmes;13
aux;183
yeux;80
tellement;108
déplacé;7
avait;603
promis;27
lâcher;11
affaire;23
coup;106
gémiard;2
vraiment;687
éclaté;4
sanglots;3
vu;229
franchement;22
peur;223
mise;32
colère;179
essaie;134
manipuler;4
avec;1650
ses;326
petites;18
combines;2
croyait;8
briser;3
coeur;27
appel;30
merde;97
laissez;59
tomber;68
piqué;6
crise;76
gamine;18
crié;15
pleuré;10
faire;783
foutre;26
minable;13
fais;233
double;6
