Mot;Occurrence
previously;64
on;1770
male;25
vo;9
in;2962
treatment;106
andrew;116
gave;79
me;4117
an;732
ultimatum;19
either;59
we;1864
get;896
married;98
or;805
split;17
do;2321
you;16392
have;1972
any;293
idea;114
why;1041
chose;31
this;2376
particular;32
time;792
were;949
having;172
dinner;74
and;6021
he;3486
said;996
i;17492
don;2252
t;5671
know;2462
what;3964
want;1153
just;2030
n;6
off;345
thing;367
so;2295
to;9430
him;1352
sure;364
then;669
let;477
s;6650
decide;62
the;7513
one;685
who;816
came;335
up;1037
with;2156
it;7097
no;1444
had;958
ultim;4
love;328
how;1245
long;224
felt;290
like;1991
a;6245
year;133
ve;1081
become;61
center;30
of;3639
my;2584
life;384
laura;365
m;2504
your;2355
therapist;206
not;2168
option;19
kate;253
can;1584
come;600
here;1015
minute;91
is;2458
clogged;4
again;268
favor;7
call;271
plumber;3
tell;827
over;479
fixed;11
got;614
session;191
starting;12
about;2179
okay;652
but;1893
realize;45
won;173
be;1626
able;80
today;152
right;772
patients;210
go;808
downstairs;13
bathroom;67
christ;33
bloody;2
seous;2
problem;134
doesn;333
matter;120
big;159
deal;130
there;1250
ll;664
myself;289
never;495
mind;135
dennis;4
that;7641
handyman;4
guy;221
yeah;517
good;491
will;234
fix;26
next;200
week;488
fine;235
promise;25
nothing;267
please;206
re;1991
finished;19
now;687
forgot;38
should;362
saison;4
episode;33
two;265
synchro;25
by;351
akazab;11
kasius;11
transcript;29
frm;20
team;22
yes;372
already;165
set;34
date;22
gonna;459
third;18
weekend;33
june;9
everybody;113
gets;60
summer;19
bride;5
evidently;3
well;719
congratulations;9
thank;193
are;1232
happy;120
for;2373
us;314
important;110
if;1278
guest;5
at;1349
our;298
wedding;10
d;819
better;179
wanted;459
invite;21
wife;167
too;386
wouldn;195
would;897
course;208
did;1159
actually;307
talk;661
yesterday;37
after;294
started;176
making;86
list;26
few;143
minutes;87
wait;103
couldn;273
make;456
took;185
days;82
other;367
night;240
calm;17
down;252
first;281
was;3527
cool;33
day;248
as;689
moving;27
toward;6
decision;60
very;353
helping;31
while;137
thought;453
made;250
mistake;37
recommending;2
see;652
think;1623
amazing;45
his;802
instincts;10
side;55
guess;168
trying;382
used;171
change;44
tone;8
speaking;13
plural;4
aren;46
say;795
paul;564
generally;9
open;55
interpretations;6
seems;87
bit;97
killjoy;4
something;693
especially;29
since;139
joy;6
rare;8
when;1092
comes;71
wondering;37
determined;9
demonstrate;2
last;387
events;8
asking;118
isn;255
fast;41
haven;171
perhaps;52
taken;46
shortcut;2
faking;5
totally;59
depressed;24
maybe;736
mean;706
labored;2
ow;2
anything;338
scuba;6
diving;10
they;1243
called;164
bends;4
happens;69
divers;2
surface;6
quickly;18
really;1052
dangerous;17
explode;5
lungs;8
from;746
sudden;35
changes;11
pressure;33
anyway;221
huge;37
gap;2
between;139
depths;2
reached;15
heights;2
which;132
adjust;4
dive;17
imagine;57
where;401
mexico;4
caribbean;4
interested;73
certified;2
diver;2
sorry;337
seriously;21
dov;2
lot;188
before;347
met;112
hates;33
claustrophobic;2
nice;89
find;160
common;8
scary;25
silly;20
beforehand;2
could;591
might;222
happen;168
yet;92
ascended;2
depressing;3
news;27
show;65
little;377
support;18
natalie;60
ex;13
gary;6
husband;43
ones;21
baby;128
months;90
ago;113
keep;196
calling;37
avoiding;6
them;532
brunch;4
makesdim;2
sum;3
swear;15
has;309
those;206
bamboo;2
steamers;2
everything;356
being;220
sweet;29
all;1238
least;75
agreeing;4
postpone;2
dis;2
disarmed;2
ahead;35
these;273
eyes;66
beautiful;66
way;489
breastfeeds;2
morning;92
attached;10
nipple;4
dark;24
seen;62
point;98
she;2834
her;1806
boob;2
out;1060
mouth;31
squeezed;2
some;551
milk;8
squirted;2
ani;2
look;445
admiring;2
smile;18
face;113
loing;2
masterpiece;2
museum;7
madonna;2
saw;163
image;17
together;158
future;13
misses;5
tits;2
changed;45
didn;878
told;472
wild;10
type;26
guys;44
chasing;6
put;170
through;200
hell;121
bed;100
person;124
wake;44
someone;161
new;135
free;29
radical;2
says;151
remind;19
left;238
front;71
shirt;8
soaking;2
wet;9
nipples;4
animal;9
somehow;39
been;767
shit;135
word;64
domesticated;6
looked;93
housebroken;2
wildest;2
sexual;32
fantasy;27
sleep;141
four;35
hours;52
straight;26
does;325
scare;8
oh;201
god;164
die;55
turned;52
into;379
lousy;15
lay;21
fucked;61
even;414
remember;316
people;352
sex;181
forget;56
riding;13
bike;21
depends;5
couple;133
subterfuge;2
kitchen;26
help;244
back;657
engrossed;2
deep;34
conversation;49
believe;149
upholsterers;2
upholsterer;2
redid;2
their;251
entire;15
living;67
room;185
taking;121
number;23
doing;245
discussed;16
recovering;5
armchairs;4
dad;369
telling;144
reupholstering;2
talking;307
metrosexual;4
sound;71
much;268
exactly;93
beyond;12
ever;253
watch;43
planet;8
bird;8
name;80
builds;2
nest;7
female;15
amazingly;6
intricate;2
structures;2
incredible;14
goes;69
checking;13
various;2
mating;6
options;7
desperately;8
flapping;2
attract;4
architecture;5
nests;2
cages;2
whole;173
home;347
fight;86
anymore;134
near;23
house;170
park;19
movies;12
stay;131
marry;29
fuck;211
saying;288
past;53
weeks;74
meaning;20
sort;62
object;4
lesson;18
cause;137
pretty;180
mediocre;2
psychologist;14
listen;139
bad;140
mouthing;2
answer;90
question;60
understand;258
because;790
situation;52
fucking;225
blaming;15
accusing;4
expect;27
different;131
reaction;54
respond;14
take;423
quotation;2
marks;4
insulting;2
stop;249
fantasies;9
girls;52
reality;17
still;270
girl;112
grown;12
smart;19
woman;160
beneath;8
dignity;6
takes;31
someplace;10
refuses;5
story;53
years;256
olds;4
san;4
diego;4
lived;27
children;83
david;61
celia;6
significant;8
mother;378
died;101
rehashing;2
lucky;33
somebody;187
wanna;181
period;14
gone;89
wall;21
protection;7
against;67
father;573
toxic;6
fumes;6
loneliness;7
fears;8
dependency;11
california;11
unhappy;12
missed;20
begging;4
cut;36
vacation;22
short;14
liking;3
athletic;4
healthy;13
exact;7
opposite;30
parents;125
every;181
described;13
vividly;4
kind;291
camping;6
surfing;4
stuff;87
teenage;6
bullshit;82
attracted;22
hunk;2
nick;13
nolte;3
smoked;5
grass;5
shame;5
adopt;11
daughter;101
asked;130
possible;57
legal;4
aanyway;2
laughed;7
cute;9
great;170
makes;98
sense;92
old;218
grieving;5
completely;58
dependent;10
must;162
seemed;27
raft;2
am;274
alternative;7
represents;6
anxiety;40
realistic;5
safe;53
place;189
beach;6
difference;42
need;401
pee;8
blocked;7
may;94
almost;63
clean;17
messy;6
prefer;13
use;73
toilet;6
overflowed;2
finish;35
owe;37
afraid;127
sitting;94
couch;50
rollers;2
hair;26
drinking;18
beer;9
freaks;2
bet;34
med;4
school;215
following;19
patient;268
asks;10
order;49
enter;6
correct;20
feels;102
towards;7
interpret;8
kills;9
more;354
proof;5
going;492
turn;77
pat;7
head;128
patronizing;8
dead;74
man;277
professional;26
exterior;2
stopped;57
heart;59
hands;53
pump;3
brought;69
knew;192
deny;6
huh;24
happened;339
thoughts;26
fall;60
asleep;61
simple;34
chase;6
saturday;28
standing;35
bomb;30
site;10
london;3
blitz;3
rubble;3
shoud;2
drama;7
amused;3
friendly;6
looks;73
thinks;77
done;133
wrong;143
early;77
decides;11
spouse;4
shouldn;65
leaving;80
extreme;10
expression;13
machine;35
pasquini;2
livia;2
top;37
line;44
three;78
warranty;2
hint;7
coffee;97
statement;3
jonathan;2
sync;30
benj;14
check;47
horrifying;2
hurt;71
feelings;119
truth;86
later;68
uh;55
um;43
accept;34
government;3
employee;5
hey;72
price;6
auction;4
internet;12
ebay;2
pick;60
times;100
country;16
glued;2
television;9
prices;2
drop;29
during;65
super;2
bowl;3
entertainment;2
system;14
eight;20
speakers;2
receiver;2
only;237
cost;8
retail;2
thursday;5
american;6
idol;2
finale;2
went;290
online;11
grabbed;13
switch;8
gesture;2
upgrade;2
standard;5
around;224
drink;55
tea;26
poor;21
offense;10
feel;644
aggressive;4
stupid;64
jeez;10
bringing;10
buy;31
quality;8
once;118
than;216
anywhere;29
else;222
crap;23
six;43
kinds;9
beans;4
bitter;3
gourmet;2
guatemala;2
postal;3
pilots;13
jungle;2
java;2
sickeningly;2
deduct;2
mad;23
altogether;3
yours;79
mine;61
accidentally;6
gather;2
delicate;4
meet;91
therapists;40
ethical;8
code;13
intimate;8
details;22
things;359
leave;204
walks;7
tells;43
same;186
information;11
considered;6
breach;2
problems;76
allowed;30
discuss;48
happening;41
weren;69
probably;114
unique;5
significance;2
fact;60
therapy;303
alex;281
intend;6
often;48
relate;5
message;40
officially;2
loan;2
coming;189
though;84
positive;12
correctly;7
allow;8
issue;34
solved;4
thanks;90
helped;35
showed;17
own;172
personal;29
doc;34
serious;20
arrived;16
carry;11
disengagement;2
michaela;54
car;120
garage;8
trivial;4
absolutely;43
salmon;8
always;293
tuesdays;2
away;320
stove;4
guessed;3
surprise;29
wasn;287
presented;2
gotta;40
superintelligent;2
working;59
phd;7
georgetown;4
expecting;15
bombing;7
attack;40
suspension;2
force;28
willing;17
realized;53
result;11
separating;4
interesting;51
mythical;2
superwoman;2
anticipate;2
steps;8
advance;4
far;60
intelligence;14
brains;5
rocket;3
scientist;2
manhattan;2
project;11
disappointed;20
bombshell;2
indifferent;6
case;69
couples;23
creates;2
contrary;6
dragged;5
sake;33
kids;140
roy;24
eldest;2
locked;15
chess;16
championship;2
noelle;2
trip;21
someday;9
age;51
special;21
boy;87
inner;4
hardly;13
leaves;19
sits;11
computer;9
plays;2
girlfriends;4
buddies;3
basketball;6
drove;33
crazy;98
miserable;27
lonely;18
unpopular;2
tried;119
organized;2
tours;4
air;46
sit;114
cockpit;2
real;129
f;11
play;67
simulators;6
walk;57
alone;97
ugly;6
leper;4
kid;150
hard;165
sometimes;151
harder;13
himself;69
popular;4
outsider;2
personality;8
give;205
such;102
counselor;5
teachers;23
jealous;36
anybody;71
world;127
books;27
games;10
born;29
without;137
competitive;2
bone;7
body;70
winning;4
care;178
wins;4
likes;30
thinking;167
requires;7
organize;4
ping;8
pong;4
tournament;4
class;32
backyard;4
turns;43
win;20
robert;2
rest;49
pathetic;27
genes;12
certainly;23
connected;27
fun;41
yourself;344
flesh;4
blood;27
dearly;2
proud;28
qualities;6
possibly;15
genetic;4
selflessness;2
missing;13
somewhere;51
fulfilling;4
herself;49
pure;6
wholesome;4
women;63
family;108
unblemished;2
men;50
dirty;13
conflict;19
themselves;24
description;4
kept;89
falling;30
office;108
affairs;4
dog;55
loved;69
career;23
questions;55
entity;2
existed;9
civil;5
rights;2
pioneer;2
ticket;6
survived;6
klan;2
marched;5
king;21
suffered;5
part;127
movement;5
east;7
delaware;2
bred;2
hope;39
pianist;2
studied;3
music;22
academy;2
virtuoso;2
liszt;8
sensed;8
bitterness;2
materialized;2
miss;55
saved;17
march;2
washington;3
speech;7
mahalia;2
mackson;2
sang;2
song;12
buked;2
scorned;2
caught;21
crowd;8
both;200
tears;12
flowing;3
faces;11
angry;189
melted;6
trusted;12
war;25
ain;9
cheated;8
constantly;16
held;21
high;50
esteem;6
grateful;11
throughout;6
justify;6
unlike;8
dragging;6
theory;34
try;163
rectify;4
rectification;2
pattern;14
unconsciously;2
repeat;4
patterns;18
witnessed;4
childhood;23
presenting;2
deeper;7
level;19
similarity;2
view;17
marriage;64
whom;11
admire;4
necessarily;16
repeating;7
mistakes;9
comparing;6
admired;6
perfect;65
solution;23
bother;36
meeting;60
sell;8
property;2
auctions;2
indy;2
neighborhood;8
half;71
million;19
bucks;3
tv;29
factor;2
paid;23
minimum;2
means;78
renting;2
lost;66
track;11
moved;35
gay;19
friend;101
daniel;88
boyfriend;21
bring;65
friends;97
community;2
along;49
dinners;3
drinks;6
club;17
sunday;11
hot;22
ladies;2
lesbians;2
lose;59
sworn;2
tuesday;9
walked;57
ran;52
sounded;17
airedale;4
terrier;4
pedigree;2
history;39
knighted;2
england;7
bravery;3
battle;20
aback;2
shameful;2
navy;48
seeing;90
shrink;46
admitted;6
also;107
hilarious;7
mixed;6
looking;112
fierce;2
getting;129
ruin;19
cup;16
lipton;2
boat;10
speak;47
accident;66
naturally;5
sketched;2
area;22
napkin;3
cafe;8
drew;9
overhead;2
genius;2
yards;4
green;4
areas;4
disappear;9
sounds;64
military;14
operation;3
honest;34
reducing;2
map;6
ending;24
five;59
devil;2
supposed;161
judging;5
kick;21
bye;46
co;6
experience;32
advice;38
drive;32
insane;24
tip;6
affect;9
dating;17
tips;5
giving;39
end;101
roundabout;2
pull;15
espresso;4
handle;40
foam;2
dryer;4
ready;77
dressed;20
earth;11
manage;11
broken;19
arms;25
learn;17
sophie;176
gym;63
close;80
relationship;105
cy;97
child;124
appears;6
impressive;10
sensite;2
mature;7
intelligent;9
highly;13
independent;5
wrote;18
cousin;2
stayed;41
visiting;8
colleges;3
woke;31
move;67
neck;9
doctor;97
casts;20
rain;9
found;63
pocket;8
collection;4
catboat;2
present;20
sick;73
listening;41
insipid;4
lives;48
read;80
thesauruses;2
freak;24
words;28
suck;7
chair;20
enhance;2
brain;14
function;3
minds;10
unfortunately;9
easier;34
tired;85
nap;8
noticed;26
drawing;8
erase;6
scared;67
final;10
evaluation;32
scares;7
possibility;27
bought;29
goodbye;29
ya;3
another;191
behind;52
liked;36
wants;109
start;114
work;234
pace;5
sessions;72
deadline;2
controls;4
gas;7
wheel;6
driving;35
pretend;18
homeless;4
york;20
sand;4
ocean;3
central;4
entrance;12
selling;5
wooden;2
toys;3
worse;64
enough;125
money;56
allowance;2
pretending;14
practice;24
waiting;84
smiling;13
movie;34
stars;8
smiles;10
glazed;3
starts;19
cry;38
voice;38
olivia;5
stuck;18
hungry;19
babies;5
darlene;33
upset;67
breakup;4
sad;66
whine;2
mom;201
natasha;2
consider;19
needed;73
space;22
live;137
pissed;24
soured;2
blame;33
whatever;118
cookie;4
crumbles;2
logic;2
flaws;3
responsible;26
gymnast;23
known;25
besides;15
believed;18
discovered;4
gymnastically;2
dancing;5
log;2
entertain;2
dana;34
spins;2
beam;28
key;6
fighting;42
slept;44
attacks;12
stomach;20
shake;12
