Mot,Occurrence
i,7999
je,7188
est,6365
de,5755
a,5535
you,5375
que,5105
pas,4977
tu,4771
s,3617
l,3566
il,3507
ce,3388
le,3352
the,3311
t,3182
la,3167
vous,3155
c,3054
et,2998
ne,2957
qu,2953
to,2915
on,2842
à,2825
un,2740
les,2184
m,2085
j,2079
me,2017
ça,1995
en,1899
ai,1897
it,1895
une,1872
d,1849
n,1762
that,1745
non,1687
what,1634
qui,1605
pour,1598
bien,1563
mais,1523
elle,1492
and,1467
as,1414
dans,1383
ils,1310
y,1301
of,1299
si,1268
we,1261
des,1239
suis,1229
sais,1195
nous,1141
he,1135
là,1124
this,1123
in,1104
know,1069
moi,1056
être,1048
oui,1044
is,998
était,991
tout,985
va,980
quoi,972
plus,953
tom,924
no,921
re,913
avec,901
pourquoi,881
mon,876
are,858
don,852
here,846
have,846
oh,845
be,841
fait,824
ici,815
sont,805
te,800
but,800
was,790
veux,788
mariel,782
dit,778
all,766
russell,763
yeah,762
not,760
do,754
they,745
du,730
just,730
my,728
où,725
ok,717
your,711
she,686
se,671
right,671
lui,665
for,662
sur,652
faire,650
peut,645
larkin,644
jesse,633
toi,629
es,622
au,613
juste,611
about,608
with,606
comme,577
comment,577
chose,576
there,571
ouais,568
okay,561
ca,559
kira,556
hé,555
can,555
parce,550
if,549
dave,548
cette,541
out,541
quand,540
gonna,539
ont,537
pense,535
peux,524
ton,523
so,519
ma,517
alors,511
hey,510
très,502
eau,488
quelque,479
rose,479
lewis,478
russ,477
want,472
été,472
like,469
her,467
dire,462
think,460
son,451
why,445
him,432
maintenant,432
avez,425
go,421
tous,421
how,417
well,416
papa,410
ll,408
eh,406
at,406
ces,406
vais,403
ouragan,401
get,401
underlay,398
gens,398
szura,392
aller,391
aussi,391
vraiment,391
avoir,382
même,381
now,378
voir,376
besoin,370
vu,369
allez,365
did,365
ve,364
parler,363
them,362
up,358
sûr,358
enfants,356
monsieur,349
êtes,346
come,346
ta,345
who,344
merci,343
bon,342
père,341
where,341
one,334
been,334
votre,332
see,327
got,327
vas,325
ou,322
toujours,322
salut,318
rien,315
par,315
nuit,314
étais,313
femme,310
were,302
fais,301
