Mot;Occurrence
précédemment;9
dans;988
invasion;61
tom;438
n;1243
est;4617
pas;3564
qui;1175
tu;3345
crois;171
mariel;349
ces;303
créatures;36
prennent;13
l;2603
adn;28
des;914
humains;8
pour;1175
créer;7
un;1979
nouvel;9
être;783
comme;417
hybride;40
je;5163
sais;838
que;3738
suis;896
y;940
a;2465
mec;166
du;525
nom;56
de;4242
szura;214
c;2196
vôtres;2
si;933
hybrides;66
deviennent;15
majoritaire;2
ce;2452
le;2489
début;18
pourquoi;639
as;827
été;341
infecté;5
on;1595
m;830
rejeté;5
ne;2146
en;1404
bonne;141
santé;27
russell;351
ils;1001
te;541
quand;389
es;434
malade;44
sur;482
île;71
joujoux;4
inadaptés;4
chérie;181
une;1369
fois;115
qu;2123
aura;49
passé;101
entraînement;6
base;45
revient;9
se;493
venger;6
déteste;6
cet;130
endroit;94
me;642
casse;6
d;1208
ici;618
veux;562
savoir;173
s;649
il;2565
quelque;341
chose;406
à;2050
intérieur;69
moi;739
va;723
blesser;10
les;1607
enfants;245
quoi;674
grand;41
secret;40
vous;2404
êtes;272
tous;336
allés;24
eau;354
et;2210
sortis;12
différents;18
vraiment;272
différent;52
veut;159
dire;331
alors;380
reste;83
avec;651
nous;891
montrer;45
envers;11
décors;2
enceinte;64
fils;86
pute;28
tout;752
ton;381
corps;78
complètement;17
cancer;3
sont;621
oeufs;19
dirait;79
ovaire;8
géant;6
pourras;14
pôpa;2
lui;486
maintenant;326
oh;417
mon;633
dieu;181
kira;264
prends;49
ses;94
clefs;12
juste;435
prendre;123
queleques;2
trucs;53
accord;119
hé;397
allez;277
bouffe;4
militaire;19
miam;2
laquelle;27
celle;23
bateau;32
la;2301
rouge;11
sortons;5
avant;136
dégueule;2
nouveau;62
ecoutez;28
dirai;21
personne;223
étiez;20
là;821
prenez;11
bâteau;7
partez;4
plaît;96
fait;600
besoin;268
ceci;41
vais;290
trouver;108
gens;307
ont;397
ça;1427
vont;99
aller;286
loin;38
dis;158
elle;1036
sortir;68
perdu;67
beaucoup;203
sang;109
mais;1114
son;280
pouls;11
fort;40
doit;127
surveiller;10
problème;112
ventriculaire;2
depuis;160
née;2
probablement;33
sauvée;2
choses;134
sauf;14
parfait;16
t;867
idée;96
où;546
derek;104
christina;97
barrages;14
routiers;5
partout;43
iront;5
bien;1126
comprends;63
pensais;100
envoyer;23
conrad;18
meurtrière;2
devrait;80
prison;16
avais;155
mise;8
monde;206
entier;17
aurait;67
compris;42
était;702
sommes;84
j;1497
ai;1364
travailler;30
trop;85
dur;15
protéger;30
laisser;77
psychotique;2
petit;110
copain;4
retourner;17
cette;399
rester;90
irm;4
hier;51
après;174
midi;17
au;461
pensait;31
tumeur;10
puis;37
découvert;16
rempli;2
3ème;2
tubes;2
débouchants;2
directement;6
utérus;10
non;1180
selon;18
tests;34
sanguins;4
changé;40
ca;403
