Mot;Occurrence
invasion;67
1x01;2
pilot;3
transcript;34
raceman;35
adaptation;34
ez;36
keno83;36
ronanasplit;36
et;788
lucile76;36
www;48
forom;36
com;48
hurricane;216
to;2913
control;17
we;1261
are;858
miles;20
from;232
the;3293
eye;12
wall;10
copy;2
that;1745
all;764
right;671
let;228
s;2968
cut;26
her;467
open;32
i;6757
fox;2
five;20
niner;2
hold;48
on;1247
your;711
hats;2
folks;25
re;912
going;263
inside;53
in;1104
drop;13
sonde;6
and;1466
get;401
us;287
a;3070
reading;3
away;76
sea;8
level;5
pressure;8
at;406
millibars;2
how;415
fast;16
is;998
she;686
moving;17
now;378
degrees;1
knots;2
this;1123
rate;3
ll;408
make;111
miami;20
by;163
sundown;1
what;1634
down;201
there;571
changed;27
course;48
no;921
m;1255
seeing;9
something;177
else;55
bigger;16
under;37
water;213
my;728
screen;6
nuts;5
got;327
lights;80
thousands;8
of;1295
military;61
hey;510
mona;25
still;126
not;760
boarded;5
up;354
they;743
should;127
be;837
here;846
any;150
minute;76
who;340
their;102
car;77
broke;5
told;155
em;57
d;641
take;218
shelter;6
but;791
don;843
t;2315
wanna;79
go;421
ma;158
am;136
big;51
coming;85
you;5375
really;266
want;472
supposed;47
meet;36
his;249
father;77
ocala;4
he;1135
worried;38
about;608
him;432
dad;220
gonna;539
fine;69
sure;215
safe;54
though;26
know;1069
maybe;186
can;555
do;754
me;1375
favor;11
little;135
buddy;14
needs;19
ride;14
think;460
for;659
yeah;761
okay;560
guys;125
with;606
partner;3
much;73
husband;58
gracias;2
de;1513
nada;1
see;327
other;77
side;17
hop;5
after;121
andrew;10
dodged;4
charlie;2
so;519
out;540
pretty;81
confident;2
withstand;2
anything;119
being;55
said;160
taking;29
chances;1
owner;10
gas;7
station;41
had;180
lines;1
around;73
block;1
like;469
since;70
yesterday;16
when;258
talked;62
drivers;1
these;151
vehicles;5
tell;251
heading;7
straight;11
back;286
home;161
wait;105
it;1893
tomorrow;35
just;730
might;89
again;86
larkin;330
groves;40
reporting;4
live;56
florida;19
city;21
great;71
thanks;103
some;240
more;143
b;50
roll;2
van;2
throwing;1
honey;144
why;445
aren;63
cause;71
team;23
never;84
sleeps;1
well;416
pregnant;37
women;9
shouldn;45
covering;7
hurricanes;14
one;334
stop;122
dixon;5
q;2
stockpilers;1
then;185
nausea;1
will;186
yours;20
where;341
