Mot,Occurrence
i,2475
you,1468
a,893
s,835
vous,760
est,749
je,725
the,685
t,617
de,547
to,537
pas,517
il,488
it,481
me,458
le,429
m,409
he,408
un,407
what,389
que,377
tu,365
c,343
on,341
that,327
ce,318
à,315
la,310
ne,299
ça,286
is,283
jackman,280
l,278
in,274
of,273
n,253
and,242
tom,242
en,238
we,237
no,233
d,233
don,232
qu,232
et,231
your,225
une,220
hyde,220
j,218
re,216
les,215
dr,211
are,210
do,209
know,209
moi,200
have,198
can,197
not,196
my,186
qui,180
for,178
ai,175
this,172
there,172
him,165
oh,158
be,152
pour,142
just,137
as,134
dans,129
how,128
suis,127
with,126
ve,124
mais,122
they,122
des,121
jekyll,119
bien,119
nous,117
now,116
y,116
avez,115
plus,115
ll,110
mon,110
was,110
got,109
quoi,105
but,104
si,104
yes,101
if,101
votre,99
one,99
here,98
who,97
like,97
think,97
so,97
tout,96
all,96
là,95
at,94
mr,94
want,94
where,93
va,92
non,92
out,91
elle,91
go,91
du,89
she,88
au,88
why,88
did,88
toi,87
fait,87
get,87
ils,86
up,85
daddy,85
avec,85
ok,85
sais,84
êtes,84
où,83
about,83
comment,82
oui,80
lui,80
te,80
claire,78
rien,75
let,74
sorry,73
pourquoi,72
well,71
good,70
se,70
his,70
es,68
then,68
see,67
come,67
right,66
didn,63
going,62
them,62
any,62
tell,60
alors,59
faire,58
look,58
papa,56
eddie,56
time,56
from,55
will,54
jamais,54
être,53
need,53
god,52
her,51
peut,51
yeah,51
sont,50
or,50
bon,50
dit,49
please,49
son,48
allez,48
veux,48
ma,48
an,48
husband,47
syme,47
enfants,47
us,46
mrs,46
been,46
mari,45
coming,45
ont,45
katherine,45
stop,44
man,44
billy,44
comme,44
take,43
am,43
had,43
ton,43
family,43
mme,42
back,42
ici,42
était,42
when,42
sur,42
cette,41
même,41
peux,40
more,40
autre,40
par,40
were,40
never,40
peter,39
mes,39
anything,39
could,39
children,39
won,39
over,39
dire,39
has,39
crois,37
fois,37
vais,37
would,36
fais,36
way,36
too,36
hello,36
ou,35
ever,35
should,34
away,34
quand,33
encore,33
doing,33
personne,33
aussi,32
thing,32
thought,32
deux,31
years,31
said,31
famille,31
parce,30
minute,30
course,30
voir,30
temps,30
down,30
eu,30
off,29
boys,29
mean,29
say,29
isn,29
really,29
people,29
because,29
vos,29
sa,29
feel,29
still,29
even,28
zoo,28
secret,28
wrong,28
seul,28
love,28
tête,28
femme,28
home,28
