Mot;Occurrence
il;488
devrait;5
être;53
là;95
à;315
minuit;1
c;338
est;749
le;429
genre;9
ponctuel;1
tout;96
ceci;2
nécessaire;2
je;725
ne;299
connais;14
pas;517
sa;29
véritable;2
force;14
plus;113
fort;8
que;377
vous;760
oui;80
la;310
varie;2
d;173
ordinaire;2
pardon;21
dans;129
les;215
cas;17
de;547
ce;318
type;8
on;186
gagne;1
en;238
muscle;1
n;253
y;115
a;294
prie;12
femme;28
assise;2
face;6
toi;87
s;82
appelle;13
katherine;19
reimer;7
une;220
infirmière;4
psychiatrique;3
avec;85
l;276
expérience;10
des;121
domaines;2
liés;2
lui;80
ai;175
bien;119
exposé;1
situation;3
et;231
crois;37
digne;1
confiance;10
si;104
tu;365
es;68
accord;18
elle;91
travaillera;1
pour;142
nous;117
tous;18
deux;31
sans;18
prendre;14
parti;20
te;80
demande;7
réfléchir;1
peut;51
continuer;1
comme;44
ça;286
libère;1
ta;26
chaise;3
sache;3
caméras;9
tournent;1
règles;3
relâchez;1
doit;7
jamais;54
sortir;10
emporter;1
objets;1
enregistreur;2
numérique;2
qui;180
tourne;4
pendant;4
24h;1
garder;2
sur;42
permanence;1
sauf;9
préalable;1
gps;2
suivre;8
ses;25
déplacements;1
ensuite;3
chargez;1
données;1
ordinateur;1
horodatage;1
permettra;1
corréler;1
serez;2
aussi;32
équipé;1
surveillance;1
mutuelle;1
exactement;3
3ème;1
objet;1
dictaphone;2
notre;20
moyen;6
communiquer;2
rappeler;5
autre;40
racheter;1
du;89
lait;1
parfois;2
qu;232
t;81
arrive;21
avez;115
parlé;9
accès;4
violence;2
cela;8
éclatait;1
votre;99
marge;1
man;1
uvre;1
étroite;1
ces;22
circonstances;1
plaît;10
veuillez;3
place;3
prenait;2
quelqu;22
un;407
terrible;2
se;70
mettait;1
tuer;20
non;91
comment;82
savez;24
me;138
livrerais;1
aussitôt;1
quelle;15
contrainte;1
mets;6
quête;1
remède;6
fera;3
sauter;2
cervelle;3
vois;21
connaît;6
code;1
devrez;1
mémoriser;1
fait;87
questions;12
souriez;1
dire;39
bonne;24
chance;12
mlle;6
nuit;15
m;180
jackman;128
sous;16
titres;4
nathbot;6
berhug;2
18h;2
vais;37
hors;4
ligne;1
heures;10
resterai;1
au;88
même;41
endroit;8
trois;16
semaines;3
tard;10
i;759
papa;56
salut;11
a6;9
va;92
été;13
sages;1
portes;2
porte;6
mais;122
avons;18
énormes;1
bibendums;1
petits;8
goinfres;1
bon;50
allez;48
jouer;3
dehors;3
dois;19
parler;19
maman;21
suite;8
aurais;8
pu;10
moins;12
avoir;26
décence;2
entretenir;2
liaison;2
reléguée;1
second;3
rang;1
par;40
chose;27
délaissée;1
profit;1
personne;33
extrêmement;1
indélicat;1
part;10
dure;3
depuis;24
combien;15
temps;30
as;87
ôté;1
question;10
bouche;3
suis;127
stupéfait;1
aies;3
filer;1
privé;1
moi;200
abandonné;6
famille;31
ombre;1
explication;1
point;9
donc;18
explique;3
présence;1
fourgon;6
noir;5
suit;4
partout;3
couleur;3
évoquée;1
j;218
maîtresse;2
cachée;5
ni;22
rien;75
cette;41
sorte;4
vérité;9
chéri;7
trop;13
refoulé;3
toujours;26
début;10
lorsque;3
eu;30
jumeaux;5
sais;84
traversé;1
esprit;2
premier;5
dis;28
plais;1
eddie;23
veux;48
callendar;5
enquêtes;1
privées;1
plaisante;2
dors;7
harry;6
vaut;5
mieux;10
parte;1
tom;107
claire;37
peux;40
quel;18
soit;18
problème;15
quoi;105
éloigne;1
grave;2
devoir;5
taire;1
aller;17
ici;42
dr;91
imprévu;2
déclenché;2
fois;37
devient;3
fréquent;1
air;14
différent;2
juste;18
merde;10
pourrais;9
où;83
garé;2
bonsoir;4
bois;4
whisky;1
était;42
ignorais;2
