Mot;Occurrence
he;408
s;753
due;3
at;94
midnight;1
usually;5
punctual;1
you;1468
really;29
need;53
all;96
these;14
i;1716
m;229
not;196
sure;21
how;128
strong;9
is;283
stronger;6
than;18
yes;101
strength;3
isn;29
t;536
a;599
variable;2
sorry;73
in;274
cases;4
like;97
this;172
don;232
get;87
extra;2
muscles;1
or;50
anything;39
there;172
aren;11
any;62
please;49
the;685
woman;12
sitting;6
opposite;2
katherine;26
reimer;7
she;88
psychiatric;3
nurse;5
with;126
experience;2
related;5
areas;2
fully;4
apprised;1
of;273
situation;1
and;242
can;196
be;152
trusted;1
if;101
approve;2
coming;45
to;537
work;21
for;178
us;46
both;12
won;39
take;43
sides;2
consider;3
it;480
we;237
go;91
on;155
way;36
ve;124
been;46
going;62
event;2
decides;1
release;3
from;55
chair;8
cameras;10
are;210
know;209
rules;5
keep;24
him;165
that;327
time;56
course;30
so;97
what;389
has;39
violent;3
episodes;4
doesn;23
surprises;1
am;43
surprise;2
want;94
feel;29
safe;20
great;10
job;17
re;216
doing;33
released;1
three;17
things;7
never;40
leaves;1
without;8
normally;1
when;42
making;8
girls;5
sometimes;7
punish;1
ok;79
digital;2
recorder;3
runs;4
hours;5
kept;6
times;9
unless;6
by;17
prior;1
agreement;5
gps;2
keeps;10
track;3
his;70
movements;1
afterwards;2
download;1
everything;17
onto;2
computer;1
timecode;1
correlation;1
wear;3
those;21
too;36
mutual;1
surveillance;1
exactly;10
third;3
thing;32
dictaphone;1
communicate;1
running;9
low;3
milk;1
kind;14
wrong;28
said;31
one;99
lot;11
do;209
under;3
circumstances;1
could;39
just;137
sit;14
over;39
hurts;2
someone;26
as;47
bad;11
say;29
kills;2
why;88
because;29
d;60
turn;19
myself;4
says;7
ever;35
attempt;1
look;58
cure;11
ll;110
put;23
bullet;2
brain;3
see;67
code;1
memorise;1
did;88
else;12
should;34
tell;60
smile;1
let;74
me;320
good;70
luck;5
miss;10
night;25
dr;120
jackman;152
6pm;1
offline;1
will;54
changing;2
location;5
daddy;85
hi;7
hello;36
right;66
have;198
up;85
pick;4
lifting;2
two;23
huge;1
enormous;1
fat;3
men;15
eating;3
out;91
garden;3
talk;18
mummy;19
minute;16
might;18
least;6
had;43
decency;3
having;9
an;46
affair;2
second;10
best;10
another;10
but;101
no;233
being;16
positively;1
thoughtless;1
long;20
was;110
my;186
question;10
private;5
detective;9
believe;13
left;15
your;225
wife;25
kids;12
word;14
explanation;1
win;2
explains;1
black;8
van;9
following;10
everywhere;3
discussed;1
colour;2
secret;15
lover;6
well;71
darling;5
repressed;3
always;24
even;28
beginning;6
twins;8
first;15
thought;32
think;97
likes;5
hmm;4
stop;40
eddie;33
told;18
mean;29
harry;7
oh;123
tom;135
claire;41
whatever;8
problem;15
keeping;4
happened;13
about;83
fancy;1
fuck;9
got;109
here;98
come;67
unscheduled;3
change;21
brought;6
happening;17
more;40
different;9
much;18
owe;2
once;9
seriously;6
bloody;13
where;93
parked;2
evening;11
drink;9
whisky;1
wasn;18
who;97
expect;3
didn;63
stay;12
couple;4
between;2
owes;1
now;116
thursday;1
meeting;2
town;1
fine;18
round;7
