Mot;Occurrence
transcript;80
raceman;16
synchro;82
ikpko;8
www;191
forom;18
com;226
when;693
there;2190
s;7412
nowhere;42
else;200
to;9467
run;135
is;3058
room;111
for;2252
one;899
more;512
son;237
if;1370
you;13200
can;2140
hold;207
on;3911
i;15578
wanna;43
stand;78
up;1391
let;993
go;1503
know;2175
no;1583
don;2024
t;5115
shine;5
in;3130
the;9657
hearts;6
of;3902
men;229
want;961
a;6553
meaning;4
from;859
back;1183
my;1813
broken;29
hand;97
another;202
head;109
aches;3
heart;74
breaks;8
m;2606
so;1344
much;307
older;6
than;326
take;771
high;61
capital;11
hill;27
as;1016
an;642
emergency;51
session;2
congress;2
prepares;2
hear;229
president;57
address;22
issue;12
global;7
violence;5
recent;12
attacks;61
have;2315
pushed;8
this;3170
administration;23
extreme;2
action;10
raising;8
fears;2
it;6153
alleviated;2
with;1554
tension;8
rising;2
taking;129
risky;4
step;34
by;307
confronting;2
what;3784
some;668
political;3
observers;2
oh;727
believe;157
jake;1143
green;204
how;1150
doing;523
man;327
did;878
get;2435
town;770
just;1768
now;1150
that;4314
bonnie;157
grew;30
wait;301
minute;132
where;783
hell;393
been;855
around;319
five;149
years;174
army;54
ve;1093
good;642
who;692
she;767
irs;33
audit;11
yeah;940
not;2021
going;1683
well;967
forget;68
about;1481
and;3974
we;5537
out;2138
tonight;94
catch;24
d;1378
love;132
but;1359
came;206
see;652
grandfather;35
got;1378
okay;1017
need;1177
pie;9
strawberry;2
rhubarb;2
welcome;58
jericho;530
his;383
wife;76
lovely;4
him;1088
mrs;86
olsen;8
made;218
me;2893
promise;71
tell;537
heard;206
he;1985
bought;13
old;127
thompson;8
place;203
cash;18
color;10
looks;140
really;446
why;758
didn;571
your;1810
mom;272
new;512
york;66
cause;146
hates;11
are;2103
looking;182
at;963
loser;2
could;709
be;1957
shopping;3
soho;3
right;1786
instead;27
gracie;193
market;12
look;657
thing;450
ugly;7
leigh;40
keeping;23
yourself;101
playing;36
minor;18
league;2
baseball;10
fact;28
do;2167
chicago;53
all;2019
ll;1507
pick;51
too;420
hey;743
sorry;513
hi;85
um;111
here;1946
day;251
visit;15
family;205
course;89
sure;353
anyway;49
tells;25
re;2709
teaching;10
school;89
weird;54
huh;161
house;221
pines;5
east;48
side;96
teacher;11
salary;4
uh;314
fianc;3
banking;2
helps;2
roger;186
loves;11
happy;49
emily;237
somebody;146
shouldn;53
navy;3
even;270
bother;22
seriously;40
ask;153
year;70
try;201
make;603
kind;141
clear;105
chance;138
maybe;394
find;404
better;272
days;168
boxes;9
wrapped;10
strings;10
desire;9
empty;48
things;302
these;463
words;22
honey;129
home;374
choking;2
thought;224
annoying;3
voice;21
brother;148
night;140
world;137
begins;3
again;208
interfere;2
campaign;3
dad;376
signature;9
then;551
grandpa;22
after;245
say;416
none;37
business;87
eric;535
our;657
put;302
through;327
johnston;204
god;372
sake;16
spend;27
week;52
talking;214
apologized;5
amends;2
plan;136
money;60
clean;64
start;222
gave;82
reason;37
authority;29
over;453
convince;6
leading;6
productive;2
life;153
were;781
both;99
born;14
third;22
base;16
quit;17
pretending;17
hit;82
triple;3
realize;34
talk;384
mayor;197
stop;280
would;464
brought;73
father;125
doesn;218
because;282
won;201
give;418
enough;274
credit;10
had;457
few;174
trials;2
own;129
never;303
stay;385
san;24
diego;22
tomorrow;136
hmm;26
clumsy;2
hands;77
careful;70
mr;254
speaker;7
united;30
states;41
watch;86
mcdonald;3
farm;157
e;25
o;36
finally;58
found;141
garage;17
fix;27
detour;5
ocean;2
hatred;2
feel;91
like;880
c;1098
great;95
nation;16
yet;96
divisions;8
pale;6
comparison;6
fundamental;6
dangers;14
posed;6
threat;21
terror;13
eternal;8
commitment;6
leave;218
children;25
grandchildren;10
has;309
always;127
will;543
four;81
three;216
two;321
hour;107
mcvey;6
hello;114
carried;4
fun;16
woody;16
hide;56
hurry;43
cody;6
anyone;178
seen;179
haven;118
time;542
shh;19
gail;101
nothing;220
explosion;72
west;54
denver;163
jimmy;174
radio;139
everybody;224
sheriff;164
station;56
move;198
come;1197
real;120
soon;106
bringing;13
them;1135
mine;249
panic;4
trying;269
work;252
norman;3
immediately;13
shep;110
help;626
change;49
chief;32
damage;6
fires;12
buildings;13
fine;198
hope;78
does;172
mean;299
any;323
geiger;10
counters;7
excuse;104
something;526
happen;95
contact;60
governor;32
national;25
guard;28
state;24
troopers;2
under;82
attack;83
word;72
test;16
accident;50
military;53
bases;4
near;69
calm;47
stays;24
thanks;214
grey;5
use;172
extra;35
thank;248
bomb;81
yes;212
ma;218
am;332
far;121
sign;73
radiation;85
keep;384
checking;6
sir;158
bus;74
isn;220
field;54
trip;24
daughter;34
should;360
stacy;21
teresa;3
first;278
deal;161
please;369
worry;132
easy;114
child;28
was;1707
caves;3
they;2244
might;228
gone;210
repairs;2
wilson;3
off;371
or;542
cedar;15
road;127
principal;3
movey;3
said;339
took;148
before;352
phone;59
cut;63
figure;65
teams;2
