Mot;Occurrence
capture;10
frms;1
sync;2
frm;6
resynch;2
team;26
ncis;22
com;28
the;1345
end;20
is;379
near;13
amen;4
my;416
brother;17
those;51
illegals;1
act;4
like;178
it;540
s;1071
just;172
another;36
day;48
at;163
beach;16
you;1832
know;284
mitch;75
yost;92
should;61
get;234
back;131
in;558
game;11
couple;12
of;426
fun;12
ones;12
mind;16
your;371
own;22
business;34
go;209
fuck;157
yourself;23
case;10
re;234
not;255
crazy;2
i;2806
years;34
with;273
this;250
family;30
deal;17
kid;31
works;5
so;145
stay;29
away;27
or;118
whoever;10
paying;5
better;31
have;201
on;384
a;805
good;128
health;7
plan;13
sammy;5
tell;102
shaun;179
he;514
needs;12
to;1110
stop;18
by;43
shop;14
okay;81
don;271
t;585
forget;14
give;76
free;6
bar;8
wax;1
got;179
nothing;13
do;278
that;714
space;3
cadet;1
there;172
would;88
never;47
disrespect;1
retirement;3
god;54
damn;13
syringe;2
maybe;72
one;96
butchie;179
what;466
happened;18
biggest;1
regrets;1
life;23
yeah;173
now;142
proven;1
world;8
can;181
up;211
fine;22
without;16
sponsor;11
am;60
gonna;127
see;138
huntington;22
afternoon;7
why;89
me;508
nobody;6
seen;21
grandson;20
breaking;3
his;192
cherry;3
assumed;2
knew;10
well;134
didn;62
and;627
if;187
for;323
competition;2
assume;5
him;284
sure;35
expect;2
fangs;1
neck;16
did;112
sent;9
fucking;277
wants;34
signed;14
jesus;38
christ;47
sign;20
eight;2
year;12
olds;1
look;67
happen;17
mean;68
real;7
trust;4
devil;1
fast;6
after;24
long;23
wmd;1
fiasco;1
iraq;1
fresh;5
both;12
our;66
memories;2
ramon;33
were;58
none;4
may;24
be;234
as;111
wrong;10
intelligence;3
estimate;1
cia;1
but;93
man;48
who;97
purchased;1
motel;13
doesn;33
strike;2
most;4
pleasant;3
person;10
motherfucker;7
probably;22
split;3
certainly;4
present;3
terms;4
deadbeat;1
say;83
paid;3
we;297
new;28
owner;6
discovered;1
squatting;1
about;174
six;6
months;5
worth;4
garbage;1
room;42
revolutionized;1
surfing;31
changed;3
entire;5
idea;10
place;25
was;223
supposed;22
vacant;1
think;88
little;41
old;22
hero;1
worship;1
ladies;8
moment;7
brigade;3
out;270
today;23
yes;34
association;2
attorneys;2
sold;2
receivership;1
take;84
horrendous;4
dump;16
wanna;19
hear;31
every;37
detail;1
very;23
important;8
show;20
something;62
settled;1
injury;6
claim;1
city;2
