Mot,Occurrence
i,5015
a,3685
s,2944
t,2691
the,2641
de,2557
you,2420
e,2154
l,1874
n,1817
est,1790
je,1773
o,1659
le,1615
to,1517
c,1503
d,1487
la,1401
pas,1352
que,1311
it,1292
kitt,1201
m,1157
vous,1094
on,1088
à,1071
un,1055
tu,1048
r,1042
et,1026
il,1020
h,1005
y,999
and,933
les,874
that,845
ne,828
we,786
of,779
is,774
ce,770
une,753
in,707
u,693
michael,692
what,665
me,665
j,639
en,626
mike,617
pour,596
nous,560
ai,560
are,533
have,532
ça,528
dans,519
sarah,516
qu,507
he,491
this,471
g,465
re,460
not,458
do,452
your,443
des,433
for,426
du,425
w,420
be,407
qui,396
get,384
can,384
my,380
no,378
as,377
was,371
sur,368
avec,358
they,357
there,342
with,340
si,337
bien,323
ils,320
mais,313
p,313
don,308
b,303
moi,298
know,296
suis,296
être,294
out,292
f,292
but,287
just,283
k,282
tout,271
all,269
plus,268
if,266
au,259
te,250
now,249
up,246
elle,245
right,241
non,241
ll,235
got,234
billy,230
se,228
oh,225
him,223
about,222
faire,220
yeah,216
okay,215
peut,213
like,210
sont,210
va,209
one,209
toi,206
at,206
mon,206
so,206
go,206
from,203
fait,202
chose,198
v,197
comme,194
how,192
will,191
an,188
she,184
peux,181
here,178
quoi,177
était,173
là,171
été,169
her,166
maintenant,163
ve,162
vais,162
gonna,159
who,157
ont,157
back,156
his,155
think,154
why,153
quelque,151
car,150
would,150
dire,148
sais,148
take,147
pourquoi,145
let,144
es,143
or,143
see,142
ou,141
avez,141
votre,140
où,140
son,139
dit,139
good,138
oui,134
need,134
has,133
allez,133
were,131
lui,130
cette,130
well,129
avoir,129
time,128
comment,127
come,127
juste,126
did,126
ouais,125
going,125
ton,125
dr,124
par,120
been,120
ma,119
carrie,119
ok,119
into,119
rien,117
where,117
ici,117
veux,114
dois,114
voiture,114
them,114
something,114
temps,112
down,112
us,112
autre,112
knight,111
then,110
zoe,110
could,110
want,109
tell,109
way,109
graiman,108
même,108
hey,107
deux,107
vraiment,107
danny,107
our,106
any,105
am,105
some,104
minutes,104
quand,103
êtes,102
voir,102
avons,101
look,100
besoin,100
really,97
when,96
tous,96
pense,95
two,94
peu,94
aussi,92
had,92
should,90
by,90
make,89
too,89
bon,89
find,88
maybe,87
mes,87
virus,86
doing,84
cela,84
say,84
doit,83
yes,82
font,82
stevens,82
guys,82
sure,81
their,81
off,81
ta,78
merci,78
please,78
little,76
allons,76
ces,76
alors,76
anything,76
sa,75
karr,75
still,75
fais,75
agent,74
jamais,74
only,74
sûr,73
more,73
très,73
over,73
thing,73
didn,72
père,72
night,71
sorry,71
avant,71
notre,71
help,71
last,71
passe,70
than,70
man,70
stop,70
call,69
toujours,69
gars,69
crois,68
leur,68
désolé,68
bar,67
never,67
give,67
aller,66
encore,66
ca,66
mean,66
torres,65
quelqu,63
chance,63
must,62
raison,62
thought,62
après,62
contact,62
mort,62
three,61
gotta,61
quel,61
sommes,61
bahia,61
vas,61
police,60
people,60
another,59
dis,59
trouver,59
transformation,59
possible,58
system,58
guy,58
personne,57
doesn,57
work,56
eu,56
nothing,56
move,56
x,55
aux,55
bank,55
tes,55
files,55
before,55
soit,54
part,54
semble,54
dead,54
talking,53
through,53
système,53
room,53
ssc,53
sous,53
place,53
sécurité,52
fire,52
open,52
uh,52
signal,52
mission,52
plan,52
bad,52
bonne,52
trop,52
does,52
everything,51
much,51
mec,51
prendre,51
alex,51
sans,51
dad,51
said,50
because,50
dessus,50
galt,50
dernière,50
course,49
may,49
bomb,49
maddie,49
first,49
fichiers,49
turner,49
max,49
veut,49
plaît,48
étais,48
surveillance,48
these,48
homme,48
keep,48
fois,48
code,48
bombe,48
again,47
porte,47
toutes,47
idée,47
savoir,47
hé,47
avion,47
put,47
sera,47
believe,47
position,46
phone,46
mode,46
olara,46
secondes,45
very,45
pourrait,45
sortir,45
after,45
banque,45
fight,45
hell,45
moment,45
vu,44
problème,44
hear,44
route,44
getting,44
long,44
might,44
cooperton,44
even,44
nuit,44
better,44
monde,43
vois,43
exactly,43
which,43
parler,43
faites,43
passé,43
argent,43
those,43
same,43
moins,43
point,42
feu,42
charles,42
question,42
idea,42
father,42
seconds,42
away,42
plane,41
name,41
kill,41
around,41
vie,41
pouvez,41
équipe,41
working,41
ha,41
crash,41
fine,41
déjà,41
ses,41
avait,41
air,40
door,40
message,40
parce,40
fille,40
drop,39
arme,39
color,39
super,39
thank,39
nice,39
vrai,39
serait,39
avais,39
viens,39
gps,38
great,38
tuer,38
mieux,38
being,38
every,38
left,38
exactement,38
thanks,38
cool,38
hommes,38
puis,38
auto,38
told,38
vont,38
cause,38
seul,37
miles,37
location,37
trois,37
inside,37
wrong,37
fbi,37
trouvé,37
donc,37
partir,37
won,37
wait,36
endroit,36
halloween,36
toute,36
check,36
big,36
four,36
arrêter,36
travail,36
happened,36
other,36
gens,36
heures,36
rivai,36
partie,36
aime,36
hit,36
nom,35
someone,35
next,35
papa,35
combien,35
depuis,35
savez,35
security,35
god,35
means,35
looks,35
looking,35
program,35
dieu,35
emp,35
dea,35
quelques,34
job,34
hours,34
programme,34
annie,34
done,34
choses,34
without,34
aurais,34
données,34
day,34
team,34
regarde,34
