Mot;Occurrence
foreign;2
consulate;9
usa;1
would;150
you;2420
excuse;11
me;456
for;422
a;2830
moment;12
hurry;5
back;156
i;3713
have;532
the;2632
package;22
in;706
sight;3
sarah;262
can;384
hear;44
where;117
s;2689
mike;313
traceur;12
we;786
do;452
this;471
easy;13
way;108
or;138
very;45
hard;19
kitt;587
yes;80
michael;349
not;458
responding;8
my;380
sensors;11
picked;7
up;245
she;184
is;774
vault;10
room;48
are;533
with;340
her;166
yeah;213
got;234
hung;2
less;14
than;70
two;93
minutes;54
to;1515
make;89
contact;31
acquire;2
and;927
retrieve;4
files;55
problem;28
ambassador;28
gonna;159
be;407
more;73
little;76
upset;8
by;87
your;443
treatment;2
of;772
his;155
guests;1
has;133
been;120
joined;2
four;36
men;31
they;357
armed;16
guys;82
what;665
doing;84
oh;131
come;127
on;610
really;97
get;384
now;249
take;147
staircase;1
left;38
fastest;2
route;10
keep;48
eyes;11
peeled;1
it;1291
figure;19
speech;3
which;43
floor;10
basement;4
level;9
security;34
discovered;5
loop;6
programmed;9
into;118
their;81
surveillance;21
system;58
moments;2
away;42
from;203
detecting;3
source;5
tap;5
m;938
moving;17
as;166
fast;26
probably;21
move;56
faster;6
if;266
ate;2
healthy;4
diet;1
decreased;1
alcohol;2
intake;1
reduced;2
extracurricular;1
activity;3
lady;6
friends;14
might;44
well;128
dead;54
death;23
will;191
help;71
current;19
situation;16
lost;28
appears;24
vanished;4
detected;9
co;6
opt;1
may;49
plan;26
similar;5
ours;2
know;296
who;156
negative;7
does;52
appear;7
so;206
weapons;27
indicate;11
guards;5
don;307
t;2428
then;110
re;454
after;45
that;845
means;35
must;62
high;25
opinion;3
willing;8
risk;6
amount;6
pain;5
about;222
inflict;1
upon;2
he;488
same;43
no;378
idea;42
heart;9
rate;7
respiration;1
suddenly;2
increased;3
rising;2
rapidly;8
last;71
chance;23
turned;5
wrong;37
right;241
said;50
dude;27
confusing;2
please;78
remain;8
calm;8
am;105
knows;18
here;178
go;193
there;342
every;38
direction;4
outside;16
late;14
stay;25
being;38
detained;1
hey;97
undetained;1
bathroom;3
cause;27
gotta;61
pee;1
step;11
car;121
forced;3
defensive;5
measures;1
talking;53
us;109
big;32
deal;15
talks;2
called;24
gps;19
but;283
attack;27
mode;23
turbo;10
boost;12
distress;1
check;35
door;40
see;142
still;75
reflexes;1
hell;45
hate;15
needles;1
was;371
thought;62
die;21
almost;23
at;206
location;36
attracted;1
some;104
attention;12
suggest;14
rendezvous;3
point;16
quickly;8
possible;28
guy;58
syringe;1
kept;5
asking;7
weren;11
ve;162
were;131
clear;18
give;67
hand;19
time;126
stop;62
good;137
use;29
new;22
program;35
uploaded;9
wait;36
one;208
how;192
did;126
should;90
pay;12
briefings;1
prepare;7
transformation;28
complete;32
occupant;7
restraint;10
active;14
able;30
identify;7
whoever;11
getting;44
out;291
without;34
seen;14
unable;10
penetrate;6
depth;1
only;74
undetected;1
through;53
underground;2
passageways;1
beneath;2
such;14
harsh;1
word;20
kind;30
impact;13
seconds;42
deploy;6
flares;6
countdown;3
damn;13
deploying;2
ineffective;3
trying;32
tell;109
cooled;1
heat;13
signature;4
ambient;2
air;16
temperature;8
missile;14
homing;6
want;109
fatal;4
error;2
something;114
unusual;6
warhead;1
respond;4
correctly;2
mean;66
relayed;2
our;106
dr;65
graiman;53
certain;8
working;41
solution;3
speak;14
emergency;20
locked;8
target;25
just;283
interesting;7
font;18
color;12
ffff00;6
knight;45
rider;3
s01;1
ep01;1
www;6
1000fr;2
com;3
presents;4
capture;4
frm;1
ëîµ;1
sync;3
frs;1
ïí;1
³ñý¾;1
hot;20
diverted;2
enough;29
power;24
exactly;43
withstand;3
learning;4
like;210
supposed;19
explosive;3
material;5
attached;1
itself;10
outer;2
skin;4
shed;1
cannot;21
analyze;3
an;184
advanced;11
form;3
napalm;1
chemical;10
attributes;1
rocket;2
fuel;10
put;47
burn;6
chances;7
surviving;2
cooling;1
afraid;18
effective;1
had;92
hoped;1
worst;3
case;20
scenario;2
when;96
reaches;2
degrees;6
boiled;1
alive;18
own;20
bodily;1
fluids;2
best;31
unconscious;3
before;55
happens;8
need;134
retrieved;1
look;97
isn;29
zip;1
drive;17
alex;25
those;43
massive;4
