Mot,Occurrence
i,17024
je,11627
de,9090
est,8817
you,8697
tu,8117
que,7905
pas,7738
a,7414
t,5973
s,5633
le,5295
to,5264
the,5141
c,5110
la,4762
à,4719
et,4574
ne,4379
il,4187
j,4130
ce,4068
on,4064
un,3969
it,3965
ça,3898
me,3880
l,3645
qu,3548
m,3256
pour,3080
d,3074
ai,3038
en,3031
kyle,2966
les,2869
that,2783
une,2740
vous,2667
and,2619
n,2602
elle,2489
mais,2296
as,2294
what,2039
te,1917
of,1913
qui,1845
moi,1836
si,1836
y,1790
suis,1764
tout,1764
avec,1710
bien,1689
we,1686
des,1669
plus,1652
in,1649
dans,1623
is,1597
être,1566
fait,1497
sais,1486
toi,1470
re,1448
faire,1441
he,1392
know,1380
for,1377
have,1360
my,1337
not,1337
this,1336
jessi,1332
can,1325
be,1302
don,1287
but,1270
veux,1269
quoi,1247
non,1246
was,1242
do,1231
était,1222
just,1215
with,1210
es,1196
peux,1179
your,1169
she,1162
nous,1160
va,1119
amanda,1091
du,1073
comme,1056
so,1044
mon,1043
no,1024
là,1005
pourquoi,1001
are,999
lui,998
about,996
dire,977
au,974
ils,939
peut,934
sur,912
ma,905
se,898
like,893
all,888
chose,879
her,867
out,852
comment,836
dit,831
there,805
vraiment,803
ton,803
ll,803
quand,783
alors,773
here,770
rien,763
get,755
cette,746
how,746
if,734
juste,718
him,706
ici,698
think,690
well,679
they,678
josh,677
quelque,676
lori,669
oui,666
go,649
ta,645
want,644
où,640
oh,638
at,630
dois,629
fais,627
ve,613
up,606
avoir,601
sont,595
why,595
right,589
vais,587
son,580
même,566
voir,563
toujours,563
now,558
besoin,558
did,556
one,550
crois,542
bon,538
jamais,530
temps,520
aller,507
maintenant,502
avais,497
could,484
aussi,482
ou,476
need,473
peu,472
good,472
trager,469
declan,454
merci,445
pense,443
something,436
ont,435
time,435
vas,435
étais,434
okay,433
really,432
been,428
when,420
who,419
avait,418
encore,417
adam,411
didn,406
had,403
ok,402
see,402
par,400
tell,399
vu,398
été,390
parler,386
got,386
yeah,384
passé,383
autre,383
from,382
tous,381
ouais,380
gonna,377
quelqu,376
mes,374
vie,373
sa,370
come,369
trop,368
avez,368
let,367
aider,366
were,366
back,364
parce,363
sarah,362
would,359
très,356
faut,354
fois,350
his,350
an,348
personne,345
donc,344
sûr,344
choses,344
voulais,342
should,342
déjà,341
then,339
make,338
deux,336
help,335
way,334
sans,334
monde,330
doit,329
latnok,328
notre,328
veut,328
nicole,322
avant,322
tes,315
going,315
more,315
where,314
or,314
dis,312
ces,311
them,309
moment,309
mère,307
mean,306
some,298
soit,298
look,298
savoir,297
famille,291
our,289
never,288
andy,287
beaucoup,285
too,284
anything,281
baylin,278
team,278
take,277
après,277
projet,275
mal,275
vrai,275
aime,273
still,272
eu,272
sorry,271
xy,270
problème,269
votre,267
mieux,264
maison,261
bal,260
salut,260
will,260
part,260
everything,259
devrais,259
stephen,258
ses,256
aurais,253
sure,252
désolé,252
by,251
allez,251
hey,249
cassidy,249
chance,248
a10,248
people,248
us,248
foss,247
dû,247
doing,244
say,240
quel,240
viens,239
gens,239
said,238
bonne,237
over,237
père,234
raison,233
laisse,233
has,232
because,231
depuis,229
accord,227
sg,227
maybe,225
thing,223
chez,223
feel,221
passe,219
little,217
thought,217
arrive,216
pensais,216
êtes,214
savais,212
even,212
6th,211
voiture,211
soir,209
yes,208
moins,208
sens,207
car,206
two,206
leur,206
autres,206
important,205
nuit,204
fille,202
pu,202
things,202
devrait,201
confiance,201
toute,198
ca,198
entre,198
com,198
only,196
pourrait,195
night,195
toutes,195
after,195
into,194
off,194
talk,192
sait,192
eh,191
first,191
find,191
life,190
vois,190
great,189
doesn,188
any,188
much,188
jour,188
aide,187
super,185
home,185
air,184
parle,184
pendant,183
partie,183
down,183
better,182
b,180
importe,180
mom,180
point,179
attends,178
place,178
nothing,178
trouvé,175
mec,175
work,174
before,174
wanted,174
trouver,174
truc,172
pos,172
than,172
man,172
secret,172
prendre,171
tard,170
guess,170
race,169
give,168
zzyzx,168
aujourd,167
hui,167
other,167
façon,167
sois,166
family,166
désolée,166
tête,166
keep,166
seule,166
passer,165
test,165
serait,165
fine,164
won,164
croire,163
new,162
day,162
regarde,161
am,161
sera,161
happened,160
petit,159
quelques,158
does,158
sortir,158
seul,158
maman,158
bonjour,158
ensemble,157
again,156
told,156
wrong,155
peur,155
parents,154
laisser,154
jusqu,154
done,154
rester,153
comprends,153
pouvais,153
cool,152
penses,151
nouveau,151
someone,151
dont,150
cas,150
pourrais,148
around,147
guy,147
www,146
connais,145
cause,145
remember,145
ever,145
aux,145
wanna,143
reste,143
idée,142
lot,142
espère,142
dad,142
always,142
taylor,141
madacorp,141
dieu,141
genre,141
being,140
propos,140
away,140
hillary,140
thank,139
made,139
aurait,138
through,138
possible,138
minutes,137
chambre,137
aimerais,137
mr,137
ballantine,136
uh,135
please,135
already,135
fini,134
nos,134
esprit,134
entendu,133
pris,133
trying,132
last,131
mind,130
chercher,130
demain,129
seriessub,129
fête,128
