Mot;Occurrence
i;2450
précédemment;32
dans;704
kyle;697
xy;84
si;805
je;5201
comprends;72
bien;752
le;2321
garçon;27
n;1163
a;1744
aucune;41
famille;129
connue;3
il;1697
ne;1987
parle;83
pas;3415
et;2005
on;1283
l;1578
trouvé;67
errant;3
la;2107
ville;17
mais;1008
y;802
une;1216
chose;391
que;3507
vous;1188
devriez;17
voir;250
de;3984
nombril;7
j;1843
ai;1361
un;1688
nouveau;66
patient;11
ramené;7
à;2075
maison;109
pour;1374
quelques;68
temps;215
tu;3655
connais;64
touche;11
mes;163
affaires;31
est;3825
très;155
gentil;16
spécial;22
c;2203
génie;19
amnésique;2
connaît;10
les;1238
choses;159
plus;718
simples;5
calcule;1
doigts;5
nez;11
comprend;9
peine;33
ce;1777
dis;123
sait;83
parler;177
chinois;1
m;786
man;4
te;853
humain;11
ton;353
anniversaire;18
alien;4
toi;657
homme;41
sur;397
photo;22
adam;124
baylin;92
porté;4
disparu;20
depuis;104
ans;46
arrête;53
poser;12
des;717
questions;31
sinon;21
vas;191
mettre;47
toute;86
ta;296
en;1349
danger;26
qui;801
êtes;97
maman;67
peterson;7
vivent;4
connecticut;4
nous;525
partirons;1
demain;51
suis;794
enfin;49
prêt;50
me;830
caches;3
quelque;306
as;871
prouvé;4
savais;93
garder;45
secret;53
s;537
avait;181
crois;236
t;1155
mêlerais;2
merci;196
tout;758
fais;275
gaffe;2
petit;63
vais;260
occuper;33
d;1160
pendant;81
forme;12
parfaite;14
lui;415
dit;364
suivre;10
afin;2
protéger;26
trager;121
sacrés;1
menteurs;2
notre;145
boulot;39
voulez;37
voudrais;29
savoir;131
chez;100
oui;289
avec;744
ses;111
parents;37
rien;325
encore;180
cauchemar;6
mauvais;23
pressentiment;4
va;475
inquiéter;21
allez;105
a10;124
th;7
the;168
p;14
pr;8
pro;4
proj;4
proje;4
projet;124
sg;100
tea;8
team;110
an;11
and;53
se;369
ser;4
seri;4
serie;4
pos;86
series;4
seriess;4
pre;4
seriessu;4
pres;4
seriessub;45
prese;4
presen;4
present;8
co;5
com;57
a3;8
transcription;4
swsub;11
a5;4
synchro;7
golgi;4
malikay;3
loky;8
a1;4
traduction;7
jaïna;7
ted10;5
a7;4
relecture;7
misslestat;1
linwelin;6
saison;24
épisode;26
prophet;1
prophète;2
histoire;39
commencement;1
chaque;43
vie;172
sens;89
être;688
potentiel;14
connaissais;8
ni;27
début;26
mon;457
avant;136
rencontrer;31
mois;33
longtemps;35
attendu;3
tellement;50
dire;426
veux;572
répondrai;3
toutes;84
tes;141
du;464
moins;93
celles;10
dont;62
aurai;27
réponse;24
sentes;4
faim;14
boire;13
après;121
voyage;11
essaie;57
quoi;549
truc;72
pouvoir;46
dois;284
juste;311
