Mot;Occurrence
my;1336
birth;13
was;1242
unconventional;1
at;630
best;99
first;189
memory;58
waking;3
up;604
in;1645
the;4969
forest;2
like;893
a;5114
newborn;1
baby;27
i;14023
had;403
no;1024
idea;85
who;417
or;311
what;2038
happening;35
eyes;33
weren;36
t;4442
sure;252
they;678
were;366
seeing;42
every;102
sight;5
sound;44
and;2566
feeling;65
unfamiliar;2
species;5
is;1594
born;21
with;1210
instincts;10
that;2783
ultimately;1
create;11
balance;11
nature;16
except;34
one;548
into;194
synch;2
by;250
miniben314;34
www;99
forom;34
com;131
subtitles;6
thank;139
to;5258
raceman;2
for;1377
his;350
transcript;31
came;83
across;9
beast;2
two;206
voices;5
thankful;2
have;1360
found;99
companion;1
comon;1
sweetie;10
freak;17
show;77
s;4918
over;237
kid;33
your;1168
name;60
are;999
you;8688
soon;45
taken;23
new;150
place;140
fences;1
sad;9
faces;3
note;14
self;17
be;1298
erect;1
half;37
past;66
strong;19
proud;8
lori;447
getting;102
declan;318
let;367
all;888
breakfast;13
together;106
change;57
m;2243
making;64
pancakes;18
think;690
ve;613
slept;13
long;118
enough;85
phone;42
ringing;3
whew;2
we;1686
uh;131
didn;406
get;755
finish;22
started;45
need;473
out;852
of;1907
here;770
later;89
trager;311
lou;11
re;1448
not;1337
disturbing;7
me;2782
going;315
on;2302
got;386
someone;151
know;1380
want;644
meet;65
showed;14
this;1336
morning;62
he;1392
right;589
alley;2
other;167
words;29
else;122
wants;81
treat;12
him;706
it;3961
nobody;22
knows;65
where;314
from;382
exactly;75
but;1249
seems;37
sharp;3
look;298
gotta;68
see;402
yourself;101
ll;803
stop;118
tomorrow;67
lo;2
um;45
afternoon;14
okay;433
way;334
ah;54
alive;27
bite;6
thanks;120
job;85
shut;21
dweeb;1
happened;158
mike;3
suby;4
old;56
news;30
her;867
flavor;2
month;17
week;63
miss;61
skanky;1
case;38
knock;14
off;194
so;1039
guy;147
just;1215
friend;92
having;84
party;80
can;1325
take;277
car;154
sorry;271
guys;118
go;649
bit;28
daniels;3
called;63
nicole;203
sunday;7
urgent;4
sounds;55
really;432
special;63
always;142
do;1230
save;33
some;298
yeah;384
roll;5
man;167
reason;48
more;315
people;248
saw;113
alone;64
felt;61
yo;20
juice;6
down;181
sup;2
everyone;119
taking;49
stupid;33
pills;2
around;147
most;68
our;288
time;434
spent;32
trying;132
lessen;1
pains;1
life;187
about;996
learn;34
how;746
quash;1
hunger;2
something;436
punk;3
gonna;377
fist;1
if;734
don;1279
quit;14
eyeballing;1
kick;15
ass;38
cool;102
skeeter;2
understand;122
word;37
say;240
ain;5
dissin;1
ight;1
keeps;13
staring;11
fear;8
person;89
reminded;4
snake;3
woods;41
before;174
struck;4
glad;53
familiar;10
face;46
pressure;20
below;2
waist;1
bothering;3
come;367
put;128
hands;33
em;24
tough;12
boy;76
wanted;174
game;74
pain;19
belly;16
intense;12
hey;238
barely;8
noticed;16
discomfort;1
because;231
inside;64
flipped;2
began;9
feel;221
wonderful;10
great;188
rec;2
privileges;1
now;558
everybody;33
coming;97
does;157
paperwork;2
says;38
john;2
doe;2
