Mot;Occurrence
take;376
them;584
down;127
kahlan;381
shoot;13
her;879
hold;46
on;708
dennee;30
stay;135
with;925
me;1861
we;2046
re;940
almost;47
there;788
it;2715
the;8451
book;147
find;467
him;1000
this;1180
is;1739
more;330
important;67
than;262
you;7523
know;753
that;1956
please;149
may;196
spirits;82
protect;123
little;125
sister;149
go;435
ve;608
reached;8
boundary;92
confessor;359
nowhere;6
else;94
to;5732
run;81
steady;3
boy;117
she;797
s;3021
got;132
magic;341
ride;20
garrison;12
at;446
kaldrith;4
send;81
word;61
lord;358
rahl;789
has;448
broken;27
through;145
yes;210
sir;59
three;91
are;1029
coming;69
but;1184
sync;42
michvanilly;2
kasius;11
hi;5
richard;712
jared;2
just;483
in;1619
time;359
for;1379
what;1459
can;1260
be;1323
first;189
cross;23
or;223
all;853
way;425
north;19
bridge;18
will;1023
save;123
two;136
hours;14
walk;29
don;808
t;2394
worry;37
safe;95
not;959
scared;22
lanie;4
of;3082
course;78
smart;9
cow;5
never;307
a;2846
hasn;24
been;386
tested;2
come;321
anything;149
about;395
thanks;16
my;1391
best;39
your;1407
father;253
flynn;23
hungry;19
yeah;19
too;239
back;470
leave;136
alone;71
making;28
mistake;23
girl;63
dangerous;34
four;22
men;215
against;106
one;624
woman;128
i;7651
think;308
danger;24
understand;79
talking;73
and;2556
fight;156
so;643
home;84
m;871
going;398
anywhere;40
easy;43
do;994
let;322
grasp;8
over;140
these;199
why;409
were;431
they;851
trying;86
kill;435
hand;70
bleeding;6
dress;11
wound;4
did;465
something;216
wrong;97
used;94
people;350
touching;5
sorry;157
right;398
have;1590
where;473
someone;112
need;376
who;527
maybe;226
help;283
care;54
myself;63
chasing;6
always;119
ask;66
many;125
questions;8
saved;43
life;265
least;56
could;457
tell;374
happened;103
actually;20
yours;54
when;483
touched;4
man;262
want;359
try;103
follow;64
ll;893
out;440
drop;22
weapons;41
said;136
whose;19
authority;12
councilor;17
guards;37
which;94
would;586
now;568
here;628
guard;22
he;1596
ruler;7
province;12
then;430
story;45
name;98
ranssyn;6
fane;58
commander;26
d;618
haran;81
forces;20
hara;47
from;553
midlands;90
other;149
fairy;7
tales;8
us;629
forgive;52
our;399
skepticism;2
no;787
crossed;8
hundreds;15
years;152
since;68
went;62
up;268
done;120
pursuing;6
found;112
followed;11
killed;192
how;549
witch;36
shar;14
finished;22
beat;14
moves;4
dad;22
get;634
bloodbath;2
eat;21
son;120
powerful;93
possibly;17
imagine;36
into;225
territory;7
had;293
side;73
was;1072
wearing;7
recognize;6
belongs;14
brother;144
poison;17
vine;5
seen;77
before;259
glowing;8
thing;100
attacked;26
wasn;87
possible;40
because;224
fool;32
day;140
love;189
guy;2
fell;14
off;120
cliff;9
michael;21
chase;36
blackthorn;4
hill;11
zedd;403
crazy;11
old;136
explain;14
everything;109
talks;5
his;637
chickens;4
sent;73
meet;44
as;644
soon;88
haven;56
breakfast;11
any;192
idea;42
might;96
gone;76
morning;30
gonna;119
work;107
new;96
sure;160
didn;245
during;14
while;69
gathering;6
firewood;4
left;113
house;43
if;1109
trouble;38
different;18
trail;32
better;110
still;161
frightened;11
worse;31
mean;69
power;178
put;115
under;67
control;59
does;108
talk;37
some;185
sense;21
should;205
case;15
goes;28
badly;8
post;5
outside;42
rest;72
south;37
quick;13
believe;159
stranger;2
things;85
without;123
thinking;52
protected;18
make;247
doesn;109
hurt;87
responsibility;4
town;59
involved;5
comes;29
bring;119
really;88
bad;34
omen;2
clara;9
shape;6
horn;4
far;73
east;26
betting;2
month;10
suppers;2
good;185
sun;17
supper;4
wizard;274
deaf;5
peach;2
naked;5
baby;31
bird;9
say;185
asked;42
great;104
zeddicus;75
zu;19
l;19
zorander;33
assistance;3
confused;3
somebody;32
confusion;4
finding;24
lasted;3
nice;21
quiet;12
couple;7
decades;4
seeker;839
fever;10
enough;164
wanted;85
standards;5
fine;59
by;396
yourself;87
another;111
told;156
supposed;34
train;16
prepare;8
doing;122
last;126
letting;15
catch;44
worms;7
steal;33
apples;6
skin;16
knees;7
makes;42
heart;68
faster;25
gave;78
hands;79
catching;4
knew;118
dirt;3
nails;6
getting;67
dirty;4
ever;149
occur;3
give;214
slightest;8
inkling;3
true;129
thousand;38
destiny;32
decide;16
prophecy;121
damned;7
averted;12
brought;71
until;106
opened;10
door;32
ladies;9
gentlemen;7
matter;53
darken;246
growing;17
