Mot,Occurrence
i,10466
you,7323
the,6796
a,6055
s,4953
to,4256
de,4177
est,3952
on,3801
je,3578
it,3418
le,3215
vous,2888
t,2880
pas,2844
that,2813
un,2593
la,2571
c,2466
and,2342
we,2335
il,2187
of,2183
les,2166
l,2121
à,2118
what,2064
m,2036
in,2004
et,1983
tu,1966
me,1964
this,1962
is,1945
que,1916
ça,1810
d,1755
en,1596
j,1592
no,1515
une,1481
he,1472
pour,1446
ce,1340
re,1331
for,1327
all,1297
des,1296
ne,1268
do,1264
ai,1230
know,1198
have,1183
your,1168
right,1161
just,1131
they,1119
not,1101
qu,1076
my,1054
are,1052
can,1026
don,1005
n,991
get,957
here,953
with,930
got,919
was,915
yeah,913
out,884
y,876
dans,850
be,848
so,848
there,833
as,819
ils,809
gonna,806
but,804
moi,796
qui,786
now,783
du,750
go,747
up,745
quoi,725
bien,719
mais,706
like,660
va,652
avec,632
nous,628
fait,626
she,622
elle,621
tout,618
là,612
si,612
how,595
plus,594
him,591
one,578
about,575
au,559
sur,558
mon,555
okay,552
at,550
his,547
suis,544
parker,534
faire,531
well,526
ll,521
if,519
non,509
want,507
an,492
nate,486
oh,484
good,473
who,469
come,468
let,466
from,456
votre,452
need,445
think,444
son,439
man,435
ve,433
oui,431
see,428
her,421
était,420
hardison,414
être,413
se,411
sont,410
ici,410
did,410
comme,393
sais,391
money,389
us,385
où,375
te,373
time,369
look,363
them,362
comment,361
lui,359
eliot,358
take,358
peut,354
avez,350
guys,347
back,346
why,345
sophie,339
toi,336
argent,335
where,329
when,326
mr,322
down,322
ma,317
bon,317
yes,316
way,315
make,310
dit,310
our,308
uh,307
peux,300
rien,298
merci,297
people,296
tell,295
ont,294
will,294
some,293
little,286
could,284
would,282
veux,280
cette,279
par,275
off,275
quand,271
mean,270
juste,268
pourquoi,265
or,265
allez,264
hey,262
going,260
something,258
say,258
these,256
has,256
es,256
tous,255
really,254
had,254
were,250
then,243
êtes,243
vais,243
didn,243
guy,242
très,242
car,240
ces,238
two,236
work,235
call,235
sorry,232
même,232
fais,231
more,230
doing,230
dire,229
give,229
thank,226
deux,226
alors,225
ford,225
listen,222
by,220
thing,219
ou,216
vraiment,214
into,211
maintenant,206
wait,205
only,205
find,205
ton,205
been,205
sûr,202
doit,200
never,200
very,199
help,198
over,197
avoir,197
font,197
sure,196
police,196
any,193
jamais,191
faut,190
said,184
their,184
job,183
peu,183
sa,183
dois,182
voir,182
first,182
too,179
plan,178
notre,174
temps,173
even,172
chose,172
am,171
accord,170
please,169
leur,168
because,168
should,168
ses,167
été,165
besoin,164
put,164
minutes,163
those,160
bad,158
vos,158
anything,157
aux,156
company,155
fois,154
mes,152
last,152
much,151
show,151
does,150
still,150
before,150
talk,147
place,147
gens,147
autre,146
encore,145
new,144
avant,143
personne,143
aussi,142
quelqu,141
voilà,139
veut,137
dr,137
gars,136
years,135
away,135
part,135
hell,135
mine,135
doesn,133
room,132
déjà,131
name,131
fbi,130
day,130
monde,129
quelque,129
security,129
course,129
other,129
désolé,129
maybe,129
sans,129
business,129
every,128
great,128
après,128
donc,128
ta,127
faites,126
prison,126
ans,126
fine,124
vu,124
lot,124
three,124
aller,123
truc,123
than,122
keep,122
enough,122
toujours,122
père,122
big,122
eu,122
voiture,121
better,119
nothing,119
étais,119
problème,118
vas,118
stop,117
sterling,117
dis,117
made,116
after,115
problem,114
cause,114
crois,114
thought,113
around,113
run,113
parler,112
everything,112
sécurité,112
savez,110
check,110
millions,110
trop,110
avait,110
trying,110
move,109
long,109
sera,109
office,108
air,108
reste,107
depuis,106
again,106
prendre,106
um,106
huh,106
vrai,106
real,106
maggie,105
through,105
sir,105
aime,105
nice,104
passe,103
done,103
bank,103
next,102
mal,102
found,102
told,102
vois,102
someone,102
homme,101
appelle,101
same,100
autres,99
voulez,99
coming,98
phone,98
avais,98
getting,98
steal,98
type,97
cet,97
took,97
excuse,97
trouvé,97
play,96
beaucoup,96
bureau,95
coup,95
kind,94
thanks,94
équipe,94
mieux,94
isn,93
chance,93
kill,93
deal,93
use,93
meet,92
own,92
which,92
million,92
talking,92
o,92
pense,92
hello,92
five,91
arrive,91
sortir,90
nom,90
god,90
sous,90
hold,90
sait,89
minute,89
actually,89
second,89
écoute,89
things,88
viens,88
aider,88
best,87
trouver,87
wrong,87
care,87
savoir,86
pay,86
somebody,86
bonne,86
aide,86
attends,86
nos,85
coffre,84
mark,84
believe,84
ever,84
parle,83
écoutez,83
kimball,83
exactly,83
being,83
ago,82
cash,82
working,82
already,82
old,82
stay,82
must,82
went,82
wanted,82
looking,81
allons,81
femme,80
société,80
color,80
vont,80
school,79
mois,79
remember,79
affaires,79
called,78
quel,78
moment,78
week,78
voici,78
vie,77
hard,77
case,77
six,77
high,77
pretty,77
state,76
door,76
tuer,76
father,76
nobody,76
grand,76
under,76
banque,76
bring,76
bar,76
e,76
moins,76
home,76
life,75
understand,75
devrait,75
pris,75
supposed,75
love,75
damn,75
left,74
trust,74
hit,74
else,74
dieu,74
boulot,74
bit,74
b,74
veulent,73
boston,73
looks,73
house,73
system,73
question,73
vient,73
team,73
laisse,72
hoffman,72
voler,72
www,72
passé,71
try,71
clear,71
used,70
world,70
happened,70
idea,70
cops,70
jimmy,70
puis,70
parce,70
chez,70
foss,70
serait,69
mec,69
means,69
lost,69
trois,69
wouldn,69
heard,69
mort,69
hear,69
quelques,69
control,68
aurais,68
assez,68
wasn,68
set,68
worth,68
always,68
porte,68
gets,68
aucun,68
dû,67
bas,67
head,67
donne,67
break,67
secret,67
petit,67
excusez,67
van,66
regarde,66
safe,66
ok,66
end,66
story,66
start,66
family,66
monica,66
volé,65
combien,65
pouvez,65
soit,65
everybody,64
game,64
while,64
pu,64
open,64
david,64
ffff00,64
today,64
fils,63
gone,63
celui,63
confiance,63
toute,63
monsieur,63
ready,63
eux,63
attendez,63
entre,63
toutes,63
tes,62
jouer,62
raison,62
seul,62
demain,62
chaque,62
buy,62
jour,62
cool,62
tomorrow,61
ask,61
dead,61
aurait,61
maison,61
nathan,61
months,61
compris,61
flics,61
ville,60
pardon,60
code,60
year,60
whoa,60
baby,60
government,60
another,60
tara,60
attention,59
feel,59
couple,59
famille,59
seule,59
téléphone,59
travail,59
compte,59
histoire,59
number,59
venez,59
affaire,59
leurs,59
yourself,58
garde,58
dollars,58
dad,58
fowler,58
probably,58
agent,58
voulais,58
once,58
few,58
won,58
knows,58
con,58
crime,57
heure,57
point,57
floor,57
friends,57
accident,57
kirkwood,57
knew,57
plaît,57
whole,57
cameras,57
enfin,57
super,56
kadjic,56
prends,56
endroit,56
ah,56
vite,56
front,56
moscone,56
news,55
hunter,55
partir,55
système,55
salle,55
client,55
crew,55
brother,55
dernier,55
parfait,55
cut,55
hours,55
connais,54
impossible,54
pendant,54
u,54
kerrity,54
alexander,54
running,54
main,54
wants,54
might,54
together,54
passer,54
truth,54
everyone,54
miss,53
town,53
train,53
ain,53
without,53
amis,53
perdu,53
until,53
occupe,53
face,53
miracle,53
gros,53
sent,52
payer,52
goes,52
arrête,52
days,52
leave,52
saw,52
parti,52
bonanno,52
caméras,52
came,52
guess,52
jours,52
shut,52
contre,51
travaille,51
seconds,51
choses,51
night,51
pourrait,51
both,51
laissez,51
horse,50
trouve,50
building,50
happen,50
outside,50
marché,50
mayor,50
mère,50
ex,50
many,50
moto,50
irina,50
sort,49
jusqu,49
net,49
whitman,49
perfect,49
stuff,49
service,49
quint,49
idée,49
hommes,49
price,49
whatever,49
signal,49
état,49
meeting,49
entrer,48
vol,48
prêt,48
inside,48
venir,48
blackwell,48
importe,48
friend,48
avons,48
dur,48
says,48
saying,48
hurley,48
tête,48
appel,48
gibson,48
demande,48
cinq,48
questions,47
donné,47
contrôle,47
heures,47
vault,47
genre,47
mettre,47
insurance,47
thinking,47
mind,47
doyle,47
comprends,47
dirait,47
kid,47
dernière,47
désolée,47
base,46
local,46
woman,46
regardez,46
hmm,46
jack,46
peur,46
tried,45
widmark,45
quelle,45
jeu,45
close,45
drink,45
dites,45
aura,45
men,45
partie,45
sens,45
duberman,45
boy,45
appelé,45
may,45
nouveau,45
wells,45
side,45
public,45
easy,45
appeler,45
fini,45
couldn,44
rucker,44
ira,44
pick,44
line,44
gloria,44
steranko,44
fille,44
eddie,44
drake,44
semaine,44
hands,44
bomb,44
tant,44
clean,44
savais,44
devrais,44
h,43
seen,43
aucune,43
myself,43
paid,43
pays,43
pouvoir,43
motion,43
four,43
tomber,43
sérieux,43
secondes,43
taking,43
frère,43
tard,43
faux,43
anyone,43
meilleur,43
côté,43
works,43
box,43
live,43
simple,42
walk,42
sometimes,42
prend,42
aren,42
clients,42
girl,42
making,42
computer,42
stolen,42
city,42
blanchard,42
club,42
most,42
maire,42
marche,42
wife,42
haldeman,42
exactement,42
diamonds,42
thief,42
vers,42
juge,41
mis,41
times,41
dès,41
hi,41
leverage,41
seriously,41
law,41
bordel,41
gave,41
court,41
entendu,41
records,41
rand,41
honor,41
fake,41
turn,41
génial,41
devez,41
account,41
cheval,41
dont,40
em,40
started,40
parfois,40
such,40
alarm,40
rest,40
pull,40
makes,40
jury,40
ensemble,40
rich,40
dessus,40
