Mot;Occurrence
la;2567
navette;2
pour;1445
l;2104
aéroport;10
part;87
dans;850
minutes;78
i;2564
nathan;31
ford;106
ancien;9
enquêteur;3
d;1448
assurances;10
excusez;67
moi;795
m;786
je;3578
sais;391
qui;786
vous;2887
êtes;243
j;1581
ai;1230
tout;618
lu;15
sur;558
par;275
exemple;14
que;1914
quand;271
avez;350
retrouvé;8
ce;1340
monet;3
volé;65
à;2118
florence;6
votre;452
compagnie;37
a;2014
économisé;2
quoi;725
millions;90
et;1977
avec;631
usurpation;2
identité;9
leur;168
fait;626
économiser;4
ne;1265
pas;2842
combien;65
mais;706
eu;122
besoin;164
eux;63
est;3948
arrivé;30
famille;59
savez;110
le;3213
moment;56
où;375
vais;243
casser;6
gueule;5
il;2186
va;652
tarder;2
arriver;38
un;2591
travail;59
lequel;15
y;818
connaissez;21
conception;1
avions;5
peux;300
essayer;26
si;607
me;511
donnez;35
crayon;1
une;1481
règle;10
on;2255
certains;20
de;4170
mes;152
plans;24
vois;102
voulez;99
les;2166
retrouve;14
non;502
ils;809
sont;410
veux;280
voliez;1
borderline;21
crew;21
the;35
nigerian;1
job;43
traduction;2
préair;1
till;1
relecture;1
resynchro;1
dmbmh;1
h0n0lulu;1
john117;1
kaddrik;1
milonga;1
www;15
u;22
sub;16
net;21
bon;315
épisode;17
sûr;202
c;2419
pearson;15
ingénieurs;1
ont;294
disparu;15
même;232
dossiers;28
semaine;44
après;128
annonce;5
projet;30
identique;2
voler;72
nouveau;45
prendre;106
des;1296
risques;8
stupides;3
autres;99
moyens;9
fin;35
du;750
mois;79
réunion;23
majeure;2
actionnaires;11
englouti;3
ans;126
devrais;44
aller;123
mains;33
vides;5
cas;36
suis;544
homme;101
mort;69
écoutez;83
sérieux;43
voilà;139
gens;147
déjà;131
engagés;2
reconnaissez;1
ces;238
noms;23
oui;430
tous;255
poursuivis;1
ou;215
parker;214
mieux;94
qu;1076
elle;621
folle;8
ça;1810
voleur;38
en;1594
faut;190
honnête;21
surveiller;9
marchera;10
vos;158
recrues;1
toutes;63
réputation;12
elles;36
travaillent;8
toujours;122
seules;4
crois;114
acceptent;1
chacun;15
accepteront;1
faire;531
diriger;5
double;16
déclaré;4
au;559
noir;16
regardez;46
désespéré;3
n;979
salaire;7
prime;6
assuré;17
chez;70
iys;5
anciens;9
employeurs;2
police;104
couvrant;2
propriété;6
intellectuelle;1
baiser;5
employeur;2
laissé;21
mourir;27
fils;63
communications;3
établies;1
bordel;41
cet;97
équipement;7
pourri;13
date;10
années;38
bien;719
fais;231
depuis;106
lycée;31
roi;11
discipline;2
directement;10
chambre;19
vu;124
était;420
carte;32
crédit;7
correspondait;1
enfoncez;1
ressemble;17
mick;1
jagger;1
cherchez;9
oreillettes;7
conduction;1
osseuse;1
transmet;3
vibrations;6
mâchoire;1
tu;1964
entendre;16
t;659
es;256
aussi;142
inutile;13
eliot;157
spencer;10
récupérateur;1
belgrade;7
serbie;6
trois;69
plus;576
tôt;18
viens;88
récupérer;30
marchandise;11
avoir;197
toute;63
boîte;34
feras;4
verra;19
vis;11
ta;127
mère;50
ère;3
geeks;4
chéri;8
dirige;8
monde;129
dis;117
évasion;10
infiltration;2
voleuse;10
croyais;29
trouverais;2
lapin;12
tant;44
écouteras;1
sois;28
brave;2
fille;44
peut;354
être;413
meilleure;23
dernière;47
fois;154
mis;41
costume;12
paris;17
craint;6
rien;298
as;505
toile;12
caravaggio;2
absolument;27
souffrir;2
nausées;1
paralysies;1
côté;43
droit;34
attaques;1
évanouissements;1
pourquoi;265
travaille;51
seul;62
allez;264
mon;555
signal;24
avant;143
solo;4
inquiète;18
sait;88
parti;52
cinq;48
quatre;31
risque;10
s;515
lancée;2
petit;66
bout;13
femme;80
complètement;10
taré;2
détecteurs;18
allumés;1
coupe;15
utilise;33
spray;1
gars;136
arrivent;12
sécurité;112
feu;21
portes;18
ouvertes;1
place;45
spectacle;13
entends;23
quelque;129
chose;170
leurs;59
fréquences;3
registre;10
salle;55
garde;57
ici;409
peine;19
comment;360
suffit;23
compter;9
têtes;3
bête;3
problème;118
branche;5
caméras;52
code;27
chiffres;13
remercie;6
monsieur;63
avancé;4
ronde;4
cause;27
championnat;2
font;69
h;33
rater;4
cage;6
escalier;4
entrée;27
effraction;4
préviens;4
radio;9
vite;55
réduire;5
silence;16
nettoies;4
zone;9
hardison;175
comme;393
appât;9
hé;10
attends;85
personne;143
bébé;30
central;7
entendez;9
seront;23
bientôt;17
là;612
laisse;72
tomber;43
bouge;27
répondre;7
parce;70
ignore;19
se;410
passe;103
vide;27
disques;4
sauvegardes;1
lâche;9
programme;11
collé;2
virus;7
seulement;38
gardes;22
assommés;1
rebranché;1
alarmes;11
étages;8
dessus;40
nous;628
monter;19
soi;8
mec;69
vas;118
sortie;31
plan;88
aimez;11
jouer;62
ensemble;40
devez;41
tenir;15
coup;91
encore;145
ascenseur;22
descendez;6
brûlure;1
b;41
techniquement;5
serait;69
plutôt;39
g;3
aurait;61
meurt;3
plaît;57
pensais;23
bloqué;6
ascenseurs;5
reste;107
tranquille;5
sympa;15
rapide;16
désolé;129
plaisantez;1
tom;17
aidez;17
marcher;13
hein;25
ouvrez;14
porte;68
pouvez;65
sortir;90
passer;54
nuit;32
peu;183
bande;12
passante;1
cette;279
connexion;5
wifi;6
envoyés;7
très;242
argent;335
sera;107
comptes;38
journée;28
remarqué;9
deviendra;2
habitude;24
oublié;16
assez;68
cool;18
maintenant;206
avoue;2
amusé;2
méchant;11
lieu;30
gentil;13
juste;268
baisé;1
jamais;191
reçu;25
vus;7
partir;55
avais;98
dit;310
pouvait;7
fier;6
confiance;63
étiez;19
gèle;1
paiements;3
aurez;19
centime;7
voir;182
éclaircir;2
venez;59
ma;288
vieil;7
aérodrome;1
dehors;38
ville;60
envoie;35
adresse;17
sms;2
heure;57
passés;7
te;373
crétin;4
toi;335
descendant;1
importe;48
fichiers;17
transporter;1
écarte;1
flingue;7
deux;226
côtés;4
détendu;1
pointe;4
cran;4
sûreté;4
raison;62
arme;28
aime;105
flingues;4
compte;59
triste;7
intérieur;20
endroit;56
dédie;1
colère;5
ok;40
venus;11
payés;16
sang;30
connais;54
transfert;13
fonds;34
mondialisation;1
devait;21
étais;118
censé;17
revoir;26
seule;59
laquelle;9
été;165
boules;3
moyen;23
avait;109
réunir;3
dise;5
serions;1
debout;4
aimes;14
hôpitaux;5
vraiment;214
temps;173
policiers;6
pompiers;3
arrivés;2
notre;174
réveil;3
hôpital;28
comté;4
locale;5
venue;8
explosion;16
pris;75
nos;85
empreintes;9
vérifient;4
baisés;1
min;9
fonction;3
logiciel;4
prises;6
sort;34
prison;72
accord;170
occupe;53
flics;61
tues;1
foirer;4
menottes;5
impossible;38
aux;156
toilettes;9
presse;20
trouve;50
téléphone;59
dont;38
capables;2
avons;48
avantage;6
type;85
