Mot,Occurrence
i,8777
you,7431
a,6064
the,5666
s,4742
to,4358
de,4295
est,4005
vous,3966
je,3893
pas,3129
le,3091
il,2954
t,2915
la,2908
that,2883
it,2768
que,2636
on,2498
un,2338
l,2250
he,2244
c,2228
and,2147
à,2121
me,1956
et,1949
tu,1895
of,1879
ne,1801
d,1694
what,1689
in,1669
ce,1656
m,1644
les,1616
is,1594
ça,1593
was,1576
we,1514
qu,1493
pour,1481
une,1475
n,1439
en,1395
ai,1381
this,1364
j,1360
your,1242
for,1233
elle,1214
she,1178
re,1175
know,1083
have,1045
no,1019
des,1016
not,1010
do,1000
my,982
right,975
with,968
him,895
qui,879
don,866
can,864
so,860
était,855
about,850
just,847
all,842
but,840
her,826
they,798
there,787
du,785
mais,784
are,776
as,769
be,767
avec,735
y,729
si,709
dans,704
non,694
avez,683
here,663
if,656
sur,656
fait,644
out,632
nous,632
at,626
moi,622
did,620
get,612
got,603
être,601
lightman,593
suis,590
one,584
yeah,584
ils,582
up,563
lui,561
dit,556
his,553
votre,553
how,545
bien,544
who,540
plus,535
au,532
son,512
tout,508
like,505
now,505
didn,502
quoi,487
là,487
when,477
well,475
see,469
were,463
ll,463
think,462
mon,457
tell,448
want,442
quand,442
why,440
go,435
from,427
faire,425
an,420
ve,408
going,393
pourquoi,389
se,384
sais,381
had,377
peut,373
dr,372
va,366
ici,362
dire,358
oh,356
look,352
rien,349
back,345
oui,343
been,342
let,340
could,339
or,339
ont,339
êtes,337
alors,336
us,334
sont,329
te,327
need,326
then,321
good,319
comme,318
été,312
chose,309
ma,307
gonna,307
où,305
peux,302
comment,302
sa,298
them,294
really,294
something,294
would,293
ou,288
time,285
where,282
toi,281
man,280
come,280
cal,272
vraiment,270
foster,268
veux,263
avoir,263
cette,259
take,257
never,253
say,252
juste,251
down,251
voir,250
any,249
people,249
vu,248
ok,245
avait,243
more,242
mean,240
parler,238
es,235
quelque,234
said,228
police,227
talk,226
some,226
par,225
ces,224
fille,223
quelqu,222
told,221
même,221
hey,217
autre,217
ouais,216
over,215
by,215
jamais,215
allez,213
fbi,212
off,210
avant,209
okay,206
way,205
truth,204
help,200
our,200
guy,199
ton,199
anything,197
ans,196
find,195
vérité,195
toujours,194
these,194
should,194
has,193
bon,192
before,191
make,189
because,189
besoin,184
doing,184
femme,183
nothing,182
call,182
pense,181
sorry,180
lie,178
uh,176
tous,175
maintenant,174
merci,174
doesn,172
eu,170
maybe,169
only,169
thing,168
étais,168
aussi,167
leur,166
homme,166
someone,165
into,165
will,164
two,164
personne,164
too,164
temps,163
sure,163
little,163
lying,162
vrai,162
