Mot;Occurrence
j;1341
ai;1381
conseillé;2
à;2121
mon;457
client;19
de;4292
garder;25
le;3091
silence;9
il;2954
ne;1801
parlera;7
pas;3129
c;2203
est;4004
bien;544
je;3893
fais;141
beaucoup;110
confiance;44
aux;124
mots;22
statistiquement;2
parlant;25
une;1475
personne;164
moyenne;2
dit;556
mensonges;41
dans;704
conversation;19
10mn;1
et;1947
entendu;66
ce;1656
sont;329
juste;251
des;1016
gens;128
normaux;3
nous;632
n;1434
avons;72
étudié;6
les;1616
qui;879
projettent;1
faire;425
sauter;13
église;8
afro;6
américaine;6
ça;1593
serait;44
différent;18
perte;6
temps;163
que;2635
scientifique;20
parle;66
type;47
l;2248
interrogé;8
pendant;76
h;11
en;1395
rien;349
tiré;39
fbi;108
sait;86
vous;3966
voulez;121
un;2335
maximum;3
morts;13
maintenant;174
atf;5
inspecte;2
chaque;57
cm;1
plus;523
grandes;6
églises;6
américaines;2
etat;5
fait;644
fausse;14
route;15
y;722
a;2636
problème;102
ces;224
peut;373
être;601
vouliez;21
petites;6
quartiers;1
américains;9
savez;153
quoi;487
parlez;58
taisez;3
si;708
commençait;1
par;224
southbridge;1
non;690
plaisante;2
passons;5
celle;40
là;487
concentrons;2
sur;656
lorton;5
tente;7
recherchez;4
cette;259
accusation;12
repose;2
dire;358
vient;57
d;1365
avouer;3
trouvé;88
bombe;79
artisanale;2
sous;91
sol;16
heure;43
tard;42
ami;72
moi;622
la;2896
défense;12
mec;48
accro;5
du;785
boulot;50
passé;119
près;27
ans;196
jungle;1
africaine;2
étudier;9
sourcils;20
tribus;1
primitives;1
observez;2
sa;298
réaction;12
après;155
ma;297
déclaration;7
voyez;56
son;406
visage;67
expression;28
furtive;1
joie;13
qu;1493
essayait;12
mieux;81
dissimuler;4
duré;1
moins;67
cinquième;1
seconde;30
appelons;6
microexpression;3
regardez;67
bouche;10
suspect;17
secrètement;3
satisfait;1
endroits;7
inspectons;1
me;547
cherchons;5
mauvais;33
lui;561
nos;66
nouvelles;12
pistes;6
haussement;4
épaules;8
unilatéral;2
classique;14
traduction;3
crois;101
absolument;22
dis;147
corps;42
contredit;2
ment;76
oui;343
quand;442
accusez;7
surpris;12
t;492
façon;43
savoir;133
s;552
sincère;6
ou;288
simule;4
réelle;14
surprise;22
elle;1214
dure;13
regarde;87
yeux;62
mais;784
semblant;8
cible;14
encore;124
mépris;35
dissimulé;1
astuce;1
personnelle;3
remarquez;1
votre;553
conjoint;1
mariage;36
arrive;72
fin;24
croyez;35
microexpressions;3
varient;1
autre;217
laissons;3
côté;49
regardons;8
enregistrement;11
kato;1
kaelin;2
procès;23
oj;1
simpson;1
mr;2
avez;683
touché;18
argent;110
pour;1479
apparition;2
affaire;66
current;1
énorme;9
honte;42
dédain;1
expressions;10
universelles;2
émotion;22
même;221
soyez;10
femme;183
au;530
foyer;7
auteur;6
attentat;6
suicide;23
vérité;195
écrite;3
visages;14
i;1460
the;6
lightman;270
group;4
cherchais;7
grand;41
jour;70
tu;1895
es;233
psy;12
suis;590
fort;17
affirmation;4
soi;4
te;327
pouvons;12
attendre;13
engager;8
quelqu;222
bon;192
verbalise;1
pourquoi;389
besoin;184
matin;32
eu;162
nouvelle;25
demande;35
dea;1
sécurité;51
intérieure;5
bureau;82
premier;31
ministre;5
ouzbekistan;1
appelé;62
ils;582
veulent;30
ayons;2
avec;735
leur;166
commissaire;1
police;122
rappeler;9
auront;4
constitution;1
vraie;30
voici;78
résultats;11
analyse;9
clignements;1
viens;56
arriver;21
loker;54
complètement;27
bourré;1
gueule;10
nuit;67
dernière;48
coloc;1
allongé;2
lit;16
demandais;1
quel;114
point;59
nancy;2
grace;2
était;855
coquine;1
essayais;10
décider;3
allais;22
venir;68
compte;25
parce;136
fantasmer;2
ici;362
prends;39
mal;98
femmes;76
mariées;2
cal;121
dr;175
maire;25
m;643
vois;111
importe;56
moment;67
remue;1
ménage;6
ministère;21
justice;19
propos;42
meurtre;71
enseignante;2
northwest;1
on;1353
mette;3
tout;508
suite;35
pudding;3
chocolat;5
manger;14
10h;1
mat;1
aiment;7
remercie;7
ainsi;13
foster;124
venus;16
brefs;1
délais;1
dossier;69
terrain;8
miné;1
notre;104
contrevenant;1
adolescent;2
membre;12
famille;109
témoins;6
jéhova;2
faudra;4
très;159
prudent;1
jours;66
james;52
cole;11
lycéen;1
jackson;16
high;3
assasiné;1
professeur;20
susan;19
mccartney;24
soit;115
allé;32
chez;125
mme;60
fracassé;2
crâne;3
table;32
basse;1
été;312
attrapé;10
agents;10
tandis;2
enfuyait;1
maison;68
détention;6
préventive;2
depuis;124
veut;126
exactement;35
trouver;64
procureurs;2
adjoints;1
hutchinson;1
estin;1
gamin;37
scène;14
crime;32
avait;243
motif;5
moyens;3
résisté;1
lors;15
arrestation;13
échoué;4
détecteur;17
monde;92
ceux;29
avoir;263
raison;83
milieu;10
idiots;5
procureur;25
juger;7
tant;45
adulte;5
doit;156
soutenir;6
envoi;1
prison;60
perpétuité;5
certain;6
agit;19
acte;5
prémédité;5
sang;69
froid;10
évaluez;1
ses;145
intentions;3
aurons;4
photos;27
rapport;48
autopsie;2
pensais;72
pouviez;8
mentait;13
regardant;7
ecoutez;17
déjà;119
raconté;4
ok;144
penses;46
étais;168
sorti;32
courir;3
pensé;30
fuyais;1
alors;336
ont;339
arrêté;24
équipe;42
athlétisme;1
ton;199
lycée;22
essai;6
quelle;55
ta;131
meilleure;33
course;8
année;27
sais;381
probablement;25
contre;63
jefferson;1
semaine;33
obstacle;1
110m;1
haies;2
tes;64
quadriceps;1
vont;36
suppose;28
concerne;6
où;305
as;461
sentais;3
retrouvée;4
morte;44
avant;209
jamais;215
pensait;19
devrais;62
refaire;7
sentait;4
avais;108
quelques;104
problèmes;26
camarades;7
classe;15
veux;263
redoubler;1
comment;299
senti;6
appris;13
prié;4
âme;3
peux;302
connaître;16
plans;4
dieu;64
tuée;28
saut;1
aurais;92
pu;113
plaît;67
donc;152
deviné;1
demandé;62
rompu;3
contact;23
visuel;4
se;382
souvenir;19
répondu;11
sincèrement;2
cherchait;7
plupart;14
évitent;1
regarder;30
mentent;16
mythe;1
souvent;17
regard;26
insistant;1
observer;8
voir;250
leurs;56
contenu;6
suggérerait;1
auparavant;4
question;67
réponse;32
répétition;3
rigide;1
comme;318
typique;8
mensonge;70
allez;213
quelque;234
chose;307
mort;104
vu;248
obliques;1
tristesse;18
cacherait;1
ressemble;24
culpabilité;23
possible;33
ait;53
voulu;14
tuer;90
excusez;41
accident;29
cédé;2
laissant;2
parler;238
faites;112
suppositions;1
fondées;1
réelles;2
preuves;18
personnellement;3
pense;181
blague;16
mascarade;3
droit;30
sourire;17
collègue;11
lancer;4
coup;48
oeil;24
rapide;6
détourner;2
relevant;1
menton;6
révélant;1
profond;5
embarrassement;1
ferai;26
supposition;1
extravagante;1
aventure;5
tous;175
recommencer;2
cause;34
reste;62
tourner;5
page;5
oh;127
gardez;9
vos;137
doigts;6
loin;36
nez;5
hommes;84
tissu;1
érectile;1
démangeaisons;1
cachent;5
arcadya;31
global;21
team;30
relecture;4
audrey;12
thirteen;12
synchro;13
aparistik;2
lie;13
to;13
episode;9
saison;14
principal;15
confronté;2
perdre;35
enseignant;3
ensuite;14
découvrir;19
étudiant;10
pourrait;74
responsable;22
comprends;57
nouveau;35
parents;45
avaient;24
scolarisé;1
préparé;9
académiquement;1
difficultés;5
sociales;1
exprimé;2
sentiments;15
envers;16
