Mot;Occurrence
i;7317
the;5660
following;11
ve;408
instructed;1
my;982
client;34
to;4345
remain;4
silent;4
he;2244
s;4190
not;1010
gonna;307
talk;226
that;2883
okay;206
don;856
t;2423
have;1045
much;122
faith;6
in;1667
words;25
myself;24
statistically;2
speaking;27
average;5
person;85
tells;26
three;62
lies;33
per;5
ten;25
minutes;58
conversation;19
and;2145
granted;5
it;2766
just;847
regular;3
people;249
we;1514
haven;57
studied;6
who;540
are;776
planning;9
firebomb;1
a;3428
black;30
church;10
could;339
skew;1
differently;2
time;284
for;1233
this;1364
scientist;15
guy;199
went;117
at;626
him;895
four;32
hours;55
got;603
nothing;182
now;505
fbi;104
knows;55
you;7431
want;442
mass;2
casualties;3
so;860
right;975
atf;5
is;1593
searching;7
every;123
inch;3
of;1878
two;164
largest;2
churches;6
state;30
wrong;86
well;475
there;787
shocker;2
one;584
those;132
maybe;169
smaller;4
suburbs;1
know;1083
what;1689
re;1174
talking;114
about;850
respond;6
do;999
say;252
starts;8
with;968
southbridge;1
no;1018
m;1001
only;169
kidding;7
ll;463
skip;4
focus;14
on;1145
lorton;5
feel;86
good;319
going;393
after;138
accusation;3
has;193
basis;4
mean;240
told;221
me;1409
found;129
pipe;2
bomb;81
basement;3
an;398
hour;32
later;38
dod;2
friend;91
mine;34
said;228
total;7
nutjob;1
heard;70
spent;24
like;505
years;151
african;3
jungle;1
some;226
primitive;1
tribe;2
studying;5
their;161
eyebrows;15
watch;49
his;553
reaction;8
statement;8
saw;159
was;1576
brief;2
expression;26
happiness;5
face;99
which;122
trying;134
best;99
conceal;2
lasted;2
less;20
than;147
fifth;3
second;62
call;181
microexpression;4
look;352
mouth;17
suspect;19
secretly;4
happy;46
locations;2
tell;448
our;200
new;68
plan;24
classic;13
sided;1
shrug;7
translation;1
absolutely;31
confidence;10
body;38
contradts;1
lying;162
yeah;583
when;477
accuse;5
acts;1
surprised;15
way;205
if;656
real;95
or;335
innocent;44
surprise;21
lasts;2
comes;32
across;15
your;1242
but;836
more;242
faking;8
out;631
target;14
actually;64
again;122
concealed;7
scorn;5
personal;27
tip;6
see;469
spouse;3
marriage;17
coming;70
end;40
trust;49
these;194
microexpressions;4
vary;1
depending;1
let;340
leave;73
up;563
go;435
kato;1
kaelin;2
footage;25
from;427
oj;1
trial;15
mr;141
lot;106
money;119
appearance;2
oncurrent;1
affair;26
didn;502
um;44
huge;9
shame;35
contempt;32
expressions;5
universal;5
emotion;27
looks;45
same;98
whether;12
suburban;1
housewife;1
suicide;32
bomber;15
truth;202
written;9
all;842
faces;19
lightman;323
group;42
man;276
looking;100
today;56
day;133
shrink;10
big;64
self;17
affirmation;2
telling;139
cannot;12
wait;75
another;98
hire;14
someone;165
use;45
why;440
need;326
request;5
morning;35
dea;2
homeland;5
security;32
prime;8
minister;1
office;87
uzbekistan;1
called;91
they;798
us;332
give;143
senior;3
police;105
back;344
constitution;1
here;663
analysis;11
blinking;1
experiment;4
getting;86
loker;64
piss;1
drunk;17
last;139
night;130
roommate;2
bed;15
thinking;47
how;545
nasty;2
hot;18
nancy;2
grace;2
decide;5
come;280
cause;109
anyone;78
fantasize;2
offense;5
taken;26
married;27
women;61
cal;151
dr;197
mayor;24
course;45
any;249
blowup;1
justice;15
department;38
high;34
school;81
teacher;28
killed;142
northwest;3
wants;65
away;122
since;46
chocolate;5
pudding;3
eats;1
thanks;85
foster;144
short;15
notice;12
case;149
land;2
juvenile;2
offender;1
family;109
devout;3
jehovah;2
witnesses;6
gotta;39
be;767
careful;13
ago;125
james;54
cole;10
year;76
old;107
student;19
jackson;17
murdered;29
susan;19
mccartney;25
into;165
mrs;38
house;85
smashed;1
her;826
head;60
glass;9
coffee;12
table;36
then;321
caught;23
fleeing;1
by;215
patrolmen;1
been;342
custody;15
ever;84
exactly;47
does;132
find;195
murder;86
assistant;11
attorneys;1
hutchinson;1
estin;1
kid;88
scene;15
crime;30
had;377
motive;8
means;49
resisted;1
arrest;28
failed;7
polygraph;17
test;37
guess;56
somebody;73
idiots;2
middle;12
attorney;13
try;78
as;308
adult;6
support;15
sending;6
prison;33
rest;29
life;110
certain;16
premeditated;3
cold;14
blooded;3
provide;4
independent;1
assessment;2
intent;11
photos;9
autopsy;2
report;36
thought;133
them;294
question;68
never;253
simply;4
ifsomeone;1
already;66
everything;109
think;462
run;68
running;39
arrested;16
made;127
track;16
team;38
tmakeit;1
tryouts;1
race;10
probably;52
against;33
jefferson;1
week;37
ran;28
hurdles;4
meters;1
d;329
quads;1
during;21
were;463
felt;23
fine;64
ms;46
dead;101
home;122
before;191
should;194
held;12
because;189
she;1178
having;57
problems;9
classmates;2
get;612
prayed;3
soul;5
can;864
god;79
kill;148
please;114
sense;18
asked;66
broke;25
