Mot,Occurrence
you,6747
i,6166
a,5998
vous,4306
the,4198
de,3942
est,3708
s,3576
to,3486
je,3371
pas,3020
that,2990
il,2937
it,2721
on,2714
t,2628
le,2530
que,2523
un,2351
la,2294
c,2208
l,2129
he,2049
à,1976
and,1916
et,1879
me,1799
d,1666
ça,1650
of,1640
was,1620
in,1614
what,1603
ce,1514
we,1454
is,1412
les,1383
en,1361
j,1338
qu,1332
m,1300
ne,1262
une,1251
pour,1202
tu,1190
ai,1180
know,1166
n,1114
for,1111
not,1056
no,1034
do,1018
des,1012
elle,993
this,990
qui,953
your,952
re,895
there,890
my,887
mais,877
she,875
have,865
but,852
était,824
with,819
y,805
they,792
non,791
don,781
here,763
him,763
just,762
like,750
dans,745
did,736
about,719
là,691
be,686
can,685
avez,679
all,674
avec,669
si,667
her,663
crews,663
out,661
fait,645
are,636
oui,635
his,624
so,614
get,611
du,611
être,603
yeah,596
moi,596
dit,595
one,581
ils,580
quoi,577
if,562
sur,553
got,549
want,540
up,538
votre,524
son,511
why,505
go,501
were,500
suis,492
as,491
nous,489
how,488
right,483
mon,479
who,478
at,477
pourquoi,469
think,467
lui,467
reese,465
où,459
when,457
didn,455
tout,455
now,453
charlie,452
where,439
comme,435
okay,435
au,430
oh,429
quand,426
bien,418
would,415
plus,414
peut,410
back,393
êtes,374
well,374
cette,372
see,367
se,362
gonna,359
faire,356
from,351
dire,346
sais,345
ici,339
something,338
us,333
va,331
tell,326
sont,323
ont,322
said,322
avait,317
ll,312
then,307
had,302
detective,300
an,300
need,298
because,298
comment,295
them,294
chose,294
veux,285
car,285
come,280
vu,280
ces,276
time,273
prison,272
ok,271
some,268
donc,268
inspecteur,266
sa,264
say,263
let,262
aussi,262
or,258
maybe,257
ma,255
rien,250
juste,249
look,246
ve,245
tué,245
mort,245
been,244
killed,243
font,242
could,241
take,240
autre,240
quelqu,239
too,238
good,238
two,236
ou,233
those,231
été,231
quelque,230
find,230
tous,229
dead,229
par,228
roman,226
avoir,226
jamais,223
te,219
yes,219
john,215
peux,215
talk,214
people,214
never,212
vraiment,211
money,210
ted,207
uh,205
down,204
going,203
voulez,203
guy,201
savez,200
man,197
deux,193
parce,192
someone,191
really,189
voir,188
même,187
argent,186
étais,186
toi,185
last,185
femme,184
should,184
police,183
these,181
off,180
besoin,179
sure,178
père,178
will,177
allez,176
vais,175
over,175
alors,175
name,175
bon,172
ask,172
mean,171
after,171
call,170
jack,169
way,166
any,166
anything,163
years,161
work,160
gun,160
am,159
lot,159
hey,158
found,158
parler,158
crois,157
ton,157
went,157
else,156
life,156
ans,155
voiture,154
ses,152
wanted,152
saw,152
anna,152
by,151
personne,151
lisa,150
guess,150
kill,150
aux,149
savoir,149
maintenant,149
ever,148
veut,148
doing,147
fille,147
faut,147
fois,146
toujours,146
après,146
told,146
très,145
does,144
house,144
wasn,144
rayborn,143
other,143
es,143
our,143
eu,142
help,142
away,142
arme,141
took,141
make,140
chez,140
looking,140
hein,138
sûr,138
ouais,138
came,137
kind,137
still,135
put,135
beaucoup,135
things,134
more,134
has,133
maison,133
depuis,132
question,132
night,132
thought,131
cause,131
nom,128
ellis,128
leur,127
before,127
partner,126
gens,125
part,125
new,124
pris,124
wanna,124
avant,124
girl,123
little,123
moment,122
puis,121
cop,121
amis,121
homme,121
wife,121
isn,120
home,120
shot,120
temps,120
nothing,119
happened,118
even,118
vie,117
com,117
aller,117
