Mot;Occurrence
en;1361
tant;43
que;2523
flic;101
tout;455
ce;1514
qu;1332
on;1804
a;2729
c;2203
est;3708
d;1159
autres;98
flics;75
l;2072
abandonné;3
tous;229
cru;30
il;2937
était;824
coupable;34
après;146
le;2530
procès;16
j;1337
ai;1180
dû;83
demander;79
de;3942
aide;41
pour;1201
pouvoir;24
dormir;14
y;798
avait;317
toutes;58
ces;276
preuves;19
tourné;5
dos;12
à;1976
charlie;210
crews;318
les;1383
premières;6
années;36
i;626
robert;5
stark;22
ex;33
collègue;9
hôpital;7
la;2285
prison;161
plus;400
souvent;22
cellule;19
un;2346
eu;142
presque;25
os;6
du;611
corps;87
cassés;7
paraît;6
sales;5
coupures;7
aussi;262
points;4
suture;1
dr;40
alan;1
fay;1
chirurgien;1
pelican;10
bay;10
environ;15
jury;13
sorti;35
au;430
bout;19
1h;2
dossier;26
été;231
réouvert;2
nous;489
avons;34
établi;2
aucune;60
des;1012
matérielles;3
sur;553
scène;21
n;1107
incriminait;3
je;3371
étais;186
pas;3020
seule;48
pensions;1
vous;4306
dit;595
innocent;18
jennifer;9
conover;4
femme;184
oui;635
et;1879
avez;679
ressenti;4
quand;426
découvert;11
disculpé;6
ne;1261
veux;285
continuer;9
constance;8
griffiths;6
avocate;18
comme;435
conférence;5
presse;14
inspecteur;266
condamné;7
vie;117
lui;467
rendu;14
pénitencier;3
los;35
angeles;34
mois;64
tard;23
êtes;374
non;790
ouais;138
crois;157
moi;596
pourriez;20
être;603
sûr;138
parce;192
allons;45
crime;54
suis;492
super;27
reese;228
gosse;28
là;691
bas;61
votre;524
premier;30
jour;61
si;667
pensez;64
charger;7
peux;215
faire;356
petit;58
calibre;4
courte;3
portée;1
probablement;11
très;145
bruyant;4
personne;151
entendu;59
quoi;577
soit;81
balle;37
traversé;12
part;71
chien;29
veut;148
bouger;5
trouvé;112
madame;25
cherchée;2
demandé;71
monsieur;32
bon;172
une;1251
sous;65
peau;13
se;362
prendre;64
dans;745
bide;1
accord;82
amenez;4
chez;140
véto;1
sorte;23
pourra;10
envoyer;11
balistique;8
tu;1190
fais;88
demande;43
services;16
vétérinaires;1
as;277
apporté;3
quelque;230
chose;292
ici;339
ton;156
maître;37
attends;18
voir;188
ça;1650
ressemble;20
doigt;10
pris;124
puis;121
arraché;3
tireur;9
déjà;102
aimé;13
point;14
life;20
épisode;16
pilot;1
merit;1
badge;18
traduction;20
relecture;23
resynchro;22
lafeelicita;34
font;30
color;1
red;11
h;4
s;598
team;4
sortais;3
temps;120
avec;669
cet;115
argent;186
officiers;7
krebbs;1
zerco;1
policiers;14
secteur;5
reviendrais;1
sûrement;29
bosser;6
maintenant;149
m;590
occupe;16
dommages;3
intérêts;6
ted;99
earley;20
conseiller;10
financier;9
ferait;19
combien;59
confidentiel;1
ordre;5
cour;9
concernant;6
détails;2
liberté;5
dire;346
millions;29
donc;268
voulez;203
avoir;226
cette;372
discussion;9
quelle;38
partenaire;27
cherchez;19
transférée;1
aussitôt;2
possible;23
parle;61
fait;645
énervé;2
qui;953
finir;10
passer;42
note;5
disant;10
mon;479
nouveau;48
disait;31
pourquoi;469
retrouver;16
coincée;7
promotion;4
peut;410
vos;109
habitudes;2
mais;877
toi;185
t;443
grande;24
bavarde;1
voyez;59
appris;17
sujet;26
john;104
fils;82
biologique;2
alyssa;3
mariage;23
enfant;32
notre;90
côté;30
fille;147
adopté;1
considère;2
propre;31
membre;9
famille;78
considérais;2
où;459
père;178
possession;3
trafic;5
ans;155
groupe;28
scouts;6
dont;48
faisait;63
partie;49
composé;3
garçons;5
pères;2
sont;323
incarcérés;2
dessus;91
signalé;3
cambriolage;5
dernier;40
euh;39
ils;580
ont;322
liquide;16
bijoux;1
arrêté;33
changé;21
serrures;4
alarmes;1
me;578
rend;13
parano;3
comprends;40
herbe;5
manière;1
exagérée;1
finis;5
par;228
retourner;23
tête;63
défoncé;3
aujourd;34
hui;34
warren;1
dimanche;2
spliff;1
réveil;1
prochaines;1
heures;43
forces;2
grouilleront;1
autour;8
belle;22
maison;133
tombent;2
beuh;1
pense;115
devez;31
parler;158
bien;418
allez;176
salle;27
bains;7
aurez;16
fini;55
assurez;4
tiré;58
chasse;5
ok;270
tirez;5
même;187
deux;193
fois;146
comprenez;17
excusez;12
garçon;11
mort;245
peu;105
beau;21
éventuel;1
suspect;30
meurtre;102
homme;121
tué;245
savez;200
ses;152
doigts;6
air;68
vraiment;211
triste;15
venez;27
enfreindre;2
loi;27
supérieure;4
responsable;14
actes;2
tombez;1
tombe;17
hé;74
adultes;4
problème;44
balancez;1
aux;149
affaires;51
internes;22
décrocher;4
téléphone;50
science;3
fiction;1
croirait;5
futur;8
problèmes;35
école;25
voisinage;3
enfants;60
arrivé;57
rien;250
disais;12
désolée;24
quelques;64
questions;37
poser;34
mari;80
mark;28
mauvais;27
gars;75
épousé;3
drogue;44
première;24
méchant;11
revenu;17
savais;41
devais;8
partir;69
juste;249
déposé;6
papiers;17
divorce;4
boîte;34
lettres;20
viens;54
commis;8
violences;1
vais;175
vachement;1
mâché;1
fachée;1
contre;77
fâchée;1
ait;46
mot;37
décrire;2
comprendre;21
sais;345
ma;230
faute;2
prends;24
responsabilité;2
faisais;15
avais;102
présent;43
aurait;101
pensais;43
endroit;31
allions;2
alors;175
aurais;62
habitude;25
gens;125
présents;3
moment;81
elle;993
jamais;223
dois;97
apprécier;2
rentrer;32
sans;104
fouille;5
hein;138
souvenir;5
vieux;16
arranger;2
conduisez;2
simplement;9
rawls;23
chérie;6
quartier;16
haute;8
sécurité;49
laisseront;2
aller;117
son;437
enterrement;4
aimerais;42
essayiez;2
aider;84
aidez;6
élevez;1
voix;29
élever;5
arrêter;40
détestez;1
oh;173
ennemis;6
prendraient;1
vengeraient;1
tuant;1
aucun;58
toucherait;3
monde;112
vrai;111
vu;280
semaines;18
venus;21
comment;295
semblé;2
perturbé;1
dernière;83
répétait;4
voulait;85
convaincre;1
menaces;6
sa;264
sache;15
travailler;26
rentre;14
relève;3
taulards;2
vivent;5
24h;2
savent;10
passe;57
internés;1
aimes;21
te;218
sait;108
es;143
purgé;2
tes;24
différence;9
car;101
officier;33
correctionnelle;4
pourri;2
raccompagnez;1
plaît;46
fâches;1
taulard;3
colère;28
gâche;2
joie;2
vole;3
bonté;3
âme;13
oblige;1
bouche;8
choses;76
terribles;3
dépasser;2
apporte;1
paix;8
esprit;13
menant;1
état;21
regret;1
dépasse;1
serai;10
charmant;6
moques;2
univers;5
moque;2
exactement;32
moquerait;1
incertain;1
détacher;2
faits;9
événements;1
attaché;7
voiture;154
ci;16
véhicule;7
bordel;9
ecoute;6
voie;5
signaler;1
mieux;55
ceux;37
côtoyaient;1
tyler;34
certains;19
disent;21
étiez;112
proches;10
parles;18
ah;54
blette;1
parlé;69
rencontré;27
nouvelles;5
personnes;27
voilà;49
verte;1
anjou;1
certaines;7
allergiques;1
poires;1
leur;127
donne;29
boutons;1
ennuis;9
mens;6
battre;7
service;37
battue;6
obtenir;8
lieu;24
voulais;76
reculez;3
croit;16
enlacer;2
enlace;1
équipière;40
existe;20
consciemment;1
coeur;2
bras;9
ouverts;3
battrai;1
porter;13
intérieur;9
sortir;58
longtemps;42
proposé;4
vendre;15
infos;18
détail;9
arrestation;16
pouvait;29
dis;93
net;13
messagerie;7
instantanée;4
dieu;29
internet;5
savait;37
affaire;75
avocat;26
payait;12
prouverait;1
erreur;12
quelqu;239
e;9
mail;2
aveuglé;1
reflet;1
dani;43
bobby;44
nouvelle;26
commun;10
étions;13
équipiers;9
juarez;5
vois;85
quel;84
photo;51
célèbre;6
appareil;9
dedans;55
fédérale;2
dérange;9
passé;104
doit;116
sûre;39
sera;54
ouvriras;1
porte;95
pote;10
laissé;35
plonger;1
sens;31
mal;84
propos;44
boulot;75
enquête;30
marche;13
vouliez;27
manqué;5
parents;21
hier;48
soir;58
devriez;65
revenir;25
mère;81
doute;10
dites;82
sortie;20
vivante;4
différent;16
lieutenant;8
étudié;5
programme;10
analyse;3
urine;3
dur;37
trouver;99
chanceuse;3
dirait;70
déconné;1
liste;34
grand;47
pouviez;9
répondre;9
va;331
attirer;1
vouloir;15
venger;2
décision;5
demandais;3
enverraient;1
arrête;30
ta;66
souvenez;23
besoin;179
emmerdes;1
jours;43
calmiez;1
mettiez;1
rose;8
causerait;1
suspension;1
prévenu;3
police;112
allait;54
venir;41
apparemment;6
débarrasser;5
quantité;4
marijuana;1
jetant;1
toilettes;8
avant;124
arrivée;15
vis;10
depuis;132
meubles;5
arrivent;6
mes;106
signature;2
faut;147
signes;2
écoute;9
orangeraie;4
avis;16
annuler;1
médite;1
apaisant;1
tracteur;7
compris;33
gros;38
rouge;10
lu;15
forbes;1
pdg;2
attercliffe;1
capital;1
criminalité;1
col;4
blanc;9
délit;6
initiés;1
sauvé;11
gère;7
placements;2
vivez;9
garage;12
pièce;30
savoir;149
appelle;69
appelleras;1
appeler;46
appelles;6
signifie;16
surveiller;1
choix;7
ira;11
coup;36
compliqué;10
secret;33
gibney;7
truc;100
travaille;19
acceptera;1
autre;240
refuse;3
descendre;7
ni;40
dirai;12
essayé;22
empêcher;11
pendant;62
dépassé;3
pourrais;28
importe;38
dehors;61
sommes;34
assis;11
regarde;36
essayait;5
arnaquer;3
proposant;1
informations;5
donner;42
moyen;14
ridicule;6
confirmera;1
paierait;1
croire;28
volé;30
menti;22
aimais;14
tellement;25
vit;28
chercher;54
allô;14
seras;3
décidé;4
appellerai;3
tien;3
combats;2
achèterai;1
fruits;24
base;17
obéit;1
règles;3
attend;14
retraite;6
apprendre;13
google;4
gamin;22
assez;29
bonne;45
idée;42
vas;52
monté;11
melon;4
frais;7
juteux;2
essaies;6
éviter;3
préférerais;1
poses;1
marier;5
remarier;2
viennes;1
future;1
toute;58
façon;31
arrêtera;2
remarie;1
gamine;1
morte;54
tuée;41
empêchant;1
cool;10
parti;29
toujours;146
parfois;47
vécu;7
ensemble;68
ailleurs;20
désolé;34
stupide;9
devrais;44
attache;2
appel;41
parlez;36
déterré;1
appartient;8
junkie;2
nom;128
lonnie;8
garth;5
adresse;27
connue;1
celle;37
squat;1
envoie;8
suite;42
vivre;36
réfléchi;4
instant;19
unités;4
repéré;3
5ème;2
main;36
street;2
rappelez;6
encore;108
raccrochais;1
pathétique;1
demanderais;2
surtout;8
piégée;1
arrive;45
penser;41
cherche;35
drogué;2
démons;2
venue;21
cause;49
connaissent;7
sortez;20
arthur;53
bonjour;35
réveilles;1
refusé;3
mis;44
crier;3
arrêtait;3
hurler;2
regardé;10
réagir;3
attendais;7
cauchemar;9
rendors;1
enlevez;4
allumez;3
eau;17
vite;20
douche;8
manigancer;1
arnaque;16
compliquée;1
certain;12
pu;57
découvrir;7
figurent;1
répertoire;2
tins;50
carte;27
bancaire;2
libéré;4
parole;8
montrez;7
met;14
aise;2
attriste;1
attendez;32
connais;75
prononcez;1
prochaine;17
faites;62
arnaqueur;3
libérer;3
fouillé;6
bureau;46
ordinateur;25
aviez;50
perdu;33
contrôle;13
comptez;3
tribunal;10
coups;16
fil;6
entre;59
client;22
intriguent;1
prouve;4
expliquer;5
appels;13
communiqué;1
criminel;2
violation;4
libération;2
an;42
dormant;2
verre;12
mangue;4
importée;1
directement;3
guatemala;1
arriver;8
lié;16
cas;39
calme;13
tire;21
arrêtez;10
connaissez;69
brisé;10
protection;16
envoyez;8
parlerai;3
commencez;5
visage;33
récupérait;1
amené;10
voulu;26
devait;36
récupérer;17
censé;20
compte;13
plainte;16
laisser;38
substance;2
illicite;1
propres;6
drogues;10
allée;12
désintox;4
touché;13
obligé;8
