Mot;Occurrence
after;165
the;4194
trial;17
i;5540
had;302
to;3485
get;611
counseling;5
just;762
so;614
could;241
sleep;32
there;890
was;1619
all;673
that;2989
proof;13
we;1454
turned;21
our;141
back;393
on;910
charlie;242
crews;345
in;1607
his;611
first;112
years;161
office;53
robert;5
stark;22
former;3
partner;126
of;1637
he;2048
prison;111
hospital;7
more;133
than;77
out;661
cop;121
doing;147
time;271
please;69
broke;30
nearly;12
every;77
bone;8
body;71
heard;86
they;792
cut;43
him;763
real;94
bad;106
too;238
over;175
stitches;2
dr;24
alan;1
fay;1
pelican;12
bay;12
surgeon;1
about;719
mean;170
jury;13
only;113
for;1110
an;258
hour;25
case;68
reopened;1
found;158
none;28
physical;6
evidence;22
scene;31
matched;6
officer;47
wasn;144
t;2185
one;577
thought;131
guilty;26
did;735
tell;326
you;6746
didn;455
do;1018
it;2720
jennifer;12
conover;7
ex;42
wife;121
yes;219
and;1891
how;488
feel;73
when;457
being;63
exonerated;4
innocent;18
don;781
wanna;124
this;990
anymore;40
constance;14
griffiths;9
attorney;14
as;214
said;322
at;475
press;15
conference;5
detective;299
life;136
sentence;5
is;1412
what;1603
got;549
penitentiary;4
los;36
angeles;35
four;66
months;43
later;21
are;636
aren;48
yeah;596
guess;150
am;159
okay;435
well;374
would;415
like;750
be;686
sure;178
because;298
re;894
walk;33
into;116
a;3269
crime;45
m;710
great;34
reese;237
s;2978
kid;75
your;951
day;85
if;562
think;467
can;685
handle;25
myself;42
small;32
caliber;13
close;66
range;12
probably;47
not;1055
lot;157
noise;4
no;1034
reported;7
hearing;3
anything;163
bullet;39
through;76
dog;45
won;82
move;25
find;229
slug;1
ma;25
look;246
looked;26
ask;172
sir;31
hey;158
good;238
boy;25
here;763
beneath;1
skin;10
must;79
have;865
caught;24
gut;1
exited;1
right;483
vet;2
ballistics;8
way;166
me;1221
animal;22
reg;1
my;885
location;3
bring;47
something;338
master;45
hold;46
looks;86
finger;10
took;140
then;307
shooter;10
off;180
anyone;63
ever;148
love;73
much;92
font;212
color;108
ffff00;54
www;36
ydy;69
com;84
bbs;26
proudly;33
presents;36
sync;40
ßçèâèâ;28
money;210
krebbs;1
zerco;1
lapd;55
current;5
going;203
work;160
now;453
settlement;17
ted;108
earley;24
financial;11
advisor;8
undisclosed;3
by;151
court;18
order;8
details;1
liberty;2
say;263
million;28
talk;214
which;64
want;540
looking;140
transfer;4
soon;18
nope;13
who;477
pissed;7
partnered;3
up;537
with;819
handed;5
slip;3
paper;14
new;105
mention;29
why;505
getting;61
stuck;4
isn;120
exactly;65
promotion;2
might;89
habit;4
yours;34
but;846
either;46
big;78
talker;2
see;367
ve;245
learned;14
already;27
john;111
biological;2
son;74
alyssa;4
from;351
her;662
marriage;7
another;62
own;74
daughter;43
adopted;2
always;111
member;8
family;73
where;439
father;106
jail;53
uh;205
possession;3
intent;1
distribute;1
ten;34
scout;6
troop;7
part;54
made;111
entirely;2
boys;12
fathers;1
almost;18
break;24
last;185
month;22
um;37
some;268
cash;40
jewelry;6
