Mot;Occurrence
précédemment;58
dans;1125
lost;50
ma;402
jambe;13
aah;5
il;3807
faut;304
que;4557
tu;4165
ailles;10
par;328
la;2916
grille;2
ventilation;2
appuyer;19
sur;946
le;3856
bouton;63
ok;214
j;2312
ai;1826
rampé;1
et;2965
été;275
devant;42
ton;410
ordinateur;18
sais;771
ce;2678
qui;1532
s;1231
est;6405
passé;224
ne;2146
rien;533
john;310
je;6840
n;1501
jamais;340
tapé;4
les;1732
nombres;18
appuyé;7
si;1274
veux;649
faire;891
quelque;277
chose;358
de;5106
bien;1067
pour;1690
libby;28
y;1482
a;3205
une;1643
belle;28
plage;104
à;3116
kilomètres;7
d;1617
ici;748
pourrais;42
l;3300
emmener;40
là;1001
bas;153
allez;395
donne;64
moi;1324
couvertures;13
me;1252
charge;29
des;933
emmène;43
nous;1049
jusqu;94
aux;142
flingues;8
tout;1014
suite;78
ah;38
cette;535
salope;2
elle;1146
m;1441
volé;28
mon;792
putain;73
flingue;14
ana;25
lucia;19
pourquoi;973
aurait;86
besoin;240
un;2738
on;3235
en;2140
attrapé;2
entre;83
eux;149
autres;235
enfermé;13
dedans;57
vais;426
tuer;205
suis;1094
désolé;313
michael;95
qu;2623
construis;3
bonjour;125
eh;51
toi;719
alors;619
vas;267
dire;497
c;3072
quoi;1155
église;19
diable;16
ça;2356
parce;433
dit;837
te;958
juste;304
pense;107
était;765
pendant;83
rêve;19
comme;395
celui;77
ci;11
dois;273
aider;215
yemi;33
frère;83
oh;96
pardonne;11
aurais;124
dû;162
t;1741
écouter;22
avais;243
raison;127
voulais;133
pas;4541
shh;8
travail;48
fait;940
important;44
eko;77
plus;683
reste;145
danger;28
perdu;71
son;327
chemin;29
obliger;2
au;654
point;38
interrogation;5
voudra;4
montrer;40
donc;271
beaucoup;106
distractions;1
mais;1049
passer;87
outre;2
comprends;92
oui;572
hache;4
se;611
passe;139
pote;24
trouve;53
croyais;65
jack;456
laisse;118
tranquille;15
non;734
ferme;44
sawyer;151
avait;244
piqué;6
merveilleux;13
boiteux;2
cache;16
artiste;1
anciennement;1
connu;9
sous;190
nom;127
henry;10
gale;1
essayé;42
étrangler;2
ta;256
petite;39
amie;22
coup;62
faute;42
veut;224
justice;4
retournais;3
hé;120
suffit;22
vous;5465
deux;198
tiré;42
dessus;100
parti;86
enfui;8
occupe;37
lui;710
dormais;2
entendu;105
coups;9
feu;54
levé;7
sorti;33
chambre;21
gars;33
lèves;1
morte;65
doit;245
relever;5
antichambre;1
accorde;1
pardon;126
seigneur;4
implorons;1
amen;2
état;23
choc;14
devons;16
maintenir;4
pression;8
peux;512
maintiens;1
comment;603
va;1092
fais;388
depuis;197
combien;103
temps;315
quand;567
arrivé;166
euh;31
minutes;73
peut;533
être;647
demi;34
heure;88
retrouver;53
sa;179
trace;5
rattraper;13
avance;36
peur;101
utiliser;22
déjà;197
trois;95
elles;47
occuper;34
es;612
train;32
jouer;26
aventuriers;1
irai;21
connais;100
traque;3
hein;68
trouver;137
ensemble;79
trouvez;15
soit;170
revenez;7
réfléchira;2
fera;43
après;189
allons;145
date;9
dernière;59
confession;2
bonne;160
question;102
trop;111
années;52
puisse;23
rappeler;7
souhaites;1
demander;67
dieu;108
quel;116
péché;2
as;1020
commis;3
voyons;16
voir;324
trompé;6
femme;156
fois;199
ou;269
plein;41
recevoir;4
repentir;2
tes;112
péchés;1
aussi;295
fabriqué;3
papiers;7
identité;6
prêtre;14
père;283
voler;18
panier;1
quête;2
amis;133
los;40
angeles;40
brancher;1
avec;807
trucs;37
tunde;2
monseigneur;2
voici;42
caldwell;1
aidé;21
préparer;12
séjour;5
etats;2
unis;9
mauvaises;3
nouvelles;25
devoir;50
reporter;3
votre;697
avons;39
miracle;14
fille;131
noyée;2
vraiment;281
perte;4
comprenez;24
revenue;17
vie;250
nature;9
charlotte;35
glisser;1
tombée;16
rivière;3
grande;20
nageuse;1
lendemain;6
réveillée;3
confirmation;1
foi;12
monde;224
courant;33
gens;150
doivent;22
où;974
moment;103
maison;77
mari;70
mis;62
vatican;2
pouvons;6
mme;20
malkin;3
conduire;13
enquête;1
avant;265
lancera;1
processus;3
permettez;7
voulez;191
excuser;6
instant;21
plait;27
sûr;260
sauf;37
respect;23
avez;640
demandé;75
crois;295
croyez;74
choisi;24
vois;114
vu;287
moindre;9
piste;28
signe;14
quitté;38
trappe;32
continue;23
courir;8
ombre;10
retourne;54
du;697
frappé;15
compliques;2
choses;89
cinglé;3
vient;104
assassinée;3
aide;126
aides;17
même;280
parles;46
parle;135
compte;64
tiens;76
voilà;149
prends;88
souvenir;9
dix;14
secondes;18
néant;3
cygne;29
venons;1
devrait;103
serait;99
encore;254
attaqué;6
maintenant;291
aille;26
dis;247
suivi;24
intéressé;2
dépend;3
mets;21
rapport;18
commencer;25
raconter;7
nuit;81
reçu;23
appel;20
vers;58
matin;52
ambrose;1
amené;36
heures;55
eau;87
expérience;25
genre;41
décès;2
fossoyeur;1
principal;10
emploi;2
parfaitement;4
qualifié;3
légiste;2
fac;1
médecine;3
découvert;7
autopsie;3
exact;23
attendais;13
croyiez;4
voudriez;6
défunte;2
type;44
caucasien;1
centimètres;1
kilos;1
corps;50
préparé;4
lavé;3
adorable;4
valerie;1
mctavish;1
ian;1
commençons;8
début;25
cas;92
évident;5
noyade;1
incision;5
thoracico;1
abdominale;1
prenez;41
cassette;10
carte;27
inexacte;1
sans;147
blague;11
ces;254
repères;4
ligne;12
ondulée;1
dessinée;1
transcrite;1
supposons;1
sert;20
trouvé;145
cet;186
avion;212
haut;27
tomber;42
boone;14
puis;84
mort;241
sacrifice;8
île;757
exigé;1
campe;1
dort;11
peu;249
attend;56
instructions;8
complémentaires;1
sont;546
ils;1177
calme;52
noir;17
facile;21
reviendront;5
inconsciente;2
hémorragie;9
arrêtée;5
bon;304
soulager;2
regardes;8
donné;70
tous;372
médicaments;8
jours;104
héroïne;7
kate;194
racontes;20
devrais;59
aller;316
jacko;1
sait;165
armes;46
montre;23
trouvent;6
pauvre;8
souffrir;6
doc;42
pose;25
laquelle;23
pris;105
arme;69
piquer;5
pique;9
portefeuille;2
savais;52
réussi;33
prendre;122
emmenais;3
cachette;1
gardes;12
lit;15
eu;176
chut;4
réveiller;6
viens;194
réveille;25
ca;147
homme;202
cela;27
fallait;29
vienne;11
serons;4
guidés;1
voulait;74
suive;3
suives;2
dangereux;27
reveniez;2
tard;71
hier;40
rentre;35
joyce;1
richard;74
plaît;107
êtes;520
