Mot;Occurrence
previously;143
on;6628
lost;360
michael;451
i;27053
found;421
them;1394
the;16315
others;269
saw;403
one;1828
followed;40
himback;1
to;14859
their;368
camp;303
they;3317
live;182
in;4926
tents;75
canvas;5
and;7564
teepees;4
eat;97
dried;6
fish;69
re;5271
worse;46
off;1080
than;332
we;7061
are;4119
have;3421
a;12847
hatch;171
keep;515
it;11006
guarded;5
two;619
guards;12
guns;176
is;5184
all;3014
so;2860
came;532
back;2326
tell;1502
you;31575
did;2082
see;1229
walt;385
no;3314
but;2403
know;4272
he;5286
s;13556
there;3019
as;2342
soon;183
getmy;2
strength;10
will;1032
take;1248
us;1835
gonna;2785
boy;192
days;269
ago;275
hey;1177
john;1387
was;3889
hoping;66
could;806
borrowone;1
of;5682
these;489
this;4970
supposed;386
bea;3
secret;114
jack;2389
asleep;24
more;464
target;21
practice;8
yeah;1730
well;1781
just;3283
wanna;682
stay;399
sharp;11
yes;796
do;4579
thanks;429
man;1167
can;3322
get;3210
coupleof;1
bullets;23
promise;182
won;440
t;10546
ah;179
damn;382
m;5805
sorry;1182
that;8639
right;2577
got;1782
come;1807
where;2064
okay;1827
ok;732
time;1157
ready;254
coming;529
now;2134
said;1021
north;49
when;1407
me;8095
out;2259
huge;27
rocks;65
with;2801
big;181
hole;41
middle;87
by;647
beach;338
ll;2380
be;3286
what;8699
whatever;302
going;1352
look;983
after;486
my;3409
son;641
nobody;142
isgoing;1
stop;569
father;510
today;138
doingout;1
here;3711
nothing;485
getting;255
some;981
air;153
should;708
talk;560
how;2196
many;175
rifles;5
pistols;2
total;11
case;165
forgot;34
tookfive;1
em;371
long;432
would;1321
usto;1
leave;496
move;274
fast;60
night;331
tomorrow;151
ideai;1
expecting;17
go;2731
five;149
not;3697
enough;302
at;1365
least;128
20of;1
ve;1612
our;796
even;503
sure;773
if;2713
too;643
people;1092
hear;420
taking;210
armyacross;1
island;1491
sureyou;1
best;238
place;441
making;112
decisions;23
for;3879
dead;487
ana;187
lucia;91
libby;72
mean;663
haven;193
evenburied;1
yet;279
course;340
bury;43
tonight;61
then;1379
figure;121
outwhat;1
next;315
www;206
ydy;42
com;239
proudly;13
presents;15
sync;52
fisherchen;4
sfile;10
put;491
your;4325
hands;164
up;2224
don;4072
relax;64
buddy;54
ain;301
movin;13
why;2559
shut;177
old;193
aren;132
ya;76
doing;1057
need;1515
him;2909
bagging;1
quick;23
his;1102
friends;263
behind;224
hello;323
didn;1154
left;381
shoes;22
outside;120
were;1583
muddy;3
find;844
priest;36
guess;333
believe;404
hell;804
brief;2
served;8
small;44
parish;2
england;18
every;285
sunday;18
mass;3
young;26
waiting;159
church;40
day;371
confessed;9
had;969
beaten;5
dog;59
death;62
shovel;8
bitten;2
baby;491
sister;105
cheek;2
needed;102
protect;116
her;1919
wanted;379
whether;55
told;840
god;314
understand;325
forgiven;5
care;348
about;2394
forgiveness;19
only;614
afraid;136
backto;2
check;132
help;1088
youdo;1
gotta;367
wayi;1
otherwise;12
work;484
gonnafigure;1
way;926
figured;70
peoplewho;1
already;236
kate;873
sawyer;720
hurley;441
anybody;117
else;372
danger;56
aside;9
call;383
wayit;2
has;576
aaron;225
guy;360
hi;168
seen;182
eko;252
building;64
somethingyou;1
want;1953
charlie;867
somethingin;1
pallet;7
thought;453
might;348
vaccine;28
whatwe;1
d;2657
anyoneshould;1
pneumatic;4
injector;2
uh;607
into;525
leg;64
goes;86
quite;72
painless;2
really;673
seem;70
knowa;2
lot;195
tried;135
make;642
xxx;1
before;565
giving;92
itto;2
feel;192
anything;685
didt;5
fine;488
anyway;129
says;230
give;700
yourselfa;3
shot;170
nine;32
babyfor;2
while;182
thank;500
welcome;122
feed;23
claire;833
think;1658
maybe;565
icould;1
um;212
oh;1243
good;1230
yeahi;1
who;1668
happened;648
murdered;34
home;380
let;1625
fair;61
took;329
again;503
bitch;117
lookie;2
she;2400
following;62
half;69
klick;3
sound;46
never;736
boyagain;1
gag;11
readywith;1
torches;8
better;397
head;273
trail;74
lose;57
been;1005
runningthrough;1
jungle;423
toward;8
