Mot,Occurrence
i,13029
you,8093
a,5601
je,5199
the,4973
to,4825
s,4764
it,4216
est,4209
de,3939
t,3589
pas,3494
vous,3049
that,2927
tu,2865
le,2734
que,2686
on,2641
and,2578
c,2568
m,2480
et,2266
un,2235
me,2230
il,2219
don,2208
la,2205
à,2159
of,2146
ne,2085
j,2040
in,1973
ça,1879
l,1850
what,1833
is,1746
we,1698
les,1678
ce,1632
en,1614
d,1580
une,1510
have,1495
this,1473
ai,1471
do,1424
know,1389
he,1378
pour,1354
re,1343
n,1277
for,1240
qu,1213
be,1199
your,1185
my,1174
not,1134
are,1084
can,1068
des,992
with,968
want,954
they,943
was,942
mais,916
about,909
but,906
as,891
like,875
just,858
no,854
there,839
bien,832
ll,827
so,816
nous,797
y,786
si,773
suis,761
at,757
here,748
dans,737
get,701
think,701
all,697
moi,688
elle,686
non,686
tout,683
sais,674
ils,663
au,662
going,660
mon,659
avec,659
qui,645
du,643
she,634
quoi,623
good,621
go,617
fait,600
well,598
if,579
plus,576
te,572
être,565
how,561
veux,549
out,541
draper,532
comme,526
ve,524
him,513
one,506
up,497
va,489
toi,486
était,475
did,469
là,468
right,462
her,462
see,457
faire,447
now,432
ici,426
sur,425
an,417
votre,414
se,412
es,404
why,396
would,390
dit,389
say,373
some,370
pourquoi,367
look,367
lui,365
mr,363
dire,359
who,359
come,358
ma,357
were,355
really,353
should,349
when,347
got,344
something,335
from,329
peut,329
people,329
had,325
let,325
didn,322
où,321
oui,321
bon,321
will,319
us,319
take,315
his,314
been,312
peux,312
very,311
rien,310
tell,310
sont,309
time,305
or,303
alors,302
them,302
quand,298
way,298
comment,298
voir,298
need,296
êtes,295
could,294
sorry,289
where,289
avez,286
has,286
yes,284
because,283
make,283
merci,282
très,280
son,277
cooper,276
new,274
même,270
vais,270
avoir,269
ton,269
work,266
ont,265
juste,261
sterling,259
back,254
vraiment,251
ou,251
chose,250
our,249
cette,247
thank,241
par,237
gonna,236
then,235
love,234
by,227
peggy,226
sûr,224
ta,222
aussi,221
down,221
fais,220
more,220
day,218
man,218
over,218
okay,216
été,216
never,214
two,212
little,212
home,211
thought,210
campbell,210
talk,207
am,205
sa,203
deux,203
course,202
anything,201
jamais,201
said,201
tous,200
put,195
sure,194
père,193
déjà,192
night,192
toujours,192
autre,190
aller,189
femme,189
ces,188
car,185
crois,184
doing,182
bonne,182
étais,181
chez,180
parler,180
off,179
things,179
told,177
call,176
roger,175
even,174
everything,173
dois,173
too,173
hello,172
bureau,171
air,170
father,170
quelque,169
veut,169
mean,169
doesn,169
office,168
gens,167
than,167
does,166
place,166
vu,165
eu,164
nice,163
encore,162
thing,162
give,161
maybe,159
allez,159
vas,158
désolé,158
aime,156
girl,155
temps,155
feel,154
bonjour,153
notre,152
around,150
sans,150
sera,149
mes,149
papa,149
betty,149
old,149
oh,148
those,148
leur,147
nothing,146
into,146
vrai,146
maintenant,146
dis,144
besoin,143
monde,143
much,142
stop,142
being,141
always,140
après,140
better,140
these,139
great,138
lot,138
business,137
other,137
their,137
pense,137
any,136
please,136
duck,135
sous,134
clients,134
part,134
men,134
again,132
made,132
daddy,132
peu,132
away,131
mieux,131
care,131
faites,130
avais,130
happened,129
enfants,129
fille,128
soit,127
room,127
boulot,126
wife,126
isn,126
last,126
still,126
faut,125
aux,125
vois,125
believe,125
keep,124
only,124
parce,123
personne,123
every,123
someone,123
talking,123
dieu,122
first,122
voulez,121
joan,121
mère,120
wrong,119
mother,119
ans,119
idea,119
avait,118
hear,118
morning,118
before,118
voulais,118
aurais,118
doit,118
moment,118
wanted,118
homme,117
miss,117
already,116
called,116
passé,116
bad,116
god,114
avant,114
another,114
h,113
job,113
sally,112
help,112
hilton,110
vos,109
idée,108
jimmy,107
mal,107
york,107
quelqu,107
happy,107
ask,107
soir,107
trop,107
nuit,107
leave,106
fine,106
long,106
arrive,106
savez,105
money,104
understand,104
fois,104
donc,103
minute,103
tes,103
quel,103
american,103
name,103
else,102
regarde,101
years,101
jour,101
désolée,99
kind,99
married,99
viens,99
true,98
excuse,97
lunch,97
pete,97
says,97
point,97
guess,97
belle,97
today,96
nixon,96
prendre,96
kennedy,96
hard,96
beaucoup,96
heard,95
coming,95
autres,95
ses,95
nos,95
account,95
truc,94
find,94
big,93
travail,93
puis,93
savoir,93
ever,92
woman,92
done,92
accord,92
bas,92
hell,92
having,91
after,91
mrs,91
end,90
petit,90
moins,89
beautiful,89
three,89
p,89
passe,89
life,89
week,89
raison,88
chance,88
grand,88
listen,88
thinking,87
kids,87
arrête,87
bobby,87
meet,86
parle,86
must,86
sait,86
through,86
baby,86
won,85
