Mot;Occurrence
sais;674
tu;2865
à;2159
quel;103
point;50
c;2558
est;4209
dur;61
de;3931
te;572
voir;298
déambuler;2
ici;426
i;2317
précédemment;23
dans;737
mad;30
men;30
glen;34
ça;1878
va;489
pas;3493
ou;251
quoi;622
occupé;22
on;1581
me;812
confie;4
un;2235
autre;190
budget;43
une;1510
mission;4
je;5199
n;1269
avais;130
jamais;201
vu;165
vos;109
yeux;27
avant;114
herman;14
phillips;29
bert;24
cooper;137
pour;1352
signer;9
mes;149
chèques;5
m;964
appelle;74
duck;64
truc;94
plus;561
fort;15
carlton;26
ne;2084
dites;60
francine;35
que;2686
j;2029
ai;1471
suggéré;5
cela;56
alors;302
faux;34
il;2219
y;779
a;1699
quitte;10
new;70
york;51
et;2262
veux;549
entendre;35
parler;180
toi;486
transcript;14
swsub;14
com;16
sous;134
titres;78
rosestella;25
hutch;27
saison;49
épisode;39
the;34
wheel;2
irait;10
bien;831
la;2199
salle;35
bains;6
mais;916
chambre;44
trop;107
chargé;6
ce;1632
sont;309
les;1678
rideaux;4
qui;645
inquiètent;3
l;1827
armoire;5
nixon;47
avait;118
aucune;44
chance;57
browns;2
ont;265
battu;3
redskins;2
résultats;8
football;5
toujours;192
prédit;2
avec;658
exactitude;2
dernières;11
élections;4
aurais;118
adoré;15
savoir;93
sûr;223
sur;425
deux;203
tomber;31
juste;261
vais;270
vous;3049
comme;525
fils;36
parce;123
considère;2
tel;14
trudy;30
nous;797
dit;389
visiez;2
promotion;12
aviez;29
eu;164
elle;686
aurait;57
dû;81
allons;67
aime;156
franchement;17
crois;184
devriez;25
moins;89
focaliser;2
votre;414
travail;93
du;643
meilleur;40
commercial;10
vicks;2
chemical;4
qu;1213
parle;86
justement;10
clearasil;21
société;24
achetée;4
oui;321
était;475
peu;132
vantard;3
saviez;7
déferlante;2
jeune;37
en;1612
moment;88
croyez;27
moi;688
sterling;125
dévoué;3
adoreraient;2
aider;55
passer;63
le;2733
message;11
voyez;40
dont;48
mélange;4
famille;58
fabrication;2
d;1222
bébé;56
pense;137
penser;39
tom;11
indiscrétion;2
coule;6
navires;2
disais;23
tout;683
cette;247
chanson;12
cultive;2
ton;269
jardin;15
quelle;71
papa;148
donc;103
vrai;146
cultiver;2
son;244
savez;105
faire;447
pousser;4
des;992
trucs;21
mets;31
mal;106
aise;15
serait;80
beau;62
cadeau;17
noël;23
au;658
diable;9
thanksgiving;12
faudrait;10
aille;11
ferme;35
keppler;2
prendre;96
graines;3
potiron;2
dis;144
ils;663
potirons;2
très;280
bons;19
aimerais;51
viennes;6
poussin;12
suis;761
associé;19
nos;95
campagnes;7
diffusées;2
semaine;49
prochaine;28
idiot;16
aller;189
là;468
bas;92
repas;26
fais;220
souvenirs;5
enfance;4
sally;54
bobby;41
peut;329
enfants;129
mon;659
frère;30
insupportables;4
peuvent;19
voyager;7
père;193
reste;81
seul;76
prendrai;10
taxi;16
jusqu;41
gare;15
william;19
viendra;9
chercher;53
sans;150
doute;17
nouvelle;60
voiture;67
aies;17
envie;57
venir;72
excuse;33
été;216
clair;23
vois;125
pourquoi;367
considères;3
ma;334
tienne;7
ken;22
content;35
sois;53
comment;297
célibataire;9
sale;10
plains;5
bon;320
se;411
payer;23
hôtel;20
si;771
t;631
inquiètes;3
autant;35
laisse;71
rentrer;31
voulais;118
dire;359
air;134
jennifer;11
démissionne;2
laisses;10
manques;7
tellement;30
fameux;3
dossiers;6
top;4
secret;12
non;683
appel;23
abraham;2
menken;18
êtes;295
sa;203
fille;128
sera;149
absente;4
prochains;4
mois;63
part;79
bateau;12
paris;15
savais;71
chose;249
idée;108
satisfait;5
tant;52
préfèrerai;3
affaires;65
privées;2
interfèrent;2
notre;152
activité;4
cas;52
voix;27
cow;3
boy;5
entre;65
gelée;4
es;404
pantoufles;2
attendais;16
rentres;8
assise;6
espérant;5
voie;18
passe;89
tes;103
s;589
passé;116
bête;19
soit;127
esprit;19
aussi;221
vif;5
depuis;76
donné;40
pile;5
courriers;4
honnêtement;12
avoir;269
jetée;3
quatre;18
jours;55
après;140
coupait;4
téléphone;28
allée;14
agence;44
trouver;37
accord;92
fait;600
insu;2
heureusement;9
comprends;66
facture;4
presque;32
tous;200
ces;188
appels;8
longue;7
distance;4
mh;4
manhattan;34
appelé;74
femme;189
répondu;15
bureau;170
vraiment;251
invite;7
dîner;30
soir;107
endroit;48
habituel;2
as;536
appellerait;2
répondrait;2
même;270
mariée;28
beaucoup;96
femmes;67
répondent;2
elles;73
mêmes;14
chez;180
pendant;41
dors;13
être;565
traiteur;3
prépare;8
fête;41
surprise;21
nuits;7
par;237
waldorf;10
supposer;3
pire;24
empoisonner;4
boirait;2
importe;55
monde;143
maison;84
empoisonnerais;2
ses;95
parents;28
arrête;87
emportes;2
veut;169
sang;76
betty;72
dois;173
attendu;12
pensais;55
saurais;5
gênée;4
sait;86
partir;85
ira;54
mme;80
draper;254
désolée;99
retard;41
carla;33
pouvez;84
voulez;121
range;7
courses;9
occuperais;2
bonne;182
soirée;36
commençons;6
début;16
quand;298
organise;4
réunion;60
arrivez;4
gars;46
réserves;2
hiver;4
lucky;27
strike;22
bethlehem;9
steel;2
maytag;8
automobile;2
compagnie;43
aérienne;5
pharmaceutique;4
tabac;12
partie;48
cosgrove;34
équipe;24
choc;5
origine;6
rejuvenator;2
vibrominceur;14
appareil;11
maigrir;4
option;3
orgasme;2
féminin;7
blague;15
offre;12
prime;10
premier;45
amène;18
client;40
décideur;3
messieurs;27
voici;49
liste;21
gens;167
déjeuner;75
contactez;2
ressortez;2
carnets;2
adresses;4
rédacteurs;8
apporter;11
clé;5
salaire;10
position;10
valeur;19
allé;17
athletic;2
club;18
aujourd;62
hui;62
resté;7
sauna;3
h;106
intervalle;2
perdu;39
kilos;3
appris;32
kodak;4
campagne;41
nouveaux;18
projecteurs;5
diapo;2
relaxant;5
simplement;18
peux;312
bénéfices;4
séance;3
gym;4
régime;7
facile;30
séances;5
minutes;12
légère;6
diète;2
rendra;2
allure;5
adore;73
petit;90
merci;282
annie;24
encore;162
fois;104
rita;11
cru;40
possible;44
retrouvé;14
jeunesse;12
enthousiasme;14
todd;5
demandez;21
mari;58
laquelle;9
déjà;192
érotique;2
expérimentée;2
passerait;2
télé;49
norma;2
quelles;8
vertus;2
spéciales;2
vendons;4
confiance;31
soi;17
mieux;131
rien;310
sûre;38
jolie;51
entend;5
croire;40
dispute;4
désolé;158
reprend;2
demain;76
détails;10
peggy;105
choses;67
tournent;5
dirais;12
instant;42
reviens;26
risqué;3
effet;50
gagne;13
inquiète;24
pourrais;38
salut;64
ville;53
ramené;10
boulot;126
où;321
projecteur;2
diapos;6
vas;158
maintenant;146
commence;24
dès;25
arrive;97
journée;56
affreuse;3
assieds;25
liaison;5
ha;6
effondrée;3
don;337
su;9
surpris;7
ait;40
parlé;62
soeur;14
évidemment;27
aimé;42
préféré;12
devrait;70
penses;42
tuer;13
personne;123
font;70
allez;159
sers;14
boire;35
joujou;2
enfer;14
fiable;5
coince;2
appellent;6
donught;2
roue;15
attendent;5
réinvente;2
vont;58
préfèreraient;2
termes;2
recherche;9
développement;3
pub;61
arrives;4
placer;6
porter;17
avenir;14
bout;16
bras;10
arrangerait;3
image;12
regarde;101
problème;67
débute;3
aide;36
ok;20
pu;66
hé;9
imaginez;19
comblée;3
belle;78
mince;18
fiancée;9
homme;117
magnifique;42
apporte;8
dommage;17
agaçante;2
attendez;24
enregistrement;2
parlez;25
lui;365
faites;130
sente;2
genre;39
assurance;5
beauté;13
pegs;6
aura;51
sexy;11
faciles;4
gorge;17
puis;93
jus;7
ananas;5
verre;65
eau;38
reprenons;2
heureuse;23
avez;286
pris;84
poids;11
découvert;7
redevenir;3
celle;36
étiez;25
comprendre;18
comprenez;9
écoute;57
devant;33
gâché;10
kenny;14
pro;4
marche;37
venue;18
déplacer;4
cours;10
console;3
auras;20
rencard;6
aimais;6
doit;118
heure;46
brighton;4
times;9
square;12
appeler;52
tard;37
cherche;15
quelqu;107
locataires;2
quelque;169
temps;155
laissé;32
adresse;7
appelait;8
adam;15
withman;9
essaie;33
contacter;2
roux;2
grand;71
écoutez;29
pendu;3
whitman;10
paquet;8
fric;5
mairie;5
journal;20
déteste;44
celui;48
annonce;13
allô;12
bonjour;153
docteur;22
arnold;2
wayne;10
albertson;2
déplacé;8
feu;12
cigarette;10
poubelle;6
harry;32
viens;99
expliquer;13
avantage;4
vendre;34
ouais;16
empiles;2
dedans;30
prêt;26
prenais;5
photos;15
plaisir;54
mécanique;3
filles;69
principalement;4
pouvais;11
leur;147
demander;43
leurs;59
noms;10
allais;26
publier;3
autres;95
pseudo;3
artistique;14
brûlerai;2
reflet;4
arbre;9
flaque;2
toute;84
série;5
empreintes;4
main;35
vitre;4
buée;2
ta;222
chaleur;9
enlèves;3
photo;22
noir;8
blanc;15
imagine;38
fasciné;2
dessins;4
grottes;2
lascaux;2
ans;119
bison;3
vedette;2
toutes;58
minuscules;4
normes;2
peinture;2
autour;23
signature;3
artiste;8
atteignait;2
travers;14
pierre;12
étais;181
droit;33
fiche;41
mère;120
arriver;21
horrible;12
triste;23
pleurez;3
plait;23
adultes;6
comprennent;6
combien;55
durent;2
min;16
coeur;22
espère;73
dérange;23
sérieux;29
sortir;33
annuaire;4
anciens;5
branche;3
vick;2
meilleurs;8
potentiels;3
industrie;3
campbell;100
gêné;6
vendeur;10
directeur;24
gentil;36
mise;18
félicitations;44
persuadé;4
justice;2
décrocheras;2
livre;23
ayn;5
rand;6
semble;24
assuré;6
entière;4
implication;4
impressionné;7
faut;125
mériter;6
rang;3
torture;2
devoir;32
gérer;9
ensemble;54
cuisiné;4
année;35
dernière;38
malade;29
gloria;15
reconnaissante;5
certaines;8
ci;25
aidé;9
pouvoir;35
carnet;5
pourtant;13
empêcher;8
fidèle;4
donne;43
fessées;2
levé;5
fond;20
forme;12
prends;82
hôtels;12
odeurs;2
parfum;7
sens;69
désole;2
devrais;78
colère;19
autruche;2
intéressant;17
façon;44
amour;27
parfois;51
manifestement;7
suppose;26
suffis;2
salvatore;12
romano;14
joe;8
harriman;2
lynn;2
taylor;5
eastman;2
hélas;3
retournés;2
institut;2
prennent;4
vacances;22
montrent;4
eux;59
trouvé;41
moyen;15
intégrer;8
savons;8
roues;2
technologie;5
excitante;4
originelles;2
appât;2
séduisant;4
rares;2
public;12
delà;4
simple;23
flash;5
rapport;17
affectif;2
produit;25
fourrure;7
vieux;32
rédacteur;8
teddy;8
grec;7
disait;31
important;34
publicité;25
nouveauté;3
créer;7
mettez;11
lotion;2
minérale;2
parlait;9
lien;2
profond;3
nostalgie;3
délicat;7
puissant;7
allumez;2
nostalgia;2
littéralement;5
douleur;6
ancienne;6
blessure;4
pincement;2
mémoire;9
seule;47
cet;78
vaisseau;2
spatial;2
machine;11
remonter;3
arrière;14
emmène;18
aimerons;2
retourner;19
carrousel;2
partout;14
ailleurs;37
ramène;6
lieu;26
prévenir;9
mein;2
kommandant;2
hall;11
annulent;2
réunions;8
compris;23
ddb;3
victoire;6
civilisation;2
fêter;17
marie;9
vôtre;9
santé;17
pete;42
transformes;2
coup;59
maître;8
humeur;6
achète;17
jeunes;33
change;15
vie;80
peau;13
défauts;2
rédactrice;10
parfaite;18
olsen;22
super;39
marrant;13
