Mot,Occurrence
i,1089
you,686
the,606
a,552
de,549
vous,518
to,469
je,419
pas,402
est,398
s,369
que,359
le,354
it,328
et,323
la,303
we,296
un,294
of,282
nous,277
and,268
t,268
that,266
on,237
ne,235
il,231
ce,228
les,225
à,221
what,213
jerry,207
l,191
d,184
me,182
n,180
c,180
en,170
une,168
is,167
m,163
tu,157
this,147
pour,147
qu,146
in,146
re,139
oh,130
have,129
are,128
des,127
he,126
no,120
not,119
do,117
all,112
ça,108
your,106
they,105
don,103
j,101
ils,100
for,99
qui,98
dans,97
si,96
plus,89
there,88
ai,87
if,85
but,85
non,84
be,83
my,82
y,80
as,79
mais,78
know,76
du,76
was,73
with,72
être,72
fait,71
bien,70
can,70
just,69
so,68
us,68
like,67
joe,67
want,64
here,64
him,62
well,61
our,60
votre,59
think,59
how,58
avez,57
comme,56
peut,56
ve,55
up,55
cela,55
suis,55
moi,54
faire,53
avec,53
au,53
now,53
ont,53
veux,52
sont,52
from,52
tout,52
oui,51
sur,51
tous,51
one,50
get,50
alors,49
mon,49
ici,49
ll,48
out,48
right,46
ou,46
at,46
an,46
sommes,46
monsieur,46
sir,45
or,45
êtes,45
là,44
notre,43
let,42
bedzyk,42
quoi,41
dire,41
se,41
been,40
good,40
avons,40
then,40
chose,39
go,39
martha,39
cette,39
maintenant,38
même,38
why,37
take,37
going,37
could,37
yes,37
who,37
did,36
mr,36
havelmann,36
about,36
them,36
où,35
était,35
allez,35
comment,34
come,33
time,33
vraiment,33
par,33
very,33
major,33
monde,33
would,32
people,32
little,31
été,31
pourquoi,31
world,31
ma,30
sais,30
très,30
more,30
deux,30
work,30
pense,29
autre,29
see,29
tell,29
home,29
will,28
juste,28
back,28
nos,28
down,27
peux,27
maison,27
ces,27
avoir,27
lui,27
joes,26
had,26
terre,26
these,26
where,26
got,26
has,26
brownie,26
look,25
when,25
need,25
into,25
over,24
temps,24
son,24
were,24
any,24
make,24
elle,24
peu,23
gonna,23
quand,23
candy,23
hear,23
président,23
president,23
skynner,23
jamais,23
boom,23
aime,23
vaisseau,23
leur,23
es,22
toutes,22
thing,22
dieu,22
even,22
quelque,22
god,22
toujours,22
va,22
does,22
way,22
walk,21
am,21
bon,21
voulez,21
te,21
six,21
before,21
deanna,21
much,21
dit,21
never,21
say,20
earth,20
vos,20
his,20
than,20
some,20
really,20
sigrette,20
sam,20
ever,20
quel,20
euh,20
ah,20
two,20
their,20
club,20
sûr,19
toi,19
veut,19
please,19
something,19
only,19
vais,19
ok,19
ans,19
sigret,19
said,19
off,19
ouais,19
day,19
encore,19
voir,19
first,18
by,18
depuis,18
too,18
combien,18
curran,18
uh,18
bonbon,18
old,18
same,18
seulement,18
didn,18
yeah,18
saying,17
most,17
place,17
maybe,17
message,17
choses,17
beaucoup,17
vie,17
aussi,17
being,17
gens,17
pensez,17
annie,17
things,17
heures,17
minutes,17
may,17
quelqu,17
mean,16
dites,16
other,16
eu,16
part,16
company,16
samswope,16
course,16
call,16
déjà,16
life,16
faites,16
avant,16
put,16
petit,16
because,15
chien,15
believe,15
through,15
baby,15
made,15
she,15
million,15
mes,15
sang,15
parce,15
fais,15
contre,15
possible,15
rien,15
stop,15
personnes,15
doing,15
give,14
isn,14
hours,14
accord,14
besoin,14
always,14
her,14
lieutenant,14
cargrew,14
bonne,14
parler,14
pourrait,14
years,14
homme,14
air,14
étais,14
wouldn,14
riggum,14
okay,14
listen,14
questions,14
voilà,14
moins,14
puis,13
nothing,13
harmony,13
blood,13
jusqu,13
understand,13
important,13
personne,13
femme,13
peur,13
doit,13
sa,13
might,13
asking,13
travail,13
man,13
sans,13
trop,13
ta,13
avais,13
dois,13
remember,12
attention,12
arrêter,12
captain,12
jinger,12
talk,12
allons,12
mine,12
after,12
envoyé,12
champ,12
nation,12
controlled,12
genetics,12
feel,12
argent,12
horse,12
long,12
simple,12
après,12
money,12
crois,12
question,12
move,12
doesn,12
choix,12
thought,12
capitaine,12
bébé,12
cheval,12
hope,11
maladie,11
should,11
rentrer,11
still,11
dog,11
pouvez,11
real,11
morning,11
lost,11
honor,11
divine,11
donc,11
great,11
société,11
merci,11
fois,11
against,11
send,11
mines,11
savoir,11
toute,11
façon,11
regarde,11
another,11
ship,11
last,11
plait,11
hell,11
demande,11
