Mot;Occurrence
i;189
depuis;18
toujours;22
nous;277
demandons;5
comment;33
a;177
commencé;8
la;303
vie;17
quel;20
est;398
notre;43
but;4
et;322
où;35
allons;12
sommes;46
battus;4
pour;147
comprendre;6
le;354
temps;24
matière;4
l;190
univers;6
infini;4
qui;98
si;96
seuls;6
de;547
grandes;5
personnes;15
ont;53
imaginé;5
les;225
plus;89
fascinantes;4
terrifiantes;4
réponses;5
à;221
ces;27
questions;7
vous;517
invitons;4
joindre;5
dans;97
cette;39
grande;6
expédition;5
c;176
presque;5
fini;3
transcript;4
raceman;4
synchro;4
tagne;7
trad;4
www;4
forom;4
com;4
certains;4
événements;2
sont;52
ils;100
durs;1
oublier;4
que;359
s;68
en;170
souvenir;2
devienne;1
trop;13
douloureux;2
j;101
ai;87
oublié;2
me;65
raser;1
ce;228
matin;10
désolé;6
entendre;6
docteur;10
gail;1
dur;5
deanna;12
voyons;4
voir;19
je;418
peux;27
rendre;1
simple;8
cancer;2
métastasique;1
protéines;4
h;1
e;3
r;4
au;53
haut;5
perspectives;1
traitement;1
faibles;1
n;178
pas;402
ta;12
faute;2
charles;1
ça;108
tout;52
même;38
un;294
peu;23
alors;49
qu;146
penses;6
tu;157
trois;10
ou;46
quatre;4
mois;6
oui;51
es;22
meilleur;2
menteur;2
prochaine;2
y;80
arriver;4
entrez;2
ne;235
suis;55
sûr;19
d;151
être;72
bon;21
endroit;4
êtes;45
asseyez;2
il;231
plaît;6
voulez;21
eau;1
non;83
rendez;1
pile;1
heure;5
ponctuel;1
cela;55
se;41
perd;2
répète;1
souvent;1
dr;4
evans;6
hôpital;4
puis;13
poser;2
quelques;9
infirmerie;4
m;74
indiqué;2
direction;3
aimerais;3
commencer;2
par;33
petit;16
jeu;6
genre;5
veux;52
regardiez;1
fais;15
allez;35
faire;53
disparaître;2
t;38
sous;7
mouchoir;2
peut;56
on;138
parier;2
là;44
dessus;10
fois;11
presse;1
papiers;1
magnifique;5
enregistrez;2
dérangerait;1
seulement;18
savoir;11
question;8
courtoisie;1
surveillé;1
des;127
caméras;1
observateur;1
observé;1
observés;2
tous;51
deux;30
aimez;3
lieu;1
bien;70
honnêtement;1
été;31
ici;49
assez;7
longtemps;4
une;168
opinion;1
combien;18
dites;16
moi;54
faisiez;1
avant;16
étais;14
travail;13
travaillez;3
worldwide;1
entreprise;4
haute;3
technologie;2
fait;71
gouvernement;2
pentagone;2
faites;16
bas;9
dirige;1
pense;29
savez;10
pourquoi;31
pensez;17
vraiment;33
secret;3
sur;51
quoi;41
travaille;7
autre;29
sujet;3
pouvez;11
parler;14
simplement;4
part;9
indispensable;1
défense;4
nation;5
voudrais;2
mettiez;1
péril;1
secrets;2
état;8
confidentialité;1
aussi;17
partie;4
votre;59
privilège;1
patient;2
toutes;22
sornettes;1
excusez;5
donc;11
boulot;3
semble;8
important;6
lucratif;1
présume;1
plutôt;3
personnel;1
pourrais;9
prendre;7
retraite;4
mes;15
ans;19
mais;78
famille;8
enfants;8
écoutez;9
sais;30
venir;8
sachiez;1
marié;1
ma;30
femme;13
appelle;7
dorothy;4
margaret;2
peter;1
vivons;1
maison;27
m²;1
type;3
colonial;1
conduis;1
avion;2
places;2
vais;19
matchs;1
redskins;1
mange;2
quiche;1
déteste;2
conversations;1
inutiles;1
nom;9
connaissez;7
déjà;16
mon;48
robert;2
havelmann;18
chose;39
beaucoup;17
choses;17
interrogatoire;1
dieu;22
âge;3
avez;57
absurde;3
quelle;9
année;4
demandez;6
sérieusement;3
devriez;2
demander;5
calendrier;1
bureau;6
dit;21
mmm;1
regardez;3
miroir;2
accord;14
changement;2
radical;1
as;31
regardé;1
vu;10
signe;2
progrès;2
patron;2
patience;1
avec;53
croit;3
sois;2
devrions;2
essayer;1
attaque;6
besoin;14
merci;11
crois;12
encore;19
chance;4
souvienne;1
ait;7
certain;4
niveau;2
sait;9
va;22
très;30
convaincre;1
gaslow;1
ailleurs;1
séances;1
point;5
te;21
respecte;1
perdu;8
objectivité;1
présumant;1
avais;13
départ;2
toute;11
façon;11
problème;9
responsabilité;2
vérité;9
continuer;2
semblant;1
cendres;1
comme;56
numéros;1
beaux;1
