Mot,Occurrence
i,34910
you,23501
a,19374
the,17101
je,16855
to,16700
de,14640
s,14220
est,13032
que,12085
vous,11723
that,10815
it,10791
pas,10652
t,10582
and,8613
le,8468
à,7905
la,7882
me,7820
il,7802
et,7725
un,7581
m,7386
on,7269
of,7103
c,7040
tu,6647
l,6618
ce,6601
ne,6305
in,6170
d,6103
j,5933
what,5883
qu,5881
ça,5479
en,5448
this,5237
he,5144
is,5142
une,4889
ai,4785
know,4686
n,4679
we,4460
was,4445
les,4189
pour,4151
elle,4005
don,3983
for,3980
she,3807
have,3762
your,3688
my,3633
just,3631
re,3613
do,3572
no,3512
not,3473
about,3213
qui,3137
but,3123
can,3106
dans,3032
be,3031
mais,2988
si,2979
her,2946
with,2939
des,2864
so,2858
are,2780
there,2722
bien,2695
suis,2648
as,2614
all,2611
y,2480
tout,2476
if,2464
sais,2382
moi,2380
fait,2269
they,2248
well,2242
get,2199
here,2196
think,2172
at,2170
du,2166
être,2160
non,2111
like,2097
était,2082
going,2079
allison,2075
out,2015
oh,2005
nous,1979
right,1958
him,1947
au,1864
avec,1860
okay,1847
mon,1831
up,1826
ll,1775
quoi,1737
who,1685
sur,1685
votre,1656
his,1647
avez,1631
one,1628
plus,1614
faire,1610
want,1610
did,1587
dire,1565
now,1564
peut,1548
how,1539
son,1539
dit,1535
lui,1502
go,1497
ils,1496
see,1458
là,1448
got,1443
cette,1423
se,1411
va,1398
te,1374
had,1357
ma,1343
rien,1340
when,1329
really,1318
tell,1316
ve,1313
yeah,1302
an,1275
dubois,1268
from,1262
veux,1236
something,1233
were,1201
didn,1198
mean,1188
comme,1185
time,1178
or,1176
why,1166
been,1159
some,1141
would,1141
sorry,1129
chose,1113
où,1096
come,1088
peux,1065
back,1058
uh,1057
them,1041
look,1034
good,1031
mr,1029
ici,1027
could,1025
même,1019
quand,1012
maybe,999
oui,997
sa,981
ou,974
need,966
hey,962
man,951
where,948
pourquoi,943
then,937
let,927
avoir,922
say,917
pense,911
sure,910
êtes,901
joe,894
juste,885
vraiment,884
ariel,862
comment,859
eh,859
toi,857
make,856
vu,850
call,847
voir,845
any,837
ont,827
thing,826
take,822
way,822
alors,801
police,800
quelqu,795
night,794
sont,792
anything,788
femme,782
even,782
es,777
vais,768
par,756
quelque,752
work,750
over,748
avait,747
donc,742
été,739
gonna,734
by,727
home,727
little,726
our,722
us,719
will,719
people,706
said,704
autre,699
car,696
doing,693
deux,684
ces,682
jamais,680
maman,670
has,668
très,664
told,660
fille,654
dream,647
talking,647
peu,646
never,643
maintenant,641
actually,641
aller,638
homme,624
merci,623
personne,619
après,618
encore,617
bon,615
guy,610
very,607
day,601
ton,600
morning,599
sûr,597
help,593
ok,589
nothing,588
two,586
last,584
am,584
still,579
allez,578
more,578
off,576
aussi,571
down,571
everything,569
someone,565
saw,561
kind,557
before,555
fais,552
give,551
too,550
voiture,546
ans,545
crois,538
rêve,536
tous,535
mom,533
temps,532
find,532
doesn,532
things,530
fois,529
nuit,523
parler,523
might,522
other,516
name,513
maison,512
talk,512
please,511
bridgette,510
these,510
étais,509
moment,504
avant,503
into,497
because,496
wait,495
notre,493
thought,493
wife,490
yes,490
besoin,489
only,487
girl,486
much,486
dois,486
vie,485
eu,484
parce,483
ses,481
déjà,481
avais,479
after,479
toujours,477
mes,472
ta,472
depuis,468
life,466
papa,465
mort,464
thank,463
cet,460
god,459
found,457
hear,455
guess,454
fine,453
believe,452
accord,451
again,447
does,446
chez,445
leur,443
dis,441
truc,436
house,435
savez,433
dead,432
first,432
voulez,431
years,430
money,429
savoir,429
vas,429
those,429
their,428
should,428
veut,427
place,426
lot,425
understand,424
vrai,424
attorney,418
scanlon,417
today,416
phoenix,415
désolé,415
phone,413
désolée,413
gens,411
happened,410
school,408
soit,408
part,408
question,408
passé,408
second,407
lee,407
put,407
ouais,405
dieu,404
ever,403
minutes,402
cause,401
looking,400
faut,400
matin,399
mère,397
long,396
away,395
font,395
argent,393
sans,392
ca,390
devalos,388
raison,385
procureur,384
woman,383
comprends,382
isn,382
mal,382
filles,379
choses,378
monde,376
vois,375
than,372
through,372
feel,371
mme,369
around,369
mrs,368
office,365
keep,363
père,360
three,360
bureau,355
husband,355
vos,354
being,353
called,352
case,350
hello,350
um,347
soir,346
marie,345
bonne,344
ask,344
mari,342
pretty,341
trouvé,340
wasn,339
trying,338
knew,337
passe,337
district,336
room,334
getting,333
every,332
wanted,332
daddy,331
point,331
nice,329
came,328
girls,328
jour,326
crime,326
made,325
old,324
air,324
appelle,322
aux,320
stop,319
aime,316
went,316
pouvez,316
quel,315
left,314
cas,313
head,312
ago,312
wrong,310
prendre,309
demain,308
another,308
killed,307
sleep,306
nom,304
aujourd,304
hui,304
heure,304
doit,304
excuse,304
bad,300
enfants,300
dont,300
sait,300
tête,299
beaucoup,298
love,298
coming,298
appeler,298
idea,296
moins,295
great,295
course,295
viens,294
parents,294
already,293
tué,292
remember,292
simplement,292
aider,291
avons,290
dad,289
toute,288
daughter,288
new,288
saying,287
faites,287
else,287
same,286
wouldn,286
corps,284
anyone,284
pu,283
petit,283
took,283
done,283
sera,282
better,281
mommy,280
école,279
leave,279
may,277
honey,275
hier,275
dreams,275
affaire,274
parle,274
body,273
year,273
suppose,272
arrive,271
happen,271
baby,271
dites,270
yet,270
mind,270
aurait,268
hi,267
aurais,266
dr,266
couple,265
tomorrow,265
father,265
friend,265
appelé,265
salut,264
possible,264
kids,264
jusqu,264
heard,263
idée,263
couldn,263
trop,263
rêves,262
sens,262
death,262
problème,262
boy,261
chance,260
euh,260
travail,260
tes,259
chérie,259
trouver,258
com,258
family,255
which,253
passer,253
somebody,253
won,252
parlé,252
entendu,252
famille,251
pourrait,251
seconde,251
gars,251
bed,251
www,251
while,248
aucun,248
supposed,248
puis,248
bonjour,248
quelques,247
fact,247
mother,247
pendant,246
job,245
minute,244
telling,244
kill,244
attends,244
pardon,243
seule,242
autres,242
own,241
train,240
genre,239
detective,238
trois,236
door,236
pris,234
happy,232
bridge,232
voulais,232
important,231
dû,230
jours,230
venir,230
big,229
huh,229
both,229
always,229
news,228
dernière,228
mieux,225
having,224
person,223
whole,223
next,223
michael,221
week,221
murder,220
everyone,220
coup,219
try,218
enough,217
sir,217
nos,217
thinking,217
meet,217
type,217
days,215
doctor,215
looks,215
partie,213
knows,212
serait,212
questions,211
voilà,211
entre,210
until,210
aucune,210
face,209
matter,209
seen,209
gone,207
haven,207
fils,207
rêvé,206
al,206
sense,205
care,205
asked,205
toutes,205
boulot,204
vient,203
late,202
least,202
hours,202
miss,202
wants,202
real,201
exactly,201
hmm,201
must,201
met,201
thanks,201
quelle,200
grand,199
reason,199
porte,199
demandé,198
meurtre,198
hold,198
monsieur,197
since,197
aide,197
téléphone,197
listen,197
lit,197
message,196
chaque,196
accident,196
whatever,195
killer,195
heures,195
demande,195
almost,195
guys,195
pourrais,193
