Mot;Occurrence
i;28507
don;3832
t;8607
understand;413
thought;474
you;22770
said;686
she;3686
was;4251
getting;320
better;268
fooled;4
us;698
the;16404
leukemia;10
for;3794
a;11392
while;235
it;10405
seemed;67
like;2017
responding;8
to;16060
treatment;10
unfortunately;32
her;2838
blood;134
cell;150
count;36
keeps;32
dropping;13
know;4528
if;2397
system;55
can;2997
take;788
another;299
round;14
of;6812
chemo;5
m;4891
so;2750
sorry;1109
ll;1716
make;823
point;186
stop;294
back;1024
when;1286
your;3556
parents;149
are;2694
here;2130
thank;446
wow;109
how;1483
long;338
out;1927
just;3527
few;158
minutes;205
s;12011
weird;83
way;770
do;3459
that;10450
sudden;23
hmm;145
mom;523
and;8292
dad;285
went;298
grab;25
bite;24
hey;885
almost;184
forgot;46
brought;105
something;1196
gasping;4
no;3387
mr;669
snookie;6
where;923
in;5939
hell;155
did;1524
find;514
him;1886
me;5065
tore;2
garage;44
apart;24
until;203
we;4281
found;442
he;4956
looks;212
as;1196
old;307
crappy;3
feel;360
light;86
cough;4
yeah;1282
german;2
shepherd;4
really;1272
number;182
on;3282
huh;215
okay;1794
weakly;1
get;2127
tired;52
woman;352
girls;314
decent;9
there;2603
re;3506
dubois;647
women;90
nothing;570
about;3101
whole;216
time;1131
seconds;18
ago;301
laughing;30
completely;107
knocked;11
crap;33
doctor;208
came;312
by;686
wasn;323
helping;34
marie;172
hear;434
ariel;445
favor;73
ve;1263
got;1395
go;1455
outside;118
call;803
bridgette;289
tell;1262
need;940
daddy;323
or;1138
will;690
pick;155
up;1738
at;2081
airport;32
but;2971
needs;72
come;1055
today;395
sobbing;13
tonight;187
allison;1091
shh;68
going;1994
miss;192
much;462
live;160
without;170
hi;256
this;5053
is;4984
wondering;90
any;796
could;988
possibly;34
bring;152
my;3521
youngest;8
daughter;286
see;1406
bye;143
phone;398
beeps;12
off;558
woke;61
side;83
bed;239
empty;30
cold;52
been;1104
think;2097
coming;287
down;547
with;2817
half;149
night;753
serious;86
hope;148
not;3338
caught;58
seems;130
fine;442
now;1517
keep;351
home;703
run;153
all;2531
god;452
grant;2
serenity;2
accept;22
things;515
cannot;34
change;123
courage;12
wisdom;8
difference;48
scanlon;225
guy;593
calls;78
first;413
thing;800
morning;567
sure;865
be;2910
meeting;105
then;882
doesn;515
show;185
gary;21
recovering;5
addict;8
addicts;1
reliability;2
our;702
strong;25
suit;19
what;5643
his;1564
sponsor;4
mother;243
does;432
rest;132
car;565
man;905
good;997
news;224
strep;1
fever;16
inoculations;1
date;44
truth;160
super;6
little;707
unclear;2
an;1155
exam;9
school;394
day;571
care;197
camp;25
want;1570
sign;84
talk;488
still;558
talking;627
well;2157
ah;68
wh;17
would;1087
has;646
look;1001
didn;1154
notic;1
swelling;3
weight;12
loss;19
rabbit;2
pull;48
hat;12
help;571
comes;106
from;1217
jen;2
uh;1022
second;380
eye;58
minute;141
have;3607
conversation;94
backed;3
baby;248
mommy;274
gonna;722
catch;54
playground;8
never;620
mentioned;59
family;246
history;40
other;497
happened;400
someone;543
husband;347
kind;540
disease;12
front;109
treat;18
before;529
strikes;10
saying;274
sense;194
people;679
diseases;1
they;2166
them;1001
cancer;14
mean;1162
theory;45
already;281
waiting;140
happen;264
right;1914
am;568
oncologist;4
simple;38
had;1299
aren;133
doing;676
tests;31
running;93
children;79
invasive;3
painful;8
d;1097
done;269
child;142
unless;62
necessary;27
expensive;22
insurance;48
won;244
cover;29
some;1102
credible;6
diagnostic;2
rationale;1
forgive;50
asking;123
joe;496
alarm;33
till;99
knew;328
more;552
honest;56
crazy;183
were;1156
anybody;120
else;276
tempted;6
services;20
willing;75
let;889
draw;22
send;85
lab;40
place;305
indication;3
lee;216
listen;193
check;172
worried;104
whispering;14
staying;29
lost;75
track;26
appreciate;110
earl;12
apparently;156
roommate;10
town;82
concerned;47
friend;251
knocking;14
anyone;269
hello;333
dr;126
bondi;2
girl;471
healthy;15
horse;9
anything;763
compromise;8
health;30
modern;7
science;35
currently;8
less;69
years;410
nobody;163
knows;207
issue;21
test;86
every;314
one;1549
kids;252
hit;97
tomorrow;256
felled;1
flu;14
love;290
anyway;152
living;99
definition;7
control;43
too;535
big;220
bosses;5
away;385
seminar;2
figured;74
desk;43
laptop;5
teaching;11
play;108
monkey;4
middle;127
very;564
cake;12
somebody;245
birthday;59
celebrating;4
celebrate;16
cool;61
mmm;25
yum;3
occasion;11
feeling;127
next;210
sun;26
dog;61
growling;2
inside;118
doggy;2
hurt;143
ran;57
saved;35
thinking;205
attacked;17
bitten;2
act;37
save;49
sisters;17
teddy;31
bear;22
honey;270
why;1133
face;146
everybody;152
maybe;972
yes;472
wait;481
say;885
always;221
saw;545
give;539
torn;8
even;755
though;91
hours;192
please;503
yourself;179
listening;51
everything;546
last;554
same;278
dream;629
dying;36
into;467
wanted;322
actually;618
making;164
oh;1269
after;462
believe;431
th;13
course;273
absolutely;141
questioning;18
logic;12
makes;162
prove;100
saving;12
life;434
whispers;7
burn;10
backyard;8
according;91
goes;69
hospital;143
cause;302
sick;104
mocking;4
trying;324
irrational;3
potentially;8
dangerous;27
destructive;1
sweetie;119
may;262
fated;2
die;122
spent;64
chasing;6
tragedy;12
ever;388
which;240
being;338
biggest;15
bonfire;1
seen;203
convince;52
forget;77
happens;83
idea;288
hard;153
pretend;25
missing;162
works;110
isn;368
deal;156
otherwise;24
willow;9
elm;9
sort;103
tree;18
looking;387
trees;3
quarter;22
sleep;294
kid;135
met;162
na;1
asked;197
od;2
yesterday;165
folks;44
east;14
delaware;1
two;564
ahead;83
work;720
figuring;6
dreading;1
sit;138
through;362
thanks;197
afraid;116
comfortable;27
possible;110
ass;47
tipping;2
cure;8
worse;37
than;356
passed;48
gather;11
loved;62
ones;49
byes;3
fault;57
told;633
should;405
stayed;5
house;428
none;71
means;165
clear;103
moving;34
exactly;191
mold;1
radon;1
close;115
power;27
lines;14
move;101
whoa;45
easy;81
finding;48
new;266
takes;51
selling;10
worth;70
answer;139
walking;50
hacienda;1
model;21
phase;1
acres;1
over;700
million;79
construction;13
bunford;7
properties;3
project;59
beautiful;70
kitchen;52
obviously;97
kinds;19
upgrades;1
options;9
available;14
around;353
salespeople;1
happy;222
question;161
might;498
free;74
e;88
mail;73
directly;11
perfect;82
hardly;18
constitutes;1
thorough;10
evaluation;4
supposed;241
afford;22
impulse;3
buy;107
worked;123
tied;17
wouldn;273
logical;15
figure;160
instant;6
peril;3
uproot;1
whatever;187
quickly;30
screw;13
money;411
real;193
sending;21
certain;120
death;228
because;483
breath;13
either;122
took;273
morningoff;1
ask;332
these;481
questions;107
those;410
who;1609
realtor;2
mystery;11
drug;61
died;150
overdose;5
perform;6
autopsy;16
wona;1
during;52
silent;17
auction;1
year;262
police;394
fundraiser;2
called;343
made;309
promise;104
add;15
their;398
junkie;6
haven;201
heard;247
also;126
medical;41
student;22
careful;14
fastidious;1
taking;141
city;119
phoenix;212
pay;113
quality;5
young;177
dead;422
education;1
excellent;60
spoke;42
appraisal;1
own;231
rooms;21
leave;273
bunk;6
beds;10
whoever;69
moves;6
sell;47
poisoned;9
devil;13
advocate;4
yet;264
future;103
kidding;77
hook;8
argument;19
seem;111
thatorks;1
conscience;11
small;52
hate;102
share;45
unlimited;1
responsibility;15
end;127
bought;62
best;133
knowledge;14
sold;15
clean;75
homeowner;3
stays;5
repairs;4
adjustments;1
tested;15
safe;85
expect;43
stay;183
speak;113
word;105
telling;237
detective;220
try;210
full;81
tank;6
gas;30
days;208
mrs;352
staff;20
repeatedly;6
explained;29
surgeries;5
follow;51
ups;3
office;341
meetings;14
consults;1
soon;162
set;84
excuse;236
surgery;28
killed;301
visit;67
violating;3
restraining;4
order;49
honestly;71
unnecessary;6
beginning;21
happening;49
many;121
contact;45
insist;5
attorney;396
unhappy;7
mm;82
review;13
given;95
bill;18
estate;12
broker;7
evening;47
assured;7
certainly;99
enough;209
present;68
begin;27
debt;11
skipped;7
left;302
bad;296
wrong;303
moment;128
self;31
doubt;31
different;89
joking;12
friends;154
shaking;12
tough;38
bigger;21
bathrooms;3
nicer;5
bedrooms;1
daughters;21
torture;7
community;10
pool;22
perhaps;51
exciting;17
drop;57
signed;14
paperwork;8
sales;7
hour;135
loan;9
fall;34
busy;45
surprised;35
again;436
finally;122
shed;11
nice;315
pretty;328
upset;84
district;314
case;322
david;56
channing;7
uncanny;7
resemblance;3
bit;121
older;49
father;262
postman;1
although;33
oncology;5
enjoy;22
knowing;50
everyone;210
most;161
likely;13
fatal;1
across;58
guys;186
meet;203
walk;102
applies;1
turned;65
white;73
