Mot,Occurrence
i,5294
you,4424
a,2970
je,2893
to,2430
the,2404
de,2315
s,2252
tu,2064
est,2020
t,1802
pas,1794
que,1764
it,1609
me,1514
that,1461
m,1344
le,1267
un,1256
la,1223
and,1220
on,1217
à,1189
j,1165
c,1160
of,1133
et,1073
my,980
ai,946
in,942
ne,935
l,923
d,920
pour,892
ça,863
ce,862
il,862
une,861
what,858
this,788
vous,777
en,741
is,737
your,708
know,695
just,693
for,668
qu,660
as,660
re,632
les,622
with,613
have,609
was,602
not,598
we,591
n,583
be,558
suis,533
so,532
don,532
avec,512
are,504
he,497
elle,485
do,481
all,478
can,476
moi,476
mon,474
like,472
no,464
si,458
but,455
she,450
mais,443
oh,441
out,438
qui,422
te,416
des,408
about,408
get,404
right,400
dans,397
jonah,386
tout,377
toi,371
if,368
up,365
être,360
y,353
okay,352
plus,343
want,339
at,338
bien,337
her,333
es,331
here,328
riley,327
fait,326
there,316
one,314
going,314
sais,313
quoi,308
ella,304
yeah,296
ll,293
how,288
faire,288
était,281
veux,275
au,273
ma,273
sur,270
du,269
ton,264
look,260
comme,259
david,257
go,256
who,254
got,254
well,249
think,248
now,247
him,239
from,234
did,233
peux,231
va,229
vraiment,223
là,221
nous,220
come,219
really,219
ve,216
good,214
se,214
why,211
auggie,210
let,206
time,202
sydney,201
had,201
way,198
dire,197
were,193
cette,193
when,192
lui,191
non,190
need,186
some,186
dit,185
didn,185
juste,183
back,183
would,183
hey,181
an,180
avoir,177
night,176
peut,176
could,175
they,175
quand,172
pourquoi,170
his,169
make,161
been,160
lauren,160
sorry,159
où,158
vais,155
tell,154
son,153
never,152
mean,151
little,151
see,150
jamais,150
chose,150
merci,149
rien,149
besoin,147
fais,143
ta,142
take,141
off,140
actually,137
dois,137
say,137
ici,136
then,135
much,135
where,135
thing,134
something,134
peu,133
more,133
vie,132
into,132
même,132
mes,132
oui,131
am,130
life,130
comment,126
ils,126
étais,124
uh,123
by,122
work,119
gonna,119
last,118
after,118
thought,117
bon,117
god,117
thank,116
even,116
soir,116
toujours,115
or,115
new,114
temps,114
par,114
over,113
après,113
love,112
sure,111
because,111
amanda,110
voir,109
sont,109
quelqu,109
place,108
day,107
people,106
doing,106
votre,106
too,106
avais,106
maintenant,106
will,106
vu,105
down,105
our,103
aller,103
guy,102
quelque,102
sa,102
tes,100
call,100
um,100
kind,99
aussi,99
wpk,98
only,98
should,97
than,97
donc,97
vas,97
alors,96
told,96
ever,95
ou,95
us,95
before,94
père,93
crois,93
ok,93
nuit,93
autre,92
dieu,92
eu,92
avant,91
maybe,91
violet,90
happened,90
anton,90
nothing,90
job,88
personne,87
better,87
them,87
été,87
fois,86
syd,86
girl,85
très,85
pense,85
anything,85
avez,84
guess,84
help,84
wanted,83
passé,83
trop,83
dis,82
still,82
has,82
real,82
êtes,82
lot,82
talk,82
man,81
said,81
tous,80
argent,80
any,79
moment,78
accord,78
film,78
great,78
everything,77
wait,77
pensais,76
veut,76
find,76
someone,76
give,76
money,76
encore,75
désolée,75
sûr,75
cause,75
aime,74
parce,74
parler,74
first,74
avait,74
notre,74
guys,74
car,73
viens,73
bonne,73
depuis,73
tonight,72
fine,72
beaucoup,72
two,71
today,71
things,71
being,70
dr,70
police,70
every,70
pretty,70
voulais,69
party,69
getting,69
miller,69
done,69
dad,68
home,68
please,68
client,68
désolé,68
toute,68
other,67
mieux,67
through,66
mancini,66
aurais,66
feel,65
super,65
trying,65
drew,65
doesn,64
around,64
ces,64
excuse,64
part,64
déjà,63
noah,62
choses,62
sans,62
mère,61
petit,61
stop,61
prendre,61
allez,60
ses,60
keep,60
friend,60
exactly,60
soit,60
best,60
course,59
always,59
mec,59
big,59
coal,58
long,58
aider,58
savoir,57
chez,57
again,57
idea,57
deux,57
talking,57
those,56
chance,56
air,56
boulot,56
care,55
jour,55
put,55
these,55
does,55
fille,55
wasn,55
since,55
dû,54
totally,54
doit,54
yes,54
bad,53
monde,53
sera,53
away,53
doctor,53
isn,53
called,52
aujourd,52
aux,52
very,52
found,52
hui,52
el,52
agent,51
made,51
hollywood,51
looking,51
mom,51
regarde,51
together,50
whatever,50
perfect,50
chef,50
vrai,50
thanks,50
saw,50
living,49
anyone,49
entre,49
devrais,49
morning,49
fête,49
connais,48
won,48
another,48
importe,48
truc,48
gens,48
person,48
friends,47
dernière,47
probably,47
simms,47
pu,47
quelques,47
travail,47
grand,46
quel,46
school,46
ont,46
amis,46
believe,46
might,45
problème,45
point,45
couple,45
marcello,45
question,45
vos,45
genre,44
v,44
end,44
ensemble,44
pris,44
seule,44
yourself,44
appelle,44
cet,44
came,44
laisser,43
meet,43
happy,43
andrews,43
hi,43
seriously,43
deal,43
wants,43
nice,43
trust,43
already,43
huh,42
must,42
father,42
same,42
yung,42
ans,42
mal,42
mort,42
having,42
serait,42
amie,41
most,41
laisse,41
idée,41
vient,41
hear,41
